־י	i
א	ʔ
א	ʔ a l e f
אָ	a
אָ	o
אָ	ʔ a
אָ	ʔ o
אב	ʔ a v
אב	ʔ ɔː v
אבא	a b a
אבגתא	ʔ a v a ɡ t a
אבגתא	ʔ a v a ɣ θ ɔː
אבד	ʔ a v a d
אבד	ʔ a v e d
אבד	ʔ i b e d
אבדה	ʔ a v e d a
אבדון	ʔ a v a d o n
אבדון	ʔ ă v a d d oː n
אבדון	ʔ ă β a d d oː n
אבה	ʔ a v a
אבה	ʔ ɔ v ɔː
אבהות	ʔ a b a h u t
אבהי	ʔ a v a h i
אבוב	ʔ a b u v
אבובן	ʔ a b u v a n
אבוד	ʔ a v u d
אבוד	ʔ a v u d a
אבוי	ʔ a v o i
אבולוציה	ʔ e v o l u t͡s j a
אבולוציוני	ʔ e v o l u t͡s j o n i
אבוס	ʔ e v u s
אבות	ʔ a v o t
אבות	ʔ ɔ v oː θ
אבזם	ʔ a v z a m
אבזקה	ʔ a v z a k a
אבזקת	ʔ a v z a k a t
אבחה	ʔ i v χ a
אבטחה	a v t a x a
אביב	a v i v
אביה	ʔ a v i j a
אביר	ʔ a b i ʁ
אבישלום	ʔ a v i ʃ a l o m
אבן	e v e n
אבנט	ʔ a v n e t
אבנטים	a v n e t i m
אברהם	a v r a h a m
אברהם	a v r ɔ h ɔ m
אברהם	a v ʁ a h a m
אברהם	ʔ a b r a h a m
אברהם	ʔ a b r aː h aː m
אברהם	ʔ æ v r ɔ h ɔ m
אבשלום	ʔ a v ʃ a l o m
אגזוז	e ɡ z o z
אגם	a ɡ a m
אגם	ʔ a ɣ a m
אגם	ʔ a ɣ a mː
אגן	a ɡ a n
אגרוף	e ɡ ʁ o f
אגרוף	i ɡ ʁ u f
אג״ח	ʔ a ɡ a x
אדום	a d o m
אדום	a d̪ oː m
אדום	ɔ d o j m
אדום	ɔ ð øː m
אדום	ʔ ɔ ð o m
אדוני	a d o n a j
אדוני	a d oː n a j
אדוני	a d ɔ ɪ n o j
אדוני	æ ð øː n ɔ j
אדוני	ă ð o n ɔ j
אדיר	ʔ a d d iː r
אדיר	ʔ a d i ʁ
אדישות	a d i ʃ u t
אדם	a d a m
אדם	ɔ d ɔ m
אדם	ʔ a d a m
אדם	ʔ ɔ ð ɔ m
אדם	ʔ ɔː ð ɔː m
אדמה	a d a m a
אדריכל	a d ʁ i χ a l
אהב	ɔ h a v
אהב	ɔː h æ v
אהב	ʔ a h a v
אהבה	a h a v a
אהוב	ʔ a h u v
אהובה	ʔ a h u v a
אהל	a h a l
אהל	i h e l
אהל	o h e l
אהרן	ʔ a h a ʁ o n
אובדן	ʔ o v d a n
אובדן	ʔ ɔ v ð ɔː n
אובדני	o v d a n i
אובך	ʔ o v e χ
אויב	o j e v
אויב	o ɪ̯ j e ɪ̯ v
אויב	ʔ e j e v
אויב	ʔ o j e b
אויב	ʔ o j e v
אויב	ʔ oː j eː b
אויב	ʔ oː j i b u
אויב	ʔ ø j e v
אוכל	ʔ o χ e l
אוכל	ʔ oː x ɛ l
אוכל	ʔ u k a l
אוכמנית	ʔ u χ m a n i t
אולי	u l a j
אומנות	ʔ u m a n u t
אוננות	o n a n u t
אונסכ״ו	u n e s k o
אוסטריה	ʔ o s t ʁ i j a
אוקיינוס	ʔ o k j a n o s
אוקיינוס	ʔ o k j a n u s
אור	ʔ o ʁ
אור	ʔ u ʁ
אורגזמה	ɔ ʁ ɡ a z m a
אורחה	ʔ o ʁ χ a
אורי	o ʁ i
אורי	u ʁ i
אוריגמי	ɔ ʁ i ɡ a m i
אורפיאוס	o ʁ f e u s
אות	ɔ s
אות	ɔ ɪ s
אות	ʔ o t
אות	ʔ o θ
אות	ʔ oː t
אות	ʔ ø θ
אותיום	o t j o m
אזהרה	a z h a r a
אזור	e z o ʁ
אזמל	ʔ i z m e l
אח	a χ
אח	ɔ χ
אח	ʔ a ħ
אח	ʔ ɔ ħ
אחד	e χ ɔ d
אחד	ʔ a ħ a d
אחד	ʔ e χ a d
אחד	ʔ e̞ ħ ä d̪
אחד	ʔ æ ħ ɔ ð
אחד	ʔ ɛ ħ ɔ ð
אחדות	a χ d u t
אחות	a χ ɔ t
אחות	ʔ ɔ ħ o θ
אחז	a ħ a z
אחז	a χ a z
