Barra	b a r a
Iwí	i w i
Kayarí	k a j a r i
Kurupira	k u r u p i r a
Surimãu	s u r i m ã w
Tawa	t a w a
Tupana	t u p a n a
Tupayú	t u p a j u
abiú	a b i u
akayú	a k a j u
amú	a m u
anju	ã ʒ u
apigawa	a p i ɡ a w a
arara	a r a r a
asukirí	a s u k i r i
awa	a w a
awakaxí	a w a k a ʃ i
awatí	a w a t i
ayera	a j e ɾ a
ayurú	a j u r u
aé	a e
aí	a i
aíra	a i ɾ a
aíwa	a i w a
bukúkuri	b u k u k u r i
dedu	d e d u
endira	t e n d i ɾ a
era	e r a
esá	e s a
i	i
igapú	i ɡ a p u
igara	i ɡ a r a
iiyara	i i j a r a
indé	ĩ d e
itayúa	i t a j u a
iwikuí	i w i k u i
iwí	i w i
ixé	i ʃ e
ií	i i
jí	ʒ i
kakáu	k a k a w
kamarara	k a m a r a r a
kamixá	k a m i ʃ a
kana	k a n a
kandirú	k ã d i r u
kanindé	k a n ĩ d e
karapina	k a r a p i n a
karará	k a r a r a
kariakú	k a r i a k u
kariwa	k a r i w a
kastanha	k a s t a ɲ a
katú	k a t u
kawarú	k a w a r u
kaá	k a a
kexu	k e ʃ u
kisé	k i s e
kiwira	k i w i ɾ a
kukura	k u k u r a
kupuasú	k u p u a s u
kurasí	k u ɾ a s i
kurumĩ	k u r u m ĩ
kurusá	k u r u s a
maitaka	m a i t a k a
mamãu	m a m ã w
manaká	m a n a k a
manga	m ã ɡ a
manha	m a ɲ a
marakatĩ	m a r a k a t ĩ
membira	m e m b i ɾ a
mena	m ẽ n a
mikura	m i k u r a
misa	m i s a
mituú	m i t u u
miwá	m i w a
mungitá	m ũ ɡ i t a
murakimukũi	m u r a k i m u k ũ j
murakimusapiri	m u r a k i m u s a p i r i
murakipí	m u r a k i p i
murukuyá	m u r u k u j a
musasá	m u s a s a
mú	m u
naná	n a n a
ne	n e
nheenga	ɲ e ẽ ɡ a
nheengatú	ɲ e ẽ ɡ a t u
papera	p a p e r a
paraná	p a r a n a
paranã	p a r a n ã
paratú	p a r a t u
pará	p a r a
paya	p a j a
payangawa	p a j a n ɡ a w a
pe	p e
perereka	p e r e r e k a
peteka	p e t e k a
pisá	p i s a
pitanga	p i t ã ɡ a
pitima	p i t i m a
pitiú	p i t i u
pituna	p i t u n a
pituú	p i t u u
pixuna	p i ʃ u n a
praya	p r a j a
pupunha	p u p u ɲ a
puraké	p u r a k e
putira	p u t i ɾ a
puxiwera	p u ʃ i w e r a
puxí	p u ʃ i
puã	p u ã
pú	p u
riré	r i r e
sabãu	s a b ã w
sapukaya	s a p u k a j a
sarakura	s a r a k u r a
saruã	s a r u ã
sasá	s a s a
saurú	s a u r u
se	s e
semu	s e m u
semu	s ɛ m u
supapawa	s u p a p a w a
surara	s u r a r a
sí	s i
tapetí	t a p e t i
tapiira	t a p i i r a
tatú	t a t u
tawa	t a w a
tawá	t a w a
taíra	t a i ɾ a
teyupuya	t e j u p u j a
tipa	t i p a
tipiima	t i p i i m a
tukana	t u k a n a
tukuxí	t u k u ʃ i
tupana	t u p a n a
tupauku	t u p a u k u
uka	u k a
ukena	u k e n a
urubú	u ɾ u b u
wakarí	w a k a r i
wakurawá	w a k u ɾ a w a
wapuí	w a p u i
wasaí	w a s a i
waxinĩ	w a ʃ i n ĩ
wayawa	w a j a w a
xawí	ʃ a w i
xibuí	ʃ i b u i
yakarewasú	j a k a r e w a s u
yandara	j ã d a r a
yandé	j ã d e
yara	j a r a
yasi	j a s i
yasí	j a s i
yawara	j a w a r a
yepé	j e p e
yukwakú	j u k w a k u
