a	eː
aa	ɑ ʔ ɑ
abapical	æ b æ p ɪ k ɫ̩
abear	ə b ɛ ɚ
able	e ɪ̯ b ɫ̩
abode	ʔ ə b o ʊː d̥̚
abulia	ə b u l j ə
abysmal	ə b ɪ z m l̩
accelerometer	æ k s ɛ l ə ɹ ɑ m ə ɾ ɚ
accelerometer	ɪ k s ɛ l ə ɹ ɑ m ə ɾ ɚ
acceptability	æ k s ɛ p t ə b ɪ l ə ɾ i
accessibility	ə k s ɛ s ə b ɪ l ə ɾ i
accommodate	ə kʰ ɑ m ə d e ɪ t
accommodator	ə k ɑ m ə d e ɪ t ɚ
accordable	ə kʰ ɔ ɹ ɾ ə b ɫ̩
accordantly	ə kʰ ɔ ɹ ɾ ɨ̞ n ʔ ɫ i
accordion	ə k o ɹ d ɪ i̯ ə n
accordion	ə k o ɹ d ɪ i̯ n̩
accordion	ə k ɔ ɹ d ɪ i̯ ə n
accordion	ə k ɔ ɹ d ɪ i̯ n̩
accountability	ə k a ʊ ɾ̃ ə b ɪ l ə ɾ i
accountant	ə k æ ʊ n ʔ n̩ ʔ
accreditation	ə k ɹ ɛ ɾ ɪ t e ɪ ʃ ə n
accreditation	ə k ɹ ɛ ɾ ə t e ɪ ʃ ə n
accreditation	ə k ɹ e ɾ ə t æ ɪ ʃ ə n
ace	e ɪ̯ s
acerbity	ə s ɝ b ɪ ɾ i
achievement	ə t͡ʃʰ iː v m ɪ̈ n t̚
acknowledge	ə k n ɑ l ə d͡ʒ
acknowledge	ɪ k n ɑ l ɪ d͡ʒ
acknowledge	ə ɡ n ɑ l ə d͡ʒ
acknowledge	ɪ ɡ n ɑ l ɪ d͡ʒ
acknowledge	ɪ ɡ n ɑ l ə d͡ʒ
acolyte	æ k ə l ɐ ɪ t
act	æ k t
activism	æ k t ɪ v ɪ z m̩
activities	æ k t ɪ v ɪ ɾ i z
activities	æ k t ɪ v ə ɾ i z
activity	æ k t ɪ v ə ɾ i
activity	æ k t ɪ v ɪ ɾ i
actor	æ k tʰ ɚ
actor	æ k tʰ ɹ̩
actuator	æ k t͡ʃ u e ɪ ɾ ɚ
adam	æ ɾ m̩
adam	æ ɾ ə m
Adamsville	æ ɾ m̩ z v ɪ l
Adamsville	æ ɾ ə m z v ɪ l
adaptability	ə d æ p t ə b ɪ l ə ɾ i
added	æ ɾ ə d
added	æ ɾ ɪ d
added	a d ə d
added	a d ɪ d
Addison	æ ɾ ɪ s ə n
additive	æ ɾ ɪ t ɪ v
additive	æ ɾ ə t ɪ v
additive	æ ɾ ə ɾ ɪ v
adjudicator	ə d͡ʒ u d ɪ k e ɪ ɾ ɚ
administrative	ə d m ɪ n ə s t ɹ e ɪ ɾ ɪ v
admiral	æ d m ɹ ə l
adult	ə d ʌ ɫ t
adult	æ ɾ l̩ t
advance	ə d v ɛ ə n s
advance	ə d v ɛ ə n t s
advancement	æ d v ɛ ə n s m ə n t
advancement	ə d v ɛ ə n s m ə n t
advantage	ə d v æ n tʰ ɪ d͡ʒ
advantage	ə d v æ ɾ̃ ɪ d͡ʒ
adversity	æ d v ɝ s ɪ ɾ i
advert	æ d v ɝ t
advert	æ d v ɝ t
advertise	æ d v ɚ tʰ a ɪ̯ z
advertise	æ d v ɹ̩ tʰ a ɪ̯ z
Aelita	a ɪ̯ l i ɾ ə
aeronautics	ɛ ɚ o ʊ n ɔ ɾ ɪ k s
aerose	i ɹ ə ʊ z
afford	ə f o̞ ɹ d
after	ä f t ɚ
ag	e ɪ̯ ɡ
agenda	ə d͡ʒ ɛ n d ə
agenda	ə d͡ʒ ɪ̟ n d ə
agent	e ɪ̯ d͡ʒ ə n t
agent	e ɪ̯ d͡ʒ n̩ t
agglutinative	ə ɡ ɫ u t̚ n ə ɾ ɪ v
agglutinin	ə ɡ l uː ʔ n̩ ɪ n
agh	æː x
agh	æː
agility	ə d͡ʒ ɪ l ə ɾ i
aha	ɑ h ɑ
aha	ə h ɑ
ail	e ɪ̯ l
ailment	e ɪ̯ l m ə n t
ailment	e ɪ̯ l m n̩ t
aimer	e ɪ̯ m ɚ
aimer	e ɪ̯ m ɹ̩
air	ɛ ɚ
air	ɛ ɹ̩
air	e ɹ
airy	ɛ ˞ i
album	æ ɫ b̚ m̩
Alder	ɑ l d ɚ
Alder.	ɔ l d ɚ
alders	ɔ l d ɚ z
Alexander	æ l ɪ ɡ z e ə n d ɚ
Alexander	æ l ɪ ɡ z e ə n d ə
alexander	æ l ɪ ɡ z e ə n d ɚ
alexander	æ l ɪ ɡ z e ə n d ə
Alexanders	æ l ɪ ɡ z e ə n d ɚ z
Alexanders	æ l ɪ ɡ z e ə n d ə z
algorithm	æ ɫ ɡ ə ɹ ɪ ð m̩
all	ɔ ɫ
all	ɑ ɫ
all	ɒ ɫ
allergies	æ l ə d͡ʒ i z
