A	a
Abadiano	a β̞ a ð̞ i a n o
Abendu	a β̞ ẽ n̪ d̪ u
Abendualdi	a β̞ ẽ n̪ d̪ u a l̪ d̪ i
Abkhazia	a β̞ k a s̻ i a
Abkhazia	a β̞ x a s̺ i a
Abkhazia	a β̞ x a s̻ i a
Aboitiz	a β̞ o̞ i̯ t̪ i s̻
Abundi	a β̞ ũ n̪ d̪ i
Abundio	a β̞ ũ n̪ d̪ j o̞
Adolba	a ð̞ o̞ l β̞ a
Afganistan	a f ɣ̞ a n i s̺ t̪ ã n
Afganistanek	a f ɣ̞ a n i s̺ t̪ a n e k
Agirre	a ɣ̞ i r e̞
Agoitz	a ɣ̞ o i̯ t͡s̻
Ainara	a i̯ n a ɾ a
Ainhoa	a i̯ n o̞ a
Aintzane	ã ĩ̯ n t͡s̻ a n e̞
Aitor	a i̯ t̪ o̞ r
Albania	a l β̞ a n i a
Alemania	a l e m a n i a
Aljeria	a l x e ɾ i a
Aljeria	a l ʒ e ɾ i a
Altsasu	a l t͡s̺ a s̺ u
Altsasu	a l t͡s̻ a s̺ u
Altzaga	a l t͡s̻ a ɣ̞ a
Amaia	a m a i̯ a
Andaia	ã n̪ d̪ a i̯ a
Andaluzia	ã n̪ d̪ a l u s̻ i a
Ander	ã n̪ d̪ e̞ r
Andoain	ã n̪ d̪ o ã ĩ̯ n
Andorra	ã n̪ d̪ o r a
Angola	a ŋ ɡ o l a
Antartika	ã n̪ t̪ a r t̪ i k a
Antigua	ã n̪ t̪ i ɣ̞ w a
Antsoain	ã n t͡s̺ o ã ĩ̯ n
Antsoain	ã n t͡s̻ o ã ĩ̯ n
Antton	ã nʲ t͡ʃ õ̞ n
Antton	ã ɲ c õ̞ n
Antxieta	ã nʲ t͡ʃ j e̞ t̪ a
Araba	a ɾ a β̞ a
Arantzazu	a ɾ ã n t͡s̻ a s̺ u
Arantzazu	a ɾ ã n t͡s̻ a s̻ u
Arbona	a r β̞ o n a
Arellano	a ɾ e ʎ a n o
Aristotele	a ɾ i s̺ t̪ o̞ t̪ e̞ l e̞
Armenia	a r m e n i a
Aroztegi	a ɾ o s̺ t̪ e ɣ̞ i
Aroztegi	a ɾ o s̻ t̪ e ɣ̞ i
Arrangoitze	a r a ŋ ɡ o i̯ t͡s̻ e
Arrasate	a r a s̺ a t̪ e
Arrieta	a r i e t̪ a
Arrigorriaga	a r i ɣ̞ o̞ r i a ɣ̞ a
Artizarra	a r t̪ i s̻ a r a
Atena	a t̪ e̞ n a
Australia	a u̯ s̺ t̪ r a l i a
Austria	a u̯ s̺ t̪ r i a
Azerbaijan	a s̺ e r β̞ a i̯ d͡ʒ ã n
Azerbaijan	a s̻ e r β̞ a i̯ j ã n
Azerbaijan	a s̻ e r β̞ a i̯ ɟ ã n
Azkarate	a s̺ k a ɾ a t̪ e
Azkarate	a s̻ k a ɾ a t̪ e
Azkarraga	a s̻ k a r a ɣ̞ a
Azkoitia	a s̺ k o i̯ t̪ i a
Azkoitia	a s̻ k o i̯ t̪ i a
Azpeitia	a s̺ p e i̯ t̪ i a
Azpeitia	a s̻ p e i̯ t̪ i a
B	b e̞
Bangladesh	b a ŋ ɡ l a ð̞ e s̺
Barbuda	b a r β̞ u ð̞ a
Barrundia	b a r ũ n̪ d̪ i a
Basajaun	b a s̺ a d͡ʒ ã ũ̯ n
Basajaun	b a s̺ a j ã ũ̯ n
Basajaun	b a s̺ a x ã ũ̯ n
Basajaun	b a s̺ a ɟ ã ũ̯ n
Basusarri	b a s̺ u s̺ a r i
Beasain	b e a s̺ ã ĩ̯ n
Belgika	b e l ɣ̞ i k a
Berastegi	b e ɾ a s̺ t̪ e ɣ̞ i
Bergara	b e r ɣ̞ a ɾ a
Bernedo	b e r n e ð̞ o
Bidarte	b i ð̞ a r t̪ e
Bielorrusia	b i e l o r u s̺ i a
Bilbo	b i l β̞ o
Bizkaia	b i s̺ k a i̯ a
Bizkaia	b i s̻ k a i̯ a
Bolibar	b o l i β̞ a r
Bulgaria	b u l ɣ̞ a ɾ i a
Bulgarian	b u l ɣ̞ a ɾ i ã n
Cancer	k ã n s̺ e r
Cancer	k ã n s̻ e r
Capricornus	k a p r i k o r n u s̺
Corpus	k o r p u s̺
D	d̪ e̞
Danimarka	d̪ a n i m a r k a
Donostia	d̪ o n o s̺ t̪ i a
E	e̞
Eder	e̞ ð̞ e̞ r
Edorta	e̞ ð̞ o̞ r t̪ a
Eguberri	e ɣ̞ u β̞ e r i
Eibar	e i̯ β̞ a r
Ekuador	e k w a ð̞ o r
Elexpuru	e̞ l e̞ ʃ p u ɾ u
Elgoibar	e l ɣ̞ o i̯ β̞ a r
Enara	e̞ n a ɾ a
Eneko	e̞ n e̞ k o̞
Errenteria	e r ẽ n̪ t̪ e ɾ i a
Errumania	e r u m a n i a
Errusia	e r u s̺ i a
Ertzaintza	e r t͡s̻ ã ĩ̯ n t͡s̻ a
Eskibel	e s̺ k i β̞ e l
Eskozia	e̞ s̺ k o̞ s̻ i a
Eslovakia	e̞ z̺ l o̞ β̞ a k i a
Eslovenia	e z̺ l o β̞ e n i a
Espainia	e s̺ p a i̯ n i a
Espainia	e s̺ p a ɲ i a
Estonia	e s̺ t̪ o n i a
Estoniako	e̞ s̺ t̪ o̞ n i a k o̞
Estonian	e̞ s̺ t̪ o̞ n i ã n
Etsai	e̞ t͡s̺ a i̯
Etxague	e t͡ʃ a ɣ̞ u e
Etxano	e t͡ʃ a n o
Euskadi	e u̯ s̺ k a ð̞ i
Euskaltzaindia	e u̯ s̺ k a l t͡s̻ ã ĩ̯ n̪ d̪ i a
Euzkadi	e̞ u̯ s̻ k a ð̞ i
Ezkibel	e s̺ k i β̞ e l
Ezkibel	e s̻ k i β̞ e l
Ezpeleta	e s̺ p e l e t̪ a
Ezpeleta	e s̻ p e l e t̪ a
Eztegui	e̞ s̻ t̪ e̞ ɣ̞ u i̯
F	e̞ f e̞
Filipinak	f i l i p i n a k
Finlandia	f ĩ n l ã n̪ d̪ i a
Frantzia	f r ã n t͡s̻ i a
G	ɡ e̞
GGI	ɡ e ɣ̞ e i
Galdakao	ɡ a l̪ d̪ a k a o
Gales	ɡ a l e̞ s̺
Garbiñe	ɡ a r β̞ i ɲ e̞
Garikoitz	ɡ a ɾ i k o i̯ t͡s̻
Garizuma	ɡ a ɾ i s̻ u m a
Gasteiz	ɡ a s̺ t̪ e i̯ s̺
Gasteiz	ɡ a s̺ t̪ e i̯ s̻
Gaztela	ɡ a s̺ t̪ e l a
Gaztela	ɡ a s̻ t̪ e l a
Gebara	ɡ e β̞ a ɾ a
Georgia	ɡ e o r ɣ̞ i a
Geraxane	ɡ e̞ ɾ a ʃ a n e̞
German	ɡ e̞ r m ã n
Germana	ɡ e r m a n a
Gernika	ɡ e r n i k a
Getaria	ɡ e t̪ a ɾ i a
Ghana	ɡ a n a
Ghanan	ɡ a n ã n
Gil	ɡ i l
Gilermo	ɡ i l e̞ r m o̞
Gilermo	ɡ i ʎ e̞ r m o̞
Gillermo	ɡ i ʎ e r m o
Ginea	ɡ i n e a
Gipuzkoa	ɡ i p u s̺ k o a
Gipuzkoa	ɡ i p u s̻ k o a
Gipuzkoan	ɡ i p u s̻ k o̞ ã n
Giralda	ɡ i ɾ a l̪ d̪ a
Gisela	ɡ i s̺ e l a
Gixane	ɡ i ʃ a n e
Gizakunde	ɡ i s̺ a k ũ n̪ d̪ e
Gizakunde	ɡ i s̻ a k ũ n̪ d̪ e
Gizane	ɡ i s̺ a n e
Gizane	ɡ i s̻ a n e
Godantzia	ɡ o̞ ð̞ ã n t͡s̻ i a
Goikoetxea	ɡ o i̯ k o e t͡ʃ e a
Gorka	ɡ o r k a
Gorospe	ɡ o ɾ o s̺ p e
Grezia	ɡ r e s̺ i a
Grezia	ɡ r e s̻ i a
H	a t͡ʃ e̞
H	ɦ a t͡ʃ e̞
Hendaia	h ẽ n̪ d̪ a i̯ a
Hendaia	ẽ n̪ d̪ a i̯ a
Herbehereak	e r β̞ e ɾ e a k
Herbehereak	h e r β̞ e h e ɾ e a k
Hungaria	h u ŋ ɡ a ɾ i a
Hungaria	u ŋ ɡ a ɾ i a
Hungariako	ũ ŋ ɡ a ɾ i a k o̞
Hungariako	ɦ ũ ŋ ɡ a ɾ i a k o̞
Hungarian	h u ŋ ɡ a ɾ i ã n
Hungarian	u ŋ ɡ a ɾ i ã n
I	i
Ibarreta	i β̞ a r e t̪ a
Idiazabal	i ð̞ i a s̺ a β̞ a l
Idiazabal	i ð̞ i a s̻ a β̞ a l
Iker	i k e r
Ilargia	i l a r ɣ̞ i a
Ilargia	i ʎ a r ɣ̞ i a
Imanol	i m a n o l
India	ĩ n̪ d̪ i a
Ingalaterra	i ŋ ɡ a l a t̪ e r a
Iran	i ɾ ã n
Iratxe	i ɾ a t͡ʃ e
Irlanda	i r l ã n̪ d̪ a
Irulegi	i ɾ u l e ɣ̞ i
Iruña	i ɾ u ɲ a
Iruñea	i ɾ u ɲ e a
Islandia	i z̺ l ã n̪ d̪ i a
Italia	i t̪ a l i a
Italian	i t̪ a l i ã n
Itsasu	i t͡s̺ a s̺ u
Itsasu	i t͡s̻ a s̺ u
Iturralde	i t̪ u r a l̪ d̪ e
Itxaso	i t͡ʃ a s̺ o
Itziar	i t͡s̻ i a r
Izaro	i s̺ a ɾ o
Izaro	i s̻ a ɾ o
Iñaki	i ɲ a k i
J	j o̞ t̪ a
J	x o̞ t̪ a
Japonia	d͡ʒ a p o n i a
Japonia	j a p o n i a
Japonia	ɟ a p o n i a
Jaungoikoa	d͡ʒ a u̯ ŋ ɡ o i̯ k o a
Jaungoikoa	j a u̯ ŋ ɡ o i̯ k o a
Jaungoikoa	x a u̯ ŋ ɡ o i̯ k o a
Jaungoikoa	ɟ a u̯ ŋ ɡ o i̯ k o a
Jon	d͡ʒ õ n
Jon	j õ n
Jon	ɟ õ n
Jone	d͡ʒ o n e
Jone	j o n e
Jone	ɟ o n e
Jordania	d͡ʒ o r ð̞ a n i a
Jordania	j o r ð̞ a n i a
Jordania	x o r ð̞ a n i a
Jordania	ɟ o r ð̞ a n i a
Jugoslavia	d͡ʒ u ɣ̞ o z̺ l a β̞ i a
Jugoslavia	j u ɣ̞ o z̺ l a β̞ i a
Jugoslavia	ɟ u ɣ̞ o z̺ l a β̞ i a
Jugoslavian	j u ɣ̞ o̞ z̺ l a β̞ i ã n
Julen	d͡ʒ u l ẽ n
Julen	j u l ẽ n
Julen	ɟ u l ẽ n
K	k a
Kamerun	k a m e ɾ ũ n
Kanbodia	k ã m b o ð̞ i a
Karmele	k a r m e l e
Karramarroa	k a r a m a r o a
Kartago	k a r t̪ a ɣ̞ o
Katalunia	k a t̪ a l u n i a
Kazakhstan	k a s̺ a x s̺ t̪ ã n
Kazakhstan	k a s̻ a k s̺ t̪ ã n
Kazakhstan	k a s̻ a x s̺ t̪ ã n
Kepa	k e p a
Kirgizistan	k i r ɣ̞ i s̺ i s̺ t̪ ã n
Kirgizistan	k i r ɣ̞ i s̻ i s̺ t̪ ã n
Koldo	k o l̪ d̪ o
Kordoba	k o r ð̞ o β̞ a
Kroazia	k r o a s̺ i a
Kroazia	k r o a s̻ i a
Kuba	k u β̞ a
