ah	a̤
ahn	ã̤
an	ã
aq	aˤ
aqn	ãˤ
aʼ	aˀ
Bh	b͡pʰ
bh	b͡pʰ
dc	d͡t ʃʼ
Dc	d͡t ʃʼ
dch	d͡t ʃʰ
Dch	d͡t ʃʰ
dh	d͡tʰ
Dh	d͡tʰ
djx	d͡t ʃᵡ
Ds	d͡t sʼ
ds	d͡t sʼ
dsh	d͡t sʰ
Dsh	d͡t sʰ
dsyh	d̻̊ s̻ʱ
dx	d͡tᵡ
eh	e̤
eʼ	eˀ
gh	ɡ͡kʰ
Gh	ɡ͡kʰ
gǀ	ᶢǀ
Gǀ	ᶢǀ
gǀh	ᶢᵏǀʰ
gǀk	ᶢᵏǀᵡʼ
gǀx	ᶢᵏǀᵡ
gǁ	ᶢǁ
Gǁ	ᶢǁ
gǁh	ᶢᵏǁʰ
gǁk	ᶢᵏǁᵡʼ
gǁx	ᶢᵏǁᵡ
gǂ	ᶢǂ
Gǂ	ᶢǂ
gǂh	ᶢᵏǂʰ
gǂk	ᶢᵏǂᵡʼ
gǂx	ᶢᵏǂᵡ
gǃ	ᶢǃ
Gǃ	ᶢǃ
gǃh	ᶢᵏǃʰ
gǃk	ᶢᵏǃᵡʼ
gǃkún	ᶢᵏǃ͡χʼ ṹ
gǃx	ᶢᵏǃᵡ
gǃòʼé	ᶢǃ òˀ é
ih	i̤
ihn	ĩ̤
in	ĩ
iʼ	iˀ
kh	kʰ
Kh	kʰ
kx	k xʼ
Kx	k xʼ
Mh	m̤
mh	m̤
mq	m̰
Mq	m̰
nǀ	ᵑǀ
Nǀ	ᵑǀ
nǀh	ᵑǀʱ
nǁ	ᵑǁ
Nǁ	ᵑǁ
nǁh	ᵑǁʱ
nǂ	ᵑǂ
Nǂ	ᵑǂ
nǂh	ᵑǂʱ
nǃ	ᵑǃ
Nǃ	ᵑǃ
nǃh	ᵑǃʱ
oh	o̤
ohn	õ̤
on	õ
oq	oˤ
oqn	õˤ
oʼ	oˀ
ph	pʰ
Ph	pʰ
Tc	t ʃ
tc	t ʃ
tch	t ʃʰ
Tch	t ʃʰ
tcx	t ʃᵡ
Th	tʰ
th	tʰ
tj	t ʃʼ
Tj	t ʃʼ
tk	tᵡʼ
Tsh	t sʰ
tsh	t sʰ
tsx	t sᵡ
tx	tᵡ
ty	c
ty	kʲ
tz	t sʼ
Tz	t sʼ
uh	ṳ
uhn	ṳ̃
un	ũ
uʼ	uˀ
ǀ	ᵏǀ
ǀh	ᵏǀʰ
ǀH	ᵏǀʰ
ǀk	ᵏǀᵡʼ
ǀK	ᵏǀᵡʼ
ǀx	ᵏǀᵡ
ǀʼ	ᵑ̊ ǀˀ
ǀʼh	ᵑ̊ ǀʰ
ǁ	ᵏǁ
ǁh	ᵏǁʰ
ǁH	ᵏǁʰ
ǁk	ᵏǁᵡʼ
ǁK	ᵏǁᵡʼ
ǁx	ᵏǁᵡ
ǁʼ	ᵑ̊ ǁˀ
ǁʼh	ᵑ̊ ǁʰ
ǂ	ᵏǂ
ǂh	ᵏǂʰ
ǂH	ᵏǂʰ
ǂk	ᵏǂᵡʼ
ǂK	ᵏǂᵡʼ
ǂx	ᵏǂᵡ
ǂʼ	ᵑ̊ ǂˀ
ǂʼh	ᵑ̊ ǂʰ
ǃ	ᵏǃ
ǃh	ᵏǃʰ
ǃH	ᵏǃʰ
ǃhú	ǃʰ ú
ǃk	ᵏǃᵡʼ
ǃK	ᵏǃᵡʼ
ǃx	ᵏǃᵡ
ǃʼ	ᵑ̊ ǃˀ
ǃʼh	ᵑ̊ ǃʰ
ǳx	d͡t sᵡ
