अं	ə̃ː
अंगः	ə̃ː ɡ əː
अंग्रेजी	ə̃ː ɡ ɾ e d͡ʑ iː
अउल	ə u l ə
अजा	ə d͡ʑ a
अजि	ə d͡ʑ i
अपा	ə p a
अबु	ə b u
अम्पि	ə m p i
अम्बः	ə m b əː
अय्	ɛː
अय्‌लाः	ɛː l aː
अर्थपूर्ण	ə ɾ tʰ ə p uː ɾ n ə
अलःमा	ə l əː m a
अल्याख	ə l j a kʰ ə
अहङ्कार	ə h ə ŋ k a ɾ ə
आइतबाः	a i t ə b aː
आखः	a kʰ əː
आफ्वः	a pʰ w ɔː
आम्पां	a m p ãː
आय्	æː
आलु	a l u
आलुपहः	a l u p ə h əː
इखुं	i kʰ ũː
इमा	i m a
इमू	i m uː
इसि	i s i
इस्लाम	i s l a m
इहिपा	i h i p a
ईं	ĩː
ईलचं	iː l ə t͡ɕ ə̃ː
उंथ	ũː tʰ ə
उसाँय्‌	u s æ̃ː
एय्	e ɛː
एला	e l a
ओहायो	o h a j o
कँय्	k ɛ̃ː
कःनि	k əː n i
कताँमरी	k ə t ã m ə ɾ iː
कथु	k ə tʰ u
कपा	k ə p a
कपाय्‌	k ə p æː
कय्‌मि	k ɛː m i
कल	k ə l ə
कलाः	k ə l aː
कल्किझंगः	k ə l k i d͡ʑʱ ə̃ː ɡ əː
कवं	k ə w ɔ̃ː
कस्ति	k ə s t i
कस्तिहा	k ə s t i h a
कापः	k a p əː
काय	k a j ə
कासा	k a s a
कि	k i
किं	k ĩː
किचः	k i t͡ɕ əː
किपू	k i p uː
किसि	k i s i
की	k iː
कुँ	k ũ
कुँइँ	k ũ ĩ
कुं	k ũː
कुचाखापा	k u t͡ɕ a kʰ a p a
कुलांझंगः	k u l ãː d͡ʑʱ ə̃ː ɡ əː
केब	k e b ə
क्वँय्	k w ɔ̃ ɛː
क्वँलःखा	k w ɔ̃ l əː kʰ a
क्वः	k w ɔː
क्वतः	k w ɔ t əː
क्वपुझ्याः	k w ɔ p u d͡ʑʱ j aː
क्वब्वाःलः	k w ɔ b w aː l əː
क्वासि	k w a s i
क्षितिज	t͡ɕʰ i t i d͡ʑ
खँग्वः	kʰ ə̃ ɡ w ɔː
खँग्वःसफू	kʰ ə̃ ɡ w ɔː s ə pʰ uː
खँत्वा	kʰ ə̃ t w a
खा	kʰ a
खाखिपः	kʰ a kʰ i p əː
खाता	kʰ a t a
खि	kʰ i
खिचा	kʰ i t͡ɕ a
खिपः	kʰ i p əː
खुकुं	kʰ u k ũː
खुसि	kʰ u s i
ख्युं	kʰ j ũː
ख्वबि	kʰ w ɔ b i
ख्वल्चाघाँय्	kʰ w ɔ l t͡ɕ a ɡʱ æ̃ː
ख्वाः	kʰ w aː
गंल्वय्	ɡ ə̃ː l w ɔ ɛː
गःपः	ɡ əː p əː
गल्छि	ɡ ə l t͡ɕʰ i
गल्लिछि	ɡ ə l l i t͡ɕʰ i
गसा	ɡ ə s a
गसु	ɡ ə s u
गा	ɡ a
गालि	ɡ a l i
गिसा	ɡ i s a
गुँजला	ɡ ũ d͡ʑ ə l a
गुं	ɡ ũː
गुनकेरा	ɡ u n ə k e ɾ a
गेँसु	ɡ ẽ s u
ग्याना	ɡ j a n a
ग्याये	ɡ j a j e
ग्वालि	ɡ w a l i
घः	ɡʱ əː
घःचा	ɡʱ əː t͡ɕ a
घाँय्	ɡʱ æ̃ː
घाः	ɡʱ aː
घौ	ɡʱ ə u
ङ	ŋ ə
चा	t͡ɕ a
चाःति	t͡ɕ aː t i
चाकः	t͡ɕ a k əː
चाकुहि	t͡ɕ a k u h i
चासु	t͡ɕ a s u
चाहिलिगु	t͡ɕ a h i l i ɡ u
चि	t͡ɕ i
चिं	t͡ɕ ĩː
चिकं	t͡ɕ i k ə̃ː
चिकंसि	t͡ɕ i k ə̃ː s i
चिकित्सक	t͡ɕ i k i t s ə k
चिकित्सालय	t͡ɕ i k i t s a l ə j ə
चिकुला	t͡ɕ i k u l a
चीन	t͡ɕ iː n ə
चुसि	t͡ɕ u s i
च्याकुं	t͡ɕ j a k ũː
च्वखँ	t͡ɕ w ɔ kʰ ə̃
च्वये	t͡ɕ w ɔ j e
च्वल्वहं	t͡ɕ w ɔ l w ɔ h ə̃ː
च्वापुखु	t͡ɕ w a p u kʰ u
च्वापुगुं	t͡ɕ w a p u ɡ ũː
च्वापुहुर	t͡ɕ w a p u h u ɾ ə
च्वाम्वःसा	t͡ɕ w a m w ɔː s a
च्वेगु	t͡ɕ w e ɡ u
छ	t͡ɕʰ ə
छिगु	t͡ɕʰ i ɡ u
छेँ	t͡ɕʰ ẽ
छेंगू	t͡ɕʰ ẽ ɡ uː
छ्यं	t͡ɕʰ j ə̃ː
जः	d͡ʑ əː
जलासें	d͡ʑ ə l a s ẽ
जवाःज्या	d͡ʑ ə w aː d͡ʑ j a
जाकि	d͡ʑ a k i
जि	d͡ʑ i
जिलंज्या	d͡ʑ i l ə̃ː d͡ʑ j a
जीस्वां	d͡ʑ iː s w ãː
जुजु	d͡ʑ u d͡ʑ u
जुये	d͡ʑ u j e
झंगः	d͡ʑʱ ə̃ː ɡ əː
झासु	d͡ʑʱ a s u
झिगु	d͡ʑʱ i ɡ u
झ्याः	d͡ʑʱ j aː
झ्वलझंगः	d͡ʑʱ w ɔ l ə d͡ʑʱ ə̃ː ɡ əː
झ्वाला	d͡ʑʱ w a l a
झ्वास्या	d͡ʑʱ w a s j a
ड्वाकु	ɖ w a k u
तँय्	t ɛ̃ː
तं	t ə̃ː
तःहाःनगु	t əː h aː n ə ɡ u
तकुस्वां	t ə k u s w ãː
तछ्व	t ə t͡ɕʰ w ɔ
तजिलजि	t ə d͡ʑ i l ə d͡ʑ i
तथ्याङ्क	t ə tʰ j a ŋ k ə
तनेज्या	t ə n e d͡ʑ j a
तपाय्	t ə p æː
तरवार	t ə ɾ ə w a ɾ ə
ता	t a
ताय्‌गःसिमा	t æː ɡ əː s i m a
ताल्ला	t a l l a
ति	t i
तिँधुँ	t ĩ dʱ ũ
तिबः	t i b əː
तिमिला	t i m i l a
तिसा	t i s a
तीमा	t iː m a
तुकं	t u k ə̃ː
तुति	t u t i
तुपः	t u p əː
तुयु	t u j u
त्वँसा	t w ɔ̃ s a
थां	tʰ ãː
थाय्	tʰ æː
थिँभः	tʰ ĩ bʱ əː
थ्व	tʰ w ɔ
दँ	d ə̃
दथु	d ə tʰ u
दनासु	d ə n a s u
दबलि	d ə b ə l i
दबू	d ə b uː
दां	d ãː
दाः	d aː
दिं	d ĩː
दुगःक्वँय्	d u ɡ əː k w ɔ̃ ɛː
दुगु	d u ɡ u
दुरु	d u ɾ u
दुरुल्वहं	d u ɾ u l w ɔ h ə̃ː
दुसिका	d u s i k a
दुसे	d u s e
देय्	d e ɛː
द्यःख्यालः	d j əː kʰ j a l əː
द्वहँ	d w ɔ h ə̃
धर्म	dʱ ə ɾ m ə
धुँ	dʱ ũ
ध्यबा	dʱ j ə b a
ध्वः	dʱ w ɔː
ध्वायेज्या	dʱ w a j e d͡ʑ j a
नँ	n ə̃
नकिं	n ə k ĩː
नखः	n ə kʰ əː
नगर	n ə ɡ ə ɾ ə
नगु	n ə ɡ u
नगुमां	n ə ɡ u m ãː
नये	n ə j e
नवःघाँय्	n ə w ɔː ɡʱ æ̃ː
नसात्वँसा	n ə s a t w ɔ̃ s a
नहाः	n ə h aː
नां	n ãː
निर्वाचन	n i ɾ w a t͡ɕ ə n ə
नुगः	n u ɡ əː
नुगःद्यः	n u ɡ əː d j əː
ने	n e
नेवाः	n e w aː
न्या	n j a
न्याकुं	n j a k ũː
न्वकू	n w ɔ k uː
न्ह	nʱ ə
न्हाय्	nʱ æː
न्हि	nʱ i
न्हिकांझंगः	nʱ i k ãː d͡ʑʱ ə̃ː ɡ əː
न्हु	nʱ u
न्हेकुं	nʱ e k ũː
न्हेपु	nʱ e p u
न्ह्यब्वसा	nʱ j ə b w ɔ s a
न्ह्याकं	nʱ j a k ə̃ː
न्ह्यापं	nʱ j a p ə̃ː
न्ह्यापंपिलि	nʱ j a p ə̃ː p i l i
पञ्जाबी	p ə n d͡ʑ a b iː
पतिं	p ə t ĩː
परमप्रभु	p ə ɾ ə m p ɾ ə bʱ u
पलः	p ə l əː
पलेस्वां	p ə l e s w ãː
पाः	p aː
पाहां	p a h ãː
पुलि	p u l i
पुलिक्वँय्	p u l i k w ɔ̃ ɛː
पे	p e
पेच	p e t͡ɕ ə
प्यकुं	p j ə k ũː
प्याखं	p j a kʰ ə̃ː
प्रवेग	p ɾ ə w e ɡ ə
प्वलाख	p w ɔ l a kʰ ə
फइ	pʰ ə i
फय्	pʰ ɛː
फय्‌खः	pʰ ɛː kʰ əː
फा	pʰ a
फि	pʰ i
फिगः	pʰ i ɡ əː
फिपू	pʰ i p uː
फिसःबुँ	pʰ i s əː b ũ
फुति	pʰ u t i
बंमेय्	b ə̃ː m e ɛː
बःसि	b əː s i
बःहँय्	b əː h ɛ̃ː
बखुं	b ə kʰ ũː
बनय्‌ज्या	b ə n ɛː d͡ʑ j a
बमू	b ə m uː
बला	b ə l a
बहनि	b ə h ə n i
बाः	b aː
बाजं	b a d͡ʑ ə̃ː
बिदा	b i d a
बिहिबाः	b i h i b aː
बुँछुँ	b ũ t͡ɕʰ ũ
बुँज्या	b ũ d͡ʑ j a
बुखँपौ	b u kʰ ə̃ p ə u
बुधबाः	b u dʱ ə b aː
बुलि	b u l i
बुसा	b u s a
बूबः	b uː b əː
बेला	b e l a
ब्यांचा	b j ãː t͡ɕ a
ब्यांपासि	b j ãː p a s i
ब्वह	b w ɔ h ə
ब्वहः	b w ɔ h əː
भातः	bʱ a t əː
भाय्	bʱ æː
भाय्‌लचं	bʱ æː l ə t͡ɕ ə̃ː
भाषा	bʱ a s a
भुखा	bʱ u kʰ a
भुखाचा	bʱ u kʰ a t͡ɕ a
भुतू	bʱ u t uː
भुयु	bʱ u j u
भुलूखा	bʱ u l uː kʰ a
भूगोल	bʱ uː ɡ o l
भौ	bʱ ə u
भ्वं	bʱ w ɔ̃ː
भ्वय्	bʱ w ɔ ɛː
मंगलबाः	m ə̃ː ɡ ə l ə b aː
मचा	m ə t͡ɕ a
मतिना	m ə t i n a
मतैक्य	m ə t ə i k j ə
मपउ	m ə p ə u
मयैगु	m ə j ə i ɡ u
महाराष्ट्र	m ə h a ɾ a s ʈ ɾ ə
मा	m a
माँ	m ã
माकःधुँ	m a k əː dʱ ũ
मि	m i
मिखा	m i kʰ a
मिजंमचा	m i d͡ʑ ə̃ː m ə t͡ɕ a
मिपुचः	m i p u t͡ɕ əː
मिसामचा	m i s a m ə t͡ɕ a
मुगः	m u ɡ əː
मे	m e
मेय्	m e ɛː
म्ये	m j e
म्वाय्	m w æː
म्ह	mʱ ə
म्हकुचा	mʱ ə k u t͡ɕ a
म्हगःस	mʱ ə ɡ əː s ə
म्हासु	mʱ a s u
म्हुतु	mʱ u t u
म्हुतुसि	mʱ u t u s i
म्ह्याय्	mʱ j æː
म्ह्य्‌खा	mʱ ɛː kʰ a
या	j a
यानाति	j a n a t i
यासु	j a s u
येँ	j ẽ
येत्	j e t
रङ्ग	ɾ ə ŋ ɡ ə
लँ	l ə̃
लः	l əː
लःखः	l əː kʰ əː
लइँचा	l ə̃ i t͡ɕ a
लगानी	l ə ɡ a n iː
लघ्वातु	l ə ɡʱ w a t u
लहना	l ə h ə n a
ला	l a
लाकां	l a k ãː
लायेलामा	l a j e l a m a
ली	l iː
लुँ	l ũ
लुमन्ति	l u m ə n t i
लुसाः	l u s aː
लेताईगु	l e t a iː ɡ u
लैङ्गिक	l ə i ŋ ɡ i k
ल्याः	l j aː
ल्याःज्या	l j aː d͡ʑ j a
ल्वहं	l w ɔ h ə̃ː
ल्वहंचा	l w ɔ h ə̃ː t͡ɕ a
ल्वाभः	l w a bʱ əː
ल्ह	lʱ ə
ल्हाः	lʱ aː
ल्ह्वकफाक	lʱ w ɔ k ə pʰ a k ə
वचु	w ɔ t͡ɕ u
वसः	w ɔ s əː
वहः	w ɔ h əː
वा	w a
वांगु	w ãː ɡ u
वासा	w a s a
विचाः	w i t͡ɕ aː
विडूर	w i ɖ uː ɾ ə
शनिबाः	s ə n i b aː
शुक्रबाः	s u k ɾ ə b aː
सँ	s ə̃
सँक्वः	s ə̃ k w ɔː
संकिपा	s ə̃ː k i p a
संदेय्	s ə̃ː d e ɛː
सः	s əː
सख्वाःल्वहं	s ə kʰ w aː l w ɔ h ə̃ː
सन्त्रासि	s ə n t ɾ a s i
सफू	s ə pʰ uː
सफूधुकू	s ə pʰ uː dʱ u k uː
समाःज्वलं	s ə m aː d͡ʑ w ɔ l ə̃ː
सर्गः	s ə ɾ ɡ əː
सल	s ə l ə
सलाइ	s ə l a i
सा	s a
सि	s i
सिँ	s ĩ
सिनःसिँ	s i n əː s ĩ
सिन्हः	s i nʱ əː
सियु	s i j u
सी	s iː
सीजः	s iː d͡ʑ əː
सुपाँय्	s u p æ̃ː
सूर्द्य	s uː ɾ d j ə
सें	s ẽ
सो	s o
सोमबाः	s o m ə b aː
स्याउ	s j a u
स्याये	s j a j e
स्व	s w ɔ
स्वँ	s w ɔ̃
स्वकुं	s w ɔ k ũː
स्वां	s w ãː
स्वांमा	s w ãː m a
स्वाने	s w a n e
हँ	h ə̃
हँय्	h ɛ̃ː
हताः	h ə t aː
हथं	h ə tʰ ə̃ː
हलिम	h ə l i m ə
हा	h a
हाकु	h a k u
हासा	h a s a
हि	h i
हिँकिं	h ĩ k ĩː
हिति	h i t i
हेरा	h e ɾ a
ह्यांगु	h j ãː ɡ u
ह्वज्या	h w ɔ d͡ʑ j a
