ᄀᆞᄅᆞ	k ʌ l ʌ
ᄀᆞᄅᆞᄫᅵ	k ʌ̀ ɾ ʌ̀ β í
ᄀᆞᄅᆞᆷ	k ʌ̀ ɾ ʌ́ m
ᄀᆞᄅᆞ치다	k ʌ̀ l ʌ̀ t͡sʰ í t á
ᄀᆞᅀᆞᆶ	k ʌ̀ z ʌ̀ l h
ᄀᆞᅀᆞᆷ	k ʌ̀ z ʌ̀ m
ᄀᆞᆫ쟈ᇰ	k ʌ n t͡s j a ŋ
ᄀᆞᆲ	k ʌ l p
ᄀᆞᆲ다	k ʌ̌ l β t á
ᄀᆞᆷᄌᆞᆨ	k ʌ m t s ʌ k
ᄀᆞᆷ다	k ʌ m t a
ᄀᆞᆺᄇᆞ다	k ʌ s p ʌ t a
ᄀᆞᆺ다	k ʌ̌ z t á
ᄀᆞᇫ	k ʌ̌ z
ᄀᆞᇫ애	k ʌ̀ z ɣ á j
ᄀᆞ옳	k ʌ̀ ò l h
ᄀᆞ티	k ʌ tʰ i
ᄀᆡ약고	k ʌ j j a k k o
ᄂᆞᆶ	n ʌ́ l h
ᄂᆞᆾ	n ʌ̀ t͡sʰ
ᄂᆡ	n ʌ́ y
ᄂᆡᅀᅵᆯ	n ʌ j z i l
ᄃᆞᄫᆡ다	t ʌ β ʌ j t a
ᄃᆞᆯ	t ʌ́ l
ᄃᆞᆰ	t ʌ l k
ᄃᆞᆺ다	t ʌ̌ z t á
ᄃᆞ리다	t ʌ̀ l í t á
ᄆᆞᄅᆞᆷ	m ʌ̀ l ʌ́ m
ᄆᆞᅀᆞᆷ	m ʌ z ʌ m
ᄆᆞᆯ	m ʌ l
ᄆᆞ니다	m ʌ n i t a
ᄆᆡᅀᅵᆯ	m ʌ j z i l
ᄆᆡᇰᄀᆞ다	m ʌ̀ j ŋ k ʌ́ l t á
ᄇᆞᄅᆞᆷ	p ʌ l ʌ m
ᄇᆞᅀᆞ다	p ʌ z ʌ t a
ᄇᆞᆯ	p ʌ́ l
ᄇᆞᆲ다	p ʌ̌ l p t á
ᄇᆞᆶ	p ʌ̀ l h
ᄇᆡ	p ʌ j
ᄇᆡᄎᆡ	p ʌ̌ j t͡sʰ ʌ́ j
ᄇᆡᆨ	p ʌ́ j k
ᄉᆞ	s ʌ
ᄉᆞ	s ʌ̀
ᄉᆞᄆᆡ	s ʌ m ʌ j
ᄉᆞᄌᆞ	s ʌ t s ʌ
ᄉᆞᅀᅵ	s ʌ̀ z í
ᄉᆞᆰ	s ʌ l k
ᄉᆞᆱ다	s ʌ l m t a
ᄉᆞᆶ	s ʌ́ l h
ᄉᆞ과	s ʌ k w a
ᄉᆞ나희	s ʌ n a h ɨ j
ᄉᆞ라ᇰᄒᆞᆸ다	s ʌ l a ŋ h ʌ p t a
ᄉᆞ라ᇰᄒᆞ다	s ʌ l a ŋ h ʌ t a
ᄉᆞ시	s ʌ s i
ᄉᆡᆷ	s ʌ̌ j m
ᄉᆡᇰ각	s ʌ j ŋ k a k
ᄉᆡᇰ각ᄒᆞ다	s ʌ j ŋ k a k h ʌ t a
ᄌᆞᄂᆞᆨᄌᆞᄂᆞᆨ	t͡s ʌ̀ n ʌ̀ k t͡s ʌ̀ n ʌ̀ k
ᄌᆞᆽ다	t͡s ʌ t͡s t a
ᄌᆞ셕	t͡s ʌ s j ə k
ᄌᆞ조	t͡s ʌ t͡s o
