ܐܒ	o b
ܐܒܪܐ	a b r o
ܐܕܪ	o ð a r
ܐܘܪܗܝ	ʔ u r h o j
ܐܚܘܢܐ	a ħ u n o
ܐܚܢܐ	a ħ n a
ܐܝـܝܪ	i j a r
ܐܝܠܢ	i l ə n
ܐܠܗ	ʔ a l o h
ܐܠܗܐ	ʔ ɑ l o h o
ܐܠܗܐ	ʔ ɑ l o h e
ܐܠܦܐ	a l f o
ܐܡܐ	ʔ e m o
ܐܡܐ	ʔ e m a
ܐܢܐ	ʔ o n o
ܐܢܐ	ʔ ə n o
ܐܢܐ	n o
ܐܪܒܥܐ	a r b ʕ o
ܐܪܒܥܝ	a r b ʕ i
ܐܪܒܥܣܪ	a r b a ʕ s a r
ܐܫܘܛ	ə ʃ w ə tˤ
ܐܫܡܐ	ʔ ə ʃ m o
ܐܫܡܐ	ʔ ə ʃ m e
ܐܫܡܐ	ʔ ə ʃ m o
ܐܫܢܐ	ə ʃ n e
ܐܫܩܕ	ʔ ə ʃ q a ð
ܐܫܬܐ	ə ʃ t o
ܐܫܬܝ	ə ʃ t i
ܐܫܬܥܣܪ	ə ʃ t a ʕ s a r
ܒܚܪܐ	b a ħ r o
ܒܚܪܐ	b a ħ ɑ r e
ܒܚܬܐ	b ə ħ t o
ܒܟܫܐ	b a x t͡ʃ a
ܒܟܫܐ	b a x t͡ʃ a t
ܒܟܬ	b a x t
ܒܩܐ	b o q o
ܒܪܬܐ	b a r θ o
ܒܫܡ	b ə t͡ʃ ə m
ܒܫܡ	b ə t͡ʃ m e
ܓܒ	ɡ a b
ܓܘܗܪܐ	ɡ u h ɑ r e
ܓܘܗܪܐ	ɡ u h ɑ r a t
ܓܘܪܐ	ɡ a w r o
ܓܝܗܢܐ	ɡ i h ɑ n o
ܓܝܗܢܐ	ɡ i h ɑ n e
ܓܢܢܐ	ɡ ɑ n o n o
ܓܢܢܐ	ɡ ɑ n o n e
ܓܢܬܐ	ɡ a n θ o
ܓܢܬܐ	ɡ a n θ e
ܓܦܐ	ɡ e f o
ܓܦܐ	ɡ e f e
ܓܫܪܐ	ɡ ə ʃ r o
ܓܫܪܐ	ɡ ə ʃ r e
ܔܙܕܐܢ	d͡ʒ ə z d ɑ n
ܔܙܕܐܢ	d͡ʒ ə z d ɑ n a t
ܔܪܔܐ	d͡ʒ ə r d͡ʒ o
ܕܘܓܠܐ	d u ɡ l o
ܕܘܓܠܐ	d u ɡ l e
ܕܟܪܐ	d a x r o
ܕܟܪܐ	d a x r e
ܕܩܩܐ	d a q q a
ܕܩܩܬ	d a q q a t
ܕܪܒܝܢ	d o r b i n
