Ааӷәа	aː ʁʷ a
Адыгасеԥӄьы	a d ə ɣ a s e̞ pʰ qʲ ə
Азӷашәабла	a z ʁ a ʃʷ a b l a
Алагьыӄә	a l a ɡʲ ə qʷ
Аламаншәабла	a l a m a n ʃʷ a b l a
Алемқьери	a l e̞ m kʰʲ e̞ r ə j
Алџьазаир	a l d ʒ a z a j ə r
Арманшәабла	a r m a n ʃʷ a b l a
Арнауҭшәабла	a r n a w ə tʰ ʃʷ a b l a
Аусҭриа	a w ə s tʰ r ə j a
Афасыжь	a f a s ə ʒ
Баҟҟәы	b a qʼ qʼʷ ə
Баҭоӄәа	b a tʰ o̞ qʷ a
Баҭырбыф	b a tʰ ə r b ə f
Беданыӄәа	b e d a n ə qʷ a
Борежә	b o̞ r e̞ ʒʷ
Британиагьыӡа	b r i tʼ a n ə j a ɡʲ ə d z a
Былгаршәабла	b ə l ɡ a r ʃʷ a b l a
Гурџьышәабла	ɡ w ə r d ʒ ə ʃʷ a b l a
Гәымзаӷ	ɡʷ ə m z a ʁ
Дыԥшьоу	d ə pʰ ʃ o̞ w
Ебзыш	e̞ b z ə ʂ
Елҟан	e̞ l qʼ a n
Ерымхәа	e̞ r ə m χʷ a
Ехәыдшәабла	e̞ χʷ ə d ʃʷ a b l a
Зафҟара	z a f qʼ a r a
Зеиҫәа	z a j ɕʷ a
Ингылызшәабла	j ə n ɡ ə l ə z ʃʷ a b l a
Кьаб'ышәы	kʼʲ a bˤ ə ʃʷ ə
Лаҳшәабла	l a h ʃʷ a b l a
Лаӷ'әа	l a ʁˤʷ a
Мазҳар	m a z h a r
Мазҳаԥ	m a z h a pʰ
Маџьаршәабла	m a d ʒ a r ʃʷ a b l a
Мыҫаакьа	m ə ɕ aː kʲʼ a
П'ап'ыжә	pˤʼ a pˤʼ ə ʒʷ
Португаԯшәабла	pʼ o r tʼ u ɡ a ɬ ʃʷ a b l a
Уа	w a
Уаб'а	w a bˤ a
Урумшәабла	u r u m ʃʷ a b l a
Урысшәабла	w ə r ə s ʃʷ a b l a
Уыӷәа	w ə ʁʷ a
Франгьшәабла	f r a n ɡʲ ʃʷ a b l a
Хьырԥыҫ	χʲ ə r pʰ ə ɕ
Чохәа	t ʃʰ o̞ χʷ a
Чызамыӷәа	t ʃʰ ə z a m ə ʁʷ a
аамал	aː m a l
ааҭа	aː tʰ a
аб'а	a bˤ a
аб'аагьа	a bˤ aː ɡʲ a
аб'ажә	a bˤ a ʒʷ
аб'ацәиа	a bˤ a t ɕʰʷ ə j a
аб'ашь	a bˤ a ʃ
аб'аԥԯа	a bˤ a pʰ ɬ a
аб'ыб'	a bˤ ə bˤ
абзах	a b z a x
абӷьа	a b ʁʲ a
агьа	a ɡʲ a
агьары	a ɡʲ a r ə
агьарышь	a ɡʲ a r ə ʃ
агьашь	a ɡʲ a ʃ
агьашәуа	a ɡʲ a ʃʷ ə w a
агьаҟа	a ɡʲ a qʼ a
агьеишь	a ɡʲ e̞ j ʃ
агьеишьа	a ɡʲ e̞ j ʃ a
ада	a d a
адыга	a d ə ɣ a
адыгабза	a d ə ɣ a b z a
адәыҟа	a dʷ ə qʼ a
азаҭ	a z a tʰ
азмыҵьа	a z m ə t ɕʼ a
азӷа	a z ʁ a
азӷабза	a z ʁ a b z a
аламанбза	a l a m a n b z a
амелаҭ	a m e̞ l a tʰ
амԥа	a m pʰ a
ана	a n a
анақьа	a n a kʰʲ a
андық	a n d ə kʰ
анта	a n t a
анталааӷ'да	a n tʼ a l aː ʁˤ d a
антаҭа	a n tʼ a tʰ a
анҵә	a n t ɕʼʷ
анҵәгьыӷооны	a n t ɕʼʷ ɡʲ ə ʁ o̞ː n ə
анҵәгьыӷын	a n t ɕʼʷ ɡʲ ə ʁ ə n
анҵәых	a n t ɕʼʷ ə χ
анҵәыхооны	a n t ɕʼʷ ə χ o̞ː n ə
анҵәыхымҫәа	a n t ɕʼʷ ə χ ə m ɕʷ a
араԥбза	a r a pʰ b z a
арма	a r m a
арманбза	a r m a n b z a
армоу	a r m o̞ w
арнауҭ	a r n a w ə tʰ
арнауҭбза	a r n a w ə tʰ b z a
арӄан	a r q a n
асԯан	a s ɬ a n
атәамҫәа	a tʼʷ a m ɕʷ a
ау'ҟ'әа	a wˤ qˤʼʷ a
ауџы	a w ɖ ʐ ə
ашьа	a ʃ a
ашьабахәа	a ʃ a b a χʷ a
ашьын	a ʃ ə n
аҳах	a h a χ
аҳмақ	a h m a kʰ
аҳреҭ	a h r e̞ tʰ
аӄыл	a q ə l
аӡын	a d z ə n
аӷ'абзабзаҟа	a ʁˤ a b z a b z a qʼ a
аӷ'адаҟәа	a ʁˤ a d a qʼʷ a
аӷьа	a ʁʲ a
аӷәадан	a ʁʷ a d a n
аԥырамса	a pʰ ə r a m s a
аԯаапаџьа	a ɬ aː pʼ a d ʒ a
аԯмыӄ	a ɬ m ə q
аԯхаакьа	a ɬ χ aː kʼʲ a
аԯхаакьах	a ɬ χ aː kʼʲ a χ
аԯхьаакьа	a ɬ χʲ aː kʼʲ a
аԯҟаакьа	a ɬ qʼ aː kʼʲ a
б'а	bˤ a
б'агьаты	bˤ a ɡʲ a tʼ ə
б'агьашә	bˤ a ɡʲ a ʃʷ
б'ажә	bˤ a ʒʷ
б'афым	bˤ a f ə m
б'ашә	bˤ a ʃʷ
б'ашәы	bˤ a ʃʷ ə
б'аҟ'аҷа	bˤ a qˤʼ a t ʃʼ a
б'аҟ'ы	bˤ a qˤʼ ə
б'аҟ'ыԥха	bˤ a qˤʼ ə pʰ χ a
