Aagni	ɑː ɡ n i
B	b
C	t͡s
D	d
E	e
E	ɛ
F	f
Fooma	f oː m ɑ
G	ɡ
H	h
H	x
I	i
I	j
Iirâšǩ	iː r ɐ ʃ c͡ç
J	ʝ
Jååǥǥar	ʝ ɔː ɣː ɑ r
K	k
L	l
M	m
Njauddâm	ɲ ɑ u dː ɐ m
O	o
P	p
R	r
S	s
T	t
U	u
U	w
V	v
Z	z
b	b
c	t͡s
ceerkav	t͡s eː r k ɑ v
ceeʒʒaž	t͡s eː d͡zː ɑ ʒ
cââǥǥan	t͡s ɐː ɣː ɑ n
d	d
e	e
e	ɛ
f	f
g	ɡ
garmaan	ɡ ɑ r m ɑː n
gåårad	ɡ ɔː r ɑ d
h	h
h	x
i	i
i	j
j	ʝ
kluuǥǥai	k l uː ɣː ɑ i
koonǥõs	k oː n ɣ ɘ s
koǯǯ	k o d͡ʒː
kuõbǯǯ	k u̯ ɘ b d͡ʒː
kõʒʒ	k ɘ d͡zː
l	l
luõss	l u ɘ sː
m	m
manah	m ɑ n ɑ x
n	n
njuhčč	ɲ u h t͡ʃː
nõmm	n ɘ mː
p	p
papp	p ɑ pː
päärnaž	p aː r n ɑ ʒ
päärr	p aː rː
päärõõttâd	p aː r ɘː tː ɐ d
pååttaǩ	p ɔː tː ɑ c͡ç
s	s
smiâhh	s m i̯ ɐ xː
soorkõs	s oː r k ɘ s
sääldat	s aː l d ɑ t
t	t
truubšeǩ	t r uː b ʃ e c͡ç
u	u
u	w
v	v
villj	v i ʎː
võrr	v ɘ rː
võõri	v ɘː r i
z	z
Â	ɐ
Ä	a
Å	ɔ
Ååggašǩ	ɔː ɡː ɑ ʃ c͡ç
Åållaž	ɔː lː ɑ ʒ
Õ	ɘ
â	ɐ
ä	a
äkk	a kː
å	ɔ
õ	ɘ
õõđ	ɘː ð
Č	t͡ʃ
č	t͡ʃ
čiõlliǩ	t͡ʃ i ɘ lː i c͡ç
čäŋŋõõtti	t͡ʃ a ŋː ɘː tː i
čõrmm	t͡ʃ ɘ r mː
Đ	ð
đ	ð
Ŋ	ŋ
ŋ	ŋ
Š	ʃ
š	ʃ
Ž	ʒ
ž	ʒ
Ʒ	d͡z
Ǥ	ɣ
ǥ	ɣ
Ǧ	ɟ͡ʝ
ǧ	ɟ͡ʝ
Ǩ	c͡ç
ǩ	c͡ç
ǩiõll	c͡ç i ɘ ɫː
Ǯ	d͡ʒ
ǯ	d͡ʒ
ʒ	d͡z
