آش	ɑː ʃ
أوتي	uː t i
أوردي	o rː ɪ d i
إثم	ɪ θ m
إثم	ɪ θ ɪ m
إنترنت	ɪ n t ə r n ə t
إنجليزي	ɪ ŋ ɡ ɪ l eː z i
ابلة	ə b lˤ ə
اثول	ə θ w ə l
اجار	ə d͡ʒ ɑː r
اجار	ə t͡ʃ ɑː r
احنا	ə ħ n ə
اخترع	ɪ χ t ɪ r ə ʕ
اذون	ə ð uː n
استاذ	ɪ s t aː ð
استانس	ɪ s t a n ə s
استكان	ɪ s t ɪ k ɑː n
اشارة	ɪ ʃ ɑː r ə
اشكار	e ʃ k ɑː r
اشكرة	ə ʃ k ə r ə
اصنصير	ə sˤ a n sˤ eː r
اغراض	ə ʁ r ɑː ðˤ
اقزوز	ɡ z oː z
اقزوز	ɪ ɡ z oː z
ال	ɪ
ال	ʔ ɪ l
الاحد	ɪ l ə ħ ə d
الاربعا	ɪ l ə r b ɪ ʕ ə
الحين	ə l ħ i n
الحين	ɪ l ħ i n
الدنمارك	d ɪ n ɪ m ɑ r k
العراق	l ɪ ʕ r aː ɡ
العراق	ɪ l ɪ ʕ r aː ɡ
القطيف	ɪ l q ə tˀ i f
اليمعة	ɪ l j ɪ m ʕ ə
اليوم	ɪ l j oː m
انت	ɪ n t
انت	ɪ n t i
انت	ɪ n t ə
انتو	ɪ n t ə w
انتو	ɪ n t ʊ
انتي	ɪ n t i
انتي	ɪ n t ə j
انسدح	ɪ n s ɪ d ə ħ
انفش	ɪ n f ə ʃ
اهم	ʊ h ʊ m
اهمه	ʊ h m ə
اهو	ʊ h ʊ
اهوه	ʊ h w ə
اهي	ɪ h i
اهيه	ɪ h j ə
اوتوماتيك	o t o m ɑ t ɪ k
اوتوماتيك	o t o m ə t ɪ k
اوتوماتيك	oː t oː m ɑː t ɪ k
اچار	ə t͡ʃ ɑː r
باجة	b aː d͡ʒ ə
باجة	b aː t͡ʃ ə
باجلا	b ɑː d͡ʒ ɪ l l ə
باجي	b ɑː d͡ʒ i
بار	b ɑː r
باص	b ɑː sˤ
باق	b ɑː ɡ
بالطو	b ɑː lˤ tˤ oː
بالطو	b ɑː lˤ tˤ ə w
بالطو	b ɑː lˤ tˤ ʊ
بالول	b aː l uː l
بالي	b ɑː l i
باورة	b aː w r a
باچة	b aː t͡ʃ ə
باچر	b ɑː t͡ʃ i r
بدون	b ɪ d uː n
برا	b ə rː ə
بردة	b ɐ r d ə
بردة	p ɐ r d ə
بركان	b ʊ r k aː n
بريك	b r eː k
بشت	b ɪ ʃ t
بشتختة	b i ʃ t ə χ t ə
بطاط	b ʊ tˤ ɑː tˤ
بطل	b ə tˤ ə l
بطل	b ə tˤ ə lˤ
بطل	b ə tˤː ə l
بطل	b ə tˤː ə lˤ
بطل	b ʊ tˤ ʊ lˤ
بطيخ	b ə tˤː iː χ
بعد	b ə ʕ d
بعدين	b ə ʕ d eː n
بغى	b ɪ ʁ ə
بلبلة	b ə l b ə l ə
بلش	b ə l l ə ʃ
بلنتي	b ə l ə n t i
بليل	b ɪ lː eː l
بنديرة	b ɪ n d eː r ə
بنسل	b ɪ n s ɪ l
بنسل	p ɪ n s ɪ l
بنطرون	b ə n tˤ ə r oː n
بهار	b h ɑː r
بهمن	b ə h m ə n
بورصة	b oː r sˤ ə
بوسة	b oː s ə
بوعرام	b u ʕ ə r r aː m
بوفيه	b o f e
بوك	b uː k
بومة	b uː m ə
بيالة	b i j ɑː l a
بيبي	b e b i
بيمة	b iː m ə
بچى	b ɪ t͡ʃ ə
تأتأة	t ə ʔ t ə ʔ ə
تانكي	t ɑː n k i
تاير	t ɑ j ɪ r
تبة	t ə b b ə
تبريز	t ə b r i z
تجوري	t ə d͡ʒ uː r i
تجوري	t ɪ d͡ʒ uː r i
تحت	t ɐ ħ ə t
تحلطم	t ħ ə ɫ tˤ ə m
تحلطم	t ə ħ ə ɫ tˤ ə m
تحلطم	t ə ħ ə ɫ tˤ ɪ m
تحلطم	t ə ħ ə ɫ tˤ ʊ m
تدوده	t d oː d ə h
تدوده	t ə d oː d ə h
تراب	t r aː b
ترانزيت	t r ɑː n z eː t
ترمس	t ɪ r m ə s
ترمس	t ʊ r m ə s
ترچية	t ɪ r t͡ʃ iː j ə
ترچية	t ʊ r t͡ʃ iː j ə
تسبح	t ə s ə bː ə ħ
تعبان	t ə ʕ b ɑː n
تقليد	t ə q l iː d
تقليد	t ə ʁ l iː d
تكا	t ə k k ə
تكانة	t ɪ k ɑː n ə
تكرون	t ə k ə r w ə n
تمبل	t ə m b ə l
تمبل	t ə n b ə l
تمشى	t ə m ə ʃː ə
تمقظ	t ə m ə qː ə ðˤ
تنديل	t ɪ n d eː l
توست	t oː s t
توهق	t ə w ə hː ə ɡ
تيشيرت	t iː ʃ eː r t
تيلة	t iː l ə
تيلة	t iː l ə t
ثانية	θ ɑː n j ə
ثعلب	θ ə ʕ l ə b
ثقيل	ð ɡ i l
ثقيل	θ ɡ iː l
جار	d͡ʒ ɑ r
جاس	d͡ʒ ɑː s
جالبوت	d͡ʒ aː l b oː t
جامة	d͡ʒ ɑː m ə
جامة	d͡ʒ ɑː m ə t
جبن	d͡ʒ ɪ b ɪ n
جدام	d͡ʒ ɪ dː ɑ m
جدر	d͡ʒ ɪ d ɪ r
جزاف	j ə z z aː f
جعص	d͡ʒ ɪ ʕ sˤ
جكر	d͡ʒ ɪ k ɪ r
جليب	d͡ʒ ɪ l iː b
جليد	d͡ʒ ə l iː d
جمعية	d͡ʒ ə m ʕ iː j ə
جناية	d͡ʒ ɪ n ɑː j ə
جناية	d͡ʒ ɪ n ɑː j ə t
جنطة	d͡ʒ ə n tˤ ə
جوتي	d͡ʒ uː t i
جونقر	d͡ʒ oː ŋ ɡ ə r
جيكر	d͡ʒ eː k ə r
حارة	ħ ɑː r ə
حارة	ħ ɑː rː ə
حاس	ħ ɑː s
حاش	ħ ɑː ʃ
حامض	ħ ɑː m ɪ ðˤ
حبر	ħ ɪ b ɪ r
حجاب	ħ d͡ʒ ɑː b
حجي	ħ ə d͡ʒː i
حدث	ħ ə d ə θ
حرامي	ħ ə r ɑː m i
حرق	ħ ə r ɡ
حرق	ħ ɪ r ə ɡ
حريجة	ħ ə r i d͡ʒ ə
حريم	ħ ə r iː m
حش	ħ ə ʃ
حش	ħ ə ʃ ʃ
حشو	ħ ə ʃ ʊ
حط	ħ ə tˤː
حفر	ħ ə f ə r
حفر	ħ ɪ f ə r
حقر	ħ ɪ ɡ ə r
حكوك	ħ ə k uː k
حلاو	ħ ə l ɑː w
حلج	ħ ə l d͡ʒ
حلمان	ħ ə l m aː n
حلو	ħ ɪ l ʊ
حلوج	ħ l uː d͡ʒ
حمارة	ħ m aː r ə
حمرة	ħ ə m r ə
حمرة	ħ ʊ m r ə
حمسة	ħ m ɪ s ə
