аба	ä b ä
Ага	ä ɢ ä
агаар	a ɢ aː r
Ази	aː z i
аймаг	a͜i m a ɢ
алаха	a l a χ a
Анаа	ä n äː
арбан	ä r b ä n
бадма	b a d m a
Базар	b ä z ä r
Байгал	b ɛː ɢ a l
байха	b ɛː χ ä
бариха	b a r i χ a
баруун	b a r ʊː n
би	b i
бидэ	b i d e
биологи	bʲ ɔː l ɔː ɡ i
боло	b ɔ l ɔ
болон	b ɔ l ə n
болохо	b ɔ l ɔ χ ɔ
бороо	b ɔ r ɔː
бурхан	b ʊ r χ a n
буряад	b ʊ rʲ aː d
Буряад	b ʊ rʲ aː d
буряадаар	b ʊ rʲ äː d äː r
буу	b ʊː
бэе	b ə j ə
Бээжэн	b eː ʒ e ŋ
Википеэди	v i k i pʲ eː d i
газар	ɢ a z a r
газетэ	ɡ a zʲ eː t e
гахай	ɢ a χ ɛː
гашуун	ɢ a ʃ ʊː n
гэр	ɡ e r
гэрнүүд	ɡ e r n uː d
долоон	d ɔ l ɔː n
Доржо	d ɔ r ʒ ɔ
дуратайб	d ʊ r a t ɛː b
дуулаха	d ʊː l a χ a
дуун	d ʊː n
дүүмэ	d uː m e
дэрэ	d e r e
ёлко	j ɔː l k ɔ
ёһоной	j ɔ h ɔ n œ͡ɛ
жажалха	ʒ a ʒ a l χ a
загаһа	z ä ɢ ä h ä
загаһан	z ä ɢ ä h ä n
загаһашан	z ä ɢ ä h ä ʃ ä n
Захаамин	z a χ aː m i n
зун	z ʊ ŋ
зураха	z ʊ r a χ a
зүгы	z u ɡ ɨː
зүүн	z uː ŋ
либерал	l i bʲ e r aː l
луу	l ʊː
манай	m a n ɛː
манжа	m a n ʒ a
минии	m i n iː
могой	m ɔ ɢ œ͡ɛ
модон	m ɔ d ɔ n
монгол	m ɔ ɴ ɢ ɔ l
Монгол	m ɔ ŋ ɢ ɔ l
монголоор	m ɔ ɴ ɢ ɔ l ɔː r
мори	m ɔ r i
морихон	m ɔ r i χ ɔ n
музей	m ʊ zʲ eː j
мэдэхэ	m e d e x e
мяхан	mʲ a χ a n
найман	n ɛː m a n
ном	n ɔ m
нэгэн	n e ɡ e n
областьдохи	ɔː b l ɔ s t i d ɔ x i
областьһоо	ɔː b l ɔ s t i h ɔː
одон	ɔ d ɔ n
ойрад	œ͡ɛ r a d
округһоо	ɔː k r ɔ ɢ h ɔː
Омскодо	ɔː m s k ɔ d ɔ
ородоор	ɔ r ɔ d ɔː r
орон	ɔ r ɔ n
Орос	ɔ r ɔ s
орос	ɔ r ɔ s
Оросой	ɔ r ɔ s œ͡ɛ
орохо	ɔ r ɔ χ ɔ
официальна	a f i t͜s aː lʲ n a
охихо	ɔ x i χ ɔ
өөлэд	ɵː l e d
пивэ	p iː v e
полк	p ɔː l k
республика	rʲ e s p ʊː b l i k a
Росси	r a s iː
Россиин	r a s iː n
сагаалган	s a ɢ aː l ɢ a n
сагаан	s a ɢ aː n
салуу	s a l ʊ
сан	s ä ɴ
сангаха	s a ŋ ɢ a χ a
сарюун	s a rʲ ʊ n
сая	s ä j ä
Сибирь	s i b iː rʲ
симфони	s i m f ɔː n i
соёл	s ɔ j ɔ l
сонин	s ɔ n i n
Сүхэ	s u x e
Сэлэнгэ	s e l e ŋ ɡ e
табан	tʰ ä b ä n
табангууд	t ä b ä ɴ ɢ ʊ̞ː d
толи	t ɔ l i
тугша	t ʊ ɢ ʃ a
тыквэ	t ɨː k v e
улаан	ʊ l äː n
улас	ʊ l ə s
улус	ʊ l ʊː s
ууха	ʊː χ a
уһан	ʊ h a n
үглөө	u ɡ l ɵː
Үдэ	u d e
үнэн	u n e n
үшөө	u ʃ oː
федераци	fʲ e dʲ e r aː t͜s a
хада	χ a d a
халбага	χ a l b a ɢ a
Хамни	χ ä m n i
харим	χ ä r i m
хоёр	χ ɔ j ɔ r
хоёрдугаар	χ ɔ j ɔ r d ʊ ɢ aː r
хото	χ ɔ t ɔ
хүбүүн	x u b uː n
хүн	x u n
хүүгэд	x uː x ə t
һалхин	h a l x i n
һамган	h ä m ɢ ä n
һара	h a r a
Швейцари	ʃ vʲ e j t͜s aː r i
штадууд	ʃ t aː d ʊː d
Шэтэ	ʃ e t e
энэ	e n e
Эрхүү	e r x uː
юм	j u m
ябаха	j a b a χ a
яблони	j aː b l a n i
