ƶ	ʐ
ааба	a a p a
абӷьы	a b ʁʲ ə
абельльи	a b e lʲ lʲ ə j
бжьба	p ʒ p a
абна	a b n a
агды	a ɡ d ə
гь	c
Гь	c
гә	kʷ
Гә	kʷ
агәарҭа	a ɡʷ a r tʰ a
ӷ	ʁ
Ӷ	ʁ
аӷу	ɑ ʁ ə w
ҕ	ʁ
Ҕ	ʁ
ӷь	ʁʲ
Ӷь	ʁʲ
Ӷь	ʝ
ӷә	ʁʷ
Ӷә	ʁʷ
Ӷә	ɣʷ
дә	dʷ
Дә	dʷ
жь	ʒ
Жь	ʒ
ажьа	a ʒ a
ажьырныҳәа	a ʒ ɨ r n ɨ ħʷ a
жә	ʒʷ
Жә	ʒʷ
жәаа	ʒʷ a a
жәаба	ʒʷ a p a
жәаха	ʒʷ a x a
жәаҩа	ʒʷ a ɥ a
жәба	ʒʷ p a
жәеиза	ʒʷ a j z a
жәибжь	ʒʷ ɨ j p ʒ
жәиԥшь	ʒʷ ɨ j pʰ ʃ
жәохә	ʒʷ a xʷ
зеижә	z a j ʒʷ
ҙ	ʑ
Ҙ	ʑ
Ҙә	ʑʷ
ҙә	ʑʷ
ӡ	d͜z
Ӡ	d͜z
аӡа	a d z a
аӡы	a d͡z ɨ
аӡын	a d z ə n
Ӡь	d ʑ
ӡь	d ʑ
ӡә	d͡ʑʷ
Ӡә	d͡ʑʷ
аӡәыцәи	a d͡ʑʷ ɨ t͡ɕʰʷ ɨ j
акы	a kʼ ɨ
кь	cʼ
Кь	cʼ
кә	kʼʷ
Кә	kʼʷ
Қ	kʰ
қ	kʰ
ақаанун	a kʰ aː n u n
қь	cʰ
Қь	cʰ
қә	kʷʰ
Қә	kʷʰ
ақәыџьма	a kʷ ə d͡ʒ m a
ҟ	qʼ
Ҟ	qʼ
ҟь	qʼʲ
Ҟь	qʼʲ
ҟә	qʼʷ
Ҟә	qʼʷ
аҟәараӷ	a qʼʷ a r a ʁ
амахәар	a m a χʷ a r
амени	a m e n i
амҳаҵә	a m ħ a t ɕʼʷ
амц	a m t͡s
амшынҳәа	ɑ m ʂ ɨ n ħʷ ɑ
амшә	a m ʃʷ
анашанаҟаҵаҩ	a n a ʂ a n a qʼ a t͡sʼ a ɥ
ԥ	pʰ
Ԥ	pʰ
аԥсыӡ	a pʰ s ə d͡z
аԥҳа	a p ħ a
аԥҳал	a pʰ ħ a l
ԥшьба	pʰ ʃ p a
аԥшьырҳа	a pʰ ʃ ə r ħ a
Ҧ	pʰ
ҧ	pʰ
асофра	a s o f r a
асууари	a s u w a r i j
ҫ	ɕ
Ҫ	ɕ
ҫә	ɕʷ
Ҫә	ɕʷ
тә	tʷʼ
Тә	tʷʼ
ҭ	tʰ
Ҭ	tʰ
аҭаацәа	a tʰ a a t͡ɕʷʰ a
ҭә	tʷʰ
Ҭә	tʷʰ
фба	f p a
аха	a x a
аха	a χ a
ахазына	a χ a z ə n a
ахамы	a χ a m ə
ахарҵәы	a χ a r t͡ɕʷ ɨ
ахаҳә	a x a ħʷ
хԥа	x pʰ a
ахҭарԥа	a χ tʰ a r pʰ a
ахш	a χ ʂ
ахы	a χ ə
ахыц	a χ ə t sʰ
ахҩа	a χ ɥˤ a
хь	ç
хә	ʍ
Хә	ʍ
хәба	xʷ p a
ахәмарра	a χʷ m a r r a
ахәхәа	a χʷ χʷ a
ахәшә	a χʷ ʃʷ
х'	χˤ
Х'	χˤ
х'ә	χˤʷ
Х'ә	χˤʷ
ах'әшә	a χˤʷ ʃʷ
ҳ	ħ
аҳа	a ħ a
аҳамҭа	a ħ a m tʰ a
аҳасабтә	a ħ a s a b tʷʼ ə
ҳә	ħʷ
Ҳә	ħʷ
аҳәа	a ħʷ ə
ац	a t͡s
ц	t͜sʰ
аца	a t sʰ a
ацыр	a t sʰ ə r
ць	t ɕʰ
Ць	t ɕʰ
цә	t͡ɕʷʰ
Цә	t͡ɕʷʰ
ҵ	t͜sʼ
Ҵ	t͜sʼ
аҵаа	a t sʼ a a
ҵь	t ɕʼ
Ҵь	t ɕʼ
