AFI	a f i
AINE	a i n e
ANDA	a n d a
ANP	a e n e p e
ARYM	a ɾ i m
ATE	a t e
AVE	a b e
Aarón	a a ɾ o n
Ababa	a b a b a
Abadiano	a b a d j a n o
Abadán	a b a d a n
Abadón	a b a d o n
Abanto	a b a n t o
Abarca	a b a ɾ k a
Abascal	a b a s k a l
Abdiel	a b d j e l
Abdías	a b d i a s
Abdón	a b d o n
Abeita	a b e i t a
Abel	a b e l
Abelardo	a b e l a ɾ d o
Abelito	a b e l i t o
Abellano	a b e ʝ a n o
Abello	a b e ʝ o
Abendaño	a b e n d a ɲ o
Abeyta	a b e i t a
Abigaíl	a b i ɡ a i l
Abimael	a b i m a e l
Abisinia	a b i s i n j a
Abiyán	a b i ʝ a n
Abjasia	a b x a s j a
Abner	a b n e ɾ
Aboitiz	a b o i t i θ
Abonce	a b o n θ e
Abraham	a b ɾ a a m
Abraham	a b ɾ a m
Abrahán	a b ɾ a a n
Abram	a b ɾ a m
Abrego	a b ɾ e ɡ o
Abreo	a b ɾ e o
Abrigo	a b ɾ i ɡ o
Abruzos	a b ɾ u θ o s
Absalón	a b s a l o n
Abundio	a b u n d j o
Abuya	a b u ʝ a
Abúndez	a b u n d e θ
Acajutla	a k a x u t l a
Acandí	a k a n d i
Acapulco	a k a p u l k o
Acaz	a k a θ
Acebedo	a θ e b e d o
Acebo	a θ e b o
Acedo	a θ e d o
Aceituno	a θ e i t u n o
Acelhuate	a θ e l w̝ a t e
Acero	a θ e ɾ o
Acevedo	a θ e b e d o
Aceves	a θ e b e s
Achí	a t͡ʃ i
Aconchi	a k o n t͡ʃ i
Acorda	a k o ɾ d a
Acosta	a k o s t a
Acra	a k ɾ a
Acrópolis	a k ɾ o p o l i s
Acuña	a k u ɲ a
Ada	a d a
Adalberto	a d a l b e ɾ t o
Adam	a d a m
Adame	a d a m e
Adela	a d e l a
Adelaida	a d e l a i d a
Adelardo	a d e l a ɾ d o
Adelia	a d e l j a
Adelina	a d e l i n a
Adelio	a d e l j o
Adelita	a d e l i t a
Adiel	a d j e l
Adigio	a d i x j o
Adiguesia	a d i ɡ e s j a
Adisoda	a d i s o d a
Adjuntas	a d x u n t a s
Adolfito	a d o l f i t o
Adolfo	a d o l f o
Adonai	a d o n a i
Adri	a d ɾ i
Adriana	a d ɾ j a n a
Adriano	a d ɾ j a n o
Adrián	a d ɾ j a n
Adviento	a d b j e n t o
Advíncula	a d b i n k u l a
Adán	a d a n
Adén	a d e n
Aedo	a e d o
Afanador	a f a n a d o ɾ
Afganistán	a f ɡ a n i s t a n
Afrodita	a f ɾ o d i t a
Agamenón	a ɡ a m e n o n
Agapito	a ɡ a p i t o
Agar	a ɡ a ɾ
Agaña	a ɡ a ɲ a
Agra	a ɡ ɾ a
Agramonte	a ɡ ɾ a m o n t e
Agredano	a ɡ ɾ e d a n o
Aguachica	a ɡ w a t͡ʃ i k a
Aguadas	a ɡ w a d a s
Aguado	a ɡ w a d o
Aguas	a ɡ w a s
Aguascalientes	a ɡ w a s k a l j e n t e s
Aguayo	a ɡ w a ʝ o
Aguiar	a ɡ j a ɾ
Aguilar	a ɡ i l a ɾ
Aguilares	a ɡ i l a ɾ e s
Aguilera	a ɡ i l e ɾ a
Aguillón	a ɡ i ʝ o n
Aguiluz	a ɡ i l u θ
Aguinaga	a ɡ i n a ɡ a
Aguinaldo	a ɡ i n a l d o
Aguirre	a ɡ i r e
Agundo	a ɡ u n d o
Agustina	a ɡ u s t i n a
Agustín	a ɡ u s t i n
Aguón	a ɡ w o n
Agún	a ɡ u n
Agúndez	a ɡ u n d e θ
Agüero	a ɡ w e ɾ o
Ahuachapán	a w a t͡ʃ a p a n
Ahumada	a u m a d a
Aija	a i x a
Aimar	a i m a ɾ
Ainara	a i n a ɾ a
Ainhoa	a i n o a
Aipe	a i p e
Aispuro	a i s p u ɾ o
Aitana	a i t a n a
Aitor	a i t o ɾ
Aión	a j o n
Ajanel	a x a n e l
Ajijic	a x i x i k
Akenatón	a k e n a t o n
Akinetón	a k i n e t o n
Alabama	a l a b a m a
Alajuela	a l a x w e l a
Alamilla	a l a m i ʝ a
Alamillo	a l a m i ʝ o
Alarcón	a l a ɾ k o n
Alaska	a l a s k a
Alatorre	a l a t o r e
Alavez	a l a b e θ
Alayón	a l a ʝ o n
Alba	a l b a
Albacete	a l b a θ e t e
Albania	a l b a n j a
Albano	a l b a n o
Albarracín	a l b a r a θ i n
Albarrán	a l b a r a n
Alberta	a l b e ɾ t a
Alberto	a l b e ɾ t o
Albina	a l b i n a
Albir	a l b i ɾ
Albireo	a l b i ɾ e o
Albornoz	a l b o ɾ n o θ
Albuquerque	a l b u k e ɾ k e
Alburquerque	a l b u ɾ k e ɾ k e
Albíter	a l b i t e ɾ
Alcaide	a l k a i d e
Alcalde	a l k a l d e
Alcalá	a l k a l a
Alcaraz	a l k a ɾ a θ
Alcatraz	a l k a t ɾ a θ
Alcauter	a l k a u t e ɾ
Alcira	a l θ i ɾ a
Alcmena	a l ɡ m e n a
Alcocer	a l k o θ e ɾ
Alcorcón	a l k o ɾ k o n
Alcorán	a l k o ɾ a n
Alcoser	a l k o s e ɾ
Alcoy	a l k o i
Alcubierre	a l k u b j e r e
Alcácer	a l k a θ e ɾ
Alcántara	a l k a n t a ɾ a
Alcázar	a l k a θ a ɾ
Alcívar	a l θ i b a ɾ
Aldaba	a l d a b a
Aldaco	a l d a k o
Aldama	a l d a m a
Aldana	a l d a n a
Alday	a l d a i
Aldebarán	a l d e b a ɾ a n
Aldeguer	a l d e ɡ e ɾ
Alderete	a l d e ɾ e t e
Aldo	a l d o
Ale	a l e
Alegre	a l e ɡ ɾ e
Alegría	a l e ɡ ɾ i a
Aleixandre	a l e i ɡ s a n d ɾ e
Alejandra	a l e x a n d ɾ a
Alejandrina	a l e x a n d ɾ i n a
Alejandro	a l e x a n d ɾ o
Alejandría	a l e x a n d ɾ i a
Alejandrópolis	a l e x a n d ɾ o p o l i s
Alejo	a l e x o
Alejándrez	a l e x a n d ɾ e θ
Alemania	a l e m a n j a
Alemán	a l e m a n
Alentejo	a l e n t e x o
Alepo	a l e p o
Alessandro	a l e s a n d ɾ o
Alexander	a l e ɡ s a n d e ɾ
Alexander	a l ɪ ɡ s e ə n d ɚ
Alexander	æ l ɪ ɡ s e ə n d ɚ
Alexandrescu	a l e ɡ s a n d ɾ e s k u
Alexis	a l e ɡ s i s
Alexópulos	a l e ɡ s o p u l o s
Alfaro	a l f a ɾ o
Alfonsina	a l f o n s i n a
Alfonso	a l f o n s o
