ա	ɑ
աա	ɑ ɑ
աաակ	ɑ ɑ ɑ ɡ
աաբ	ɑ ɑ pʰ ə
աագ	ɑ ɑ kʰ ə
աագխ	ɑ ɑ kʰ ə χ ə
աաի	ɑ ɑ i
աախ	ɑ ɑ χ ə
աած	ɑ ɑ d͡z ə
աակ	ɑ ɑ ɡ ə
աահ	ɑ ɑ h ə
աահհի	ɑ ɑ h ə h ə i
աան	ɑ ɑ n ə
աապ	ɑ ɑ b ə
աապբ	ɑ ɑ b ə pʰ ə
աապվ	ɑ ɑ b ə v ə
աառ	ɑ ɑ ɾ ə
աբա	ɑ pʰ ɑ
աբադան	ɑ pʰ ɑ tʰ ɑ n
աբական	ɑ pʰ ɑ ɡ ɑ n
աբայ	ɑ pʰ ɑ j
աբանոս	ɑ pʰ ɑ n ɔ s
աբաջյան	ɑ pʰ ɑ t͡ʃʰ j ɑ n
աբաս	ɑ pʰ ɑ s
աբասանոց	ɑ pʰ ɑ s ɑ n ɔ t͡sʰ
աբասթուման	ɑ pʰ ɑ s tʰ u m ɑ n
աբասի	ɑ pʰ ɑ s i
աբարան	ɑ pʰ ɑ ɾ ɑ n
աբարանցի	ɑ pʰ ɑ ɾ ɑ n t͡sʰ i
աբբա	ɑ pʰː ɑ
աբբահայր	ɑ pʰː ɑ h ɑ j ɾ
աբբայական	ɑ pʰː ɑ j ɑ ɡ ɑ n
աբբայարան	ɑ pʰː ɑ j ɑ ɾ ɑ n
աբբայություն	ɑ pʰː ɑ j u tʰ ʏ n
աբբայուհի	ɑ pʰː ɑ j u h i
աբգար	ɑ pʰ kʰ ɑ ɾ
աբեթ	ɑ pʰ ɛ tʰ
աբեթասունկ	ɑ pʰ ɛ tʰ ɑ s u ŋ ɡ
աբեթենի	ɑ pʰ ɛ tʰ ɛ n i
աբել	ɑ pʰ ɛ l
աբեղա	ɑ pʰ ɛ ʁ ɑ
աբեղաթող	ɑ pʰ ɛ ʁ ɑ tʰ ɔ ʁ
աբեղախոտ	ɑ pʰ ɛ ʁ ɑ χ ɔ d
աբեղաձագ	ɑ pʰ ɛ ʁ ɑ t͡sʰ ɑ kʰ
աբեղայական	ɑ pʰ ɛ ʁ ɑ j ɑ ɡ ɑ n
աբեղայակերպ	ɑ pʰ ɛ ʁ ɑ j ɑ ɡ ɛ ɾ b
աբեղայություն	ɑ pʰ ɛ ʁ ɑ j u tʰ ʏ n
աբեղացու	ɑ pʰ ɛ ʁ ɑ t͡sʰ u
աբեղուկ	ɑ pʰ ɛ ʁ u ɡ
