㟤	l ɔ k̚ ²
㾀	kʰ i a p̚ ⁵
䆀	b a i ³ ¹
一	i e k̚ ⁵
一	z i a k̚ ²
丁	t i ŋ ³ ⁵
七	t͡sʰ i e k̚ ⁵
七日瘡	t͡sʰ i e k̚ ⁵ z i e k̚ ² t͡sʰ ɔ ³ ⁵
丈	t ɔ ³ ³
丈	t͡s i a ŋ ³ ³
三	s a m ³ ⁵
三	s a ³ ⁵
三傅	s a ³ ⁵ ⁻ ³ ³ h u ³ ³
下旰	ɛ ³ ³ k u a ² ¹
不	p u k̚ ⁵
且	t͡sʰ ɛ ³ ¹
世	s i ² ¹
丙	p i a ³ ¹
丙	p i ŋ ³ ¹
中	t ɔ ŋ ³ ⁵
中央	t a ³ ⁵ ⁻ ³ ³ ɔ ³ ⁵
中央	t͡s ɔ ŋ ³ ⁵ ⁻ ³ ³ i a ŋ ³ ⁵
丹	t a ŋ ³ ⁵
主	t͡s i ³ ¹
主	t͡s u ³ ¹
久	k i u ³ ¹
久	k u ³ ¹
之	t͡s u ³ ⁵
乙	i e k̚ ⁵
乜候	m i ⁵ ⁵ h a u ³ ⁵
九	k a u ³ ¹
乞食	kʰ i e k̚ ⁵ t͡s i a ³ ³
事	s u ⁵ ⁵
二	l u ⁵ ⁵
二	n ɔ ³ ³
二	z i ³ ⁵
互	h u ³ ³
五	ŋ u ³ ¹
五	ŋ ɛ u ³ ³
井	t͡s i ŋ ³ ¹
井	t͡s ɛ ³ ¹
交	k i a u ³ ⁵
交睡交叫	k a ³ ⁵ ⁻ ³ ³ t͡s u ɛ ³ ⁵ k a ³ ⁵ ⁻ ³ ³ kʰ u ɛ ² ¹
亮	l i a ŋ ² ¹
人	n a ŋ ² ²
人	z i e ŋ ² ²
仁	z i e ŋ ² ²
今	k i m ³ ⁵
今旦	k i ŋ ³ ⁵ ⁻ ³ ³ n u a ² ¹
今早	k i ŋ ³ ⁵ ⁻ ³ ³ t͡s a ³ ¹
介	k a i ² ¹
付	h u ² ¹
仙	s i e ŋ ³ ⁵
仙桃	s i e ŋ ³ ⁵ ⁻ ³ ³ tʰ ɔ ² ²
代	t a i ³ ³
令	l i ŋ ³ ³
以	i ³ ¹
件	k i e ŋ ³ ³
任	z i m ³ ³
伊	i ³ ⁵
休	h i u ³ ⁵
伯公	p ɛ ⁵ ⁵ k ɔ ŋ ³ ⁵
伯爹	p ɛ ⁵ ⁵ t i a ³ ⁵
估	k u ³ ¹
估	k ɛ u ³ ¹
伴	pʰ u a ³ ³
但	t a ŋ ³ ³
位	u i ⁵ ⁵
住	t͡s i ³ ¹
何	h ɔ ² ²
佛	p u k̚ ²
佳	k a i ³ ⁵
使	s a i ³ ¹
使	s u ³ ¹
來	l a i ² ²
來去	l a i ⁵ ⁵ kʰ u ² ¹
例	l i ⁵ ⁵
例	l ɔ i ³ ⁵
侵	t͡sʰ i m ³ ⁵
俗	s ɔ k̚ ²
信	s i e ŋ ² ¹
修	s i u ³ ⁵
俱	k i ³ ³
倒	t a u ³ ¹
倒	t ɔ ² ¹
倒	t ɔ ³ ¹
值	t͡s i k̚ ²
假	k i a ² ¹
假	k ɛ ² ¹
假	k ɛ ³ ¹
偏	pʰ i e ŋ ³ ⁵
做七	t͡s ɔ ⁵ ⁵ t͡sʰ i e k̚ ⁵
做代	t͡s ɔ ⁵ ⁵ t a i ³ ³
做媒人	t͡s ɔ ² ¹ ⁻ ⁵ ⁵ b u ɛ ² ² n a ŋ ² ²
健	k i e ŋ ² ¹
傘	s a ŋ ² ¹
傘	s u a ² ¹
催	t͡sʰ u i ³ ⁵
傷	s i a ŋ ³ ⁵
傷	s i ɔ ³ ⁵
僅	k i e ŋ ³ ¹
價	k i a ² ¹
價	k ɛ ² ¹
儂	n a ŋ ² ²
儂	n ɔ ŋ ² ²
儂	n ɔ ŋ ² ¹
優	i u ³ ⁵
兄	h i a ³ ⁵
兄	h i ɔ ŋ ³ ⁵
先	s a i ³ ⁵
先	s i e ŋ ³ ⁵
光	k u a ŋ ³ ⁵
光	k u i ³ ⁵
免	m i e ŋ ³ ¹
兔	tʰ u ² ¹
兔	tʰ ɛ u ² ¹
入	z i p̚ ²
入棺	z i p̚ ² k u a ŋ ³ ⁵
入股	z i p̚ ² k u ³ ¹
內	l a i ³ ³
內	n u i ⁵ ⁵
全	t͡s u i ² ²
全	t͡sʰ i e ŋ ² ²
全日	t͡s u i ² ² z i e k̚ ²
兩	l i a ŋ ³ ¹
兩	l i ɔ ³ ¹
兩	n ɔ ³ ³
八	p ɔ i ⁵ ⁵
八月十五	p ɔ i ⁵ ⁵ b u ɛ ³ ³ t͡s a p̚ ² ŋ ɛ u ³ ³
公	k ɔ ŋ ³ ⁵
公爹	k ɔ ŋ ³ ⁵ ⁻ ³ ³ t i a ³ ⁵
公祖	k ɔ ŋ ³ ⁵ ⁻ ³ ³ t͡s ɛ u ³ ¹
公祖	k ɔ ŋ ³ ⁵ ⁻ ³ ³ t͡s ɛ u ⁵ ⁵
六	l a k̚ ²
六	l ɔ k̚ ⁵
共	k a ŋ ³ ⁵
共	k ɔ ŋ ³ ³
兵	p i a ³ ⁵
兵	p i ŋ ³ ⁵
其	kʰ i ² ²
具	k i ³ ³
冇	m a u ³ ⁵
冊	t͡sʰ e k̚ ⁵
冊	t͡sʰ ɛ ⁵ ⁵
再	t͡s a i ⁵ ⁵
冬	t a ŋ ³ ⁵
冬	t ɔ ŋ ³ ⁵
冰	p e ŋ ³ ⁵
冷	l a ŋ ⁵ ⁵
冷衫	l a ŋ ⁵ ⁵ s a ³ ⁵
凳	t i e ŋ ² ¹
出	t͡sʰ u k̚ ⁵
刀	t a u ³ ⁵
刀	t ɔ ³ ⁵
刀喙	t ɔ ³ ⁵ ⁻ ³ ³ t͡sʰ u i ² ¹
刀囝	t ɔ ³ ⁵ ⁻ ³ ³ k i a ³ ¹
刀砧	t ɔ ³ ⁵ ⁻ ³ ³ t i a m ³ ⁵
刀頭	t ɔ ³ ⁵ ⁻ ³ ³ tʰ a u ² ²
刃	z i e ŋ ³ ¹
分	b e ŋ ³ ⁵
分	h u ŋ ³ ³
分	h u ŋ ³ ⁵
分	p u ŋ ³ ⁵
刑	h i ŋ ² ²
列	l i e k̚ ²
初	t͡sʰ u ³ ⁵
初	t͡sʰ ɔ i ³ ⁵
初次	t͡sʰ ɔ ³ ⁵ t͡sʰ u ² ¹
刣	tʰ a i ² ²
利	l a i ³ ⁵
利	l i ⁵ ⁵
到	k a u ² ¹
到	t a u ² ¹
刷	s u a k̚ ⁵
刻	kʰ a k̚ ⁵
刻	kʰ e k̚ ⁵
剃頭刀	tʰ i ² ¹ ⁻ ⁵ ⁵ t͡s a u ² ² t ɔ ² ²
則	t͡s e k̚ ⁵
削	s i ɔ k̚ ⁵
前	t͡s a i ² ²
前	t͡sʰ i e ŋ ² ²
前前年	t͡s u ŋ ² ² t͡s u ŋ ² ² h i ² ²
前年	t͡s u ŋ ² ² h i ² ²
前頭	t͡s a i ² ² tʰ a u ² ²
剪	t͡s i e ŋ ³ ¹
副	h u ² ¹
力	l a k̚ ²
力	l i k̚ ⁵
功	k ɔ ŋ ³ ⁵
加	k i a ³ ⁵
加	k ɛ ³ ⁵
加工	k ɛ ³ ⁵ ⁻ ³ ³ k a ŋ ³ ⁵
劣	l u a k̚ ⁵
助	t͡s u ³ ³
動	t ɔ ŋ ³ ³
動	tʰ a ŋ ³ ³
務	m u ³ ³
勤	kʰ i e ŋ ² ²
包	p a u ³ ⁵
化	h u a ² ¹
北	p a k̚ ⁵
北	p e k̚ ⁵
北代	p a k̚ ⁵ t a i ³ ³
匠	t͡s i a ŋ ³ ³
匠	t͡sʰ i ɔ ³ ⁵
匾	p i e ŋ ³ ¹
十	s i p̚ ⁵
十	t͡s a p̚ ²
十八廿二	t͡s a p̚ ² p ɔ i ⁵ ⁵ z i p̚ ² z i ³ ⁵
千	t͡sʰ a i ³ ⁵
千	t͡sʰ i e ŋ ³ ⁵
千祈	t͡sʰ i e ŋ ³ ⁵ ⁻ ³ ³ kʰ i ² ²
午	ŋ u ³ ¹
半	p u a ² ¹
半	p u a ŋ ⁵ ⁵
半暝	p u a ² ¹ ⁻ ⁵ ⁵ m ɛ ² ²
半衣爿	p u a ² ¹ i ³ ⁵ p a i ² ²
卑	p u i ³ ⁵
卒	t͡s u k̚ ⁵
協	h i a p̚ ²
南	n a m ² ²
卦	k u a ² ¹
即	t͡s i e k̚ ⁵
即時	t͡s i e k̚ ⁵ s i ² ²
卵	n u a ŋ ³ ¹
卵	n u i ³ ³
卵糕	n u i ³ ³ k a u ³ ⁵
厚	h ɛ u ³ ³
厚	k a u ³ ³
厝	t͡sʰ u ² ¹
厝手	t͡sʰ u ² ¹ ⁻ ⁵ ⁵ t͡sʰ i u ³ ¹
原	z i e ŋ ² ²
去	kʰ u ² ¹
又	i u ³ ⁵
又	z i u ³ ³
及	k i p̚ ²
友	z i u ³ ¹
反	b a ŋ ³ ¹
叔孫	t͡s i p̚ ⁵ s u ŋ ³ ⁵
取	t͡sʰ i ³ ¹
受	s i u ³ ³
口	kʰ a u ³ ¹
古	k u ³ ¹
古	k ɛ u ³ ¹
召	t͡s i a u ³ ³
可	kʰ ɔ ³ ¹
右	i u ³ ³
司	s u ³ ⁵
吃	kʰ i e k̚ ⁵
各	k ɔ k̚ ⁵
吉	k i e k̚ ⁵
吊脰	t i a u ² ¹ ⁻ ⁵ ⁵ t a u ³ ⁵
同	t a ŋ ² ²
同	tʰ ɔ ŋ ² ²
同鞦	t a ŋ ² ² t͡sʰ i u ³ ⁵
名	m i a ² ²
名	m i ŋ ² ²
名聲	m i a ² ² s i a ³ ⁵
吟	n i m ² ²
吠	b i ŋ ⁵ ⁵
吠	kʰ i e ŋ ³ ¹
吠	p u i ³ ⁵
吳	ŋ u ² ²
吳	ŋ ɛ u ² ²
周	t͡s i u ³ ⁵
味	b i ⁵ ⁵
命	m i a ³ ⁵
命	m i ŋ ⁵ ⁵
咳嗽	k a ³ ⁵ ⁻ ³ ³ s a u ² ¹
哀	a i ³ ⁵
品	p i e ŋ ³ ¹
員	z i e ŋ ² ²
哥	k ɔ ³ ⁵
商	s i a ŋ ³ ⁵
問	b i e ŋ ⁵ ⁵
問	m u i ³ ⁵
啟	kʰ i ³ ¹
啱牙	ŋ a m ⁵ ⁵ ŋ ɛ ² ²
善	s i e ŋ ³ ³
喉	a u ² ²
喉口	a u ² ² kʰ a u ³ ¹
喉欖	a u ² ² l a m ³ ⁵
喜	h i ³ ¹
單	t a ŋ ³ ⁵
單目墘	t a ŋ ³ ⁵ ⁻ ³ ³ m a k̚ ² k i ² ²
嗎	m a ⁵ ⁵
嘉	k i a ³ ⁵
嘔奶	ɛ u ³ ¹ n ɛ ⁵ ⁵
器	kʰ i ² ¹
嚴	n i a m ² ²
四	s i ² ¹
四	s u ² ¹
四五	s u ² ¹ ⁻ ⁵ ⁵ ŋ u ³ ¹
四目	s i ² ¹ ⁻ ⁵ ⁵ m a k̚ ²
囝	k i a ³ ¹
回	h u i ² ²
回	h u ɛ ² ²
因	z i e ŋ ³ ⁵
國	k u e k̚ ⁵
國	k ɔ k̚ ⁵
圍	u i ² ²
圍爐	u i ² ² l ɛ u ² ²
圓	i ² ²
圓	z i e ŋ ² ²
團	tʰ u a ŋ ² ²
土	tʰ u ³ ¹
在	t͡s a i ³ ³
地	t i ³ ³
均	kʰ u ŋ ³ ⁵
坐	t͡s ɔ ⁵ ⁵
坐	t͡s ɛ ³ ³
坐監	t͡s ɛ ³ ³ k i a m ³ ⁵
坯	pʰ u ɛ ³ ⁵
型	h i ŋ ² ²
垢圿	k a u ³ ³ k ɔ i ⁵ ⁵
城	s i a ² ²
城	t͡sʰ i ŋ ² ²
執	t͡s i p̚ ⁵
堂	t ɔ ² ²
堂	tʰ a ŋ ² ²
堅	k i e ŋ ³ ⁵
堵	t u ³ ¹
塊	kʰ u a i ² ¹
塔	tʰ a p̚ ⁵
塔	tʰ a ⁵ ⁵
塕塵	i a ŋ ³ ⁵ ⁻ ³ ³ t i a ŋ ² ²
塗	tʰ u ² ²
塗	tʰ ɛ u ² ²
塗沙	tʰ ɛ u ² ² s u a ³ ⁵
塗鰡	tʰ ɛ u ² ² n i u ⁵ ⁵
填	tʰ i e ŋ ² ²
塾	s ɔ k̚ ⁵
增	t͡s e ŋ ³ ⁵
壞	h u a i ³ ⁵
壞	h u a i ⁵ ⁵
士	s u ³ ³
外	b u a ³ ⁵
外	ŋ u a i ⁵ ⁵
外家祖公	b u a ³ ⁵ ⁻ ³ ³ k ɛ ³ ⁵ t͡s ɛ u ³ ¹ ⁻ ⁵ ⁵ k ɔ ŋ ³ ⁵
外家祖婆	b u a ³ ⁵ ⁻ ³ ³ k ɛ ³ ⁵ t͡s ɛ u ³ ¹ ⁻ ⁵ ⁵ pʰ ɔ ² ²
多	t ɔ ³ ⁵
夜	z i ɛ ⁵ ⁵
夢	m a ŋ ³ ⁵
夢	m ɔ ŋ ⁵ ⁵
夢遺	m ɔ ŋ ⁵ ⁵ z i ² ²
大	t a i ⁵ ⁵
大	t u a ³ ⁵
大囝	t u a ³ ⁵ k i a ² ¹
大郎	t u a ³ ⁵ ⁻ ³ ³ n i ɔ ² ²
