accidenter	ɑ k s i d æ n t ɐ
ananas	z ɑ̃ n ɑ̃ n a
ancêtre	œ̃ n ‿ ɑ̃ s ɛ t ʁ
ancêtre	ɑ̃ s a e̯ t ʁ̥
anglaise	ã ɡ l a ɪ̯ z
anniversaire	a n i v ɛ ʁ s a ɛ̯ ʁ
arbre	z a b
arête	a ʁ ɛ tʰ
arête	a ʁ ɛ tʰ
arête	a ʁ ɛ ɪ̯ tʰ
asteur	a s t œ ɾ
astheure	a s t œ ɾ
aujourd'hui	o ʒ ɔ ɾ d ɥ ɪ
aujourd'hui	a ʒ ɔ ɾ d ɥ i
autre	o u̯ t ʁ
autre	ɔ t ɾ
baleine	b a l ɛ n
baleine	b a l ẽ ɪ̯̃ n
baleine	b a l æ̃ ɪ̯̃ n
baleine	b a l ã ɪ̯̃ n
baleine	b a l æ̃ ɪ̯̃ n ə̆
baptême	b a t ɛ̃ː m
baptême	b a t a ɛ̯ m
base	b ɑː z
base	b ɑ ʊ̯ z
bellastre	b ɛ l a s t ʁ ə
bibitte	b i b ɪ t
bibitte	b i b ɪ t
boète	b w a ɛ̯ t
boète	b w e i̯ t
boîte	b w a ɛ̯ t
bonjour	b õ ʒ u ə̯ ʁ
bonjour	b ɒ̃ ʊ̯̃ ʒ ʊ u̯ ʁ
bonjour	b ɔ̃ ʒ o ɾ
bonjour	b õ ʒ u ə̯ ʁ
bonjour	b ɒ̃ ʊ̯̃ ʒ ʊ u̯ ʁ
bonjour	b ɔ̃ ʒ o ɾ
bonsoir	b õ s w aː ʁ
bonsoir	b ɔ̃ s w ɑː ʁ
bonsoir	b ɒ̃ ʊ̯̃ s w ɔː ʁ
bonsoir	b ɒ̃ ʊ̯̃ s w ɒː ʁ
bonsoir	b ɒ̃ ʊ̯̃ s w ɛː ʁ
bonsoir	b ɔ̃ s w ɛː ɾ
bonsoir	b õ s w aː ʁ
bonsoir	b ɔ̃ s w ɑː ʁ
bonsoir	b ɒ̃ ʊ̯̃ s w ɔː ʁ
bonsoir	b ɒ̃ ʊ̯̃ s w ɒː ʁ
bonsoir	b ɒ̃ ʊ̯̃ s w ɛː ʁ
bonsoir	b ɔ̃ s w ɛː ɾ
bonsoir	b ɒ̃ ʊ̯̃ s w ɔː ʁ
bonsoir	b ɒ̃ ʊ̯̃ s w ɒː ʁ
bonsoir	b ɒ̃ ʊ̯̃ s w ɛː ʁ
bonsoir	b ɔ̃ s w ɛː ɾ
bougre	b u ɡ
bougre	b ʊ ɡ
bras	b ʁ ɑ
bras	b ʁ ɔ
bras	b ʁ ɑ
brin	b ɾ æ̃
business	b ɪ z n ɪ s
canada	k a n a d ɑ
canada	k a n a d ɔ
centre	s ɒ̃ t ʁ
centre	s ɒ̃ t χ
centre	s ɒ̃ t ʁ
centre	s ɒ̃ t χ
cher	ʃ æ
chose	ʃ o u̯ z
cinq	s ã̠ c
colère	k o l æ ɾ
cul	t͡ʃ y
cules	k y l
diable	d ʒ ɔ b
diable	d ʒ a w b
diable	d ʒ a b u l
dix	d͡z ɪ s
dix	d͡ʒ i s
dix	d͡z ɪ s
dix	d͡ʒ i s
écureuil	z i k i ɾ œ j
engatse	ɑ̃ ŋ ɡ a t s ə
enquête	ɑ̃ kʲ æ ɪ̯ t
ensemble	ɔ̃ s ɔ̃ m
espace	ɛ s p ɑː s
espace	ɛ s p ɑː s
étienne	e t s j ɛ n
être	a ɛ̯ t χ
européen	ø ʁ ɔ p e æ̃
européen	ø ʁ o̞ p e æ̃
européen	œ ʁ ɔ p e æ̃
européen	œ ʁ o̞ p e æ̃
européen	ø ʁ ɔ p e æ̃
européen	ø ʁ o̞ p e æ̃
européen	œ ʁ ɔ p e æ̃
européen	œ ʁ o̞ p e æ̃
européen	ø ʁ ɔ p e æ̃
européen	ø ʁ o̞ p e æ̃
européen	œ ʁ ɔ p e æ̃
européen	œ ʁ o̞ p e æ̃
européen	ø ʁ ɔ p e æ̃
européen	ø ʁ o̞ p e æ̃
européen	œ ʁ ɔ p e æ̃
européen	œ ʁ o̞ p e æ̃
européenne	ø ʁ ɔ p e ɛ n̪
européenne	ø ʁ o̞ p e ɛ n̪
européenne	œ ʁ ɔ p e ɛ n̪
européenne	œ ʁ o̞ p e ɛ n̪
européenne	ø ʁ ɔ p e ɛ n̪
européenne	ø ʁ o̞ p e ɛ n̪
européenne	œ ʁ ɔ p e ɛ n̪
européenne	œ ʁ o̞ p e ɛ n̪
européenne	ø ʁ ɔ p e ɛ n̪
européenne	ø ʁ o̞ p e ɛ n̪
européenne	œ ʁ ɔ p e ɛ n̪
européenne	œ ʁ o̞ p e ɛ n̪
européenne	ø ʁ ɔ p e ɛ n̪
européenne	ø ʁ o̞ p e ɛ n̪
européenne	œ ʁ ɔ p e ɛ n̪
européenne	œ ʁ o̞ p e ɛ n̪
européennes	ø ʁ ɔ p e ɛ n̪
européennes	ø ʁ o̞ p e ɛ n̪
européennes	œ ʁ ɔ p e ɛ n̪
européennes	œ ʁ o̞ p e ɛ n̪
européennes	ø ʁ ɔ p e ɛ n̪
européennes	ø ʁ o̞ p e ɛ n̪
européennes	œ ʁ ɔ p e ɛ n̪
européennes	œ ʁ o̞ p e ɛ n̪
européennes	ø ʁ ɔ p e ɛ n̪
européennes	ø ʁ o̞ p e ɛ n̪
européennes	œ ʁ ɔ p e ɛ n̪
européennes	œ ʁ o̞ p e ɛ n̪
européennes	ø ʁ ɔ p e ɛ n̪
européennes	ø ʁ o̞ p e ɛ n̪
européennes	œ ʁ ɔ p e ɛ n̪
européennes	œ ʁ o̞ p e ɛ n̪
fête	f ɑ ɪ̯ tʰ
fête	f a ɪ̯ tʰ
feutre	f œ t
fif	f ɪ f
fille	f ɪ j
français	f ɾ ɔ̃ s e
franglais	f ʁ ã ɡ l ɛ
gars	ɡ ɔ
gasly	ɡ a s l i
gracias	ɡ ʁ a s j ɑ
gracias	ɡ ʁ a s j ɔ
grèce	ɡ ʁ a ɛ̯ s
guimbler	ɡ æ̃ b l e
haja	h a ʒ a
haja	h æ ʒ æ
hami	ħ æ m i
haut	h o
haut	h o
hebs	ħ æ b s
hebs	ħ ɛ b s
herbe	z æ b
hiver	i v ɛː ʁ
hiver	i v e ɪ̯ ʁ
hiver	i v a ɛ̯ ʁ
hiver	i v æ ɾ
homs	ɔ m s
honte	h ɔ̃ n
huynh	ɥ ɪ n
huynh	h j uː ɪ n
jacmel	ʒ a k m ɛ l
jamais	ʒ ɑ̃ m e
jamais	h ɑ̃ m ɛ̃
jamais	ʒ ɔ̃ m ɛ̃
jaune	ʒ ɔ n ə
jaune	ʒ o u̯ n
joker	d ʒ o ʊ̯ k œ ʁ
lézard	l e z ɑ ɔ̯ ʁ
macaquerie	m a k a k r i
maître	m a ɛ̯ t ʁ
maître	m a ɛ̯ t ʁ
manger	m ɑ̃ː ʒ e
manière	m ɔ̃ j æ ɾ
matante	m a t ã t
même	m a ɛ̯ m
merci	m ɛ ʁ s i
merci	m æ ɾ s i
mercis	m ɛ r s i
moitié	m o t͡ʃ e
mononcle	m ɔ n ɒ̃ ʊ̯̃ k
oiseau	z w ɒ z o
oiseau	z o z o
ostie	ɔ s t͡s i
ouvrir	u v æ ɾ
ouvrir	ɾ u v ɾ ɪ ɾ
parapluies	p a ʁ a p l w i
parent	p a ʀ ã
pâte	p aː t
pâte	p ɑː t
pâte	p ɑ ʊ̯ t
pâte	p aː t
pâte	p ɑː t
pâte	p ɑ ʊ̯ t
pêche	p a ɪ̯ ʃ
pêche	p a ɪ̯ ʃ
petit	p ə t s i
point	p w ɛ̃ ɪ̃
poisson	p w a s ɔ̃
poutine	p u t͡s ɪ n
pouvoir	p u w ɒ ɾ
powoir	p u w ɒ ɾ
powoir	p o w ɒ ɾ
professeur	p χ ɔ f ɛ s ɑ œ̯ ɹ
quête	k a ɪ̯ t
quinteau	k ɛ̃ t o
quinteau	k ɛ̃ t i̯ o
quinteau	k ɛ̃ t i̯ ɔ u̯
reître	ʁ ɛː t ʁ̥ ɐ
reître	ʁ ɛ ɪ̯ t ʀ̥
reître	ʁ a ɪ̯ t ʁ̥
renard	ə ɾ ə n a ɾ
renne	ʁ ɛ n
renne	ʁ ɛ̃ ɪ̯̃ n
renne	ʁ ã ɪ̯̃ n
renne	ʁ ã ɪ̯̃ n
rescousse	ʀ ɛ s k ʊ s
sable	s ɑ ɔ̯ b l
sable	s a b
saigner	s æ̃ j e
seize	s a i z
septembre	s ɛ p t ɔ̃ m
septembre	s ɛ k t ɔ̃ m
soccer	s ɔ k ɚ
soccer	s ɔ k a œ̯ ʁ
soir	s w ɒ ɾ
suivre	s ɥ i v r
suivre	s ɥ i r
suivre	s w i r
tard	t ɑː ʁ
témoignage	t ɛ̃ m w ɑ̃ j a ʒ
tempête	t ɒ̃ p ɛ t
tempête	t ɒ̃ p ɛ̝ː t
tempête	t ã p ɛ ɪ̯ t
tempête	t ã p a ɪ̯ t
terre	t a ɛ̯ ʁ
terre	t æ ɛ̯ ʁ̥
terre	t æ ɾ
tête	t ɛ tʰ
tête	t ɛː tʰ
tête	t ɛː tʰ
tête	t ɛː tʰ
tête	t ɛ ɪ̯ tʰ
tête	t ɛ ɪ̯ tʰ
tête	t a ɪ̯ tʰ
tête	t a ɪ̯ tʰ
tête	t ɑ ɪ̯ tʰ
tête	t a ɪ̯ tʰ
tête	t æ ɪ̯ tʰ
théâtre	t e a t ʁ
théâtre	t e aː t ʁ̥
théâtre	t e aː t ʀ̥
théâtre	t e ɑː t ʁ̥
théâtre	t e ɑː t ʁ̥
théâtre	t e ɑ u̯ t ʁ̥
théâtre	t e ɑ u̯ t ʀ̥
trois	t ʁ w ɔ
tu	t͡s y
tu	t i
tu	t͡ʃ y
tuque	t s ʏ k
une	ʏ n
vendre	v ɔ̃ n
ville	v ɪ l
voir	v w ɒ ɾ
voyage	v o j a ʒ
voyage	v w ɒ j a ʒ
