㑚	n a ʔ ⁴
㘥	i u ¹ ³
㙍	t œ ʔ ² ¹
㬟	p ɛ ŋ ¹ ³
㰳	a ⁴ ²
㾪	ɬ ɛ ŋ ⁴ ⁵ ³
䍚瓢	l a ŋ ⁴ ² pʰ i e u ¹ ³
䖳	tʰ ɒ ⁴ ²
䗛	ɬ i u ⁵ ³ ³
䥕	pʰ ɛ ʔ ² ¹
䫌	pʰ e ⁴ ⁵ ³
䴉	h u a ŋ ¹ ³
一切	i ʔ ² ¹ ⁻ ⁴ ² t͡sʰ ɛ ʔ ² ¹
一半	ɬ ɔ ʔ ⁴ p u a ⁴ ²
一國	i ʔ ² ¹ ⁻ ⁴ ² k ɒ ʔ ² ¹
一國兩制	i ʔ ² ¹ ⁻ ⁴ ² k ɒ ʔ ² ¹ l y ɒ ŋ ⁴ ⁵ ³ ⁻ ¹ ¹ t͡s e ⁴ ²
一律	i ʔ ² ¹ ⁻ ⁴ ⁵ l ɔ ʔ ⁴
一月	i ʔ ² ¹ k u e i ¹ ¹
一百	ɬ ɔ ʔ ⁴ ⁻ ⁴ ² p a ¹ ¹
一等一	i ʔ ² ¹ t ɛ ŋ ⁴ ⁵ ³ ⁻ ¹ ³ i ʔ ² ¹
一致	i ʔ ² ¹ ⁻ ⁴ ⁵ t i ⁴ ²
丁	t ɛ ŋ ⁵ ³ ³
七	t͡sʰ i ʔ ² ¹
七十	t͡sʰ i ʔ ² ¹ ⁻ ⁴ ⁵ l ɛ ʔ ⁴
七十一	t͡sʰ i ʔ ² ¹ ⁻ ⁴ ⁵ l ɛ ʔ ⁴ ⁻ ⁴ ² i ʔ ² ¹
七十七	t͡sʰ i ʔ ² ¹ ⁻ ⁴ ⁵ l ɛ ʔ ⁴ ⁻ ⁴ ² t͡sʰ i ʔ ² ¹
七十三	t͡sʰ i ʔ ² ¹ ⁻ ⁴ ⁵ l ɛ ʔ ⁴ ⁻ ² ¹ ɬ ɒ ⁵ ³ ³
七十九	t͡sʰ i ʔ ² ¹ ⁻ ⁴ ⁵ l ɛ ʔ ⁴ ⁻ ² ¹ k a u ⁴ ⁵ ³
七十二	t͡sʰ i ʔ ² ¹ ⁻ ⁴ ⁵ l ɛ ʔ ⁴ ⁻ ⁴ ² t i ¹ ¹
七十五	t͡sʰ i ʔ ² ¹ ⁻ ⁴ ⁵ l ɛ ʔ ⁴ ⁻ ⁴ ² ŋ ɔ u ¹ ¹
七十八	t͡sʰ i ʔ ² ¹ ⁻ ⁴ ⁵ l ɛ ʔ ⁴ ⁻ ⁴ ² p e ¹ ¹
七十六	t͡sʰ i ʔ ² ¹ ⁻ ⁴ ⁵ l ɛ ʔ ⁴ ⁻ ² ¹ l a ʔ ⁴
七十四	t͡sʰ i ʔ ² ¹ ⁻ ⁴ ⁵ l ɛ ʔ ⁴ ɬ i ⁴ ²
七月半	t͡sʰ i ʔ ² ¹ ⁻ ⁴ k u e i ¹ ³ ⁻ ⁵ ⁵ m u a ⁴ ²
七果八齋	t͡sʰ i ʔ ² ¹ ⁻ ⁴ ⁵ k ɒ ⁴ ⁵ ³ p e ¹ ¹ ⁻ ⁵ ⁵ t͡s a i ⁵ ³ ³
万俟	p ɒ ʔ ⁴ ⁻ ² ¹ k i ¹ ³
丈	t i e u ¹ ¹
丈	t u ŋ ¹ ¹
丈	t y ɒ ŋ ¹ ¹
丈人公	t i e u ¹ ¹ n a ŋ ¹ ³ ⁻ ¹ ¹ k ɒ ŋ ⁵ ³ ³
丈儂公	t i e u ¹ ¹ n a ŋ ¹ ³ ⁻ ¹ ¹ k ɒ ŋ ⁵ ³ ³
丈夫	t a ʔ ⁴ ⁻ ² ¹ p ɔ u ⁵ ³ ³
丈姆	t i e u ¹ ¹ ŋ̍ ⁴ ⁵ ³
三	ɬ a ŋ ⁵ ³ ³
三	ɬ ɒ ⁵ ³ ³
三十	ɬ ɒ ⁵ ³ ³ ⁻ ¹ ¹ l ɛ ʔ ⁴
三十一	ɬ ɒ ⁵ ³ ³ ⁻ ¹ ¹ l ɛ ʔ ⁴ ⁻ ⁴ ² i ʔ ² ¹
三十七	ɬ ɒ ⁵ ³ ³ ⁻ ¹ ¹ l ɛ ʔ ⁴ ⁻ ⁴ ² t͡sʰ i ʔ ² ¹
三十三	ɬ ɒ ⁵ ³ ³ ⁻ ¹ ¹ l ɛ ʔ ⁴ ⁻ ² ¹ ɬ ɒ ⁵ ³ ³
三十九	ɬ ɒ ⁵ ³ ³ ⁻ ¹ ¹ l ɛ ʔ ⁴ ⁻ ² ¹ k a u ⁴ ⁵ ³
三十二	ɬ ɒ ⁵ ³ ³ ⁻ ¹ ¹ l ɛ ʔ ⁴ ⁻ ⁴ ² t i ¹ ¹
三十五	ɬ ɒ ⁵ ³ ³ ⁻ ¹ ¹ l ɛ ʔ ⁴ ⁻ ⁴ ² ŋ ɔ u ¹ ¹
三十八	ɬ ɒ ⁵ ³ ³ ⁻ ¹ ¹ l ɛ ʔ ⁴ ⁻ ⁴ ² p e ¹ ¹
三十六	ɬ ɒ ⁵ ³ ³ ⁻ ¹ ¹ l ɛ ʔ ⁴ ⁻ ² ¹ l a ʔ ⁴
三十四	ɬ ɒ ⁵ ³ ³ ⁻ ¹ ¹ l ɛ ʔ ⁴ ɬ i ⁴ ²
三十暝	ɬ ɒ ⁵ ³ ³ ⁻ ¹ ¹ l ɛ ʔ ⁴ ⁻ ² ¹ m a ¹ ³
三十暝昏	ɬ ɒ ⁵ ³ ³ ⁻ ¹ ¹ l ɛ ʔ ⁴ ⁻ ² ¹ m a ¹ ³ ⁻ ¹ ¹ u e i ⁵ ³ ³
三叉路	ɬ ɒ ⁵ ³ ³ ⁻ ¹ ¹ t͡sʰ ɒ ⁵ ³ ³ ⁻ ¹ ³ l ɔ u ¹ ¹
三叉路口	ɬ ɒ ⁵ ³ ³ ⁻ ¹ ¹ t͡sʰ ɒ ⁵ ³ ³ ⁻ ¹ ³ l ɔ u ¹ ¹ a u ⁴ ⁵ ³
三國	ɬ a ŋ ⁵ ³ ³ ⁻ ¹ ³ ŋ ɒ ʔ ² ¹
三明	ɬ a ŋ ⁵ ³ ³ ⁻ ¹ ¹ m i ŋ ¹ ³
三江口	ɬ a ŋ ⁵ ³ ³ ⁻ ¹ ¹ ŋ a ŋ ⁵ ³ ³ ⁻ ¹ ¹ ŋ a u ⁴ ⁵ ³
三牙	ɬ ɒ ⁵ ³ ³ ⁻ ¹ ¹ ɒ ¹ ³
三輦車	ɬ ɒ ⁵ ³ ³ ⁻ ¹ ¹ l œ ŋ ⁴ ⁵ ³ ⁻ ¹ ¹ n i a ⁵ ³ ³
三頓	ɬ ɒ ⁵ ³ ³ ⁻ ¹ ³ l ø ⁴ ²
三點水	ɬ ɒ ⁵ ³ ³ ⁻ ¹ ¹ l i ɛ ŋ ⁴ ⁵ ³ ⁻ ¹ ¹ n u i ⁴ ⁵ ³
上	t͡sʰ i e u ¹ ¹
上	ɬ i e u ¹ ¹
上	ɬ y ɒ ŋ ¹ ¹
上	ɬ y ɒ ŋ ⁴ ⁵ ³
上墓	ɬ i e u ¹ ¹ ⁻ ⁵ ⁵ m ɔ u ⁴ ²
上天	ɬ i e u ¹ ¹ tʰ i ŋ ⁵ ³ ³
上帝	ɬ y ɒ ŋ ¹ ¹ ⁻ ⁵ ⁵ n e ⁴ ²
上晝	ɬ i e u ¹ ¹ ⁻ ⁵ ⁵ l a u ⁴ ²
上海	ɬ y ɒ ŋ ¹ ¹ ŋ a i ⁴ ⁵ ³
上班	ɬ y ɒ ŋ ¹ ¹ m a ŋ ⁵ ³ ³
上童	ɬ i e u ¹ ¹ l ɒ ŋ ¹ ³
上課	ɬ y ɒ ŋ ¹ ¹ ⁻ ⁵ ⁵ kʰ ɒ ⁴ ²
上逕	ɬ i e u ¹ ¹ ⁻ ⁵ ⁵ i a ⁴ ²
上雞肉毹	t͡sʰ i e u ¹ ¹ k e ⁵ ³ ³ ⁻ ¹ ¹ n œ ʔ ⁴ ⁻ ² ¹ t͡s ɔ u ¹ ³
上黃疸	t͡sʰ i e u ¹ ¹ h ɒ ŋ ¹ ³ ⁻ ¹ ¹ t a ŋ ⁴ ⁵ ³
下	h a ¹ ¹
下	h ɒ ¹ ¹
下	k i a ¹ ¹
下	ɒ ¹ ¹
下丁下輩	ɒ ¹ ¹ l ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ ɒ ¹ ¹ ⁻ ⁵ ⁵ m u e i ⁴ ²
下丁輩	ɒ ¹ ¹ l ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ m u e i ⁴ ²
下令	h a ¹ ¹ ⁻ ⁴ ² l i ŋ ¹ ¹
下南	ɒ ¹ ¹ n a ŋ ¹ ³
下南兄	ɒ ¹ ¹ n a ŋ ¹ ³ ⁻ ¹ ¹ m i a ⁵ ³ ³
下南婆	ɒ ¹ ¹ n a ŋ ¹ ³ ⁻ ¹ ¹ m o ¹ ³
下口	ɒ ¹ ¹ a u ⁴ ⁵ ³
下工	ɒ ¹ ¹ a ŋ ⁵ ³ ³
下手	h ɒ ¹ ¹ l i u ⁴ ⁵ ³
下手	ɒ ¹ ¹ t͡sʰ i u ⁴ ⁵ ³
下晝	ɒ ¹ ¹ ⁻ ⁵ ⁵ l a u ⁴ ²
下期	ɒ ¹ ¹ i ¹ ³
下滿	ɒ ¹ ¹ m u a ⁴ ⁵ ³
下營	ɒ ¹ ¹ y ɒ ¹ ³
下班	h a ¹ ¹ a ŋ ⁵ ³ ³
下腹	ɒ ¹ ¹ ⁻ ⁴ ² a ʔ ² ¹
下頦	ɒ ¹ ¹ a i ¹ ³
下頭	ɒ ¹ ¹ l a u ¹ ³
不	h i e u ⁴ ⁵ ³
不	p ɔ ʔ ² ¹
不堪	p ɔ ʔ ² ¹ ⁻ ⁴ ⁵ kʰ a ŋ ⁵ ³ ³
不明	p ɔ ʔ ² ¹ ⁻ ⁴ ⁵ m i ŋ ¹ ³
不法	p ɔ ʔ ² ¹ ⁻ ⁴ ² h a ʔ ² ¹
不盡	p ɔ ʔ ² ¹ ⁻ ⁴ ² t͡s i ŋ ¹ ¹
不義	p ɔ ʔ ² ¹ ⁻ ⁴ ² k i ¹ ¹
不記	p ɔ ʔ ² ¹ ⁻ ⁴ ⁵ k i ⁴ ²
丐	k a i ⁴ ²
丑	tʰ i u ⁴ ⁵ ³
且	t͡sʰ i a ⁴ ⁵ ³
且等	t͡sʰ i a ⁴ ⁵ ³ ⁻ ¹ ¹ t ɛ ŋ ⁴ ⁵ ³
丕	pʰ i ⁴ ⁵ ³
世	ɬ e ⁴ ²
世	ɬ i ⁴ ²
世界	ɬ e ⁴ ² ⁻ ⁵ ⁵ a i ⁴ ²
丘	kʰ i u ⁵ ³ ³
丘	kʰ u ⁵ ³ ³
丙	p i a ⁴ ⁵ ³
丙	p i ŋ ⁴ ⁵ ³
並	p i ŋ ⁴ ²
並	pʰ i a ¹ ¹
丫頭	a ⁵ ³ ³ ⁻ ¹ ¹ l a u ¹ ³
中	t œ ŋ ⁴ ²
中	t œ ŋ ⁵ ³ ³
中	t ɒ ŋ ⁵ ³ ³
中介	t œ ŋ ⁵ ³ ³ ⁻ ¹ ³ k a i ⁴ ²
中午晝	t œ ŋ ⁵ ³ ³ ⁻ ¹ ¹ ŋ ɔ u ⁴ ⁵ ³ ⁻ ¹ ³ l a u ⁴ ²
中國	t œ ŋ ⁵ ³ ³ ⁻ ¹ ³ ŋ ɒ ʔ ² ¹
