'a	ʔ a
'e	ʔ e
'u	ʔ u
Amérika	a m e ɾ i k a
Arahentína	a ɾ a h eⁿ t i n a
Chíle	ɕ i l e
Epáña	e p a ɲ ã
Jasy	d͡ʒ a s ɨ
Ka'aguasu	k a ʔ a w a s u
Kolómbia	k o l oᵐ b j a
Méhiko	m e h i k o
Paraguay	p a ɾ a w a ɨ
Paraguái	p a ɾ a w a i
Pindoráma	p iⁿ d o ɾ a m a
Uruguái	u ɾ u w a i
Venesuéla	ʋ e n e s w e l a
Vikipetã	ʋ ĩ k ĩ p ẽ t ã
Vikiñe'ẽndy	ʋ ĩ k ĩ ɲ ẽ ʔ ẽⁿ d ɨ̃
ahy'o	a h ɨ ʔ o
akã	ã k̃ ã
akãrangue	ã k̃ ã ɾ̃ ãᵑ ɡʷ e
apu'a	a p u ʔ a
aranduka	a ɾ aⁿ d u k a
arandukakuéra	a ɾ aⁿ d u k a kʷ e ɾ a
ary	a ɾ ɨ
arykuéra	a ɾ ɨ kʷ e ɾ a
ava	a ʋ a
avakuaaty	a ʋ a k w a a t ɨ
avati	a ʋ a t i
avañe'ẽ	ʔ ã ʋ ã ɲ ẽ ʔ ẽ
che	ɕ ɛ
che	ʃ e
chendive	ʃ e n d i ʋ e
chupe	ʃ u p e
chéve	ʃ e ʋ e
guasu	w a s u
guata	ɰʷ a t a
guyrakuaaty	ɡ w ɨ ɾ a k w a a t ɨ
guyrakuaatykuéra	p i ɾ a k w a a t ɨ k w ɛ ɾ a
hague	h a ɰʷ e
haku	h a k u
hape	h a p e
hayhu	h a ɨ h u
hecha	h e ʃ a
heka	h e k a
hetãvore	h̃ ẽ t̃ ã ʋ̃ õ ɾ e
hikuái	h i k w a j
ho	h o
hovyngy	h o v ɨᵑ ɡ ɨ
héra	h e ɾ a
ichupe	i ʃ u p e
jaguakuéra	d͡ʒ a w a kʷ e ɾ a
jaguaru	ᵈj a ɰʷ a ɾ u
jaguarundi	d ʒ a ɡ w a ɾ uⁿ d i
jasy	d͡ʒ a s ɨ
jasykuéra	d͡ʒ a s ɨ kʷ e ɾ a
jerovia	ᵈj e ɾ o ʋ i a
juka	d͡ʒ u k a
juru	d͡ʒ u ɾ u
jurukuéra	d͡ʒ u ɾ u kʷ e ɾ a
juvy	j u ʋ ɨ
jyva	d͡ʒ ɨ ʋ a
jyvakuéra	d͡ʒ ɨ ʋ a kʷ e ɾ a
ka'aguasu	k a ʔ a w a s u
kakuaa	k a k u a a
kane'õ	k̃ ã n ẽ ʔ õ
karape	k a ɾ a p e
kavajukuéra	k a ʋ a d͡ʒ u kʷ e ɾ a
kichiha	k i ʃ i h a
ko'ẽrõ	k o ʔ ẽ ɾ̃ õ
koty	k o t ɨ
kotykuéra	k o t ɨ kʷ e ɾ a
kuaa	k w a a
kuimba'ekuéra	kʷ iᵐ b a ʔ e kʷ e ɾ a
kuimbaʼe	kʷ iᵐ b a ʔ e
kuimbe	kʷ iᵐ b e
kuimbekuéra	kʷ iᵐ b e kʷ e ɾ a
kupyju	k u p ɨᵈ j u
kure	k u ɾ e
kurekuéra	k u ɾ e kʷ e ɾ a
kururu	k u ɾ u ɾ u
kuña	k ũ ɲ ã
kuñanguéra	k ũ ɲ ã ŋʷ e ɾ a
kuñataĩ	k ũ ɲ ã t a ĩ
kuñataĩnguéra	k ũ ɲ ã t a ĩ ŋʷ e ɾ a
kytĩ	k ɨ t ĩ
mandyju	m aⁿ d ɨᵈ j u
marandukuaaty	m a ɾ aⁿ d u k w a a t ɨ
mayma	m a ɨ m a
mba'e	ᵐb a ʔ e
mba'épa	ᵐb a ʔ e p a
mbarakaja	ᵐb a ɾ a k a d͡ʒ a
mbarakajakuéra	ᵐb a ɾ a k a d͡ʒ a kʷ e ɾ a
mbo'e	ᵐb o ʔ e
mbo'ehao	ᵐb o ʔ e h a o
mbo'ehaokuéra	ᵐb o ʔ e h a o kʷ e ɾ a
mbo'eharakuéra	ᵐb o ʔ e h a ɾ a kʷ e ɾ a
mbo'ehára	ᵐb o ʔ e h a ɾ a
mbo'ehára	ᵐb ɔ ʔ ɛ h a ɾ a
mbohéra	ᵐb o x e ɾ a
mboy	ᵐb o ɨ
mbyja	ᵐb ɨᵈ j a
mbyky	ᵐb ɨ k ɨ
michĩ	m ĩ ɕ̃ ĩ
mombyñe'ẽporu	m ɔᵐ b ɨ ɲ ɛ ʔ ɛ̃ p ɔ ɾ u
mopu'ã	m õ p̃ ũ ʔ ã
nahániri	n a h a n i ɾ i
ndaje	ⁿd aᵈ j e
nde	n d e
okambúva	o k aᵐ b u ʋ a
opy	o p ɨ
ore	o ɾ e
oréve	o ɾ e ʋ e
pakova	p a k o ʋ a
pakovakuéra	p a k o ʋ a kʷ e ɾ a
peẽ	p e ẽ
peẽme	p e ẽ m e
pira	p i ɾ a
pirakuaaty	p i ɾ a k w a a t ɨ
pirakuéra	p i ɾ a kʷ e ɾ a
pirapire	p i ɾ a p i ɾ e
po	p o
po'o	p o ʔ o
pokuéra	p o kʷ e ɾ a
porã	p õ ɾ ã
poyvi	p o ɨ ʋ i
pu	p u
puku	p u k u
pukuéra	p u kʷ e ɾ a
py	p ɨ
pyahu	p ɨ a h u
pykuéra	p ɨ kʷ e ɾ a
pytyvõ	p ɨ t ɨ ʋ õ
pytyvõ	p̃ ɨ̃ t̃ ɨ̃ ʋ̃ õ
rague	ɾ a ɰʷ e
rape	ɾ a p e
retãvore	ɾ̃ ẽ t̃ ã ʋ̃ õ ɾ e
ro'y	ɾ o ʔ ɨ
ryguasu	ɾ ɨ w a s u
ryguasukuéra	ɾ ɨ w a s u kʷ e ɾ a
réra	ɾ e ɾ a
sa'y	s a ʔ ɨ
sa'yju	s a ʔ ɨ d ʒ u
sa'ykuéra	s a ʔ ɨ kʷ e ɾ a
saraki	s a ɾ a k i
sevoikuéra	s e ʋ o i kʷ e ɾ a
sevói	s e ʋ o i
soro	s o ɾ o
sỹi	s ɨ̃ ĩ
tague	t a ɰʷ e
takamby	t a k aᵐ b ɨ
tape	t a p e
tapiti	t a p i t i
tapitikuéra	t a p i t i kʷ e ɾ a
tapo	t a p o
tavakuéra	t a ʋ a kʷ e ɾ a
teko	t e k o
tembe'y	t e m b e ʔ ɨ̃
tembijepapa	t ɛ m b i d ʒ ɛ p a p a
tembikuaa	t e m b i k w a a
tembivytu	t ɛ m b i ʋ ɨ t u
tesa	t e s a
tete	t e t e
tetyma	t e t ɨ m a
tetãvore	t ẽ t̃ ã ʋ̃ õ ɾ e
toky	t o k ɨ
tomatekuéra	t o m a t e kʷ e ɾ a
tomáte	t o m a t e
tuja	t u d͡ʒ a
tykue	t ɨ kʷ e
táva	t a ʋ a
téra	t e ɾ a
túva	t u ʋ a
tĩnguéra	t ĩ ŋʷ e ɾ a
upévare	u p e ʋ a ɾ e
vai	v a i
veve	ʋ e ʋ e
y	ɨ
y'u	ʔ ɨ ʔ u
yga	ɨ ɡ a
ygakuéra	ɨ ɡ a k w ɛ ɾ a
ysaja	ɨ s aᵈ j a
ysyry	ɨ s ɨ ɾ ɨ
ysyrykuéra	ɨ s ɨ ɾ ɨ kʷ e ɾ a
yvapytã	ɨ ʋ a p ɨ̃ t ã
yvapytãnguéra	ɨ ʋ a p ɨ̃ t ã n w e ɾ a
yvoty	ɨ ʋ o t ɨ
yvy	ɨ ʋ ɨ
yvy'a	ɨ ʋ ɨ ʔ a
yvypóra	ɨ ʋ ɨ p o ɾ a
yvyra	ɨ ʋ ɨ ɾ a
yvyrakuéra	ɨ ʋ ɨ ɾ a kʷ e ɾ a
yvytu	ɨ ʋ ɨ t u
yvytu'apo	ɨ ʋ ɨ t u ʔ a p ɔ
yvytu'apokuéra	ɨ ʋ ɨ t u ʔ a p ɔ k w ɛ ɾ a
yvytukuéra	ɨ ʋ ɨ t u k w ɛ ɾ a
Ásia	a s j a
ñande	ɲ a n d e
ñandéve	ɲ a n d e ʋ e
ñe'ã	ɲ ɛ ʔ ã
ñe'ãkuaaty	ɲ ɛ ʔ ã k w a a t ɨ
ñe'ẽ	ɲ ẽ ʔ ẽ
ñe'ẽkuaaty	ɲ ɛ ʔ ɛ̃ k w a a t ɨ
ñe'ẽpu	ɲ ɛ ʔ ɛ̃ p u
ñe'ẽpukuaaty	ɲ ɛ ʔ ɛ̃ p u k w a a t ɨ
ñe'ẽpukuaatykuéra	ɲ ɛ ʔ ɛ̃ p u k w a a t ɨ k w ɛ ɾ a
ñe'ẽpukuaatynguéra	ɲ ɛ ʔ ɛ̃ p u k w a a t ɨᵑ ɡ w ɛ ɾ a
ñe'ẽpunguéra	ɲ ɛ ʔ ɛ̃ p uᵑ ɡ w ɛ ɾ a
ñe'ẽryru	ɲ ɛ ʔ ɛ̃ ɾ ɨ ɾ u
ñemi	ɲ ẽ m ĩ
ñũkuaaty	ɲ ũᵐ b ɔ d ʒ ɔ d ʒ a h a
Ỹ	ɨ̃
ỹ	ɨ̃
