'tamo'	t̪ a m o
'tamos	t̪ a m o s
'tas	t̪ a s
@	a r o β̞ a
aaleniana	a l e n j a n a
aalenianas	a l e n j a n a s
aaleniano	a l e n j a n o
aalenianos	a l e n j a n o s
Aarón	a a ɾ õ n
aarónica	a a ɾ o n i k a
aarónicas	a a ɾ o n i k a s
aarónico	a a ɾ o n i k o
aarónicos	a a ɾ o n i k o s
aaronita	a a ɾ o n i t̪ a
aaronitas	a a ɾ o n i t̪ a s
aba	a β̞ a
abaá	a β̞ a a
abaás	a β̞ a a s
Ababa	a β̞ a β̞ a
ababa	a β̞ a β̞ a
ababábite	a β̞ a β̞ a β̞ i t̪ e
ababábites	a β̞ a β̞ a β̞ i t̪ e s
ababas	a β̞ a β̞ a s
ababilla	a β̞ a β̞ i ʝ a
ababilla	a β̞ a β̞ i ʝ a
ababillaba	a β̞ a β̞ i ʝ a β̞ a
ababillaba	a β̞ a β̞ i ʝ a β̞ a
ababillabais	a β̞ a β̞ i ʝ a β̞ a i̯ s
ababillabais	a β̞ a β̞ i ʝ a β̞ a i̯ s
ababillábamos	a β̞ a β̞ i ʝ a β̞ a m o s
ababillábamos	a β̞ a β̞ i ʝ a β̞ a m o s
ababillaban	a β̞ a β̞ i ʝ a β̞ ã n
ababillaban	a β̞ a β̞ i ʝ a β̞ ã n
ababillabas	a β̞ a β̞ i ʝ a β̞ a s
ababillabas	a β̞ a β̞ i ʝ a β̞ a s
ababillada	a β̞ a β̞ i ʝ a ð̞ a
ababillada	a β̞ a β̞ i ʝ a ð̞ a
ababilladas	a β̞ a β̞ i ʝ a ð̞ a s
ababilladas	a β̞ a β̞ i ʝ a ð̞ a s
ababillado	a β̞ a β̞ i ʝ a ð̞ o
ababillado	a β̞ a β̞ i ʝ a ð̞ o
ababillados	a β̞ a β̞ i ʝ a ð̞ o s
ababillados	a β̞ a β̞ i ʝ a ð̞ o s
ababilláis	a β̞ a β̞ i ʝ a i̯ s
ababilláis	a β̞ a β̞ i ʝ a i̯ s
ababillamos	a β̞ a β̞ i ʝ a m o s
ababillamos	a β̞ a β̞ i ʝ a m o s
ababillan	a β̞ a β̞ i ʝ ã n
ababillan	a β̞ a β̞ i ʝ ã n
ababillándome	a β̞ a β̞ i ʝ ã n̪ d̪ o m e
ababillándome	a β̞ a β̞ i ʝ ã n̪ d̪ o m e
