A	a
ages	a ɡ e s
Anglíya	a ŋ ɡ l i j a
azilánto	a z i l æ n t o
b	b
B	b
biś	b i ʃ
c	t͡s
C	t͡s
chang	t͡ʃ a ŋ ɡ
d	d
D	d
dives	d iː v e s
dives	d iː v e
dives	d j e s
dives	ɡ e s
dž	d͡ʒ
Dž	d͡ʒ
e	e
E	e
f	f
F	f
felǎstra	f e l e̯ a s t r a
g	ɡ
G	ɡ
h	h
H	h
hudel	x ʊ d ɛ l
i	i
I	i
iʒ	i d͡ʒ
iʒ	i ʒ
j	j
J	j
k	k
K	k
kerel	k e r e l
kerel	k ə r e l
kh	kʰ
Kh	kʰ
kher	kʰ e r
kher	kʰ ə r
khere	kʰ e r e
khere	kʰ ə r e
khere	kʰ ə r ə
l	l
L	l
lyivinel	ʎ ɪ v i n e l
m	m
M	m
magočka	m a ɡ o t ʃ k a
magočki	m a ɡ o t͡ʃ k i
mogočka	m o ɡ o t ʃ k a
mogočki	m o ɡ o t͡ʃ k i
n	n
N	n
o	o
O	o
p	p
P	p
pani	p a n i
ph	pʰ
Ph	pʰ
phrala	pʰ r a l a
phrala	pʰ r a l a
q	ɡ
q	k
Q	ɡ
Q	k
r	r
R	r
rat	ɾ a t
rat	ɾ a t
rat	ɾʲ a t
ratǎ	ɾ a tʲ a
rr	rː
rr	ɽ
rr	ɾ
rr	ɣ
rr	x
rr	ʁ
rr	ʀ
rr	ɻ
Rr	rː
Rr	ɽ
Rr	ɾ
Rr	ɣ
Rr	x
Rr	ʁ
Rr	ʀ
Rr	ɻ
rǎt	ɾʲ a tʲ
rǎt	ɾʲ a t
s	s
S	s
t	t
T	t
Th	tʰ
th	tʰ
u	u
U	u
v	v
V	v
X	x
x	x
z	z
Z	z
zuralo	z u ɾ a l o
ába	a b a
ánde	a n d e ɪ
ä	ɨ
ä	ə
Ä	ɨ
Ä	ə
ç	t͡s
ç	s
Ç	t͡s
Ç	s
ë	ə
Ë	ə
ï	ɨ
Ï	ɨ
ö	ø
Ö	ø
ć	t͡ʃ
Ć	t͡ʃ
Ćh	t͡ʃʰ
Ćh	ɕ
Ćh	ʃ
ćh	t͡ʃʰ
ćh	ɕ
ćh	ʃ
ćhavo	t͡ʃʰ a v o
ćhavo	ɕ a v o
ćhavo	ʃ a v o
ćhavo	ʃ a ʊ
ćhib	t͡ʃʰ i p
ćirikli	t͡ɕ ɪ r ɪ k ʎ ɪ
ćorel	t͡ʃ ɔː r ɛ l
ćumidel	t͡ʃ ʊ m ɪ d e l
Č	t͡ʃ
č	t͡ʃ
čh	t͡ʃʰ
Čh	t͡ʃʰ
ě	ʲe
Ě	ʲe
ř	rː
ř	ɽ
ř	ɾ
ř	ɣ
ř	x
ř	ʁ
ř	ʀ
ř	ɻ
Ř	rː
Ř	ɽ
Ř	ɾ
Ř	ɣ
Ř	x
Ř	ʁ
Ř	ʀ
Ř	ɻ
Ś	ʃ
Ś	ɕ
ś	ʃ
ś	ɕ
Š	ʃ
š	ʃ
ź	ʒ
ź	ʑ
Ź	ʒ
Ź	ʑ
ž	ʒ
Ž	ʒ
ʒ	d͡ʒ
ʒ	ʑ
ʒ	ʒ
Ʒ	d͡ʒ
Ʒ	ʑ
Ʒ	ʒ
ʒamutro	d͡ʒ a m u t r o
ʒamutro	ʑ a m u t r o
ʒanel	d͡ʒ a n e l
ʒanel	ʒ a n e l
ʒuvli	d͡ʒ u v ʎ i
ʒuvli	d͡ʒ u ʎ i
ʒuvli	ʒ u ʎ i
ǎ	ʲa
Ǎ	ʲa
Ǐ	ʲi
ǐ	ʲi
ǒ	ʲo
Ǒ	ʲo
ǔ	ʲu
Ǔ	ʲu
țâcno	t͡s ɨ k n o
țâcno	t͡s ɨ ɡ n o
θ	d
θ	t
ϴ	d
ϴ	t
