'day	d a j
'di	d e ʔ
'di	d i ʔ
'eka	ʔ e k a ʔ
'ika	ʔ i k a ʔ
'ka	k a ʔ
'lika	l i k a
'ng	ŋ
'no	n o
't	t
'to	t o
'tsaka	t͡s a k a ʔ
'tsaka	t͡ʃ a k a ʔ
'y	j
'yan	j a n
'yo	j o
'yon	j o n
'yun	j u n
A	a
A	ʔ a
A	ʔ e j
A'TIN	ʔ e j t i n
AFAM	ʔ a f a m
AFAM	ʔ a p a m
Aaron	ʔ a ɾ o n
Aaron	ʔ a ʔ a ɾ o n
Aaron	ʔ e j ɾ o n
Abad	ʔ a b a d
Abadiano	ʔ a b a d j a n o
Abadilla	ʔ a b a d i l j a
Abalos	ʔ a b a l o s
Abarca	ʔ a b a ɾ k a
Abaya	ʔ a b a j a
Abby	ʔ a b i
Abdurahman	ʔ a b d u ɾ a m a n
Abe	ʔ a b e
Abejuela	ʔ a b e h u e l a
Abel	ʔ a b e l
Abelgas	ʔ a b e l ɡ a s
Abella	ʔ a b e l j a
Abellano	ʔ a b e l j a n o
Abellera	ʔ a b e l j e ɾ a
Abenojar	ʔ a b e n o h a ɾ
Abesamis	ʔ a b e s a m i s
Abigail	ʔ a b i ɡ e j l
Abing	ʔ a b i ŋ
Abisinya	ʔ a b i s i n j a
Abisinyo	ʔ a b i s i n j o
Ablog	ʔ a b l o ɡ
Abra	ʔ a b ɾ a
Abraham	ʔ a b ɾ a h a m
Abrazado	ʔ a b ɾ a s a d o
Abrazado	ʔ a b ɾ a z a d o
Abrenica	ʔ a b ɾ e n i k a
Abrera	ʔ a b ɾ e ɾ a
Abril	ʔ a b ɾ i l
Abu	ʔ a b u
Abucay	ʔ a b u k a j
Abueg	ʔ a b w e ɡ
Abuel	ʔ a b w e l
Abulencia	ʔ a b u l e n s i a
Abulug	ʔ a b u l u ɡ
Academia	ʔ a k a d e m j a
Acda	ʔ a k d a ʔ
Acierto	ʔ a s j e ɾ t o
Aclan	ʔ a k l a n
Acopiado	ʔ a k o p j a d o
Acorda	ʔ a k o ɾ d a
Acosta	ʔ a k o s t a
Acuzar	ʔ a k u s a ɾ
Acuzar	ʔ a k u z a ɾ
Acuña	ʔ a k u n j a
Adajar	ʔ a d a h a ɾ
Adams	ʔ a d a m s
Adan	ʔ a d a n
Adbentista	ʔ a d b e n t i s t a
Adbiyento	ʔ a d b i e n t o
Adbyento	ʔ a d b j e n t o
Adela	ʔ a d e l a
