Chu	t ʃ u
Guts'ists'i	k u t͡sʼ i s t͡sʼ i
Tugumanasit'iyi	tʰ u k u m a n a s i tʼ i j i
akiyi	a kʰ i j i
asaanasatsiłi	a s aː n a s a t͡s i ɬ i
ch'at'agha	t͡ʃʼ a tʼ a ɣ a
chinatł'uw	t͡ʃʰ i n a t͡ɬʼ u w
cho	t ʃ o
chot'i	t͡ʃʰ o tʰʼ i
danit'ada	t a n i tʼ a t a
datł'ishi	t a t͡ɬʼ i ʃ i
dichasgughani	t i t͡ʃʰ a s k u ɣ a n i
dididlu	t i t i t͡ɬ u
didili	t i t i l i
didlishi	t i t͡ɬ i ʃ i
digoy	t i k o j
diich'i	t iː t ʃʰ i
dik'azi	t i kʼ a z i
dik'oyi	t i kʼ o j i
dik'ołi	t i kʼ o ɬ i
dimodzi	t i m o t͡s i
dina	t i n a
dinadisuli	t i n a t i s u l i
diniji	t i n i ʒ i
disgoshi	t i s k o ʃ i
ditsuw	t i t sʰ u w
diwugi	t i w u k i
diyali	t i j a l i
dluna	t͡ɬ u n a
doma	t o m a
domoli	t o m o l i
doni	t o n i
doninadoguts'i	t o n i n a t o k u t͡sʼ i
dzazi	t͡s a z i
goji	k o ʒ i
gudzagha	k u t͡s a ɣ a
gudzanogha	k u t͡s a n o ɣ a
gulo	k u l o
gunagha	k u n a ɣ a
guts'i	k ú t͡sʼ í
gutł'is	k u t͡ɬʼ i s
guut'a	k úː tʼ á
guyani	k u j a n i
guzula	k u z u l a
ichidoni	i t ʃ i t o n i
ichiish	i t͡ʃʰ iː ʃ
idiłu	i t i ɬ u
ido	i t o
idzanagha	i t s a n a ɣ a
ijin	i ʒ i n
inogha	i n ɒ ɣ a
isno	i s n ɒ
isnonikaga	i s n o n i kʰ a k a
ist'oni	ī s tʼ ó n í
istła	i s t͡ɬ a
istłi	i s t͡ɬ i
it'aza	i tʼ a z a
its'oghanagula	i t sʼ o ɣ a n a k u l a
its'oghask'ogi	ì t͡sʼ ó ɣ á s kʼ ò k í
its'uwa	ī t͡sʼ ū w à
iwu	i w u
iyowa	i j o w a
jijadisgoshi	ʒ i ʒ a t i s k o ʃ i
k'iji	kʼ i ʒ i
kʼijichu	kʼ i ʒ i t ʃʰ u
mas	m a s
michadikodi	m i t ʃ a t i kʰ o t i
midzoghanichowi	m i t s o ɣ a n i t͡ʃʰ o w i
migusnitłuli	m i k u s n i t͡ɬ u l i
mikogona	m i kʰ o k o n a
mikotatsisdogha	m i kʰ o tʰ a t͡s i s t o ɣ a
mikoʔask'aghach'iloshi	m i kʰ o ʔ a s kʼ a ɣ a t͡ʃʰʼ i l o ʃ i
mis	m i s
misi	m i s i
misoghatsik'ishi	m i s o ɣ a t͡s i kʼ i ʃ i
mits'idigoyi	m i t͡sʼ i t i k o j i
miyisdla	m i j i s t͡ɬ a
mizists'igudisuli	m i z i s t͡sʼ i k u t i s u l i
mił	m i ɬ
modiwuts'agha	m o t i w u t͡sʼ a ɣ a
moghanats'ałi	m o ɣ a n a t͡sʼ a ɬ i
moghatł'ałi	m o ɣ a t͡ɬʼ a ɬ i
moghaʔilushi	m o ɣ a ʔ i l u ʃ i
nadisnoni	n a t i s n o n i
nak'us	n a kʼ u s
nasʔagha	n a s ʔ a ɣ a
natinagha	n a t i n a ɣ a
nats'istłiyishi	n a t͡sʼ i s t͡ɬ i j i ʃ i
natunagha	n a tʰ u n a ɣ a
nido	n i t ɒ
nikotishi	n i kʰ o tʰ i ʃ i
ninagha	n i n a ɣ a
nist'iyi	n i s tʼ i j i
nistinididilixastogha	n i s tʰ i n i t i t i l i x a s tʰ o ɣ a
nits'ist'a	n ì t͡sʼ ì s tʼ à
nogunischushi	n o k u n i s t͡ʃʰ u ʃ i
osa	o s a
shasʔini	ʃ a s ʔ i n i
suhch'ishch'idi	s u x t͡ʃʼ i ʃ t͡ʃʼ i t i
tasts'agha	tʰ a s t͡sʼ a ɣ a
tastłoni	tʰ a s t͡ɬ o n i
tayk'i	tʰ á j kʼ í
toshkoshi	tʰ o ʃ kʰ o ʃ i
ts'i	t͡sʼ i
ts'ika	t͡sʼ ì kʰ á
ts'inatiyi	t͡sʼ i n a tʰ i j i
ts'ist'oyi	t͡sʼ i s tʼ o j i
ts'istła	t͡sʼ ì s t͡ɬ á
ts'iya	t͡sʼ i j a
ts'izusi	t͡sʼ i z u s i
ts'izusists'iyi	t͡sʼ i z u s i s t͡sʼ i j i
ts'osi	t͡sʼ o s i
ts'otsaa	t͡sʼ ò t͡s âː
tsanagha	t͡s a n a ɣ a
tsats'us	t͡s a t͡sʼ u s
tsididistłod	t͡s i t i t i s t͡ɬ o t
tsiis	t͡s iː s
tsis	t͡s i s
tsił	t͡s i ɬ
tsuustł'a	t͡s uː s t͡ɬʼ a
tsuustł'ajija	t͡s uː s t͡ɬʼ a ʒ i ʒ a
tu	tʰ u
tł'ogha	t͡ɬʼ ɒ̄ ɣ á
tł'ula	t͡ɬʼ u l a
tł'uwch'iizhi	t͡ɬ u ˧ w t͡ʃʼ i ˧˥ː ʒ i ˥
tł'uwdina	t͡ɬʼ u w t i n a
tłik'a	t͡ɬ í kʼ ā
xachinagha	x a t ʃ i n a ɣ a
xalitsa	x a l i t͡s a
xani	x a n i
xasit'ogha	x a s i tʰʼ o ɣ a
xaya	x a j a
xił	x i ɬ
yinagha	j i n a ɣ a
zaas	z aː s
zas	z a s
zasat'i	z a s a tʰʼ i
