ab	ɑˀ b̥
abbõnd	ɑˀ bː ə n d̥
abbõnz	ɑˀ bː ə n z̥
abbõrz	ɑˀ bː ə r z̥
ablatīv	ɑ b l ɑ tˑ iˑ v
abli	ɑˀ b l i
addõrz	ɑˀ dː ə r z̥
adesīv	ɑ d e sˑ iˑ v
agā	ɑ ɡ ɑˑ
agānd	ɑ ɡ ɑˑ n d̥
aig	ɑ̯ iˑ ɡ̥
aigā	ɑ i̯ ɡ ɑˑ
aigāmōlõ	ɑ i̯ ɡ ɑˑ m ɒː l ə
aigi	ɑ̯ˀ i ɡ i
aigi	ɑ̯ iˑ ɡ i
aigõ	ɑ̯ iˑ ɡ ə
aigõ	ɑ̯ˀ i ɡ ə
ailõ	ɑ̯ˀ i l ə
aim	ɑ̯ iˑ m
aițumāl	ɑ̯ iˑ cː u m ɑˑ l
aițumāl	ɑ̯ iˑ c u m ɑˑ l
ajjõ	ɑˀ jː ə
akkiji	ɑ kːː i j i
akkõ	ɑ kːː ə
aktsent	ɑ kˑ t s e n tˑ
alā	ɑ l ɑˑ
alāb	ɑ l ɑˑ b̥
alāstli	ɑ l ɑˑ s t l i
alāstõ	ɑ l ɑˑ s t ə
aldõst	ɑ lˑ d ə s t
alfabēt	ɑ lˑ f ɑ b eˑ tˑ
alg	ɑ lˑ ɡ̥
algid	ɑ lˑ ɡ i d̥
algõ	ɑ lˑ ɡ ə
algõd	ɑ lˑ ɡ ə d̥
algõm	ɑ lˑ ɡ ə m
alīz	ɑ l iˑ z̥
alīztas	ɑ l iˑ s t ɑ sː
allatīv	ɑ lːː ɑ tˑ iˑ v
alli	ɑˀ lː i
allitas	ɑˀ lː i t ɑ sː
allõ	ɑ lːː ə
almi	ɑˀ l m i
altõ	ɑˀ l tˑ ə
alumīnij	ɑ l u m iˑ n i j
alz	ɑ lˑ z̥
aļ	ɑ ʎː
am	ɑˀ m
amā	ɑ m ɑˑ
amāt	ɑ m ɑˑ tˑ
amātnikā	ɑ m ɑˑ tˑ n i kˑ ɑˑ
Amērik	ɑ m eˑ r i kˑ
amši	ɑˀ m ʃ i
amūstiz	ɑ m uˑ s t i z̥
analīz	ɑ n ɑ l iˑ z̥
analōg	ɑ n ɑ l oˑ ɡ̥
analōgij	ɑ n ɑ l oˑ ɡ i j
and	ɑ nˑ d̥
andõ	ɑ nˑ d ə
ang	ɑ ŋˑ ɡ̥
aņgõrz	ɑ ɲˑ ɡ ə r z̥
apostrōf	ɑ pˑ o s t r oˑ f
appāina	ɑ pː ɑː i̯ n ɑ
appõn	ɑ pːː ə n
appõnrok	ɑ pːː ə n r o kː
appõnsēmḑa	ɑ pːː ə n s eː m ɟ ɑ
april	ɑ pˑ r i l
aptēk	ɑ p t eˑ kˑ
ar	ɑˀ r
arābõ	ɑ r ɑˑ b ə
arāgõz	ɑ r ɑˑ ɡ ə z̥
arm	ɑ rˑ m
arrõ	ɑ rːː ə
artõ	ɑˀ r tˑ ə
artõ	ɑ rˑ tˑ ə
artõ	ɑˀ r tˑ ə
arū	ɑ r uˑ
aŗšt	ɑ rʲˑ ʃ t
aŗštõ	ɑ rʲˑ ʃ t ə
astām	ɑ s t ɑˑ m
astõ	ɑ sˑ t ə
aššõ	ɑ ʃːː ə
atrāita	ɑ t r ɑˑ i̯ tˑ ɑ
atrāitanai	ɑ t r ɑˑ i̯ tˑ ɑ n ɑ̯ iˑ
Austrij	ɑ̯ uˑ s t r i j
azmõl	ɑˀ z m ə l
azūm	ɑ z uˑ m
azūmnikā	ɑ z uˑ m n i kˑ ɑˑ
azūmsõnā	ɑ z uˑ m s ɯ n ɑˑ
až	ɑˀ ĭ̯ ʒ̥
ažā	ɑ ʒʲ ɑˑ
ažāpū	ɑ ʒʲ ɑˑ p uː
ažāsõnā	ɑ ʒʲ ɑˑ s ɯ n ɑˑ
āiga	ɑː i̯ ɡ ɑ
āigakēra	ɑː i̯ ɡ ɑ k eː r ɑ
āigal	ɑː i̯ ɡ ɑ l
āigarōntõz	ɑː i̯ ɡ ɑ r ɒː n tˑ ə z̥
āigast	ɑː i̯ ɡ ɑ s t
āigiņ	ɑː i̯ ɡ i ɲ
āina	ɑː i̯ n ɑ
āinagi	ɑː i̯ n ɑ ɡ i
āinakerk	ɑː i̯ n ɑ k e rˑ kˑ
āinakū	ɑː i̯ n ɑ k uː
āiraz	ɑː i̯ r ɑ z̥
āita	ɑː i̯ tˑ ɑ
āltar	ɑː l tˑ ɑ r
āļdža	ɑː ʎ d ʒ ɑ
āmbaz	ɑː m b ɑ z̥
āndõks	ɑː n d ə k s
ānkaŗ	ɑː ŋ kˑ ɑ rʲ
ārga	ɑː r ɡ ɑ
ārmakstõ	ɑː r m ɑ k s t ə
ārmaz	ɑː r m ɑ z̥
ārmaztõ	ɑː r m ɑ s t ə
äb	æˀ b̥
äbī	æ b iˑ
äbjõvā	æˀ b j ɯ v ɑˑ
äbknaš	æˀ p k n ɑ ʃː
äbõigi	æˀ b ɯ̯ iˑ ɡ i
äbpūdõz	æˀ p p uːˀ d ə z̥
äbțõ	æˀ p c ə
äbțõks	æˀ p c ə k s
äbusk	æˀ b u sˑ k
äbvȯndzi	æˀ b v ɤ nˑ d z i
äd	æˀ d̥
ädā	æ d ɑˑ
ädāgõ	æ d ɑˑ ɡ ə
äggõz	æˀ ɡː ə z̥
ägstõ	æˀ k s t ə
äkīst	æ kˑ iˑ s t
äl	æ lː
ältõ	æ lˑ tˑ ə
äm	æ mː
ämār	æ m ɑˑ r
ändi	æ nˑ d i
äp	æ pː
ärb	æ rˑ b̥
ät	æ tː
ǟma	æː m ɑ
ǟnda	æː n d ɑ
ǟrga	æː r ɡ ɑ
ǟrma	æː r m ɑ
ǟrmatõ	æː r m ɑ tˑ ə
bakbord	b ɑ kː b o rˑ d̥
bäbbõrz	b æˀ bː ə r z̥
bäs	b æ sː
bäzmõr	b æˀ z m ə r
Belgij	b e lˑ ɡ i j
Beļgij	b e ʎˑ ɡ i j
bet	b e tː
bikšõd	b i kˑ ʃ ə d̥
bikt	b i kˑ t
birkov	b i rˑ kˑ o v
Bībõl	b iː b ə l
bībõl	b iː b ə l
