á	aː
ä	ɛ
ä	ɛ ɐ̯
Ä	ɛ
Ä	ɛ ɐ̯
aba	a b a
abája	a b aː j a
abaka	a b a k a
abakus	a b a k u s
abakusový	a b a k u s ɔ v iː
abatiša	a b a t i ʃ a
abažúr	a b a ʒ uː r
abažúrový	a b a ʒ uː r ɔ v iː
abbé	a bː eː
Abcházsko	a p x aː s k ɔ
abcházština	a p x aː ʃ c i n a
Abdiáš	a b ɟ i aː ʃ
abdikácia	a b d i k aː t͡s i a
abdómen	a b d ɔː m e n
abdominálny	a b d ɔ m i n aː l n i
abeceda	a b e t͡s e d a
abecedník	a b e t͡s e d ɲ iː k
abecedníka	a b e t͡s e d ɲ iː k a
Ábel	aː b e l
ablácia	a b l aː t͡s i a
ablatív	a b l a t iː v
ableizmus	a b l e i z m u s
abolícia	a b ɔ l iː t͡s i a
abolicionizmus	a b ɔ l i t͡s i ɔ n i z m u s
Abrahám	a b r a ɦ aː m
abrakadabra	a b r a k a d a b r a
abreviácia	a b r e v i aː t͡s i a
Absolon	a p s ɔ l ɔ n
absolutizmus	a p s ɔ l u t i z m u s
absolútny	a p s ɔ l uː t n i
absorbovať	a p s ɔ r b ɔ v a c
absorbuje	a p s ɔ r b u j e
absorbujú	a p s ɔ r b u j uː
absorpcia	a p s ɔ r p t͡s i a
abstinentský	a p s c i ɲ e n t͡s k iː
abstrakcionizmus	a p s t r a k t͡s i ɔ n i z m u s
Abuja	a b u d͡ʒ a
acehčina	a t͡s e x t͡ʃ i n a
acetaldehyd	a t͡s e t a l d e ɦ i t
acetát	a t͡s e t aː t
acetylácia	a t͡s e t i l aː t͡s i a
Adam	a d a m
Adama	a d a m a
Adamami	a d a m a m i
Adamať	a d a m a c
Adamčo	a d a m t͡ʃ ɔ
Adamec	a d a m e t͡s
Adamech	a d a m e x
Adamecová	a d a m e t͡s ɔ v aː
Adámek	a d aː m e k
Adámeková	a d aː m e k ɔ v aː
Adamiš	a d a m i ʃ
Adamko	a d a m k ɔ
Adamkovič	a d a m k ɔ v i t͡ʃ
Adamoch	a d a m ɔ x
Adamom	a d a m ɔ m
Adamov	a d a m ɔ v
Adamovi	a d a m ɔ v i
Adamovia	a d a m ɔ v i̯ a
Adamovič	a d a m ɔ v i t͡ʃ
Adamus	a d a m u s
