'ch	χ
'chi	χ iː
'chi	χ ɪ
'da	d a
'dag	d a ɡ
'ddchi	χ iː
'ddchi	χ ɪ
'i	i̯
'm	m
'ma	m a
'mond	m ɔ n d
'n	n
'na	n a
'ny	n ɨ̞
'r	r
'rhen	r̥ eː n
'sti	s d iː
'sti	s d ɪ
'th	θ
'u	i̯
'y	ə
A	aː
Aberaeron	a b ɛ r e ɨ̯ r ɔ n
Aberafan	a b ɛ r a v a n
Aberdaugleddau	a b ɛ r d a ɨ̯ ɡ l ɛ ð a
Aberdaugleddau	a b ɛ r d a ɨ̯ ɡ l ɛ ð a ɨ̯
Aberdaugleddau	a b ɛ r d a ɨ̯ ɡ l ɛ ð ɛ
Aberdyfi	a b ɛ r d ə v i
Aberdâr	a b ɛ r d aː r
Abergele	a b ɛ r ɡ ɛ l ɛ
Abergwaun	a b ɛ r ɡ w a ɨ̯ n
Aberhonddu	a b ɛ r h ɔ n ð ɨ
Abertawe	a b ɛ r t a u̯ ɛ
Aberteifi	a b ɛ r t e i̯ v i
Aberystwyth	a b ɛ r ə s d w ɨ̞ θ
Adda	a ð a
Addien	a ð i ɛ n
Adfent	a d v ɛ n t
Adwen	a d w ɛ n
Aeddan	e i̯ ð a n
Aeddon	e i̯ ð ɔ n
Aelan	e i̯ l a n
Aelwen	e i̯ l w ɛ n
Aelwyn	e i̯ l w ɪ n
Aeres	e ɨ̯ r ɛ s
Aerfen	e i̯ r v ɛ n
Aeron	e i̯ r ɔ n
Aerona	e i̯ r oː n a
Aeronwen	e i̯ r ɔ n
Aeronwy	e i̯ r ɔ n ʊ i̯
Aethwy	e i̯ θ ʊ i̯
Afallon	a v a ɬ ɔ n
Afan	a v a n
Affganistan	a f ɡ a n ɪ s d a n
Affrica	a f r ɪ k a
Affrig	a f r ɪ ɡ
Afonwy	a v ɔ n ʊ i̯
Agnes	a ɡ n ɪ s
Agnest	a ɡ n ɛ s t
Aidan	e i̯ d ə n
Aiden	e i̯ d ə n
Alan	a l a n
Alana	a l a n a
Alaw	a l a u̯
Alawn	a l a u̯ n
Albaneg	a l b a n ɛ ɡ
Albania	a l b a n j a
Albaniad	a l b a n j a d
Albanwr	a l b a n ʊ r
Alcwyn	a l k ʊ i̯ n
Aldith	a l d ɪ θ
Aldrydd	a l d r ə ð
Aldwyn	a l d ʊ ɨ̯ n
Aldwyth	a l d ʊ i̯ θ
Aldyth	a l d ɪ θ
Alec	a l ɪ k
Aled	a l ɛ d
Algeria	a l d͡ʒ iː r j a
Algeria	a l d͡ʒ ɛ r j a
Alis	a l ɨ̞ s
Alltwen	a ɬ t w ɛ n
Allwyd	a ɬ ʊ i̯ d
Almaen	a l m a ɨ̯ n
Almaen	ə r a l m a ɨ̯ n
Almaeneg	a l m e ɨ̯ n ɛ ɡ
Almaenes	a l m e ɨ̯ n ɛ s
Almaenwr	a l m e ɨ̯ n ʊ r
Alon	a l ɔ n
Alpaidd	a l p a i̯ ð
Alpaidd	a l p ɛ ð
Alpau	a l p a
Alpau	a l p a ɨ̯
Alpau	a l p ɛ
Alun	a l ɨ̞ n
Aluna	a l ɪ n a
Alwen	a l w ɛ n
Alwena	a l w ɛ n a
Alwina	a l w ɪ n a
Alwyn	a l ʊ i̯ n
Alys	a l ɨ̞ s
Aman	a m a n
Amanwy	a m a n ʊ i̯
America	a m ɛ r ɪ k a
Americanes	a m ɛ r ɪ k a n ɛ s
Americanwr	a m ɛ r ɪ k a n ʊ r
Amerig	a m ɛ r ɪ ɡ
Amerig	ə r a m ɛ r ɪ ɡ
Amig	a m ɪ ɡ
Amlawdd	a m l a u̯ ð
Amlodd	a m l oː ð
Amlyn	a m l ɪ n
Amos	a m ɔ s
Amranwen	a m r a n w ɛ n
Amwythig	a m ʊ ɨ̯ θ ɪ ɡ
Anarawd	a n a r a u̯ d
Andras	a n d r a s
Andreas	a n d r ɛ a s
Andro	a n d r oː
Androw	a n d r o u̯
Aneira	a n e i̯ r a
Aneirin	a n e ɨ̯ r ɪ n
Aneirwen	a n e i̯ r w ɛ n
Anes	a n ɛ s
Anest	a n ɛ s t
Aneurin	a n e ɨ̯ r ɪ n
Angau	a ŋ a
Angau	a ŋ a ɨ̯
Angau	a ŋ ɛ
Angell	a n ɡ ɛ ɬ
Angharad	a ŋ h a r a d
Angola	a ŋ ɡ ɔ l a
Anhun	a n h ɨ̞ n
Ania	a n j a
Anian	a n j a n
Anita	a n ɨ t a
Anlawdd	a n l a u̯ ð
Ann	a n
Anna	a n a
Annalyn	a n a l ɨ̞ n
Annell	a n ɛ ɬ
Annes	a n ɛ s
Annest	a n ɛ s t
Anni	a n ɨː
Annun	a n ɨ n
Annwyl	a n ʊ ɨ̯ l
Anona	a n ɔ n a
Antigwa	a n t ɪ ɡ w a
Antur	a n t ɨ̞ r
Anwen	a n w ɛ n
Anwn	a n ʊ n
Anwyl	a n ʊ ɨ̯ l
Anwylyn	a n ʊ ɨ̯ l ɨ n
Arab	a r a b
Arabaidd	a r a b a i̯ ð
Arabeg	a r a b ɛ ɡ
Arabes	a r a b a s
Arabes	a r a b ɛ s
Arabiad	a r a b j a d
Arabiaid	a r a b j a i̯ d
Arad	a r a d
Aran	a r a n
Aranli	a r a n l i
Aranrhod	a r a n r̥ ɔ d
Aranwen	a r a n w ɛ n
Aranwy	a r a n uː ɨ̯
Arawn	a r a u̯ n
Arberth	a r b ɛ r θ
Archentaidd	a r χ ɛ n t a i̯ ð
Archentiad	a r χ ɛ n t j a d
Archentwr	a r χ ɛ n t ʊ r
Archentwraig	a r χ ɛ n t w r a i̯ ɡ
Arddun	a r ð ɨ̞ n
Arddur	a r ð ɨ̞ r
Ardudfyl	a r d ɨ̞ d v ɨ̞ l
Ardudwen	a r d ɨ̞ d w ɛ n
Arfon	a r v ɔ n
Arfona	a r v ɔ n a
Arfonia	a r v ɔ n j a
Arfor	a r v ɔ r
Arfryn	a r v r ɨ̞ n
Arglwydd	a r ɡ l ʊ ɨ̯ ð
Arglwyddes	a r ɡ l ʊ ɨ̯ ð ɛ s
Arglwyddesau	a r ɡ l ʊ ɨ̯ ð ɛ s a
Arglwyddesau	a r ɡ l ʊ ɨ̯ ð ɛ s a ɨ̯
Arglwyddesau	a r ɡ l ʊ ɨ̯ ð ɛ s ɛ
Argoed	a r ɡ o ɨ̯ d
Arial	a r j a l
Arianina	a r j a n ɪ n a
Ariannell	a r j a n ɛ ɬ
Arianrhod	a r j a n r̥ ɔ d
Arianwen	a r j a n w ɛ n
Arianwyn	a r j a n w ɨ̞ n
Ariel	a r j ɛ l
Armenaidd	a r m ɛ n a i̯ ð
Armenia	a r m ɛ n j a
Armeniad	a r m ɛ n j a d
Armeniaeg	a r m ɛ n j a ɨ̯ ɡ
Armon	a r m ɔ n
Arnall	a r n a ɬ
Arnallt	a r n a ɬ t
Arofan	a r o v a n
Aron	a r ɔ n
Arthen	a r θ ɛ n
Arthien	a r θ j ɛ n
Arthog	a r θ ɔ ɡ
Arthur	a r θ ɨ̞ r
Arthwys	a r θ ʊ ɨ̯ s
Artro	a r t r o
Arwel	a r w ɛ l
Arwen	a r w ɛ n
Arwenna	a r w ɛ n a
Arwyn	a r w ɨ̞ n
Aserbaijan	a s ɛ r b a i̯ d͡ʒ a n
Athen	a θ ɛ n
Athwenna	a θ w ɛ n a
Aur	a ɨ̯ r
Aurddolen	a ɨ̯ r ð ɔ l ɛ n
Aures	a ɨ̯ r ɛ s
Awen	a u̯ ɛ n
Awst	a u̯ s d
Awstralia	a u̯ s d r a l j a
Awstria	a u̯ s d r j a
Bahamas	b a h a m a s
Bangladesh	b a ŋ ɡ l a d ɛ ʃ
Bangor	b a ŋ ɡ ɔ r
Baragwâi	b a r a ɡ w aː i̯
Barbados	b a r b eː d ɔ s
Barbiwda	b a r b ɪ u̯ d a
Baris	b a r ɪ s
Barnwyr	b a r n ʊ ɨ̯ r
Barri	b a r i
Barti	b a r t ɪ
Basgiaid	b a s ɡ j a i̯ d
Bedr	b ɛ d r
Beibl	b e i̯ b l
Beibl	b e i̯ b l̩
Beiblau	b e i̯ b l a
Beiblau	b e i̯ b l a ɨ̯
Beiblau	b e i̯ b l ɛ
Belarws	b ɛ l a r ʊ s
Belffast	b ɛ l f a s d
Benin	b ɛ n ɪ n
Beriw	b ɛ r ɪ u̯
Berlin	b ɛ r l ɪ n
Bermo	b ɛ r m ɔ
Berwig	b ɛ r w ɪ ɡ
Bethan	b ɛ θ a n
Bhwtan	b ʊ t aː n
Birmingham	b ə r m ɪ ŋ h a m
Bolifia	b ɔ l ɪ v j a
Bordo	b ɔ r d oː
Bortiwgal	b ɔ r t j ʊ ɡ a l
Bortiwgal	b ɔ r t ɪ u̯ ɡ a l
Bortiwgaleg	b ɔ r t ɪ u̯ ɡ a l ɛ ɡ
Bosnia	b ɔ s n j a
Botswana	b ɔ t s w a n a
Brag	b r aː ɡ
Brasil	b r a s ɪ l
Brecsit	b r ɛ k s ɪ t
Brexit	b r ɛ k s ɪ t
Bronwen	b r ɔ n w ɛ n
Brwnei	b r ʊ n e i̯
Brwsel	b r ʊ s ɛ l
Brydain	b r ə d a i̯ n
Brydain	b r ə d ɛ n
Brynbuga	b r ɨ̞ n b ɨ̞ ɡ a
Bryste	b r ɨ̞ s t ɛ
Brython	b r ə θ ɔ n
Brythoneg	b r ə θ ɔ n ɛ ɡ
Brythonig	b r ə θ ɔ n ɪ ɡ
Buddug	b ɨ̞ ð ɨ̞ ɡ
Bwlgaria	b ʊ l ɡ a r j a
Bwllheli	b ʊ ɬ h ɛ l i
Bwrgwyn	b ʊ r ɡ u ɨ̯ n
Bwrwndi	b ʊ r ʊ n d ɪ
Byrma	b ə r m a
CBAC	k b a k
CThEF	kᵊ θ ɛ v
CThEF	ɛ k θ ɛ v
CThEM	kᵊ θ ɛ m
CThEM	ɛ k θ ɛ m
Cadfael	k a d v aː ɨ̯ l
Caer	k aː ɨ̯ r
Caerdroea	k a ɨ̯ r d r ɔ ɨ̯ a
Caerdydd	k a ɨ̯ r d ɨː ð
Caerdydd	k ə r d ɨː ð
Caeredin	k a ɨ̯ r ɛ d ɨ̞ n
Caerfaddon	k a ɨ̯ r v a ð ɔ n
Caerffili	k a ɨ̯ r f ɪ l i
Caerfyrddin	k a ɨ̯ r v ə r ð ɪ n
Caergaint	k a ɨ̯ r ɡ a i̯ n t
Caergrawnt	k a ɨ̯ r ɡ r a u̯ n t
Caergwrle	k a ɨ̯ r ɡ ʊ r l ɛ
Caergybi	k a ɨ̯ r ɡ ə b ɪ
Caerhirfryn	k a ɨ̯ r h ɪ r v r ɨ̞ n
Caerliwelydd	k a ɨ̯ r l ɪ u̯ ɛ l ɨ̞ ð
Caerllion	k e ɨ̯ r ɬ i ɔ n
Caerloyw	k a ɨ̯ r l ɔ ɨ̯ ʊ
Caerlŷr	k a ɨ̯ r l ɨː r
Caernarfon	k a ɨ̞ r n a r v ɔ n
Caersalem	k e ɨ̯ r s a l ɛ m
Caersallog	k a ɨ̯ r s a ɬ ɔ ɡ
Caerwrangon	k a ɨ̯ r w r a ŋ ɔ n
Caerwynt	k a ɨ̯ r w ɨ̞ n t
Caerwysg	k a ɨ̯ r uː ɨ̯ s ɡ
Caerwysg	k a ɨ̯ r w ɨ̯ː s ɡ
Cafall	k a v a ɬ
Caint	k a i̯ n t
Callisto	k a l ɪ s t ɔ
Cambodia	k a m b ɔ d j a
Cambodiad	k a m b ɔ d j a d
Cambodiaid	k a m b ɔ d j a i̯ d
Cambodiaid	k a m b ɔ d j ɛ d
Cambodiaidd	k a m b ɔ d j a i̯ ð
Cambodiaidd	k a m b ɔ d j ɛ ð
Camerŵn	k a m ɛ r uː n
Canada	k a n a d a
Canadaidd	k a n a d a i̯ ð
Canadaidd	k a n a d ɛ ð
Canadiad	k a n a d j a d
Canadiaid	k a n a d j a i̯ d
Canadiaid	k a n a d j ɛ d
Caradog	k a r a d ɔ ɡ
Carew	k a r ɛ u̯
Carrog	k a r ɔ ɡ
Carwyn	k a r w ɨ̞ n
Carys	k a r ɨ̞ s
Casnewydd	k a s n ɛ u̯ ɨ̞ ð
Casnewydd	k aː s n ɛ u̯ ɨ̞ ð
Catholig	k a θ ɔ l ɪ ɡ
Catholigiaeth	k a θ ɔ l ɪ ɡ j a ɨ̯ θ
Catholigiaeth	k a θ ɔ l ɪ ɡ j ɛ θ
Catholigion	k a θ ɔ l ɪ ɡ j ɔ n
Catrin	k a t r ɪ n
Celtiaid	k ɛ l t j a i̯ d
Celyn	k ɛ l ɨ̞ n
Ceredigion	k ɛ r ɛ d ɪ ɡ j ɔ n
Ceres	k ɛ r ɛ s
Ceri	k ɛ r ɪ
Cernyw	k ɛ r n ɨ̞ u̯
Cernyweg	k ɛ r n ə u̯ ɛ ɡ
Cerys	k ɛ r ɨ̞ s
Cesar	k ɛ s a r
Chaeredin	χ a ɨ̯ r ɛ d ɨ̞ n
Chaerfyrddin	χ e ɨ̯ r f ə r ð ɪ n
Chaint	χ a i̯ n t
Chambodia	χ a m b ɔ d j a
Chambodiad	χ a m b ɔ d j a d
Chambodiaid	χ a m b ɔ d j a i̯ d
Chambodiaid	χ a m b ɔ d j ɛ d
Chambodiaidd	χ a m b ɔ d j a i̯ ð
Chambodiaidd	χ a m b ɔ d j ɛ ð
Chamerŵn	χ a m ɛ r uː n
Chanada	χ a n a d a
Chanadaidd	χ a n a d a i̯ ð
Chanadaidd	χ a n a d ɛ ð
Chanadiad	χ a n a d j a d
Chanadiaid	χ a n a d j a i̯ d
Chanadiaid	χ a n a d j ɛ d
Chatholig	χ a θ ɔ l ɪ ɡ
Chile	t ʃ ɪ l ɪ
Chiwba	χ ɪ u̯ b a
Cholombia	χ ɔ l ɔ m b j a
Chorea	χ ɔ r eː a
Christ	χ r iː s t
Chroatia	χ r ɔ a t j a
Chroatia	χ r ɔ a ʃ a
Chwefror	χ w ɛ v r ɔ r
Chymro	χ ə m r ɔ
Chymru	χ ə m r ɨ̞
Chymry	χ ə m r ɨ̞
Cilarne	k ɪ l a r n ɛ
Cilgwri	k ɪ l ɡ ʊ r i
Ciribati	k ɪ r ɪ b a t ɪ
Ciwba	k ɪ u̯ b a
Clydach	k l ə d a x
Colombia	k ɔ l ɔ m b j a
Congo	k ɔ ŋ ɡ ɔ
Conwy	k ɔ n ʊ ɨ̯
Corea	k ɔ r eː a
Cosofo	k ɔ s ɔ v ɔ
Creta	k r ɛ t a
Crist	k r iː s d
Cristion	k r ɪ s d j ɔ n
Cristionogaeth	k r ɪ s d j ɔ n ɔ ɡ a ɨ̯ θ
Cristionogion	k r ɪ s d j ɔ n ɔ ɡ j ɔ n
Cristnogaeth	k r ɪ s d n ɔ ɡ a ɨ̯ θ
Cristnogaeth	k r ɪ s d n ɔ ɡ ɛ θ
Cristnoges	k r ɪ s t n ɔ ɡ a s
Cristnoges	k r ɪ s t n ɔ ɡ ɛ s
Cristnogion	k r ɪ s d n ɔ ɡ j ɔ n
Cristnogol	k r ɪ s d n ɔ ɡ ɔ l
Croatia	k r ɔ a t j a
Croatia	k r ɔ a ʃ a
Crynwr	k r ə n ʊ r
Crynwyr	k r ə n w ɨ̞ r
Cwmbrân	k ʊ m b r aː n
Cwmgwrach	k ʊ m ɡ w r aː χ
Cwrd	k ʊ r d
Cwrdaidd	k ʊ r d a i̯ ð
Cwrdeg	k ʊ r d ɛ ɡ
Cwrdistan	k ʊ r d ɪ s t a n
Cwrdistan	k ʊ r d ɪ s t aː n
Cymraeg	k ə m r aː i̯ ɡ
Cymraes	k ə m r aː ɨ̯ s
Cymraesau	k ə m r e ɨ̯ s a
Cymraesau	k ə m r e ɨ̯ s a ɨ̯
Cymraesau	k ə m r e ɨ̯ s ɛ
Cymreig	k ə m r e i̯ ɡ
Cymreigio	k ə m r e i̯ ɡ j ɔ
Cymro	k ə m r ɔ
Cymru	k ə m r ɨ̞
Cymry	k ə m r ɨ̞
Dachwedd	d a χ w ɛ ð
Dafydd	d a v ɨ̞ ð
Dai	d a i̯
Daniel	d a n j ɛ l
Dasmania	d a s m a n j a
Dawe	d a u̯ ɛ
Ddafydd	ð a v ɨ̞ ð
Ddenmarc	ð ɛ n m a r k
Ddulyn	ð ɨ̞ l ɨ̞ n
Deimos	d e i̯ m ɔ s
Delwyn	d ɛ l w ɨ̞ n
Denmarc	d ɛ n m a r k
Dewi	d ɛ u̯ ɪ
Diarhebion	d i a r h ɛ b j ɔ n
Dione	d i ɔ n ɛ
Dolbadarn	d ɔ l b a d a r n
Dolgellau	d ɔ l ɡ ɛ ɬ a
Dolgellau	d ɔ l ɡ ɛ ɬ a ɨ̯
Dolwyddelan	d ɔ l w ɨ̞ ð ɛ l a n
Dominica	d ɔ m ɪ n iː k a
Dominica	d ɔ m ɪ n ɪ k a
Donaw	d ɔ n a u̯
Donwy	d ɔ n u ɨ̯
Dudno	d ɨ̞ d n ɔ
Dulyn	d ɨ̞ l ɨ̞ n
Duw	d ɨ̞ u̯
Dwrci	d ʊ r k i
Dyfi	d ə v ɪ
Dyfnwal	d ə v n w a l
Dyfrdwy	d ə v r d ʊ ɨ̯
Dyfrig	d ə v r ɪ ɡ
Dylan	d ə l a n
Dysnomia	d ɨ̞ s n ɔ m j a
E	eː
Ebrill	ɛ b r ɪ ɬ
Ecwador	ɛ k w a d ɔ r
Efa	ɛ v a
Efrog	ɛ v r ɔ ɡ
