Амыщ	aː m ə ɕ
Аушыджэр	aː w ʃ ə d͡ʒ a r
Афы	aː f ə
Ахын	aː x ə n
Бытырбыф	b a t ə r b ə f
Даут	d a w ə t
Джантый	d͡ʒ aː n t ə j
Джэдыпэ	d͡ʒ a d ə p a
Зэчэрые	z a kʲ a r ə j a
Зэчэрые	z a t͡ʃ a r ə j a
Исхьэкъ	j ə s ħ a q
Иусыф	j ə w s ə f
Къуэдэс	qʷ a d a s
Къызбэч	q ə z b aː kʲ
Къызбэч	q ə z b aː t͡ʃ
Лъэпщ	ɬ a p ɕ
Лъэпщ	ɬ a p ʃʷ
Мамыщ	aː f ə
Мусэ	m ə w s a
Мэзгуащэ	m a z ɡʷ aː ɕ a
Мэзытхьэ	m a z ə t ħ a
Нарт	n aː r t
Нат	n aː t
Нухь	n ə w ħ
Псатхьэ	p s aː t ħ a
Псытхьэ	p s ə t ħ a
Псытхьэгуащэ	p s ə t ħ a ɡʷ aː ɕ a
Псыхъуэгуащэ	p s ə χʷ a ɡʷ aː ɕ a
Пэкъуэ	p a qʷ a
Тхьэгуащэ	t ħ a ɡʷ aː ɕ a
Тхьэгъэлэдж	t ħ a ʁ a l a d͡ʒ
Уащхъуэ	w aː ɕ χʷ a
Хьао	ħ aː w a
Хьарун	ħ aː r ə w n
Хьэдрыхэ	ħ a d r ə x a
Хьэдрыхэтхьэ	ħ a d r ə x a t ħ a
Хьэкусташ	ħ a kʷ ə s t aː ʃ
Хьэкӏущтащхьэ	ħ a kʷʼ ɕ t aː ɕ ħ a
Хьэо	ħ a w a
Хьэуцхьэш	ħ a w t͡s ħ a ʃ
Щыблэ	ɕ ə b l a
Якъуб	j aː qʷ ə b
а	ʔ aː
абадз	aː b aː d͡z
абакъэ	aː b aː q a
абан	aː b aː n
абас	aː b aː s
абдзах	aː b d͡z aː x
абрагъу	aː b r aː ʁʷ
абрадж	aː b r aː d͡ʒ
абрамыжъу	aː b r aː m ə ʐʷ
абхъаз	aː b χ aː z
абыкъу	aː b ə qʷ
абэгъоплъ	aː b a ʁʷ a p ɬ
абэдзэкъуай	aː b a d͡z a qʷ aː j
абэуйэй	a b a w j a j
агурджашъу	aː ɡʷ ə r d͡ʒ aː ʂʷ
агъо	aː ʁʷ a
агъунэр	aː ʁʷ ə n a r
аддэ	aː d d a
аджал	aː d͡ʒ aː l
аджар	aː d͡ʒ aː r
адрабгъу	aː d ə r aː b ʁʷ
ады	ʔ aː d ə
адыгагъ	aː d ə ɣ aː ʁ
адыгэкъэб	aː d ə ɣ a q a b
адыгэхэ	aː d ə ɣ a x a
адырабгъу	aː d ə r aː b ʁʷ
адэ	aː d a
адэбз	aː d a b z
адэкӏо	aː d a kʷʼ a
адэхъу	aː d a χʷ
ае	aː j a
ажэ	aː ʒ a
азыфагу	aː z ə f aː ɡʷ
азэ	aː z a
азэнадж	aː z a n aː d͡ʒ
ай	aː j
акул	aː kʷ ə l
акъужъ	aː qʷ ə ʐ
акъуш	aː qʷ ə ʃ
акъыл	ʔ aː q ə l
акъылыгъу	aː q ə l ə ʁʷ
ал	aː l
алашэ	aː l aː ʃ a
алъмэкъ	aː ɬ m a q
алыркъэб	aː l ə r q a b
алырэгъу	aː l ə r a ʁʷ
алырэгъушӏ	aː l ə r a ʁʷ ʃʼ
алэдышъ	aː l a d ə ʂ
амал	aː m aː l
амдэз	aː m d a z
амылкъан	aː m ə l q aː n
амырмэ	aː m a r m a
амышӏэр	aː m ə ʃʼ a r
амэ	aː m a
амэрмэ	aː m a r m a
анай	aː n aː j
анахь	aː n aː ħ
анджэрэф	aː n d͡ʒ a r a f
анезе	a n a j z a j
антыр	aː n t ə r
анэ	ʔ aː n a
анэбзыу	a n a b z ə w
анэбзэ	aː n a b z a
анэдэлъфыбзэ	aː n a d a ɬ f ə b z a
анэл	aː n a l
анэу	aː n a w
анэхь	aː n a ħ
анэш	ʔ aː n a ʃ
анэшыпхъу	ʔ aː n a ʃ ə p χʷ
апкь	aː p kʲ
апкӏмыжъ	aː p kʲ m ə ʐʷ
апкӏмыжъ	aː p t͡ʃ m ə ʐʷ
апкӏхалъхь	aː p kʲ x aː ɬ ħ
апкӏхалъхь	aː p t͡ʃ x aː ɬ ħ
апкӏхьэн	aː p kʲ ħ a n
апкӏхьэн	aː p t͡ʃ ħ a n
апкӏшъхьэтэт	aː p kʲ ʂ ħ a t a t
апкӏшъхьэтэт	aː p t͡ʃ ʂ ħ a t a j t
апс	aː p s
апхъурэлъф	aː p χʷ ə r a ɬ f
апч	aː p t͡ʃ
апшъ	aː p ʂ
апшъышъ	ʔ aː p ʂ ə ʂ
апшъэр	aː p ʂ a r
апэ	aː p a
апэрэ	aː p a r a
апэрэу	aː p a r a w
апӏэ	aː pʼ a
ар	aː r
арап	aː r aː p
арба	a r b aː
аргъой	aː r ʁʷ a j
аргъойпаӏу	aː r ʁʷ a j aː ʔʷ
аргъэй	aː r ʁ a j
аргъэйфыгу	aː r ʁ a j f ə ɡʷ
арджан	aː r d͡ʒ aː n
арми	aː m a
армэ	aː r m a
армэу	aː r m a w
армэугъ	aː r m a w ʁ
архъожъ	aː r χʷ a ʐ
архъуажъ	aː r χʷ aː ʐ
архъуан	aː r χʷ aː n
арымэ	aː r ə m a
арышъ	aː r ə ʂ
арышъхьае	aː r ə ʂ ħ aː j a
арэущтэу	aː r a w ɕ t a w
аслъан	ʔ a s ɬ aː n
аслъаншыр	aː s ɬ aː n ʃ ə r
асэ	ʔ aː s a
атакъэ	ʔ a t aː q a
атэ	aː t a
атэш	ʔ aː t a ʃ
атэшыпхъу	ʔ aː t a ʃ ə p χʷ
ау	aː w
аужым	aː w ʒ ə m
ахъ	aː χ
ахъу	aː χʷ ə
ахъчалъ	aː χ t͡ʃ aː ɬ
ахъчапс	aː χ t͡ʃ aː p s
ахъчашъхь	aː χ t͡ʃ aː ʂ ħ
ахъчэ	aː χ t͡ʃ a
ахъчэбэг	aː χ t͡ʃ a b a ɣ
ахъчэбэдзэр	aː χ t͡ʃ a b a d͡z a r
ахъчэдэфый	aː χ t͡ʃ a d a f ə j
ахъчэжъгъэй	aː χ t͡ʃ a ʐ ʁ a j
ахъчэзэблэхъущ	aː χ t͡ʃ a z a b l a χʷ ə n
