آر	ɑ ɾ
آره	ɑ́ ɾ ä
آسو	ɑ s ú
آلمان	ɑ l m ɑ́ n
آيات	ɑ j ɑ́ t̪
آيرلنډ	ɑ̟ ɪ ɾ l ə́ ɳ ɖ
ابادول	ä b ɑ d̪ ä w ə́ l
اتل	ä t̪ ə́ l
اتلس	ä t̪ ə l ä́ s
اتله	ä t̪ ə́ l ä
اته	ä t̪ ə́
اتيا	ä t̪ j ɑ́
اتڼ	ä t̪ ä́ ɳ
اخته	ä x t̪ ä́
اخلم	ä x l ə́ m
اخيستل	ä x i s̪ t̪ ə́ l
اخښل	ä x x ə́ l
اخښل	ä x ç ə́ l
اخښل	ä x ʂ ə́ l
اخښل	ä x ʃ ə́ l
اخښی	ä́ x ä x a̝ ɪ
اخښی	ä́ x ä ç a̝ ɪ
اخښی	ä́ x ʂ a̝ ɪ
اخښی	ä́ x ʃ a̝ ɪ
ارزان	ä ɾ z ɑ́ n
ارزانه	ä ɾ z ɑ́ n ä
ارزښت	ä ɾ z ə́ x t̪
ارزښت	ä ɾ z ə́ ç t̪
ارزښت	ä ɾ z ə́ ʂ t̪
ارزښت	ä ɾ z ə́ ʃ t̪
ارمان	ä ɾ m ɑ́ n
اري	ä́ r i
استول	ä s̪ t̪ ä w ə́ l
اسلام	ʔ ɪ s l ɑ́ m
اسمان	ä s m ɑ́ n
اسماني	ä s m ɑ́ n i
اسټراليا	ä ʂ ʈ ɽ ɑ́ l j ɑ
اسپانيا	ɑ s p ɑ́ n j ɑ
اسپه	ä s p ä́
اسپه	ä́ s p ä
اسکيمو	ä s k í m o
اغزی	ä ɣ z á̟ ɪ̯
اغوستل	ä ɣ o s̪ t̪ ə́ l
اغوندم	ä ɣ u n̪ d̪ ə́ m
اغږل	ä ɣ ä ɡ ə́ l
اغږل	ä ɣ ä ʝ ə́ l
اغږل	ä ɣ ʐ ə́ l
اغږل	ä ɣ ʒ ə́ l
اغږم	ä ɣ ä ɡ ə́ m
اغږم	ä ɣ ä ʐ ə́ m
اغږم	ä ɣ ä ʒ ə́ m
اغږم	ä ɣ ä ʝ ə́ m
افغان	ʔ a̠ ʊ̯ ɣ ɑ́ n
افغان	ʔ ä b ɣ ɑ́ n
افغان	ʔ ä v ɣ ɑ́ n
