־אַטש	a t͡ʃ
־ווײַז	v a ɪ̯ z
־ל	ɫ̩
־לעך	ɫ ə χ
־ניצע	n ɪ t s ə
־עוודיק	ə v d ɪ k
־עווען	ə v ə n
־עכץ	ə χ t͡s
־עניש	ə n ɪ ʃ
־שע	ʃ ə
אַ ביסל	a b ɪ s ɫ̩
אַ בראָך	a b ɾ ɔ χ
אַ בראָך איז מיר	a b ɾ ɔ χ ɪ z m ɪ ɾ
אַ גוט געבענטשט יאָר	a ɡ ɪ t ɡ ə b ɛ n t͡ʃ t j uː r
אַ גוט געבענטשט יאָר	a ɡ ʊ t ɡ ə b ɛ n t͡ʃ t j ɔ r
אַ גוט יאָר	a ɡ ɨ t j u r
אַ גוט יאָר	a ɡ ɪ t j uː r
אַ גוט יאָר	a ɡ ʊ t j aː r
אַ גוט יאָר	a ɡ ʊ t j ɔ r
אַ גוט קוויטל	a ɡ ʊ t k v ɪ t ɫ̩
אַ גוטן	a ɡ ɪ t n̩
אַ גוטן	a ɡ ʊ t n̩
אַ גוטן אָוונט	a ɡ ɪ t n̩ ʊ v n̩ t
אַ גוטן אָוונט	a ɡ ʊ t n̩ ɔ v n̩ t
אַ גוטן טאָג	a ɡ ɪ t n̩ t ʊ ɡ
אַ גוטן טאָג	a ɡ ʊ t n̩ t aː ɡ
אַ גוטן טאָג	a ɡ ʊ t n̩ t ɔ ɡ
אַ גוטן טאָג	ɔ ɡ ɨ t n̩ t u ɡ
אַ גוטן שבת	a ɡ ɪ t n̩ ʃ a b ə s
אַ גוטן שבת	a ɡ ʊ t n̩ ʃ a b ə s
אַ גוטע וואָך	a ɡ ʊ t ə v ɔ χ
אַ גוטע נאַכט	a ɡ ʊ t ə n a χ t
אַ דאַנק	a d a ŋ k
אַ דאַנק דיר	a d a ŋ k d ɪ r
אַ זייגער	a z ɛ ɪ̯ ɡ ɜ r
אַ זיסן פּסח	a z iː s n̩ p a ɪ̯ s ə χ
אַ זיסן פּסח	a z ɪ s n̩ p ɛ ɪ̯ s ə χ
אַ חוץ פֿון	a χ ʊ t͡s f ʊ n
