أخطبوط	ʔ a x tˤ a b uː tˤ
أكتوبر	ʔ o̞ k t o̞ː b a r
أنت	ʔ ɪ n t æ
أنت	ʔ ɪ n t ɛ
أنت	ʔ ɪ n t i
أنت	ʔ ɪ n t ɪ
أنت	ʔ ɪ n t i
أنت	ʔ ɪ n t i
إله	ʔ e l æː h
إله	ʔ ɪ l aː h
إله	ʔ ɪ l æː h
إله	ʔ ɪ l aː h
إله	ʔ ɪ l ɑː h
إله	ʔ i l ɛː h
إله	ʔ i l æː h
إله	ʔ i l æː h
إله	ʔ e l æː h
إله	ʔ ɪ l aː h
إله	ʔ ɪ l æː h
إله	ʔ ɪ l ɑː h
إله	ʔ i l ɛː h
إله	ʔ i l æː h
إله	ʔ i l æː h
البحرين	æ l b æ ħ r æ j n
الله	ɑ l l ɑː
الله	ɑ ɫ ɫ ɑː
الله	a ɫ ɫ aː
الله	ɑ ɫ ɫ ɐ
الله	ɑ ɫ ɫ ɑː h
باط	b ɑː tˤ
بديل	b æ d iː l
ج	d͡ʒ
ج	ʒ
ج	ʒ
ج	ɡ
ج	ɟ
حلال	ħ æ l æː l
حلال	ħ a l aː l
حلال	ʜ ɐ l ɑː l
حلال	ħ æ l ɛː l
حلب	ħ a l a b
خنب	χ a n a b a
خنب	χ a n i b a
خيمة	x e̞ː m a
دعسوقة	d a ʕ s uː q a
دين	d e̞ː n
ساق	s aː ɡ
سكة	s æ kː æ
شكرا	ʃ ʊ k r ɐ n
شكرا	ʃ ʊ k r a n
شكرا	ʃ ʊ k ɾ a n
صوف	sˤ a w f
عاج	ʕ æː d͡ʒ
عبقري	ʕ a b q a r i
عبقري	ʕ a b ɡ a r i
عليق	ʕ ʊ lː e̞ː ɡ
غناء	ɣ ʊ n a
قابلة	q ɑː b l æ
قابلة	q ɑː b l æ
قالب	ɡ aː l a b
قالب	ɡ aː l ɪ b
قبة	ɡ ʊ b b a
قبة	q ʊ b b a
قبض	ɡ a bː a dˤ
قبض	ɡ a b dˤ
قناع	q ɪ n aː ʕ
قناع	ɡ ɪ n aː ʕ
كتاب	k e t æː b
كتاب	k ɪ t̪ aː b
كتاب	k i t æː b
كتاب	k ɪ t̪ aː b
كتاب	k ɪ t̪ ɑː b
كتاب	k i t̪ ɛː b
كتاب	k i t æː b
كتاب	k e t æː b
كتاب	k i t æː b
كتاب	k ɪ t̪ aː b
كتاب	k ɪ t̪ ɑː b
كتاب	k i t̪ ɛː b
كتاب	k i t æː b
لاحق	l aː ħ a ɡ
لهجة	l a h d͡ʒ a
ماذا	m æː ð æ
ماذا	m æː z æ
ماذا	m aː ð a
ماذا	m aː z a
ماذا	m æː ð ɐ
ماذا	m ɑː ð ɐ
ماذا	m ɛː ð æ
ماذا	m æː ð a
ماذا	m æː d a
محقق	m ʊ ħ a ɡː ɪ ɡ
محقق	m ʊ ħ a qː ɪ q
مسابقة	m ʊ s aː b a ɡ a
مستقبل	m ʊ s t a ɡ b a l
موز	m o̞ː z
نوفمبر	n o̞ː v a m b a r
نيجيريا	n iː d͡ʒ iː r j a
