'day	d̪ a ɪ̯
'di	d̪ ɪ ʔ
'di	d̪ ɛ ʔ
'eka	ʔ ɛː x ɐ ʔ
'eka	ʔ ɛ x a ʔ
'ika	ʔ iː x ɐ ʔ
'ika	ʔ ɪ x a ʔ
'ka	k a ʔ
'lika	l iː x ɐ
'lika	l ɪ x a
'no	n̪ o
'ng	ŋ
't	t̪
'to	t̪ o
'tsaka	t͡ʃ ɐ x a ʔ
'tsaka	t͡s ɐ x a ʔ
'y	ɪ̯
'yan	j a n̪
'yo	j o
'yon	j o n̪
'yun	j ʊ n̪
A	ʔ e ɪ̯
A	ʔ a
A	a
A	ɐ
A	ʔ ɐ
A'TIN	ʔ e ɪ̯ t̪ ɪ n̪
aa	ʔ ɐ ʔ a ʔ
aa	ʔ aː ʔ ɐ ʔ
aa	ʔ aː ʔ ɐ
aa	ʔ ɐ ʔ a ʔ
aaa	ʔ aː ʔ ɐ ʔ a ʔ
aaaban	ʔ aː ʔ ɐ ʔ ɐ b a n̪
aab	ʔ ɐ ʔ a b̚
aaban	ʔ ɐ ʔ ɐ b a n̪
aabisuhan	ʔ aː ʔ ɐ b ɪ s uː h ɐ n̪
aagaw	ʔ ɐ ʔ ɐ ɣ a ʊ̯
aagaw	ʔ ɐ ʔ aː ɣ a ʊ̯
aagaw	ʔ aː ʔ aː ɣ a ʊ̯
aak	ʔ ɐ ʔ a k̚
aakyat	ʔ aː ʔ ɐ k j a t̪̚
aalpombrahin	ʔ ɐ ʔ ɐ l p o m b ɾ aː h ɪ n̪
aalpombrahin	ʔ aː ʔ ɐ l p o m b ɾ ɐ h ɪ n̪
aam	ʔ ɐ ʔ a m
aamin	ʔ ɐ ʔ aː m ɪ n̪
aamin	ʔ aː ʔ aː m ɪ n̪
aaminin	ʔ aː ʔ ɐ m iː n̪ ɪ n̪
aamyendahan	ʔ aː ʔ ɐ m j ɛ n̪ d̪ ɐ h a n̪
aanhin	ʔ aː ʔ ɐ n̪ h ɪ n̪
aanim	ʔ aː ʔ aː n̪ ɪ m
aanulahin	ʔ aː ʔ ɐ n̪ ʊ l ɐ h ɪ n̪
aap	ʔ aː ʔ ɐ p̚
aap	ʔ ɐ ʔ a p̚
aarawan	ʔ aː ʔ ɐ ɾ aː w ɐ n̪
Aaron	ʔ ɐ ʔ ɐ ɾ o n̪
Aaron	ʔ aː ɾ o n̪
Aaron	ʔ e ɪ̯ ɾ o n̪
aawat	ʔ ɐ ʔ aː w ɐ t̪̚
aawat	ʔ aː ʔ aː w ɐ t̪̚
aba	ʔ ɐ b a ʔ
aba	ʔ ɐ b a
aba	ʔ ɐ b a
abad	ʔ ɐ b a d̪̚
Abad	ʔ ɐ b a d̪̚
abada	ʔ ɐ b aː d̪ ɐ
abadesa	ʔ ɐ b ɐ d̪ ɛː s ɐ
Abadiano	ʔ ɐ b ɐ d d͡ʒ aː n̪ o
Abadiano	ʔ ɐ b ɐ d̪ j aː n̪ o
Abadiano	ʔ ɐ b ɐ d̪ j aː n̪ o
Abadilla	ʔ ɐ b ɐ d̪ i l j ɐ
abadiya	ʔ ɐ b ɐ d̪ iː j ɐ
abadya	ʔ ɐ b ɐ d d͡ʒ a
abadya	ʔ ɐ b ɐ d̪ j a
abadya	ʔ ɐ b ɐ d̪ j a
abadyato	ʔ ɐ b ɐ d d͡ʒ aː t̪ o
abadyato	ʔ ɐ b ɐ d̪ j aː t̪ o
abadyato	ʔ ɐ b ɐ d̪ j aː t̪ o
abahin	ʔ ɐ b ɐ h ɪ n̪
abain	ʔ ɐ b ɐ ʔ ɪ n̪
abaka	ʔ ɐ b ɐ x a
abakada	ʔ ɐ b ɐ x aː d̪ ɐ
abakahan	ʔ aː b ɐ x aː h ɐ n̪
abakahan	ʔ aː b ɐ x ɐ h a n̪
abakahan	ʔ ɐ b ɐ x ɐ h a n̪
abako	ʔ ɐ b ɐ x o
abako	ʔ aː b ɐ x o
abakus	ʔ aː b ɐ x ʊ s
abala	ʔ ɐ b aː l ɐ
abala	ʔ ɐ b ɐ l a
abalahin	ʔ ɐ b ɐ l aː h ɪ n̪
abaloni	ʔ ɐ b ɐ l oː n̪ ɪ
abaloryo	ʔ ɐ b ɐ l o ɾ j o
Abalos	ʔ aː b ɐ l o s
abanderada	ʔ ɐ b ɐ n̪ d̪ ɛ ɾ aː d̪ ɐ
abanderado	ʔ ɐ b ɐ n̪ d̪ ɛ ɾ aː d̪ o
abandona	ʔ ɐ b ɐ n̪ d̪ o n̪ a
abandonada	ʔ ɐ b ɐ n̪ d̪ o n̪ aː d̪ ɐ
abandonado	ʔ ɐ b ɐ n̪ d̪ o n̪ aː d̪ o
abandono	ʔ ɐ b ɐ n̪ d̪ oː n̪ o
abaniko	ʔ ɐ b ɐ n̪ iː x o
abanse	ʔ ɐ b a n̪ s ɛ
abante	ʔ ɐ b a n̪ t̪ ɛ
abang	ʔ ɐ b a ŋ
abangan	ʔ aː b aː ŋ ɐ n̪
abangan	ʔ ɐ b ɐ ŋ a n̪
abangan	ʔ ɐ b aː ŋ ɐ n̪
abangers	ʔ ɐ b aː ŋ ə ɹ s
Abarca	ʔ ɐ b a ɾ k ɐ
abarisya	ʔ ɐ b ɐ ɾ iː ʃ ɐ
abarisya	ʔ ɐ b ɐ ɾ i s j ɐ
abarisya	ʔ ɐ b ɐ ɾ i s j ɐ
abarka	ʔ ɐ b ɐ ɾ k a
abarkador	ʔ ɐ b ɐ ɾ k ɐ d̪ o ɾ
abaro	ʔ ɐ b aː ɾ o
abaseria	ʔ ɐ b ɐ s ɛ ɾ iː j ɐ
abaseriya	ʔ ɐ b ɐ s ɛ ɾ iː j ɐ
abasero	ʔ ɐ b ɐ s ɛː ɾ o
abaserya	ʔ ɐ b ɐ s ɛ ɾ j a
abastesedor	ʔ ɐ b ɐ s t̪ ɛ s ɛ d̪ o ɾ
abasto	ʔ ɐ b a s t̪ o
abat	ʔ ɐ b a t̪̚
abatan	ʔ aː b aː t̪ ɐ n̪
abatan	ʔ ɐ b ɐ t̪ a n̪
abate	ʔ ɐ b aː t̪ ɛ
abay	ʔ aː b a ɪ̯
abay	ʔ ɐ b a ɪ̯
abaya	ʔ ɐ b aː j ɐ
Abaya	ʔ ɐ b aː j ɐ
abayan	ʔ ɐ b aː j ɐ n̪
abayan	ʔ ɐ b ɐ j a n̪
Abby	ʔ aː b ɪ
abdika	ʔ ɐ b d̪ ɪ x a
abdikasyon	ʔ ɐ b d̪ ɪ x ɐ ʃ o n̪
abdikasyon	ʔ ɐ b d̪ ɪ x ɐ s j o n̪
abdikasyon	ʔ ɐ b d̪ ɪ x ɐ s j o n̪
abdomen	ʔ ɐ b d̪ oː m ɛ n̪
abdomen	ʔ a b d̪ o m ɛ n̪
abdominal	ʔ ɐ b d̪ o m ɪ n̪ a l
abduksiyon	ʔ ɐ b d̪ ʊ k ʃ o n̪
abduksiyon	ʔ ɐ b d̪ ʊ k s j o n̪
abduksiyon	ʔ ɐ b d̪ ʊ k s j o n̪
abduksyon	ʔ ɐ b d̪ ʊ k ʃ o n̪
abduksyon	ʔ ɐ b d̪ ʊ k s j o n̪
abduksyon	ʔ ɐ b d̪ ʊ k s j o n̪
Abdurahman	ʔ ɐ b d̪ ʊ ɾ ɐ m a n̪
Abe	ʔ aː b ɛ
abece	ʔ ɐ b ɛ s ɛ
abece	ʔ aː b ɛː s ɛ
abeha	ʔ ɐ b ɛː h ɐ
abehera	ʔ ɐ b ɛ h ɛː ɾ ɐ
abehero	ʔ ɐ b ɛ h ɛː ɾ o
Abejuela	ʔ ɐ b ɛ h w ɛː l ɐ
Abel	ʔ ɐ b ɛ l
Abelgas	ʔ ɐ b ɛ l ɡ a s
Abella	ʔ ɐ b ɛ l j ɐ
Abellano	ʔ ɐ b ɛ l j aː n̪ o
Abellera	ʔ ɐ b ɛ l j ɛː ɾ ɐ
abelyana	ʔ ɐ b ɛ l j aː n̪ ɐ
