aba	a b a
abdikacjô	a b d i k a t͡s j ɞ
abdikòwac	a b d i k w ɛ v a t͡s
abecadło	a b ɛ t͡s a d w ɔ
abecadłowi	a b ɛ t͡s a d w ɔ v i
absolucjô	a p s ɔ l u t͡s j ɞ
absolut	a p s ɔ l u t
absolutizm	a p s ɔ l u t i z m
absolutorium	a p s ɔ l u t ɔ r j u m
absolwent	a p s ɔ l v ɛ n t
absorbòwac	a p s ɔ r b w ɛ v a t͡s
absorpcjô	a p s ɔ r p t͡s j ɞ
absorpcëjô	a p s ɔ r p t͡s ɜ j ɞ
abstinent	a p s t i n ɛ n t
abstinentka	a p s t i n ɛ n t k a
abstrachòwanié	a p s t r a x w ɛ v a ɲ e
abstrahòwac	a p s t r a x w ɛ v a t͡s
abstrakcjô	a p s t r a k t͡s j ɞ
abstrakcyjny	a p s t r a k t͡s i j n i
abstrakcëjô	a p s t r a k t͡s ɜ j ɞ
absurd	a p s u r t
absurdalny	a p s u r d a l n i
abszët	a p ʃ ɜ t
abécadło	a b e t͡s a d w ɔ
abë	a b ɜ
abò	a b w ɛ
abònament	a b w ɛ n a m ɛ n t
abònent	a b w ɛ n ɛ n t
abònentka	a b w ɛ n ɛ n t k a
abònowac	a b w ɛ n ɔ v a t͡s
aceton	a t͡s ɛ t ɔ n
acetonowi	a t͡s ɛ t ɔ n ɔ v i
acetylen	a t͡s ɛ t i l ɛ n
acetylenowi	a t͡s ɛ t i l ɛ n ɔ v i
acetón	a t͡s ɛ t o n
ach	a x
Achen	a x ɛ n
Achilles	a x i l l ɛ s
achromaticzny	a x r ɔ m a t i t͡ʃ n i
achtel	a x t ɛ l
achtelk	a x t ɛ l k
achtlowi	a x t l ɔ v i
achtniony	a x t ɲ ɔ n i
achtnąc	a x t n ɔ̃ t͡s
Adam	a d a m
adamaszk	a d a m a ʃ k
adamaszkòwi	a d a m a ʃ k w ɛ v i
adaptacjô	a d a p t a t͡s j ɞ
adaptowac	a d a p t ɔ v a t͡s
adept	a d ɛ p t
adiunkt	a d j u ŋ k t
adiutant	a d j u t a n t
adjustacjô	a d j u s t a t͡s j ɞ
adjustatór	a d j u s t a t o r
adjustatórka	a d j u s t a t o r k a
adjustowac	a d j u s t ɔ v a t͡s
adjé	a d j e
administracjô	a d m i ɲ i s t r a t͡s j ɞ
administracyjny	a d m i ɲ i s t r a t͡s i j n i
administratór	a d m i ɲ i s t r a t o r
administratórka	a d m i ɲ i s t r a t o r k a
administrowac	a d m i ɲ i s t r ɔ v a t͡s
