aa	ɑː
aans	ɑː n s
acht	ɑ x t
Adabei	aː d̥ a b̥ a ɛ̯
Adabei	aː d̥ a b̥ æː
Adachsl	ɑː d̥ ɑ ɡ̥ s l̩
Adress	ɑ d̥ r e̞ s
Adresserl	ɑ d̥ r e̞ s ɐ l
Adresserln	ɑ d̥ r e̞ s ɐ l n̩
Adressn	ɑ d̥ r e̞ s n̩
alla	ɑ l ɑː
allanig	ɑ l ɑː n i ɡ̥
allanig	ɑ l ɑː n i ç
alloa	ɑ l ɔ ɐ̯
amoi	aː m ɔ e
ans	ɑˑ n s
Anser	ɑː n s ɐ
Anser	aː n s ɐ
Antn	ɑ n d̥ː n̩
aufblattln	ɑ ɔ̯ f b̥ l ɑˑ d̥ l̩ n
aufblattln	ɒː f b̥ l ɑˑ d̥ l̩ n
auffa	a u̯ fː ɐ
auffa	ɑ ɔ̯ fː ɐ
auffa	ɒː fː ɐ
auffa	a fː ɐ
auffe	ɑ ɔ̯ f ɛ
auffe	ɒː f ɛ
auffi	a u̯ fː i
auffi	a u̯ fː e
auffi	a fː i
auffi	a fː e
auffiarn	ɑ ɔ̯ fː i ɐ̯ n
auffün	ɑ ɔ̯ fː yː n
auffün	ɒː fː yː n
Aufgåb	ɑ ɔ̯ f ɡ̥ ɔ b̥
aufmåchn	ɑ ɔ̯ f m ɔ x ɴ̩
aufmåchn	ɒː f m ɔ x ɴ̩
aufregn	ɑ ɔ̯ f r eː ŋ
aufregn	ɒː f r e̞ː ŋ
Aug	ɑ ɔ̯ ɡ̥
Aug	ɒː ɡ̥
ausfün	ɑ ɔ̯ s f yː n
ausfün	ɒː s f yː n
ausgschamt	a u̯ s ɡ̥ ʃ ɑː m d̥
ausgschamt	ɑ ɔ̯ s ɡ̥ ʃ ɑː m d̥
ausgschamt	ɒː s ɡ̥ ʃ ɑː m d̥
Auslånd	ɑ ɔ̯ s l ɔ n d̥
Auslånd	ɒː s l ɒ̃ː n d̥
aussa	a sː ɐ
aussa	a u̯ sː ɐ
aussa	ɑ ɔ̯ sː ɐ
aussa	ɒː sː ɐ
aussa	a u̯ sː ɐ
aussa	ɑ ɔ̯ sː ɐ
aussa	ɒː sː ɐ
ausse	a u̯ sː ɛ
ausse	ɑ ɔ̯ sː ɛ
ausse	ɒː sː ɛ
aussi	a u̯ sː i
aussi	ɑ ɔ̯ sː i
aussi	a sː i
Auto	ɑ ɔ̯ d̥ː o
Auto	ɒː d̥ː o
Baa	b̥ ɑː
badln	b̥ ɑː d̥ l̩ n
badlt	b̥ ɑː d̥ l d̥
Bam	b̥ aː m
Bana	b̥ ɑː n ɐ
Bandl	b̥ ɑ n d̥ l̩
banln	b̥ ɑː n l̩ n
banlt	b̥ ɑː n l d̥
Bapperl	b̥ ɑ b̥ ɐ l
Bappn	b̥ ɑ b̥ m
Barterl	b̥ a ɐ̯ t ɐ l
Batz	b̥ ɑː d̥ s
Bayern	b̥ a i̯ ɐ n
Beda	b̥ ɛː d̥ ɐ
bedeitn	b̥ e̞ d̥ ɑ ɛ̯ d̥ː n̩
bedeitn	b̥ e̞ d̥ ɶː d̥ː n̩
bediena	b̥ e̞ d̥ iː n ɐ
bedienan	b̥ e̞ d̥ iː n ɐ n
beicht	b̥ ɑ ɛ̯ ç d̥
beicht	b̥ æː ç d̥
Beichtn	b̥ ɑ ɛ̯ ç d̥ n
Beichtn	b̥ æː ç d̥ n
beichtn	b̥ ɑ ɛ̯ ç d̥ n
beichtn	b̥ æː ç d̥ n
Beidl	b̥ ɛ̃ː d ɫ
beidln	b̥ ɑ ɛ̯ d̥ l̩ n
beidln	b̥ æː d̥ l̩ n
beinånd	b̥ a ɛ̯ n ɔ n d̥
beinånd	b̥ æː n ɒ̃ n d̥
beinånder	b̥ a ɪ̯ n ɒ n d̥ ɐ
beinånder	b̥ a ɛ̯ n ɒ n d̥ ɐ
beinånder	b̥ æː n ɒ n d̥ ɐ
Beisl	b̥ a ɛ s l̩
Beisl	b̥ æː s l̩
Beisl	b̥ æː s ɫ
Bergradl	b̥ e̞ ɐ̯ ɡ̥ r ɑː d̥ l̩
Bersch	b̥ e̞ ɐ̯ ʃ
bes	b̥ ɛ i̯ s
bes	b̥ ɛː s
bes	b̥ ɛ ɐ̯ s
bessa	b̥ e s ɐ
Bett	b̥ e t
Bett	b̥ ɛ t
bettn	b̥ e tː n̩
bettn	b̥ ɛ tː n̩
