abã	a b ə
afundu	a f u n d u
altu	a l t u
anot	a n o t
ãn	ɨ n
cale	k a l e
cantsiva	k a n t͡s i v a
cari	k a r i
carne	k a r n e
cash	k a ʃ
cãndu	k ɨ n d u
cãne	k ɨ n e
cãni	k ɨ n i
cãtsãl	k ə t͡s ə l
cãtsãlush	k ə t͡s ə l u ʃ
cãtsel	k ə t͡s e l
cheni	k e n i
Crãciun	k r ə t͡ʃ u n
crishtin	k r i ʃ t i n
crishtinescu	k r i ʃ t i n e s k u
culunjat	k u l u ɲ a t
dizbash	d i z b a ʃ
domnu	d o m n u
dushman	d u ʃ m a n
dzatsi	d͡z a t͡s i
efharisto	e f h a ɾ i s t o
fãrshãrot	f ə r ʃ ə r o t
fãrsherot	f ə r ʃ e r o t
fleamã	f l e̯ a m ə
grache	ɡ r a k e
grec	ɡ r e k
iarã	j a r ə
iupurar	j u p u r a r
lãcrimos	l ə k r i m o s
limbi	l i m b i
mãgulã	m a ɡ u l ə
mãgurã	m a ɡ u r ə
meturã	m e t u r ə
mur	m u r
oclju	o k ʎ u
pãne	p ɨ n e
pãni	p ɨ n i
peni	p e n i
pitruniclji	p i t r u n i k ʎ i
ploai	p l o̯ a j
Sãmbãtã	s ə m b ə t ə
sãrmã	s ə r m ə
sãrmã	s ə r m ə
sãrmu	s ə r m u
steauã	s t e̯ a w ə
Sucrat	s u k ɾ a t
sutã	s u t ə
tini	t i n i
totãna	t o t ə n a
totãna	t o t n a
totãna	t o n n a
totãna	t o t u n a
totãna	t u t u n a
totãna	t o t u n ə
totãna	t u t u n ə
totãna	t u t a u n a
totãna	t u t ə u n ə
totãna	t u t d i u n ə
tsãn	t͡s ɨ n
tsiva	t͡s i v a
une	u n e
unu	u n u
yinghits	ɣ i n ɡ i t s
yioarã	ɣ i o̯ a r ə
Yuminitse	ɣ u m i n i t s e
