अ	ʌ
अँ	ʌ̃
अँध्यारो	ʌ̃ d̪ j ä ɾ o
अं	ʌ m
अं	ʌ̃
अः	ʌ ɦ ʌ
अः	ʌː
अकास	ʌ k ä s
अखबार	ʌ k̞ʰ b ä r
अगस्ट	ʌ ɡ̞ ʌ s̠ t̠
अग्नि	ʌ ɡ̞ n i
अग्लो	ʌ ɡ̞ l o
अघि	ʌ ɡ̞ i
अङ्गुर	ʌ ŋ ɡ u r
अङ्ग्रेजी	ʌ ŋ ɡ r e d z i
अचार	ʌ t͡s ä r
अञ्चल	ʌ n̻ t͡s ʌ l
अट्ठा	ʌ ʈ̚ ʈʰ ä
अट्ठाईस	ʌ ʈ̚ ʈʰ ä i̯ s
अठचालीस	ʌ ʈʰ t͡s ä l i s
अठतीस	ʌ ɽ t̪ i s
अठतीस	ʌ ʈʰ t̪ i s
अठसट्ठी	ʌ ʈʰ s ʌ ʈ̚ ʈʰ i
अठहत्तर	ʌ ʈʰ ʌ̤ː t̪̚ t̪ ʌ r
अठार	ʌ ʈʰ ä ɾ ʌ
अठासी	ʌ ʈʰ ä s i
अठाह्र	ʌ ʈʰ ä ɾ ʌ
अठ्तीस	ʌ ɽ t̪ i s
अठ्तीस	ʌ ʈʰ t̪ i s
अड्कल	ʌ ɽ k ʌ l
अड्चालीस	ʌ ɽ t͡s ä l i s
अड्तीस	ʌ ɽ t̪ i s
अड्सठ्ठी	ʌ ɽ s ʌ ʈʰ ʈʰ i
अणु	ʌ ɽ̃ u
अण्डा	ʌ ɳ ɖ ä
अतः	ʌ t̪ ʌː
अथवा	ʌ t̪ʰ ʌ w ä
अधिकार	ʌ d̪ i k ä r
अध्यक्ष	ʌ d̪ d̪ e k̚ t͡sʰ e
अध्यक्ष	ʌ d̪ ʌ k̚ t͡sʰ e
अनार	ʌ n ä r
अनावश्यक	ʌ n ä b ʌ s e k
अनावश्यक	ʌ n ä u̯ ʌ s e k
अनावश्यक	ʌ n ä w ʌ s e k
अनि	ʌ n i
अनुपम	ʌ n u p ʌ m
अनुबादक	ʌ n u b ä d̪ ʌ k
अनुमति	ʌ n u m ʌ t̪ i
अनौठो	ʌ n ʌ u̯ ʈʰ o
अन्ठाउन्न	ʌ ɳ ʈʰ ä u̯ nː ʌ
अन्ठानब्बे	ʌ ɳ ʈʰ ä n ʌ b̚ b e
अन्डा	ʌ ɳ ɖ ä
अन्तरराष्ट्रिय	ʌ n̪ t̪ ʌ ɾ ʌ r ä s̠ t̠ r i e
अन्तराष्ट्रिय	ʌ n̪ t̪ ʌ ɾ ä s̠ t̠ r i e
अन्तर्राष्ट्रिय	ʌ n̪ t̪ ʌ rː ä s̠ t̠ r i e
अन्दाजी	ʌ n̪ d̪ ä d z i
अन्य	ʌ nː e
अप्ठेरो	ʌ p̚ ʈʰ e ɾ o
अप्ठ्यारो	ʌ p̚ ʈʰ e ɾ o
अप्ठ्यारो	ʌ p̚ ʈʰ j ä ɾ o
अब	ʌ b ʌ
अभिषेक	ʌ b i s e k
अभिषेक्	ʌ b i s e k
अमाजु	ʌ m ä d z u
अमिलो	ʌ m i l o
अमेरिकन	ʌ m e ɾ i k ʌ n
अमेरिका	ʌ m e ɾ i k ä
अरब	ʌ ɾ ʌ b
अररो	ʌ ɾ ʌ r o
अर्को	ʌ r k o
अर्थ	ʌ r t̪ʰ ʌ
अर्ध	ʌ r d̪ʱ ʌ̤
अर्ब	ʌ r b ʌ
अलिकति	ʌ l i k ʌ t̪ i
अल्गो	ʌ l k o
अल्गो	ʌ l ɡ o
अल्छि	ʌ l̻ t͡sʰ i
अल्छी	ʌ l̻ t͡sʰ i
अल्सि	ʌ l s i
अल्सि	ʌ l̻ t͡sʰ i
अल्सी	ʌ l s i
असल	ʌ s ʌ l
असी	ʌ s i
असोज	ʌ s o d z
अस्ट्रेलिया	ʌ s̠ t̠ r e l i j ä
अस्ति	ʌ s t̪ i
अस्पताल	ʌ s p ʌ t̪ ä l
अस्मान	ʌ s m ä n
अहँ	ʌ ɦ ʌ̃
अहिले	ʌ i̯ l e
अह्राउनु	ʌ ɾ ä u̯ n u
आ	ä
आँखा	ä̃ k̞ʰ ä
आँखीभौं	ä̃ k̞ʰ i ‿ bʱ ʌ̤̃ ũ̯
आँग	ä ŋ
आँग	ä̃ ɡ̞
आँट	ä̃ ʈ
आँटी	ä̃ ʈ i
आँप	ä̃ p
आआफ्नो	ä ä ɸ n o
आआफ्नो	ä ʔ ä ɸ n o
आइतबार	ä i̯ t̪ ʌ b ä r
आइमाई	ä i̯ m ä i̯
आइस्ड	ä i̯ s̠ d̠
आईतबार	ä i̯ t̪ ʌ b ä r
आउनु	ä u̯ n u
आउनुहोस्	ä u̯ n u o s
आकाश	ä k ä s
आकाशे	ä k ä s e
आखर	ä k̞ʰ ʌ r
आगन्तुक	ä ɡ̞ ʌ n̪ t̪ u k
आगो	ä ɡ̞ o
आङ	ä ŋ
आज	ä d͡z ʌ
आठ	ä ʈʰ
आफ्नो	ä ɸ n o
आमा	ä m ä
आमाजु	ä m ä d z u
आमाजु	ʌ m ä d z u
आमाजू	ä m ä d z u
आमाज्यू	ä m ä d z j u
आराम	ä ɾ ä m
आलु	ä l u
आवश्यक	ä b ʌ s e k
आवश्यक	ä w ʌ s e k
आवश्यकता	ä b ʌ s e k̚ t̪ ä
आवश्यकता	ä u̯ ʌ s e k̚ t̪ ä
आश्विन	ä s w i n
आषाढ	ä s ä ɽ
आस्मानी	ä s m ä n i
आहा	ä h ä
इ	i
इँट	ĩ ʈ
इँट्टा	ĩ ʈ̚ ʈ ä
इंडिया	i ɳ ɖ i j ä
इतिहास	i t̪ i ɦ ä s
इन्टरनेट	i ɳ ʈ ʌ r n e ʈ
इन्द्रेनी	i n̪ d̪ r e n i
इस्टोनिया	i s̠ t̠ o n i j ä
इस्लाम	i s l ä m
ई	i
ईँट्टा	ĩ ʈ̚ ʈ ä
ईश्वर	i sː o r
उ	u
उँचाइ	ũ t͡s ä i̯
उँट	ũ ʈ
उखु	u k̞ʰ u
उचाइ	u t͡s ä i̯
उठ्नु	u ʈʰ ɳ u
उड्नु	u ɽ ɳ u
उत्तर	u t̪̚ t̪ ʌ r
उदजन	u d̪ d͡z ʌ n
उदाहरण	u d̪ ä̤ː r ʌ ɽ̃
उनचालीस	u n̻ t͡s ä l i s
उनतीस	u n ʌ t̪ i s
उनन्चालीस	u n ʌ n̻ t͡s ä l i s
उनन्चास	u n ʌ n̻ t͡s ä s
उनन्तीस	u n ʌ n̪ t̪ i s
उनन्पचास	u n ʌ n p ʌ t͡s ä s
उनन्सत्तरी	u n ʌ n s ʌ t̪̚ t̪ ʌ ɾ i
उनन्साठी	u n ʌ n s ä ʈʰ i
उनपचास	u n p ʌ t͡s ä s
उनसाठी	u n s ä ʈʰ i
उनानब्बे	u n ä n ʌ b̚ b e
उनानसय	u n ä n s ʌ e
उनान्असी	u n ä n ʌ s i
उनान्सय	u n ä n s ʌ e
उनासी	u n ä s i
उनी	u n i
उनीहरू	u n i ɦ ʌ ɾ u
उन्चालीस	u n̻ t͡s ä l i s
उन्तीस	u n̪ t̪ i s
उन्नाइस	u nː ä i̯ s
उन्नाईस	u nː ä i̯ s
उन्सत्तरी	u n s ʌ t̪̚ t̪ ʌ ɾ i
उपनिषद्	u p ʌ n i s ʌ d̪
उप्टन्	u p̚ ʈ ʌ n
उफ्रनु	u ɸ r ʌ n u
उभिनु	u b i n u
उमाल्नु	u m ä l n u
उमेर	u m e r
उम्रनु	u m r ʌ n u
उम्लनु	u m l ʌ n u
उसको	u s k o
उसमा	u s m ä
उसलाई	u s l ä i̯
उसले	u s l e
उसिन्नु	u s i nː u
उहाँहरूको	u ä̃ ‿ ɦ ʌ ɾ u k o
उहाँहरूको	w ä̃ː ‿ ɦ ʌ ɾ u k o
उहाहरुको	u ä̃ ‿ ɦ ʌ ɾ u k o
ऊ	u
ऋ	ɾ i
ऋषि	ɾ i s i
ए	e
एउटा	e u̯ ʈ ä
एउटै	e u̯ ʈ ʌ i̯
एक	e k
एकचालीस	e k t͡s ä l i s
एकतीस	e k̚ t̪ i s
एकत्तर	e k ʌ t̪̚ t̪ ʌ r
एकत्तीस	e k ʌ t̪̚ t̪ i s
एकदम	e k̚ d̪ ʌ m
एकसट्ठी	e k s ʌ ʈ̚ ʈʰ i
एकसठ्ठी	e k ʌ s ʌ ʈʰ ʈʰ i
एकहत्तर	e k ʌ̤ː t̪̚ t̪ ʌ r
एकाउन्न	e k ä u̯ nː ʌ
एकानब्बे	e k ä n ʌ b̚ b e
एकासी	e k ä s i
एक्का	e k̚ k ä
एक्काइस	e k̚ k ä i̯ s
एक्काईस	e k̚ k ä i̯ s
एक्काउन्न	e k̚ k ä u̯ nː ʌ
एक्त्तीस	e k̚ t̪ t̪ i s
एगार	e ɡ̞ ä ɾ ʌ
एघार	e ɡ̞ ä r ʌ
एशिया	e s i j ä
एस	e s
एसरी	e s ʌ ɾ i
एसिया	e s i j ä
एस्तो	e s t̪ o
ऐ	ʌ i̯
ऐना	ʌ i̯ n ä
ओ	o
ओइ	o i̯
ओठ	o ʈʰ
ओढ्नु	o ɽ ɳ u
ओढ्ने	o ɽ ɳ e
ओहायो	o ɦ ä j o
औ	ʌ u̯
औंठी	ʌ̃ ũ̯ ʈʰ i
औंला	ʌ̃ ũ̯ l ä
औलो	ʌ u̯ l o
औषधी	ʌ u̯ s ʌ d̪ i
क	k ʌ
कटाउनु	k ʌ ʈ ä u̯ n u
कटि	k ʌ ʈ i
कटी	k ʌ ʈ i
कट्टी	k ʌ ʈ̚ ʈ i
कट्नु	k ʌ ʈ ɳ u
कदर्	k ʌ d̪ ʌ r
कन्या	k ʌ n j ä
कन्या	k ʌ nː j ä
कपाल	k ʌ p ä l
कपास	k ʌ p ä s
कफी	k ʌ ɸ i
कमिज	k ʌ m i d z
कमिला	k ʌ m i l ä
कमिलो	k ʌ m i l o
कमीज	k ʌ m i d z
कम्पनी	k ʌ m p ʌ n i
कम्बल	k ʌ m b ʌ l
कम्मर	k ʌ mː ʌ r
करङ	k ʌ ɾ ʌ ŋ
कराउनु	k ʌ ɾ ä u̯ n u
करोड	k ʌ ɾ o ɽ
कर्णाली	k ʌ r ɽ̃ ä l i
कलम	k ʌ l ʌ m
कलेजो	k ʌ l e d z o
कसको	k ʌ s k o
कसमा	k ʌ s m ä
कसरी	k ʌ h ʌ ɾ i
कसरी	k ʌ s ʌ ɾ i
कसरी	k ʌ x ʌ ɾ i
कसलाई	k ʌ s l ä i̯
कसले	k ɔ l l e
कसले	k ɔ s l e
कसले	k ʌ l l e
कसले	k ʌ s l e
कसैले	k ʌ s ʌ i̯ l e
कस्को	k ʌ s k o
कस्तो	k ʌ s t̪ o
कहाँ	k ä̃ː
कहाँ	k ä̆ h ä̃
कहाँ	k ä̆ ɦ ä̤̃
कहिले	k ʌ i̯ l e
कहिले	k ʌ̤ i̯ l e
काँः	k ä̤̃ː
काँच	k ä̃ t͡s
काँध	k ä̃ d̪
काँसो	k ä̃ s o
कांच	k ä̃ t͡s
काका	k ä k ä
काकी	k ä k i
काख	k ä k̞ʰ
कागज	k ä ɡ̞ ʌ d z
कागत	k ä ɡ̞ ʌ d z
कागत	k ä ɡ̞ ʌ d̪
कागत	k ä ɡ̞ ʌ t̪
कागती	k ä ɡ̞ ʌ t̪ i
काजी	k ä d z i
काट्नु	k ä ʈ ɳ u
काठमाडौँ	k ä ʈʰ m ä ɳ ɖ u
काठमाडौँ	k ä ʈʰ m ä ɽ ʌ̃ ũ̯
काठमाडौं	k ä ʈʰ m ä ɳ ɖ u
काठमाडौं	k ä ʈʰ m ä ɽ ʌ̃ ũ̯
काढ्नु	k ä ɽ ɳ u
कात्तिक	k ä t̪̚ t̪ i k
कापी	k ä p i
कापी	k ʌ p i
काफल	k ä ɸ ʌ l
काम	k ä m
कामना	k ä m ʌ n ä
कामी	k ä m i
काम्लो	k ä m l o
कार	k ä r
कार्तिकेय	k ä r t̪ i k e j ʌ
कार्त्तिक	k ä r t̪̚ t̪ i k
कालो	k ä l o
कालोपाटी	k ä l o p ä ʈ i
किताप	k i t̪ ä p
किताब	k i t̪ ä b
किताबहरू	k i t̪ ä b ‿ ɦ ʌ ɾ u
किन	k i n ʌ
किनकि	k i n ʌ k i
किनभने	k i n ʌ b ʌ n e
किन्नु	k i nː u
किरा	k i ɾ ä
किराना	k i ɾ ä n ä
किशोर	k i s o r
कीरा	k i ɾ ä
कुइरे	k u i̯ ɾ e
कुइरो	k u i̯ ɾ o
कुकुर	k u k u r
कुकुर	k u k̚ k u r
कुक्कुर	k u k̚ k u r
कुखुरा	k u k̞ʰ u ɾ ä
कुचो	k u t͡s o
कुट्नु	k u ʈ ɳ u
कुद्नु	k u d̪ n̪ u
कुन	k u n
कुनचाहिँ	k u n̻ t͡s ä ĩ̯
कुनै	k u n ʌ i̯
कुमारी	k u m ä ɾ i
कुरा	k u ɾ ä
कुरामा	k u ɾ ä m ä
कुरी	k u ɾ i
कुशल	k u s ʌ l
कृपया	k i r p ʌ j ä
कृपया	k ɾ i p ʌ j ä
के	k e
केंद्र	k e n̪ d̪ r ʌ
केई	k e i̯
केको	k e k o
केटा	k e ʈ ä
केटी	k e ʈ i
केमा	k e m ä
केरा	k e ɾ ä
केराउ	k e ɾ ä u̯
केलाई	k e l ä i̯
केले	k e l e
केही	k e i̯
केही	k e ɦ i
कैले	k ʌ i̯ l e
को	k o
कोई	k o i̯
कोठा	k o ʈʰ ä
कोतर्नु	k o t̪ ʌ r n u
कोशिश	k o s i s
कोशी	k o s i
कोही	k o i̯
क्लास	k l ä s
क्ष	t͡sʰ e
क्ष	t͡sʰ ʌ
क्षत्राणी	t͡sʰ ʌ t̪ r ä ɽ̃ i
क्षत्रिय	t͡sʰ ʌ t̪ r i e
क्षमता	t͡sʰ e m ʌ t̪ ä
क्षमता	t͡sʰ ʌ m ʌ t̪ ä
क्षयरोग	t͡sʰ ʌ e ɾ o ɡ̞
क्षेत्र	t͡sʰ e t̪ r ʌ
क्षेत्रिनी	t͡sʰ e t̪ r i n i
क्षेत्री	t͡sʰ e t̪ r i
ख	kʰ ʌ
खतरनाक	kʰ ʌ t̪ ʌ r n ä k
खत्रिनी	kʰ ʌ t̪ r i n i
खत्री	kʰ ʌ t̪ r i
खनाति	kʰ ʌ n ä t̪ i
खनातिनि	kʰ ʌ n ä t̪ i n i
खनातिनी	kʰ ʌ n ä t̪ i n i
खनाती	kʰ ʌ n ä t̪ i
खन्	kʰ ʌ n
खन्नु	kʰ ʌ nː u
खबर	kʰ ʌ b ʌ r
खर	kʰ ʌ r
खरब	kʰ ʌ ɾ ʌ b
खरानी	kʰ ʌ ɾ ä n i
खराब	kʰ ʌ ɾ ä b
खरायो	kʰ ʌ ɾ ä j o
खरी	kʰ ʌ ɾ i
खरीमट्टी	kʰ ʌ ɾ i m ʌ ʈ̚ ʈ i
खर्ब	kʰ ʌ r b ʌ
खल्ती	kʰ ʌ l̪ t̪ i
खस	kʰ ʌ s
खस	kʰ ʌ s ʌ
खसी	kʰ ʌ s i
खस्नु	kʰ ʌ s n u
खा	kʰ ä
खाऊ	kʰ ä u̯
खाजा	kʰ ä d z ä
खाडल	kʰ ä ɽ ʌ l
खाता	kʰ ä t̪ ä
खाते	kʰ ä t̪ e
खाना	kʰ ä n ä
खानु	kʰ ä n u
खानेकुरा	kʰ ä n e k u ɾ ä
खाल्टो	kʰ ä ɭ ʈ o
खाल्डो	kʰ ä ɭ ɖ o
खाल्डो	kʰ ä ɭ ʈ o
खीर	kʰ i r
खुकुरी	kʰ u k u ɾ i
खुट्टा	kʰ u ʈ̚ ʈ ä
खुर्सानी	kʰ u r s ä n i
खुला	kʰ u l ä
खुवाउनु	kʰ u w ä u̯ n u
खुशी	kʰ u s i
खुसी	kʰ u s i
खेल	kʰ e l
खेलकुद	kʰ e l k u d̪
खेल्नु	kʰ e l n u
खैरो	kʰ ʌ i̯ ɾ o
खोज्नु	kʰ o d z n u
खोर्सानी	kʰ o r s ä n i
खोल	kʰ o l
खोल	kʰ o l ʌ
खोला	kʰ o l ä
खोल्नु	kʰ o l n u
ग	ɡ ʌ
गँगटा	ɡ ʌ̃ ɡ̞ ʌ ʈ ä
गएको	ɡ ʌ e k o
गगन	ɡ ʌ ɡ̞ ʌ n
गछ्नु	ɡ ʌ t͡sʰ n u
गणतन्त्र	ɡ ʌ ɽ̃ ʌ t̪ ʌ n̪ t̪ r ʌ
गण्डकी	ɡ ʌ ɳ ɖ ʌ k i
गन्नु	ɡ ʌ nː u
गमला	ɡ ʌ m l ä
गर	ɡ ʌ ɾ ʌ
गराउनु	ɡ ʌ ɾ ä u̯ n u
गराउने	ɡ ʌ ɾ ä u̯ n e
गरि	ɡ ʌ ɾ i
गरुङ्गो	ɡ ʌ ɾ u ŋ ɡ o
गरे	ɡ ʌ ɾ e
गरेको	ɡ ʌ ɾ e k o
गरेर	ɡ ʌ ɾ e r ʌ
गर्	ɡ ʌ r
गर्दा	ɡ ʌ r d̪ ä
गर्दै	ɡ ʌ r d̪ ʌ i̯
गर्न	ɡ ʌ r n ʌ
गर्नको	ɡ ʌ r n ʌ k o
गर्नु	ɡ ʌ r n u
गर्नुहोला	ɡ ʌ r n u o l ä
गर्नुहोस्	ɡ ʌ r n u o s
गर्ने	ɡ ʌ r n e
गर्मी	ɡ ʌ r m i
गल्ती	ɡ ʌ l̪ t̪ i
गह्रुँगो	ɡ ʌ ɾ u ŋ ɡ o
गह्रुंगो	ɡ ʌ ɾ u ŋ ɡ o
गह्रुङ्गो	ɡ ʌ ɾ u ŋ ɡ o
गह्रुङ्ङो	ɡ ʌ ɾ u ŋ ŋ o
गह्रौं	ɡ ʌ ɾ u ŋ ɡ o
गह्रौं	ɡ ʌ ɾ ʌ̃ ũ̯
गा	ɡ ä
गाँउ	ɡ ä̃ ũ̯
गाँठो	ɡ ä̃ ʈʰ o
