ᬅᬃᬘᬵ	a r t͡ʃ ə
ᬅᬃᬣ	a r t ə
ᬅᬓ᭄ᬱᬭ	a k s a r ə
ᬅᬗ᭄ᬕᬭ	a ŋ ɡ a r ə
ᬅᬗ᭄ᬰ	a ŋ s ə
ᬅᬡ᭄ᬥ	a n d ə
ᬅᬣᬯᬵ	a t a w a
ᬅᬤ᭄ᬭᬶ	a d r i
ᬅᬥᬶ	a d i
ᬅᬦ᭄ᬤ	a n d ə
ᬅᬦ᭄ᬥ	a n d ə
ᬅᬭᬶ	a r i
ᬅᬯᬢᬵᬭ	a w a t a r ə
ᬅᬱ᭄ᬝ	a s t ə
ᬅᬲ᭄ᬢ	a s t ə
ᬅᬲ᭄ᬣ	a s t ə
ᬆᬤᬶ	a d i
ᬆᬲᬦ	a s a n ə
ᬇᬦ᭄ᬤ᭄ᬭᬬ	i n d r i j a
ᬉᬓᬶᬃ	u k i r
ᬉᬢ᭄ᬢᬭ	u t a r ə
ᬉᬱᬥ	u s a d ə
ᬋᬤᬶᬢᬾ	r ə d i t e
ᬋᬱᬶ	r ə s i
ᬍᬫᬄ	l ə m a h
ᬑᬱᬥᬶ	o s a d i
ᬓᬓᬯᬶᬦ᭄	k a k a w i n
ᬓᬘ	k a t͡ʃ ə
ᬓᬚ	k a d ʒ ə
ᬓᬦ	k a n ə
ᬓᬦᬵ	k a n ə
ᬓᬩᬬᬦ᭄	k a b a j a n
ᬓᬭ	k a r ə
ᬓᬭᬡ	k ə r a n ə
ᬓᬮ	k a l ə
ᬓᬮᬵ	k a l ə
ᬓᬯᬶ	k a w i
ᬓᬵᬭ	k a r ə
ᬓᬵᬮ	k a l ə
ᬓᬸᬡ᭄ᬥ	k u n d a
ᬓᬸᬮᬸᬓ᭄	k u l u ʔ
ᬓᬹᬝ	k u t ə
ᬓᭂᬩᭀᬦ᭄	k ə b o n
ᬓ᭄ᬱᬶᬢᬶ	s i t i
ᬕᬕ	ɡ a ɡ ə
ᬕᬗ᭄ᬲ	ɡ a ŋ s ə
ᬕᬡ	ɡ a n ə
ᬕᬢ	ɡ a t ə
ᬕᬦ	ɡ a n ə
ᬕᬵᬕᬵ	ɡ a ɡ ə
ᬕᬵᬦ	ɡ a n ə
ᬕᭀᬭ	ɡ o r ə
ᬕᭂᬢᬶᬄ	ɡ ə t i h
ᬕᭂᬤᭀᬂ	ɡ ə d o ŋ
ᬕᭂᬦᬶ	ɡ ə n i
ᬕᭂᬮᬃ	ɡ ə l a r
ᬕᭂᬮᬸᬢ᭄	ɡ ə l ʊ t
ᬖᬝ	ɡ a t ə
ᬖᬦ	ɡ a n ə
ᬖᭀᬭ	ɡ o r ə
ᬘᬡ᭄ᬟᬶ	t͡ʃ a n d i
ᬘᬦᬂ	t͡ʃ a n a ŋ
ᬘᬭᬶᬓ᭄	t͡ʃ a r i k
ᬘᬾᬮᬾᬂ	t͡ʃ ɛ l ɛ ŋ
ᬘᭂᬦᬶᬓ᭄	t ʃ ə n i k
ᬚᬗᬦ᭄	d͡ʒ a ŋ a n
ᬚᬮ	d͡ʒ a l ə
ᬚᬶᬯ	d͡ʒ i w ə
ᬚᭀᬕᬾᬤ᭄	d͡ʒ o ɡ e t
ᬚᭂᬍᬫ	d͡ʒ ə l ə m a
ᬚ᭄ᬮᭂᬫ	d͡ʒ ə l ə m a
ᬜᬸᬄ	ɲ u h
ᬝᬶᬓ	t i k ə
ᬢᬧᭂᬮ᭄	t a p ə l
ᬢᬫᬸ	t a m u
ᬢᬭ	t a r ə
ᬢᬭᬵ	t a r ə
ᬢᬭᬸᬡ	t ə r u n a
ᬢᬮᬸᬄ	t a l u h
ᬢᬶᬢᬶ	t i t i
ᬢᬶᬣᬶ	t i t i
ᬢᬷᬃᬢ	t i r t ə
ᬢᬸᬃ	t u r
ᬢᬸᬫ᭄	t ʊ m
ᬢᬹᬃ	t u r
ᬢᭀᬕᭀᬕ᭄	t o ɡ o ɡ
ᬢᭀᬬ	t o j ə
ᬢᭂᬤᬸᬂ	t ə d ʊ ŋ
ᬢᭂᬤᭀᬂ	t ə d o ŋ
ᬢᭂᬥᬸᬂ	t ə d ʊ ŋ
ᬤᬍᬫ᭄	d a l ə m
ᬤᬦ	d a n ə
ᬤᬦ᭄ᬢ	d a n t ə
ᬤᬯᬸᬄ	d a w u h
ᬤᬰ	d a s ə
ᬤᬰᬶ	d a s i
ᬤᬲᬶ	d a s i
ᬤᬵᬦ	d a n ə
ᬤᬵᬦ᭄ᬢ	d a n t ə
ᬤᬵᬰ	d a s ə
ᬤᬵᬲ	d a s ə
ᬤᬶᬦ	d i n ə
ᬤᬶᬧ	d i p ə
ᬤᬷᬃᬖ	d i r ɡ ə
ᬤᬷᬦ	d i n ə
ᬤᬸᬲᬸᬦ᭄	d ʊ s ʊ n
ᬤᬾᬰ	d e s ə
ᬥᬃᬫ	d a r m ə
ᬥᬦ	d a n ə
ᬥᬯᬸᬄ	d a w u h
ᬥᬵᬦ	d a n ə
ᬥᬷᬧ	d i p ə
ᬦᬦ	n a n a
ᬦᬦᬵ	n a n a
ᬦᬭ	n a r ə
ᬦᬵᬕᬭ	n ə ɡ a r ə
ᬦᬵᬝ	n a t ə
ᬦᬵᬣ	n a t ə
ᬦᬵᬭ	n a r ə
ᬦᬷᬢᬶ	n i t i
ᬧᬃᬯ	p a r w ə
ᬧᬚᭂᬕ᭄	p a d͡ʒ ə k
ᬧᬢᬶ	p a t i
ᬧᬢᬶᬂᬕᬶ	p a t i ŋ ɡ i
ᬧᬢ᭄ᬢᬶ	p a t i
ᬧᬤ	p a d ə
ᬧᬥ	p a d ə
ᬧᬦ᭄ᬢᭂᬲ᭄	p a n t ə s
ᬧᬭᭀ	p a r o
ᬧᬮ	p a l ə
ᬧᬯᭀᬗᬦ᭄	p a w o ŋ a n
ᬧᬲᬾᬩᬦ᭄	p a s e b a n
ᬧᬵᬤ	p a d ə
ᬧᬵᬮ	p a l ə
ᬧᬸᬧᬸ	p u p u
ᬧᬸᬧᬸᬢᬦ᭄	p u p u t a n
ᬧᬸᬧᬹ	p u p u
ᬧᬸᬮᭀ	p u l o
ᬧᬾᬜ᭄ᬚᭀᬃ	p e ɲ d͡ʒ o r
ᬧᭂᬓᭂᬦ᭄	p ə k ə n
ᬧᭂᬢᭂᬂ	p ə t ə ŋ
ᬧᭂᬮᬶᬓ᭄	p ə l ī ʔ
ᬧ᭄ᬭᬤ	p ɾ ʌ d̪ ə
ᬧ᭄ᬭᬪᬸ	p r a b u
ᬨᬮ	p a l ə
ᬩᬗ᭄ᬲ	b a ŋ s ə
ᬩᬜᬸ	b a ɲ u
ᬩᬧ	b a p ə
ᬩᬲ	b a s ə
ᬩᬳᬲ᭄	b a ʔ a s
ᬩᬶᬤᬂ	b i d a ŋ
ᬩᬸᬓᬸ	b u k u
ᬩᬸᬢ	b u t ə
ᬩᬸᬢᬸᬄ	b u t u h
ᬩᬸᬤ᭄ᬥ	b u d ə
ᬩᬸᬯᬄ	b u a h
ᬩᭂᬓᭂᬮ᭄	b ə k ə l
ᬩᭂᬦ᭄ᬤᬾᬰ	b ə n d e s ə
ᬩᭂᬭᬲ᭄	b ə r a s
ᬪᬓ᭄ᬢᬶ	b a k t i
ᬪᬬ	b a j a
ᬪᬵᬱ	b a s ə
