กก	k o k̚
กรัด	k r ʌ t̚
กรา	k r a
กราวัย	k r a w ʌ j
กลาเม	k l a m e
กอมมวง	k ɔ m m u ə̯ ŋ
กะ	k ʌ ʔ
กันตูกัน	k ʌ n t u k ʌ n
กากี	k a k i
กาจัก	k a c ʌ k̚ ~ k a t͡ɕ ʌ k̚
กานัน	k a n ʌ n
กาปัยฮ	k a p ʌ i̯ h
กามี	k a m i
กามุง	k a m u ŋ
กายู	k a j u
การัก	k a r ʌ k̚
กาเญา	k a ɲ ʌ w
กาเตาะ	k a t ɔ ʔ
กาเม	k a m e
กาเยด	k a j e t̚ ~ k a j ɪ t̚
กาเยน	k a j e n ~ k a j ɪ n
กาเลา	k a l ʌ w
กาแคก	k a kʰ ɛ k̚
กาโบยจ	k a b o i̯ ʔ ~ k a b ʊ i̯ ʔ
กาโยะฮ	k a j o h ~ k a j ʊ h
กิก	k ɪ k̚
กีตา	k i t a
กีรี	k i r i
กีลากี	k i l a k i
กู	k u
กูกู	k u k u
กูญา	k u ɲ a
กูดา	k u d a
กูนิง	k u n ɪ ŋ
กูปี	k u p i
กูรา	k u r a
กูเญะ	k u ɲ e ʔ ~ k u ɲ ɪ ʔ
กูเมอ	k u m ɤ
กูเละ	k u l e ʔ ~ k u l ɪ ʔ
กูแซะ	k u s ɛ ʔ
กูแญะ	k u ɲ ɛ ʔ
กฺาซี	ɡ a s i
กฺารอยจ	ɡ a r ɔ i̯ ʔ
กฺารับ	ɡ a r ʌ p̚
กฺารี	ɡ a r i
กฺาวน	ɡ a w o n
กฺาวะ	ɡ a w ʌ ʔ
กฺาโดะฮ	ɡ a d o h ~ ɡ a d ʊ h
กฺีกฺี	ɡ i ɡ i
กฺีนี	ɡ i n i
กฺีปากฺี	ɡ i p a ɡ i
กฺีลา	ɡ i l a
กฺีเตอ	ɡ i t ɤ
กฺูตล	ɡ u t ʊ ɭ
กฺูตู	ɡ u t u
กฺูรี	ɡ u r i
กฺูลา	ɡ u l a
กฺูเตอ	ɡ u t ɤ
คอด	kʰ ɔ t̚
คีม	kʰ i m
งางา	ŋ a ŋ a
งาจิ	ŋ a c ɪ ʔ
งาตอยจ	ŋ a t ɔ i̯ ʔ
งารอยจ	ŋ a r ɔ i̯ ʔ
งาเญน	ŋ a ɲ e n ~ ŋ a ɲ ɪ n
งาเญาะฮ	ŋ a ɲ ɔ h
งาแญน	ŋ a ɲ ɛ n
งูเตะ	ŋ u t e ʔ ~ ŋ u t ɪ ʔ
จะจะ	c ʌ ʔ c ʌ ʔ ~ t͡ɕ ʌ ʔ t͡ɕ ʌ ʔ
จะจิก	c ʌ ʔ c ɪ k̚ ~ t͡ɕ ʌ ʔ t͡ɕ ɪ k̚
จับ	c ʌ p̚ ~ t͡ɕ ʌ p̚
จัยจ	c ʌ i̯ ʔ ~ t͡ɕ ʌ i̯ ʔ
จารา	c a r a ~ t͡ɕ a r a
จาเระ	c a r e ʔ ~ c a r ɪ ʔ ~ t͡ɕ a r e ʔ ~ t͡ɕ a r ɪ ʔ
จีเจด	c i c e t̚ ~ c i c ɪ t̚ ~ t͡ɕ i t͡ɕ e t̚ ~ t͡ɕ i t͡ɕ ɪ t̚
จูโจะฮ	c u c o h ~ c u c ʊ h ~ t͡ɕ u t͡ɕ o h ~ t͡ɕ u t͡ɕ ʊ h
ซรัย	s r ʌ j
ซา	s a
ซากฺี	s a ɡ i
ซาตัด	s a t ʌ t̚
ซาปัก	s a p ʌ k̚
ซาปา	s a p a
ซามา	s a m a
ซายัก	s a j ʌ k̚
ซารัก	s a r ʌ k̚
ซาละฮ	s a l ʌ h
ซาวารา	s a w a r a
ซาเกะ	s a k e ʔ ~ s a k ɪ ʔ
ซาเบะ	s a b e ʔ ~ s a b ɪ ʔ
ซาเราะ	s a r ɔ ʔ
ซาเลด	s a l e t̚ ~ s a l ɪ t̚
ซาโมยจ	s a m o i̯ ʔ
ซาโวะฮ	s a w o h
ซี	s i
ซีกู	s i k u
ซีงะฮ	s i ŋ ʌ h
ซีงี	s i ŋ i
ซีดี	s i d i
ซีตา	s i t a
ซีปากู	s i p a k u
ซีเซ	s i s e
ซีเระฮ	s i r e h ~ s i r ɪ h
ซีโปยจ	s i p o i̯ ʔ
ซูกา	s u k a
ซูดะฮ	s u d ʌ h
ซูดู	s u d u
ซูรัยจ	s u r ʌ i̯ ʔ
ซูวัยจ	s u w ʌ i̯ ʔ
ซูโงะฮ	s u ŋ o h ~ s u ŋ ʊ h
ซูโรยจ	s u r o i̯ ʔ
ซูโระฮ	s u r o h ~ s u r ʊ h
ซูโละฮ	s u l o h ~ s u l ʊ h
ญา	ɲ a
ญาญี	ɲ a ɲ i
ญามัน	ɲ a m ʌ n
ญาวา	ɲ a w a
ญาเมาะ	ɲ a m ɔ ʔ
ญาเวาะ	ɲ a w ɔ ʔ
ญาแญะ	ɲ a ɲ ɛ ʔ
ญาแระ	ɲ a r ɛ ʔ
ญาโตะ	ɲ a t o ʔ
ดะฮ	d ʌ h
ดักดัก	d ʌ k̚ d ʌ k̚
ดากฺู	d a ɡ u
ดาดา	d a d a
ดาตัก	d a t ʌ k̚
ดาปิก	d a p ɪ k̚
ดามัล	d a m ʌ ɭ
ดาระฮ	d a r ʌ h
ดาลับ	d a l ʌ p̚
ดาวัย	d a w ʌ j
ดาฮัด	d a h ʌ t̚
ดาเมอ	d a m ɤ
ดาโวด	d a w o t̚ ~ d a w ʊ t̚
ดีนิง	d i n ɪ ŋ
ดีฮา	d i h a
ดือนียา	d ɨ n i j a ~ d ə n i j a
ดูรี	d u r i
ดูลี	d u l i
ดูลู	d u l u
ดูวา	d u w a
ดูเวะ	d u w e ʔ ~ d u w ɪ ʔ
ดูโดะ	d u d o ʔ ~ d u d ʊ ʔ
ตรก	t r o k̚ ~ t r ʊ k̚
ตลีงา	t l i ŋ a
ตัง	t ʌ ŋ
ตางัน	t a ŋ ʌ n
ตาญก	t a ɲ o k̚
ตาญา	t a ɲ a
ตานะฮ	t a n ʌ h
ตานา	t a n a
ตาปิฮ	t a p ɪ h
ตาปี	t a p i
ตามาตา	t a m a t a
ตารา	t a r a
ตารี	t a r i
ตาลับ	t a l ʌ p̚
ตาลี	t a l i
ตาฮด	t a h o t̚ ~ t a h ʊ t̚
ตาฮัด	t a h ʌ t̚
ตาฮู	t a h u
ตาแมะ	t a m ɛ ʔ
ตาโกยจ	t a k o i̯ ʔ
ตาโระ	t a r o ʔ ~ t a r ʊ ʔ
ตาโระฮ	t a r o h ~ t a r ʊ h
ตีกอ	t i k ɔ
ตีกฺา	t i ɡ a
ตีมอน	t i m ɔ n
ตีมะฮ	t i m ʌ h
ตีเมอ	t i m ɤ
ตีเมา	t i m ʌ w
ตีโนะ	t i n o ʔ ~ t i n ʊ ʔ
ตูดก	t u d o k̚ ~ t u d ʊ k̚
ตูนู	t u n u
ตูบา	t u b a
ตูปัย	t u p ʌ j
ตูรด	t u r o t̚ ~ t u r ʊ t̚
ตูลก	t u l o k̚ ~ t u l ʊ k̚
ตูละ	t u l ʌ ʔ
ตูลัก	t u l ʌ k̚
ตูลี	t u l i
ตูฮัด	t u h ʌ t̚
ตูฮา	t u h a
ตูโดก	t u d o k̚ ~ t u d ʊ k̚
ตูโปะ	t u p o ʔ ~ t u p ʊ ʔ
ตูโยฺะฮ	t u ɟ o h ~ t u ɟ ʊ h ~ t u d͡ʒ o h ~ t u d͡ʒ ʊ h
ตูโรยจ	t u r o i̯ ʔ ~ t u r ʊ i̯ ʔ
ตูโฮะ	t u h o ʔ ~ t u h ʊ ʔ
ทก	tʰ o k̚
ทานี	tʰ a n i
ทายุ	tʰ a j u ʔ
ทาโยะ	tʰ a j o ʔ ~ tʰ a j ʊ ʔ
ทุย	tʰ ʊ j
นอ	n ɔ
นะ	n ʌ ʔ
นังกฺรี	n ʌ ŋ ɡ r i
นังนัยฮ	n ʌ ŋ n ʌ i̯ h
นัม	n ʌ m
นากา	n a k a
นาซี	n a s i
นาตี	n a t i
นานะ	n a n ʌ ʔ
นามา	n a m a
นารี	n a r i
นาแงะฮ	n a ŋ ɛ h
นีกะฮ	n i k ʌ h
นีบีนี	n i b i n i
นีปิฮ	n i p ɪ h
นีเดะฮ	n i d e h ~ n i d ɪ h
นุยฮ	n u i̯ h
นูตู	n u t u
นูนัง	n u n ʌ ŋ
บรัยฮ	b r ʌ i̯ h
บราซา	b r a s a
บรานี	b r a n i
บรี	b r i
บรีบรี	b r i b r i
บรูตัด	b r u t ʌ t̚
บรูวัก	b r u w ʌ k̚
บลาเยอ	b l a j ɤ
บลูมา	b l u m a
บวยจ	b u ə̯ i̯ ʔ
บัยจ	b ʌ i̯ ʔ
บากัก	b a k ʌ k̚
บางัยจ	b a ŋ ʌ i̯ ʔ
บาจัด	b a c ʌ t̚
บาจา	b a c a ~ b a t͡ɕ a
บาญะ	b a ɲ ʌ ʔ
บาตัน	b a t ʌ n
บาตู	b a t u
บานา	b a n a
บาบี	b a b i
บายฺิ	b a ɟ ɪ ʔ ~ b a d͡ʒ ɪ ʔ
บายฺู	b a ɟ u
บาระฮ	b a r ʌ h
บารัก	b a r ʌ k̚
บารัยจ	b a r ʌ i̯ ʔ
บารี	b a r i
บารู	b a r u
บาลัก	b a l ʌ k̚
บาลัย	b a l ʌ j
บาลิ	b a l ɪ ʔ
บาวะฮ	b a w ʌ h
บาวา	b a w a
บาฮายา	b a h a j a
บาฮู	b a h u
บาเกะ	b a k e ʔ ~ b a k ɪ ʔ
บาเตน	b a t e n ~ b a t ɪ n
บาโตะ	b a t o ʔ
บาโฮะ	b a h o ʔ
บีดิก	b i d ɪ k̚
บีตัก	b i t ʌ k̚
บีนี	b i n i
บีเบ	b i b e
บูกัด	b u k ʌ t̚
บูกิ	b u k ɪ ʔ
บูกุยฮ	b u k u i̯ h
บูกู	b u k u
บูงา	b u ŋ a
บูงี	b u ŋ i
บูบู	b u b u
บูมอ	b u m ɔ
บูมอล	b u m ɔ ɭ
บูรก	b u r o k̚ ~ b u r ʊ k̚
บูริ	b u r ɪ ʔ
บูลัด	b u l ʌ t̚
บูลี	b u l i
บูลู	b u l u
บูวะฮ	b u w ʌ h
บูเกะ	b u k e ʔ ~ b u k ɪ ʔ
บูเลอ	b u l ɤ
บูโระ	b u r o ʔ ~ b u r ʊ ʔ
บูโละฮ	b u l o h ~ b u l ʊ h
บโระ	b r o ʔ ~ b r ʊ ʔ
ปรัก	p r ʌ k̚
ปราฮู	p r a h u
ปลาโนะ	p l a n o ʔ
ปลีตา	p l i t a
ปะ	p ʌ ʔ
ปัยจ	p ʌ i̯ ʔ
ปากฺี	p a ɡ i
ปาคัยจ	p a kʰ ʌ i̯ ʔ
ปาจัก	p a c ʌ k̚
ปาซัก	p a s ʌ k̚
ปาญัก	p a ɲ ʌ k̚
ปาดัก	p a d ʌ k̚
ปาดี	p a d i
ปาตัย	p a t ʌ j
ปานะฮ	p a n ʌ h
ปาปัด	p a p ʌ t̚
ปารัก	p a r ʌ k̚
ปารี	p a r i
ปาลัยฮ	p a l ʌ i̯ h
ปาลา	p a l a
ปาลู	p a l u
ปาฮับ	p a h ʌ p̚
ปาฮา	p a h a
