Abae	aː b e
Abale	aː b a l e
Aballava	a b a l l a v a
Aballavā	a b a l l a v a
Abalē	aː b a l e
Abalī	aː b a l i
Abantiadēs	a b a n t͡s iː a d e s
Abantias	a b a n t͡s i a s
Abas	aː b a s
Abascī	a b a ʃ ʃ i
Abasgī	a b a z d͡ʒ i
Abdēre	a b d ɛː r e
Abdērum	a b d ɛː r u m
Abdērī	a b d ɛː r i
Abdērītēs	a b d e r iː t e s
Abdērō	a b d ɛː r o
Abeloniīs	a b e l ɔː n i i s
Abeloniōrum	a b e l o n i ɔː r u m
Abeloniōs	a b e l ɔː n i o s
Abessālōn	a b e s s aː l o n
Abia	aː b i a
Abiā	aː b i a
Abrāhāmus	a b r a aː m u s
Abrōnium	a b r ɔː n i u m
Abrōniī	a b r ɔː n i i
Abrōniīs	a b r ɔː n i i s
Abrōniō	a b r ɔː n i o
Abrōniōrum	a b r o n i ɔː r u m
Abrōniōs	a b r ɔː n i o s
Abula	aː b u l a
Abundantius	a b u n d a n t͡s i u s
Abæsamis	a b ɛː s̬ a m i s
Abās	aː b a s
Abīa	a b iː a
Abīas	a b iː a s
Acadia	a k aː d i a
Acciō	a t t͡ʃ i o
Accōne	a k k ɔː n e
Accōnem	a k k ɔː n e m
Accōnis	a k k ɔː n i s
Accōnī	a k k ɔː n i
Acestēs	a t͡ʃ ɛ s t e s
Achelōe	a k e l ɔː e
Acheronte	a k e r ɔ n t e
Acherunta	a k e r u n t a
Achille	a k i l l e
Achillem	a k i l l e m
Achillis	a k i l l i s
Achillī	a k i l l i
Achāiae	a k aː i e
Achāiae	a k aː j e
Achāiam	a k aː i a m
Achāiam	a k aː j a m
Achīvī	a k iː v i
Acidīne	a t͡ʃ i d iː n e
Acidīnum	a t͡ʃ i d iː n u m
Acidīnī	a t͡ʃ i d iː n i
Acidīnō	a t͡ʃ i d iː n o
Actaeus	a k t ɛː u s
Acīdalia	a t͡ʃ i d aː l i a
Acīdaliae	a t͡ʃ i d aː l i e
Adalberte	a d a l b ɛ r t e
Adalbertum	a d a l b ɛ r t u m
Adalbertī	a d a l b ɛ r t i
Adalbertō	a d a l b ɛ r t o
Addua	a d d u a
Adelardus	a d e l a r d u s
Ademārus	a d e m aː r u s
Adhelina	a d ɛː l i n a
Adolphe	a d ɔ l f e
Adolphum	a d ɔ l f u m
Adolphī	a d ɔ l f i
Adolphō	a d ɔ l f o
Adriāna	a d r i aː n a
Adriānae	a d r i aː n e
Adriānam	a d r i aː n a m
Adriāne	a d r i aː n e
Adriānum	a d r i aː n u m
Adriānus	a d r i aː n u s
Adriānārum	a d r i a n aː r u m
Adriānās	a d r i aː n a s
Adriānī	a d r i aː n i
Adriānīs	a d r i aː n i s
Adriānō	a d r i aː n o
Adriānōrum	a d r i a n ɔː r u m
Adriānōs	a d r i aː n o s
Adua	aː d u a
Aeaea	e ɛː a
Aeaeae	e ɛː e
Aeaeam	e ɛː a m
Aeaeā	e ɛː a
Aebūtium	e b u t t͡s i u m
Aeduus	ɛː d u u s
Aegisthe	e d͡ʒ i s t e
Aegisthō	e d͡ʒ i s t o
Aegypte	e d͡ʒ i p t e
Aegyptum	e d͡ʒ i p t u m
Aegyptī	e d͡ʒ i p t i
Aegyptō	e d͡ʒ i p t o
Aegīnae	e d͡ʒ iː n e
Aegīnam	e d͡ʒ iː n a m
Aeliō	ɛː l i o
Aenus	ɛː n u s
Aenāriae	e n aː r i e
Aenāriam	e n aː r i a m
Aenēae	e n ɛː e
Aenēā	e n ɛː a
Aenē̆a	e n ɛː a
Aenē̆a	ɛː n e a
Aenē̆ïdos	e n ɛː i d o s
Aeole	ɛː o l e
Aeolum	ɛː o l u m
Aeolī	ɛː o l i
Aeolō	ɛː o l o
Aesacos	ɛː s̬ a k o s
Aeserniam	e s̬ ɛ r n i a m
Aethaliae	e t aː l i e
Aethaliam	e t aː l i a m
Aethalidēn	e t aː l i d e n
Aethalon	ɛː t a l o n
Aetnae	ɛ t n e
Aetnam	ɛ t n a m
Aetnē	ɛ t n e
Aetnēn	ɛ t n e n
Aetnēs	ɛ t n e s
Afrānium	a f r aː n i u m
Agamemnona	a ɡ a m ɛ m n o n a
Agamemnone	a ɡ a m ɛ m n o n e
Agamemnonis	a ɡ a m ɛ m n o n i s
Agamemnonī	a ɡ a m ɛ m n o n i
Agrianēs	a ɡ r iː a n e s
Agrippae	a ɡ r i p p e
Agrippam	a ɡ r i p p a m
Agrius	aː ɡ r i u s
Agriānēs	a ɡ r i aː n e s
Agēnoris	a d͡ʒ ɛː n o r i s
Ahālae	a aː l e
Ahālam	a aː l a m
Aiāce	a j aː t͡ʃ e
Aiācem	a j aː t͡ʃ e m
Aiācibus	a j aː t͡ʃ i b u s
Aiācis	a j aː t͡ʃ i s
Aiācum	a j aː k u m
Aiācēs	a j aː t͡ʃ e s
Aiācī	a j aː t͡ʃ i
Ajāce	a j aː t͡ʃ e
Ajācem	a j aː t͡ʃ e m
Ajācibus	a j aː t͡ʃ i b u s
Ajācis	a j aː t͡ʃ i s
Ajācum	a j aː k u m
Ajācēs	a j aː t͡ʃ e s
Ajācī	a j aː t͡ʃ i
Alabāma	a l a b aː m a
Alasca	a l a s k a
Alba	a l b a
Albem	a l b e m
Alberta	a l b ɛ r t a
Albertus	a l b ɛ r t u s
Albertō	a l b ɛ r t o
Albāna	a l b aː n a
Albānae	a l b aː n e
Albānam	a l b aː n a m
Albāne	a l b aː n e
Albānia	a l b aː n i a
Albānum	a l b aː n u m
Albānus	a l b aː n u s
Albānārum	a l b a n aː r u m
Albānās	a l b aː n a s
Albānīs	a l b aː n i s
Albānō	a l b aː n o
Albānōrum	a l b a n ɔː r u m
Albānōs	a l b aː n o s
Albīnō	a l b iː n o
Alcmēnae	a l k m ɛː n e
Alcmēnam	a l k m ɛː n a m
Alexandrīa	a l e ɡ z a n d r iː a
Algerium	a l̠ʲ d͡ʒ ɛː r i u m
Alienor	a l iː e n o r
Allobrogem	a l l ɔː b r o d͡ʒ e m
Allobrogis	a l l ɔː b r o d͡ʒ i s
Allobrogī	a l l ɔː b r o d͡ʒ i
Alpe	a l p e
Alānus	a l aː n u s
Alāzona	a l a d d͡z o n a
Alāzone	a l a d d͡z o n e
Alōīda	a l o iː d a
Ambibariīs	a m b i b aː r i i s
Ambibariōrum	a m b i b a r i ɔː r u m
Ambibariōs	a m b i b aː r i o s
Ambiliatīs	a m b i l iː a t i s
Ambiliatōrum	a m b i l i a t ɔː r u m
Ambiliatōs	a m b i l iː a t o s
Ambivaretīs	a m b i v aː r e t i s
Ambivaretōrum	a m b i v a r e t ɔː r u m
Ambivaretōs	a m b i v aː r e t o s
Ambuste	a m b u s t e
Ambustum	a m b u s t u m
Ambustī	a m b u s t i
Ambustō	a m b u s t o
Amerī̆ce	a m e r iː t͡ʃ e
Amerī̆ce	a m ɛː r i t͡ʃ e
Amerī̆cum	a m e r iː k u m
Amerī̆cum	a m ɛː r i k u m
Amerī̆cī	a m e r iː t͡ʃ i
Amerī̆cī	a m ɛː r i t͡ʃ i
Amerī̆cō	a m e r iː k o
Amerī̆cō	a m ɛː r i k o
Ammiāne	a m m i aː n e
Ammiānum	a m m i aː n u m
Ammiānī	a m m i aː n i
Ammiānīs	a m m i aː n i s
Ammiānō	a m m i aː n o
Ammiānōrum	a m m i a n ɔː r u m
Ammiānōs	a m m i aː n o s
Ammōnium	a m m ɔː n i u m
Ammōniī	a m m ɔː n i i
Ammōniō	a m m ɔː n i o
Ammōnī	a m m ɔː n i
Amōre	a m ɔː r e
Amȳmōnēn	a m i m ɔː n e n
Amȳmōnēs	a m i m ɔː n e s
Anapa͡uomenae	a n a p a u̯ ɔː m e n e
Anapa͡uomenēn	a n a p a u̯ ɔː m e n e n
Anapa͡uomenēs	a n a p a u̯ ɔː m e n e s
Anchīsēus	a ŋ k i s̬ ɛː u s
Andalusiī	a n d a l uː s̬ i i
Andegāvēnsis	a n d e ɡ a v ɛ n s i s
Andium	a n d i u m
Andria	a n d r i a
Andriae	a n d r i e
Andriae	a n d r iː e
Andriam	a n d r i a m
Andriam	a n d r iː a m
Andromachēn	a n d r ɔː m a k e n
Andromedae	a n d r ɔː m e d e
Andromedam	a n d r ɔː m e d a m
Andromedēn	a n d r ɔː m e d e n
Andromedēs	a n d r ɔː m e d e s
Andrēā	a n d r ɛː a
