ሀሎ	h a l o
ሀያ	h a j a
ሀይቅ	h a j kʼ
ሁለተኛ	h u l ə tː ə ɲː a
ሁለት	h u l ə tː
ሁሉ	h u lː u
ሄሊኮፕተር	h e l i k o p t ə ɾ
ህያ	h ɨ j a
ሆላ	h o l a
ሆርች	h o ɾ t͡ʃ
ሆስፒታል	h o s p i t a l
ሆድ	h o d
ለውዝ	l ə w z
ሉል	l u l
ሊሎ	l i l o
ላለ	l a lː ə
ላም	l a m
ልብ	l ɨ bː
ልዥ	l ɨ ʒ
ልጅ	l ɨ d͡ʒ
ሐለመ	h a l l ə m ə
ሐላሚ	h a l a m i
ሐምሌ	h a m l e
ሐሳብ	h a sː a b
ሐኪም	h a k i m
ሐዋርያ	h a w a r j a
ሐይ	h a jː
ሐጅስ	h a d͡ʒː ɨ s
ሕልም	h ɨ l m
ሕመም	h ɨ m ə m
ሕሙም	h ɨ m u m
ሕዝብ	h ɨ z b
ሕይወት	h ɨ j w ə t
ሕግ	h ɨ ɡː
ሕፃን	h ɨ sʼ a n
ሕፅን	h ɨ sʼ ɨ n
መሄድ	m ə h e d
መላስ	m ə l a s
መላጊያ	m ə l a ɡ i j a
መላጊያ	m ə l l a ɡ i j a
መሞት	m ə m o t
መሮጥ	m ə ɾ o tʼ
መሳቅ	m ə s a kʼ
መስጊድ	m ə s ɡ i d
መቶ	m ə t o
መንግሥት	m ə n ɡ ɨ s t
መከፈቻ	m ə k k ə f ə t͡ʃ a
መኪና	m ə k i n a
መክፈቻ	m ə k f ə t͡ʃ a
መገንባት	m ə ɡ ə n ɨ b a t ɨ
ሙሽራ	m u ʃ ɨ rː a
ሚስት	m i s t
ማረሻ	m a r ə ʃ a
ማነን	m a nː ə n
ማን	m a n
ማንን	m a nː ɨ n
ማንኛቸው	m a nː ɨ ɲː a t͡ʃː ə w
ማንኛችሁ	m a nː ɨ ɲː a t͡ʃː ɨ h u
ማንኛችን	m a nː ɨ ɲː a t͡ʃː ɨ n
ማንኛው	m a nː ɨ ɲː a w
ማንካ	m a n k a
ማን፡ማን	m a n m a n
ምላስ	m ɨ l a s
ምላሽ	m ɨ lː a ʃ
ምርጫ	m ɨ r t͡ʃʼ a
ምስት	m ɨ s t
ምሸት	m ɨ ʃ ə t
ምሼት	m ɨ ʃ e t
ምሽት	m ɨ ʃː ɨ t
ምሾት	m ɨ ʃ o t
ምን	m ɨ n
ምንድር	m ɨ n d ɨ ɾ
ምንድን	m ɨ n d ɨ n
