'tamo'	t a m o
'tamos	t a m o s
'tas	t a s
@	a r o b a
aaleniana	a l e n j a n a
aalenianas	a l e n j a n a s
aaleniano	a l e n j a n o
aalenianos	a l e n j a n o s
Aarón	a a ɾ o n
aarónica	a a ɾ o n i k a
aarónicas	a a ɾ o n i k a s
aarónico	a a ɾ o n i k o
aarónicos	a a ɾ o n i k o s
aaronita	a a ɾ o n i t a
aaronitas	a a ɾ o n i t a s
aba	a b a
abaá	a b a a
abaás	a b a a s
Ababa	a b a b a
ababa	a b a b a
ababábite	a b a b a b i t e
ababábites	a b a b a b i t e s
ababas	a b a b a s
ababilla	a b a b i ʝ a
ababilla	a b a b i ʝ a
ababillaba	a b a b i ʝ a b a
ababillaba	a b a b i ʝ a b a
ababillabais	a b a b i ʝ a b a i s
ababillabais	a b a b i ʝ a b a i s
ababillábamos	a b a b i ʝ a b a m o s
ababillábamos	a b a b i ʝ a b a m o s
ababillaban	a b a b i ʝ a b a n
ababillaban	a b a b i ʝ a b a n
ababillabas	a b a b i ʝ a b a s
ababillabas	a b a b i ʝ a b a s
ababillada	a b a b i ʝ a d a
ababillada	a b a b i ʝ a d a
ababilladas	a b a b i ʝ a d a s
ababilladas	a b a b i ʝ a d a s
ababillado	a b a b i ʝ a d o
ababillado	a b a b i ʝ a d o
ababillados	a b a b i ʝ a d o s
ababillados	a b a b i ʝ a d o s
ababilláis	a b a b i ʝ a i s
ababilláis	a b a b i ʝ a i s
ababillamos	a b a b i ʝ a m o s
ababillamos	a b a b i ʝ a m o s
ababillan	a b a b i ʝ a n
ababillan	a b a b i ʝ a n
ababillándome	a b a b i ʝ a n d o m e
ababillándome	a b a b i ʝ a n d o m e
ababillándonos	a b a b i ʝ a n d o n o s
ababillándonos	a b a b i ʝ a n d o n o s
ababillándoos	a b a b i ʝ a n d o o s
ababillándoos	a b a b i ʝ a n d o o s
ababillándose	a b a b i ʝ a n d o s e
ababillándose	a b a b i ʝ a n d o s e
ababillándote	a b a b i ʝ a n d o t e
ababillándote	a b a b i ʝ a n d o t e
ababillaos	a b a b i ʝ a o s
ababillaos	a b a b i ʝ a o s
ababillar	a b a b i ʝ a ɾ
ababillar	a b a b i ʝ a ɾ
ababillara	a b a b i ʝ a ɾ a
ababillara	a b a b i ʝ a ɾ a
ababillará	a b a b i ʝ a ɾ a
