Anne	ɑ n ə
Bask	b a s k
Belch	b ɛ l x
Bels	b ɛ l s
Fenus	f eː n ə s
Fries	f r i ə̯ s
Frjentsjer	f r j ɛ n t s j ə r
Frysk	f r i s k
Fryslân	f r i s l ɔː n
Grins	ɡ r ɪ n s
Grinslanner	ɡ r ɪ n z l ɔ n ə r
Grinslanners	ɡ r ɪ n z l ɔ n ə s
Grinslân	ɡ r ɪ n z l ɔː n
Ierde	i ə̯ d ə
Iersk	i ə̯ s k
Ingelsk	ɪ ŋ ə l s k
Jupiter	j y p i t ɛ r
Klaaifrysk	k l aː j f r i s k
Ljouwert	l j ɔ u̯ t
Ljouwert	l j ɔ u̯ ə t
Mars	m a r s
Merkurius	m ɛ r k y ə̯ r i ə s
Nederlân	n e d ə r l ɔ̃ː n
Neptunus	n ɛ p t y n ə s
Nyl	n i l
Saturnus	s a t ø r n ə s
Switserlân	s v ɪ t s e r l ɔː n
Terpstra	t ɛ r p s t r aː
Uranus	y r aː n ə s
Wiersma	v i ə̯ s m ə
Wâldfrysk	v ɔː t f r i s k
Yslân	i s l ɔː n
aai	aː j
aai	oː j
aai	ɔː j
aaien	aː j ə n
aaike	aː j k ə
aap	aː p
aapke	aː p k ə
aard	aː t
aarden	aː d ə n
aardsje	aː t s j ə
abt	a p t
abten	a p t ə n
acht	a x t
achten	a x t ə n
achtsje	a x t s j ə
achtste	a k s t ə
achtste	a x s t ə
aed	aː t
aike	a i̯ k ə
alfabet	a l f a b ɛ t
alfabet	ɔ l f a b ɛ t
alfabetten	a l f a b ɛ t ə n
alfabetten	ɔ l f a b ɛ t ə n
alligator	a l i ɡ aː t ɔ r
alligators	a l i ɡ aː t ɔ s
alteast	ɔ l t ɪ ə̯ s t
amfiby	a m f i b i
amfibyen	a m f i b i ə n
amfibys	a m f i b i s
ananas	a n ə n a s
ananassen	a n ə n a s ə n
angel	a ŋ ə l
angels	a ŋ ə l s
angeltsje	a ŋ ə l t s j ə
ansjofisk	aⁿ s j oː f ɪ s k
antwurd	ɔ n t v ø t
antwurden	ɔ n t v ø d ə n
antwurdzje	ɔ n t v ø d z j ə
apel	aː p ə l
apels	aː p ə l s
apeltsje	aː p ə l t s j ə
apen	aː p ə n
appel	a p ə l
appels	a p ə l s
appeltsje	a p ə l t s j ə
april	a p r ɪ l
arbeidster	a r b a i̯ s t ə r
arbeidster	a r b ɛ i̯ s t ə r
arbeidsters	a r b a i̯ s t ə s
ark	a r k
as	a s
as	ɔ s
asjebleaft	a s j ə b l ɪ ə̯ f t
asjebleaft	ɔ s j ə b l ɪ ə̯ f t
aske	ɔ s k ə
asperzje	a s p ɛ r z j ə
asperzjes	a s p ɛ r z j ə s
assen	ɔ s ə n
at	ɔ t
augustus	ɔ u̯ ɡ ø s t ə s
augustussen	ɔ u̯ ɡ ø s t ə s ə n
avesearje	a v ə s j ɛ r j ə
avesearje	a v ə s ɪ ə̯ r j ə
baarch	b aː r x
bakke	b a k ə
baktearje	b a k t ɪ ə̯ r j ə
baktearjen	b a k t ɪ ə̯ r j ə n
baktearjes	b a k t ɪ ə̯ r j ə s
banaan	b a n aː n
banaan	b ə n aː n
banaantsje	b a n aː n t s j ə
banaantsje	b ə n aː n t s j ə
bananen	b a n aː n ə n
bananen	b ə n aː n ə n
bananerepubliken	b a n aː n ə r eː p y b l i k ə n
bananerepubliken	b ə n aː n ə r eː p y b l i k ə n
bananerepublyk	b a n aː n ə r eː p y b l i k
bananerepublyk	b ə n aː n ə r eː p y b l i k
bananerepublykje	b a n aː n ə r eː p y b l i k j ə
bananerepublykje	b ə n aː n ə r eː p y b l i k j ə
banjo	b a n j oː
banjo's	b a n j oː s
banne	b ɔ n n ə
barchje	b a r x j ə
bargefleis	b a r ɣ ə f l a i̯ s
bargefleis	b a r ɣ ə f l ɛ i̯ s
bargen	b a r ɣ ə n
barste	b a s t ə
beaken	b ɪ ə̯ k ə n
beakens	b ɪ ə̯ k ə n s
beakentsje	b ɪ ə̯ k ə n t s j ə
beam	b ɪ ə̯ m
beamke	b j ɛ m k ə
beammen	b j ɛ m ə n
beamte	b j ɛ m t ə
bean	b ɪ ə̯ n
beanen	b ɪ ə̯ n ə n
beanne	b j ɛ n ə
beannen	b j ɛ n ə n
beantsje	b j ɛ n t s j ə
bear	b ɪ ə̯ r
bearen	b ɪ ə̯ r ə n
