अ	ɐ
अंश	ɐ́ n ɕ ɐ
अंश	ɐ́ ɡ m̩ ɕ ɐ
अंश	ɐ̃ ɕ ɐ
अंश	ɐ̃́ ɕ ɐ
अंशक	ɐ̃ ɕ ɐ k ɐ
अंशकरण	ɐ̃ ɕ ɐ k ɐ ɾ ɐ ɳ ɐ
अंशु	ɐ̃ ɕ u
अंशु	ɐ̃ ɕ ú
अंशुक	ɐ̃ ɕ u k ɐ
अंशुमती	ɐ̃ ɕ u m ɐ t iː
अंशुमती	ɐ̃ ɕ u m ɐ t̪ iː
अंशुमत्	ɐ̃ ɕ u m ɐ t
अंशुमत्	ɐ̃ ɕ u m ɐ t̪
अंस	ɐ́ m s ɐ
अंस	ɐ́ ɡ m̩ s ɐ
अंस	ɐ̃ s̪ ɐ
अंस	ɐ̃́ s ɐ
अंसकूट	ɐ̃ s̪ ɐ k uː ʈ ɐ
अंसकूट	ɐ̃́ s ɐ k uː ʈ ɐ
अंसत्र	ɐ̃ s̪ ɐ t̪ ɾ ɐ
अंसत्र	ɐ̃́ s ɐ t ɾ ɐ
अंसपृष्ठ	ɐ̃ s̪ ɐ p r̩ ʂ ʈʰ ɐ
अंसपृष्ठ	ɐ̃́ s ɐ p r̩ ʂ ʈʰ ɐ
अंसफलक	ɐ̃ s ɐ pʰ ɐ l ɐ k ɐ́
अंसफलक	ɐ̃ s̪ ɐ pʰ ɐ l̪ ɐ k ɐ
अंसल	ɐ̃ s ɐ l ɐ
अंसल	ɐ̃ s̪ ɐ l̪ ɐ
अंहस्	ɐ́ n ɦ ɐ s
अंहस्	ɐ́ ɡ m̩ ɦ ɐ s̪
अंहस्	ɐ̃ ɦ ɐ s̪
अंहु	ɐ̃ ɦ u
अंहु	ɐ̃́ ɦ u
अंह्रि	ɐ̃ ɦ ɾ i
अक	ɐ k ɐ
अक	ɐ́ k ɐ
अकथित	ɐ k ɐ tʰ i t ɐ
अकथित	ɐ k ɐ t̪ʰ i t̪ ɐ
अकनिष्ठ	ɐ k ɐ n i ʂ ʈʰ ɐ
अकनिष्ठ	ɐ k ɐ n̪ i ʂ ʈʰ ɐ
अकन्या	ɐ k ɐ n̪ j ɑː
अकम्प्य	ɐ k ɐ m p j ɐ
अकरोत्	ɐ k ɐ ɾ oː t̪
अकरोत्	ɐ́ k ɐ ɾ ɐ w t
अकर्	ɐ k ɐ ɾ
अकर्	ɐ́ k ɐ ɾ
अकर्तिष्यताम्	ɐ k ɐ ɾ t i ʂ j ɐ t ɑː m
अकर्तिष्यताम्	ɐ k ɐ ɾ t̪ i ʂ j ɐ t̪ ɑː m
अकर्तिष्यत्	ɐ k ɐ ɾ t i ʂ j ɐ t
अकर्तिष्यत्	ɐ k ɐ ɾ t̪ i ʂ j ɐ t̪
अकर्तृ	ɐ k ɐ ɾ t r̩
अकर्तृ	ɐ k ɐ ɾ t̪ r̩
अकर्त्स्यताम्	ɐ k ɐ ɾ t s j ɐ t ɑː m
अकर्त्स्यताम्	ɐ k ɐ ɾ t̪ s̪ j ɐ t̪ ɑː m
अकर्त्स्यत्	ɐ k ɐ ɾ t s j ɐ t
अकर्त्स्यत्	ɐ k ɐ ɾ t̪ s̪ j ɐ t̪
अकर्मक	ɐ k ɐ ɾ m ɐ k ɐ
अकर्मन्	ɐ k ɐ ɾ m ɐ n
अकर्मन्	ɐ k ɐ ɾ m ɐ n̪
अकाम	ɐ k ɑː m ɐ
अकार	ɐ k ɑː ɾ ɐ
अकारण	ɐ k ɑː ɾ ɐ ɳ ɐ
अकारणम्	ɐ k ɑː ɾ ɐ ɳ ɐ m
अकारणात्	ɐ k ɑː ɾ ɐ ɳ ɑː t
अकारणात्	ɐ k ɑː ɾ ɐ ɳ ɑː t̪
अकारणे	ɐ k ɑː ɾ ɐ ɳ eː
अकारणे	ɐ k ɑː ɾ ɐ ɳ ɐ j
अकारणेन	ɐ k ɑː ɾ ɐ ɳ eː n̪ ɐ
अकारणेन	ɐ k ɑː ɾ ɐ ɳ ɐ j n ɐ
अकार्य	ɐ k ɑː ɾ j ɐ
अकाल	ɐ k ɑː l ɐ
अकाल	ɐ k ɑː l̪ ɐ
अकालतस्	ɐ k ɑː l ɐ t ɐ s
अकालतस्	ɐ k ɑː l̪ ɐ t̪ ɐ s̪
अकाले	ɐ k ɑː l ɐ j
अकाले	ɐ k ɑː l̪ eː
अकाषीत्	ɐ k ɑː ʂ iː t̪
अकाषीत्	ɐ́ k ɑː ʂ iː t
अकिञ्चन	ɐ k i ɲ t͡ɕ ɐ n̪ ɐ
अकीर्ति	ɐ k iː ɾ t i
अकीर्ति	ɐ k iː ɾ t̪ i
अकीर्तिकर	ɐ k iː ɾ t i k ɐ ɾ ɐ
अकीर्तिकर	ɐ k iː ɾ t̪ i k ɐ ɾ ɐ
अकुशल	ɐ k u ɕ ɐ l ɐ
अकुशल	ɐ k u ɕ ɐ l̪ ɐ
अकूपार	ɐ k uː p ɑː ɾ ɐ
अकृत	ɐ k r̩ t ɐ
अकृत	ɐ k r̩ t̪ ɐ
अकृतज्ञ	ɐ k r̩ t ɐ d͡ʑ ɲ ɐ
अकृतज्ञ	ɐ k r̩ t̪ ɐ d͡ʑ ɲ ɐ
अकृता	ɐ k r̩ t ɑː
अकृता	ɐ k r̩ t̪ ɑː
अकृतार्थ	ɐ k r̩ t ɑː ɾ tʰ ɐ
अकृतार्थ	ɐ k r̩ t̪ ɑː ɾ t̪ʰ ɐ
अकृत्य	ɐ k r̩ t j ɐ
अकृत्य	ɐ k r̩ t̪ j ɐ
अकृष्ट	ɐ k r̩ ʂ ʈ ɐ
अकेश	ɐ k eː ɕ ɐ
अकेश	ɐ k ɐ j ɕ ɐ
अक्का	ɐ k k ɑː
अक्त	ɐ k t ɐ
अक्त	ɐ k t̪ ɐ
अक्तु	ɐ k t ú
