Abel	ǎː b e l
Abesinac	a b e s ǐː n a t͡s
Abesinija	a b e s ǐː n i j a
Abhaz	ǎ b x aː z
Abhazija	ǎ b x aː z i j a
Abhažanka	a b x ǎ ʒ aː n k a
Abidjan	ǎ b i d͡ʒ a n
Abidžan	ǎ b i d͡ʒ a n
Aboridžinica	a b o r ǐ d͡ʒ i n i t͡s a
Adam	ǎ d a m
Aden	âː d e n
Adonis	â d o n i s
Advent	ǎ d ʋ e n t
Afganistan	a f ɡ a n ǐ s t aː n
Afrika	ǎ f r i k a
Afrikanac	a f r i k ǎː n a t͡s
Afrikanka	a f r ǐ k aː n k a
Afričanka	a f r ǐ t͡ʃ aː n k a
Afrodita	a f r ǒ d i t a
Ahil	ǎ x i l
Alabama	a l a b ǎ m a
Albanac	a l b ǎː n a t͡s
Albanija	ǎ l b aː n i j a
Albanka	ǎ l b aː n k a
Aleksandar	a l ě k s aː n d a r
Aleksandrija	a l e k s ǎ n d r i j a
Aljaska	ǎ ʎ a s k a
Alpe	âː l p e
Alžir	ǎ l ʒ iː r
Alžirac	a l ʒ ǐː r a t͡s
Alžirka	ǎ l ʒ iː r k a
Amer	â m e r
Amerika	a m ě r i k a
Amerikanac	a m e r i k ǎː n a t͡s
Amerikanka	a m e r ǐ k aː n k a
Amsterdam	ǎ m s t e r d a m
Ana	â n a
Ana	ǎː n a
Anadolija	a n a d ǒː l i j a
Anatolija	a n a t ǒː l i j a
Andaluzija	a n d ǎ l uː z i j a
Ande	âː n d e
Andora	a n d ôː r a
Andorac	a n d ǒː r a t͡s
Andrija	ǎ n d r i j a
Androklo	a n d r ǒ k l o
Andromaha	a n d r ǒ m a x a
Andromeda	a n d r ǒ m e d a
Angloamerika	a n ɡ l o a m ě r i k a
Anglosaksonac	a n ɡ l o s a k s ǒː n a t͡s
Angola	a n ɡ ôː l a
Angolac	a n ɡ ǒː l a t͡s
Angolka	ǎ n ɡ oː l k a
Anka	âː n k a
Ankara	ǎ n k a r a
Antarktik	a n t ǎ r k t i k
Antarktika	a n t ǎ r k t i k a
Ante	ǎː n t e
Antun	ǎ n t uː n
Apokalipsa	a p o k a l ǐ p s a
Apolon	a p ǒ l oː n
Arabija	ǎ r aː b i j a
Arabljanin	a r ǎː b ʎ a n iː n
Arapin	ǎ r a p i n
Arbanas	a r b ǎ n a s
Ares	âː r e s
Argentina	a r ɡ e n t ǐː n a
Argentinac	a r ɡ e n t ǐː n a t͡s
Aristotel	a r i s t ǒ t e l
Armenac	a r m ěː n a t͡s
Armenija	ǎ r m eː n i j a
Asirac	a s ǐː r a t͡s
Asirija	a s ǐː r i j a
Asturija	ǎ s t uː r i j a
Asturijac	a s t ǔ r iː j a t͡s
Asuan	ǎ s u a n
Atena	a t ěː n a
Atina	a t ǐː n a
Atlanta	a t l ǎ n t a
Atlantida	a t l a n t ǐː d a
Atlantik	a t l ǎ n t i k
Australac	a u s t r ǎː l a t͡s
Australija	a ǔ s t r aː l i j a
Australijanac	a u s t r a l i j ǎː n a t͡s
Austrija	ǎ u s t r i j a
Austrijanac	a u s t r i j ǎː n a t͡s
Avganistan	a ʋ ɡ a n ǐ s t aː n
Azerbajdžan	a z e r b ǎ j d͡ʒ aː n
Azerbajdžanac	a z e r b a j d͡ʒ ǎː n a t͡s
Azija	âː z i j a
Azijac	a z ǐː j a t͡s
Aztek	ǎ z t eː k
Babilon	b â b i l o n
Babilonija	b a b ǐ l oː n i j a
Badnjak	b â d ɲ aː k
Bagdad	b ǎ ɡ d aː d
Bahrein	b ǎ x r e i n
Bajram	b ǎ j r a m
Baku	b ǎ k u
Balec	b a l e t͡s
Balkan	b ǎ l k aː n
Balkanac	b a l k ǎː n a t͡s
Baltik	b ǎ l t i k
Bangkok	b ǎ n ɡ k o k
Bangladeš	b ǎ n ɡ l a d e ʃ
Bar	b âː r
Barbados	b a r b ǎː d o s
Barselona	b a r s e l ǒː n a
Bask	b â s k
Bavarska	b ǎ ʋ aː r s k a
Bačka	b âː t͡ʃ k aː
Belgija	b ěː l ɡ i j a
Belgijanac	b e l ɡ i j ǎː n a t͡s
Belize	b ě l iː z e
Belorusija	b e l o r ǔ s i j a
Benin	b ê n i n
Beocija	b e ǒ t͡s i j a
Beograd	b e ǒ ɡ r a d
Beograd	b ê o ɡ r a d
Beograđanin	b ê o ɡ r a d͡ʑ a n i n
Beograđanka	b ê o ɡ r a d͡ʑ aː n k a
Beotija	b e ǒ t i j a
Berber	b ě r b e r
Berlin	b ě r l iː n
Berlinac	b e r l ǐː n a t͡s
Bern	b êː r n
Beč	b êː t͡ʃ
Bečanin	b ěː t͡ʃ a n i n
Biblija	b ǐ b l i j a
Bizant	b ǐ z a n t
Bizantinac	b i z a n t ǐː n a t͡s
Bjelorusija	b j e l o r ǔ s i j a
Bocvana	b o t͡s ʋ ǎ n a
Bog	b ôː ɡ
Bogdan	b ǒ ɡ d aː n
Bogota	b o ɡ ǒ t a
Bojan	b ǒ j a n
Bolivija	b o l ǐː ʋ i j a
Bolivijac	b o l i ʋ ǐː j a t͡s
Bombaj	b o m b a j
Boris	b ôː r i s
Bosanac	b o s ǎː n a t͡s
Bosna	b ô s n a
Boston	b ô s t o n
Bošnjak	b ǒ ʃ ɲ aː k
Božić	b ǒ ʒ i t͡ɕ
Branimir	b r ǎ n i m i r
Branislav	b r ǎ n i s l a ʋ
Branka	b r âː n k a
Branka	b r ǎː n k a
Branko	b r âː n k o
Bratislava	b r ǎ t i s l a ʋ a
Brač	b r âː t͡ʃ
Bregović	b r ě ɡ o ʋ i t͡ɕ
Breznica	b r ěː z n i t͡s a
Brezničanin	b r ěː z n i t͡ʃ a n i n
Brisel	b r ǐ s e l
Britanac	b r i t ǎː n a t͡s
Britanija	b r ǐ t aː n i j a
Buda	b ǔː d a
Budimpešta	b ǔ d i m p e ʃ t a
Budva	b û d ʋ a
Bugarin	b û ɡ a r i n
Bugarka	b û ɡ aː r k a
Bugarska	b û ɡ a r s k a
Bukurešt	b û k u r e ʃ t
Burma	b ûː r m a
Burmanac	b u r m ǎː n a t͡s
Burmanka	b ǔ r m aː n k a
Burundi	b u r û n d i
Butan	b ǔ t aː n
Buzet	b ǔ z e t
Buzeština	b u z ěː ʃ t i n a
Carigrad	t͡s ǎ r i ɡ r aː d
Cejlon	t͡s ě j l oː n
Cetinjanin	t͡s e t ǐː ɲ a n i n
Cetinje	t͡s ě t i ɲ e
Cigan	t͡s î ɡ aː n
Ciganin	t͡s î ɡ a n i n
Ciganka	t͡s î ɡ aː n k a
Cipar	t͡s î p a r
Crnogorac	t͡s r̩ n ǒ ɡ o r a t͡s
Dacija	d ǎ t͡s i j a
Dagestan	d â ɡ e s t aː n
Dalibor	d ǎ l i b o r
Dalmacija	d a l m a t s i j a
Dalmacija	d ǎ l m aː t s i j a
Dalmatinac	d a l m a t ǐː n a t͡s
Dalmatinka	d a l m ǎ t iː n k a
Dalmoš	d âː l m o ʃ
