ଃ	h
ଅ	ɔ
ଅଖରୋଟ	ɔ kʰ ɔ ɾ o ʈ ɔ
ଅଖାତ	ɔ kʰ a t̪ ɔ
ଅଗୌଣ	ɔ ɡ ɔ u̯ ɳ ɔ
ଅଗ୍ନି	ɔ ɡ n̪ i
ଅଙ୍ଗଠି	ɔ ŋ ɡ ɔ ʈʰ i
ଅଙ୍ଗାରକ	ɔ ŋ ɡ a ɾ ɔ k ɔ
ଅଞ୍ଜନ	ɔ n̪ d͡ʒ ɔ n̪ ɔ
ଅଟା	ɔ ʈ a
ଅଠର	ɔ ʈʰ ɔ ɾ ɔ
ଅଣ	ɔ ɳ ɔ
ଅଣ୍ଡା	ɔ ɳ ɖ a
ଅଣ୍ଡିରା	ɔ ɳ ɖ i ɾ a
ଅଦା	ɔ d̪ a
ଅଧା	ɔ d̪ʱ a
ଅଧିକାର	ɔ d̪ʱ i k a ɾ ɔ
ଅନ୍ଧ	ɔ n̪ d̪ʱ ɔ
ଅନ୍ଧାର	ɔ n̪ d̪ʱ a ɾ ɔ
ଅଫିମ	ɔ pʰ i m ɔ
ଅବଟ	ɔ b ɔ ʈ ɔ
ଅମୃତଭଣ୍ଡା	ɔ m ɾ u t̪ ɔ bʱ ɔ ɳ ɖ a
ଅମ୍ଳଜାନ	ɔ m ɭ ɔ d͡ʒ a n̪ ɔ
ଅଲାବୁ	ɔ l a b u
ଅଶ୍ରୁ	ɔ s ɾ u
ଆ	a
ଆଇନା	a i n̪ a
ଆଈ	a i
ଆଉ	a u
ଆକାଶ	a k a s ɔ
ଆକ୍ରମଣ	a k ɾ ɔ m ɔ ɳ ɔ
ଆଖର	a kʰ ɔ ɾ ɔ
ଆଖି	a kʰ i
ଆଖୁ	a kʰ u
ଆଙ୍ଗୁଠି	a ŋ ɡ u ʈʰ i
ଆଙ୍ଗୁଳି	a ŋ ɡ u ɭ i
ଆଜି	a d͡ʒ i
ଆଠ	a ʈʰ ɔ
ଆଣ୍ଠୁ	a ɳ ʈʰ u
ଆତ୍ମା	a t̪ m a
ଆଥ	a t̪ʰ ɔ
ଆଧୁନିକ	a d̪ʱ u n̪ i k ɔ
ଆମ୍ବ	a m b ɔ
ଆମ୍ବିଳିଆ	a m b i ɭ i a
ଆରବୀ	a ɾ ɔ b i
ଆରମ୍ଭ	a ɾ ɔ m bʱ ɔ
ଆଲୋକ	a l o k ɔ
ଆଳୁ	a ɭ u
ଆସିବା	a s i b a
ଆୟୁ	a j u
ଇ	i
ଇଗଲ	i ɡ ɔ l ɔ
ଇଟା	i ʈ a
ଇଣ୍ଟରନେଟ	i ɳ ʈ ɔ ɾ ɔ n̪ e ʈ ɔ
ଇନ୍ଦୁର	i n̪ d̪ u ɾ ɔ
ଇନ୍ଦ୍ର	i n̪ d̪ ɾ ɔ
ଇନ୍ଧନ	i n̪ d̪ʱ ɔ n̪ ɔ
ଈ	i
ଉ	u
ଉଇକିପିଡ଼ିଆ	u i k i p i ɽ i a
ଉକୁଣି	u k u ɳ i
ଉଚ୍ଚ	u t͡ʃ t͡ʃ ɔ
ଉଟ	u ʈ ɔ
ଉଟଜ	u ʈ ɔ d͡ʒ ɔ
ଉଠିବା	u ʈʰ i b a
ଉଡାଣ	u ɖ a ɳ ɔ
ଉଣେଇଶ	u ɳ e i s ɔ
ଉଦର	u d̪ ɔ ɾ ɔ
ଉପଦେଶ	u p ɔ d̪ e s ɔ
ଉପଯନ୍ତା	u p ɔ d͡ʒ ɔ n̪ t̪ a
ଉଲ	u l ɔ
ଉଲଙ୍ଗ	u l ɔ ŋ ɡ ɔ
ଊ	u
ଋ	ɾ u
ଌ	l u
ଏ	e
ଏକ	e k ɔ
ଏଗାର	e ɡ a ɾ ɔ
ଏପିଡେମିକ୍	e p i ɖ e m i k
ଐ	ɔ i̯
ଓ	o
ଓଟ	o ʈ ɔ
ଓଠ	o ʈʰ ɔ
ଓଡ଼ିଆ	o ɽ i a
ଓଡ଼ିଶା	o ɽ i s a
ଔ	ɔ u̯
ଔଷଧ	ɔ u̯ s ɔ d̪ʱ ɔ
କ	k ɔ
କଖାରୁ	k ɔ kʰ a ɾ u
କଙ୍କାଳ	k ɔ ŋ k a ɭ ɔ
କଟୁ	k ɔ ʈ u
କଦଳୀ	k ɔ d̪ ɔ ɭ i
କମ୍ପ୍ୟୁଟର	k ɔ m p j u ʈ ɔ ɾ ɔ
କରିବା	k ɔ ɾ i b a
କଲା	k ɔ l a
କଲିକତା	k ɔ l i k ɔ t̪ a
କଳିଙ୍ଗ	k ɔ ɭ i ŋ ɡ ɔ
କହିବା	k ɔ h i b a
କ଼	q ɔ
କାକ	k a k ɔ
କାଚ	k a t͡ʃ ɔ
କାଠ	k a ʈʰ ɔ
କାଠିପୋକ	k a ʈʰ i p o k ɔ
କାନ	k a n̪ ɔ
କାମ	k a m ɔ
କାଲି	k a l i
କାହାଣୀ	k a h a ɳ i
କିବୋର୍ଡ଼	k i b o ɾ ɽ ɔ
କୁକୁର	k u k u ɾ ɔ
କୁମ୍ଭକାର	k u m bʱ ɔ k a ɾ ɔ
କୁମ୍ଭାର	k u m bʱ a ɾ ɔ
କୁମ୍ଭାରୁଣି	k u m bʱ a ɾ u ɳ i
କୁହୁଡ଼ି	k u h u ɽ i
କୃମି	k ɾ u m i
କୃଷ୍ଣ	k ɾ u s ɳ ɔ
କେତେବେଲେ	k e t̪ e b e l e
କେନ୍ଦ୍ର	k e n̪ d̪ ɾ ɔ
କେଶ	k e s ɔ
କୋଇଲା	k o i l a
କୋଡ଼ିଏ	k o ɽ i e
କୋଷାତକ	k o s a t̪ ɔ k ɔ
ଖ	kʰ ɔ
ଖଚ୍ଚର	kʰ ɔ t͡ʃ t͡ʃ ɔ ɾ ɔ
ଖଜୁର	kʰ ɔ d͡ʒ u ɾ ɔ
ଖଟ	kʰ ɔ ʈ ɔ
ଖଣି	kʰ ɔ ɳ i
ଖପୁରି	kʰ ɔ p u ɾ i
ଖବର	kʰ ɔ b ɔ ɾ ɔ
ଖ଼	x ɔ
ଖାଇବା	kʰ a i b a
ଖାଦ୍ୟ	kʰ a d̪ j ɔ
ଖାସିବା	kʰ a s i b a
ଖୁଆ	kʰ u a
ଖୋଇ	kʰ o i
ଖୋଡା	kʰ o ɖ a
ଖୋଳିବା	kʰ o ɭ i b a
ଗ	ɡ ɔ
ଗଛ	ɡ ɔ t͡ʃʰ ɔ
ଗଛାଇବା	ɡ ɔ t͡ʃʰ a i b a
ଗଛିବା	ɡ ɔ t͡ʃʰ i b a
ଗଞ୍ଜା	ɡ ɔ n̪ d͡ʒ a
ଗଞ୍ଜାଇ	ɡ ɔ n̪ d͡ʒ a i
ଗତକାଲି	ɡ ɔ t̪ ɔ k a l i
ଗଭୀର	ɡ ɔ bʱ i ɾ ɔ
ଗରମ	ɡ ɔ ɾ ɔ m ɔ
ଗର୍ଜନ	ɡ ɔ ɾ d͡ʒ ɔ n̪ ɔ
ଗ଼	ɣ ɔ
ଗାଁ	ɡ ã
ଗାଇବା	ɡ a i b a
ଗାଈ	ɡ a i
ଗାଜର	ɡ a d͡ʒ ɔ ɾ ɔ
ଗାଡ	ɡ a ɖ ɔ
ଗୋଆ	ɡ o a
ଗୋପାଳ	ɡ o p a ɭ ɔ
ଗୋଲାପ	ɡ o l a p ɔ
ଘ	ɡʱ ɔ
ଘଟ୍ଟ	ɡʱ ɔ ʈ ʈ ɔ
ଘଣ୍ଟା	ɡʱ ɔ ɳ ʈ a
ଘର	ɡʱ ɔ ɾ ɔ
ଘାସ	ɡʱ a s ɔ
ଘୁଷୁରି	ɡʱ u s u ɾ i
ଘୋଡ଼ା	ɡʱ o ɽ a
ଙ	ŋ ɔ
ଚ	t͡ʃ ɔ
ଚଉଦ	t͡ʃ ɔ u d̪ ɔ
ଚକ	t͡ʃ ɔ k ɔ
ଚଟିଆ	t͡ʃ ɔ ʈ i a
ଚନ୍ଦ୍ର	t͡ʃ ɔ n̪ d̪ ɾ ɔ
ଚନ୍ଦ୍ରବିନ୍ଦୁ	t͡ʃ ɔ n̪ d̪ ɾ ɔ b i n̪ d̪ u
ଚର୍ବି	t͡ʃ ɔ ɾ b i
ଚର୍ମ	t͡ʃ ɔ ɾ m ɔ
ଚାକୁ	t͡ʃ a k u
ଚାନ୍ଦୀ	t͡ʃ a n̪ d̪ i
ଚାବି	t͡ʃ a b i
ଚାମଚ	t͡ʃ a m ɔ t͡ʃ ɔ
ଚାରି	t͡ʃ a ɾ i
ଚିଙ୍ଗୁଡ଼ି	t͡ʃ i ŋ ɡ u ɽ i
ଚିଠା	t͡ʃ i ʈʰ a
ଚିଠି	t͡ʃ i ʈʰ i
ଚିତା	t͡ʃ i t̪ a
ଚିନି	t͡ʃ i n̪ i
ଚିନ୍ତା	t͡ʃ i n̪ t̪ a
ଚୀନ	t͡ʃ i n̪ ɔ
ଚୋର	t͡ʃ o ɾ ɔ
ଚୋରାଇବା	t͡ʃ o ɾ a i b a
ଚୋରି	t͡ʃ o ɾ i
ଛ	t͡ʃʰ ɔ
ଛଅ	t͡ʃʰ ɔ ɔ
ଛକୋଣି	t͡ʃʰ ɔ k o ɳ i
ଛତା	t͡ʃʰ ɔ t̪ a
ଛତିଶଗଡ଼	t͡ʃʰ ɔ t̪ i s ɔ ɡ ɔ ɽ ɔ
ଛାତ	t͡ʃʰ a t̪ ɔ
ଛାତ୍ର	t͡ʃʰ a t̪ ɾ ɔ
ଛିଦ୍ର	t͡ʃʰ i d̪ ɾ ɔ
ଛୁତି	t͡ʃʰ u t̪ i
ଛୁରୀ	t͡ʃʰ u ɾ i
ଛୋଟ	t͡ʃʰ o ʈ ɔ
ଜ	d͡ʒ ɔ
ଜଗନ୍ନାଥ	d͡ʒ ɔ ɡ ɔ n̪ n̪ a t̪ʰ ɔ
ଜଡି	d͡ʒ ɔ ɖ i
ଜନନୀ	d͡ʒ ɔ n̪ ɔ n̪ i
ଜନ୍ତୁ	d͡ʒ ɔ n̪ t̪ u
ଜନ୍ମ	d͡ʒ ɔ n̪ m ɔ
ଜମ୍ବୁ	d͡ʒ ɔ m b u
ଜଳ	d͡ʒ ɔ ɭ ɔ
ଜଳଚର	d͡ʒ ɔ ɭ ɔ t͡ʃ ɔ ɾ ɔ
ଜଳିବା	d͡ʒ ɔ ɭ i b a
ଜହ୍ନ	d͡ʒ ɔ h n̪ ɔ
ଜ଼	z ɔ
ଜାଣିବା	d͡ʒ a ɳ i b a
ଜାମାଇକା	d͡ʒ a m a i k a
ଜିଭ	d͡ʒ i bʱ ɔ
ଜୀବ	d͡ʒ i b ɔ
ଜୀବନ	d͡ʒ i b ɔ n̪ ɔ
ଜେଜେବାପା	d͡ʒ e d͡ʒ e b a p a
ଜୋଡା	d͡ʒ o ɖ a
ଜୋତା	d͡ʒ o t̪ a
ଜ୍ଞାନ	d͡ʒ n̪ a n̪ ɔ
ଜ୍ୱାଇଁ	d͡ʒ w a ĩ
ଝ	d͡ʒʱ ɔ
ଝ଼	ʒ ɔ
ଝାଡୁ	d͡ʒʱ a ɖ u
ଝିଅ	d͡ʒʱ i ɔ
ଝୁଲାଇବା	d͡ʒʱ u l a i b a
ଞ	n̪ ɔ
ଟ	ʈ ɔ
ଟାପୁ	ʈ a p u
ଠ	ʈʰ ɔ
ଠାଣା	ʈʰ a ɳ a
ଠିକ	ʈʰ i k ɔ
ଡ	ɖ ɔ
ଡଙ୍ଗା	ɖ ɔ ŋ ɡ a
ଡର	ɖ ɔ ɾ ɔ
ଡ଼	ɽ ɔ
ଡାଲମା	ɖ a l ɔ m a
ଡାଳ	ɖ a ɭ ɔ
ଡେଣା	ɖ e ɳ a
ଢ	ɖʱ ɔ
ଢ଼	ɽʱ ɔ
ଣ	ɳ ɔ
ତ	t̪ ɔ
ତମାଖୁ	t̪ ɔ m a kʰ u
ତରବର	t̪ ɔ ɾ ɔ b ɔ ɾ ɔ
ତରାଜୁ	t̪ ɔ ɾ a d͡ʒ u
ତାଜିକିସ୍ତାନ	t̪ a d͡ʒ i k i s t̪ a n̪ ɔ
ତାରା	t̪ a ɾ a
ତାଲା	t̪ a l a
ତିକ୍ତ	t̪ i k t̪ ɔ
ତିନି	t̪ i n̪ i
ତୁମଡ଼ୀ	t̪ u m ɔ ɽ i
ତୃଷା	t̪ ɾ u s a
ତେର	t̪ e ɾ ɔ
ତେଲ	t̪ e l ɔ
ଥ	t̪ʰ ɔ
ଥଣ୍ଡା	t̪ʰ ɔ ɳ ɖ a
ଥନ	t̪ʰ ɔ n̪ ɔ
