Aaju	a a j u
Aajunnguaq	a a j u ŋ ŋ u a q
Aalut	a a l u t
Aani	a a n i
Aapalaat	a a p a l a a t
Aappalaat	a a p p a l a a t
Aggu	a ɡ ɡ u
Ajortorsuaq	a j u r t u r s u a q
Alaakkilli	a l a a k k i l l i
Amaasa	a m a a s a
Amaasi	a m a a s i
Aminnguaq	a m i ŋ ŋ u a q
Amma	a m m a
Ammak	a m m a k
Angerla	a ŋ i r l a
Angerlannguaq	a ŋ i r l a ŋ ŋ u a q
Angerlartoq	a ŋ i r l a r t u q
Angerlartunnguaq	a ŋ i r l a r t u ŋ ŋ u a q
Annassi	a n n a s s i
Anniita	a n n i i t a
Aputsiaq	a p u t s i a q
Aqqalu	a q q a l u
Arnannguaq	a r n a ŋ ŋ u a q
Atangana	a t a ŋ a n a
Augo	a u ɡ u
Avannaa	a v a n n a a
Avannaarsua	a v a n n a a r s u a
Avatannguaq	a v a t a ŋ ŋ u a q
Avataq	a v a t a q
Avgo	a v ɡ u
Aviaaja	a v i a a j a
Aviaq	a v i a q
Biina	p i i n a
Bikki	p i k k i
Bolatta	p u l a t t a
Efa	i f a
Erneeraq	i r n i i r a q
Fari	f a r i
Folketingi	f u l k i t i ŋ i
Iisaaq	i i s a a q
Ilasiaq	i l a s i a q
Illoqqortoormiut	i l l u q q u r t u u r m i u t
Imaanu	i m a a n u
Inaluk	i n a l u k
Inatsisartut	i n a t s i s a r t u t
Intalik	i n t a l i k
Inuk	i n u k
Inunnguaq	i n u ŋ ŋ u a q
Inutsiaq	i n u t s i a q
Inuuteq	i n u u t i q
Issittoq	i s s i t t u q
Ivalu	i v a l u
Ivik	i v i k
Ivinnguaq	i v i ŋ ŋ u a q
Jaaja	j a a j a
Jaappili	j a a p p i l i
Japanimiu	j a p a n i m i u
Jarte	j a r t i
Jarti	j a r t i
Jense	j i n s i
Jooriina	j u u r i i n a
Joorsi	j u u r s i
Juaanna	j u a a n n a
Jukku	j u k k u
Juuna	j u u n a
Kaaliina	k a a l i i n a
Kajistiaat	k a j i s t i a a t
Kalistat	k a l i s t a t
Kalistiaat	k a l i s t i a a t
Kaluliit	k a l u l i i t
Kariita	k a r i i t a
Katta	k a t t a
Kattak	k a t t a k
Kattaliit	k a t t a l i i t
Kiista	k i i s t a
Kiistat	k i i s t a t
Kiistiina	k i i s t i i n a
Kikivik	k i k i v i k
Kikkik	k i k k i k
Kimmernaq	k i m m i r n a q
Kista	k i s t a
Kitura	k i t u r a
Kuluk	k u l u k
Kulunnguaq	k u l u ŋ ŋ u a q
Kunngu	k u ŋ ŋ u
Kunuk	k u n u k
Kuunu	k u u n u
Laakki	l a a k k i
Laannguaq	l a a ŋ ŋ u a q
Lippikka	l i p p i k k a
Maalat	m a a l a t
Maalia	m a a l i a
Maaliaanna	m a a l i a a n n a
Maannguaq	m a a ŋ ŋ u a q
Maariu	m a a r i u
Maasi	m a a s i
Makka	m a k k a
Makkak	m a k k a k
Makkalitta	m a k k a l i t t a
Malake	m a l a k i
Maliina	m a l i i n a
Mannarsi	m a n n a r s i
Masaana	m a s a a n a
Masaatsiaq	m a s a a t s i a q
Masaitsiaq	m a s a i t s i a q
Masauna	m a s a u n a
Mase	m a s i
Mate	m a t i
Matta	m a t t a
Mattaliit	m a t t a l i i t
Meqqusaaq	m i q q u s a a q
Mikaali	m i k a a l i
Mikkili	m i k k i l i
Minik	m i n i k
Naalakkersuisut	n a a l a k k i r s u i s u t
Naasunnguaq	n a a s u ŋ ŋ u a q
Najaaraq	n a j a a r a q
Najannguaq	n a j a ŋ ŋ u a q
Napaartoq	n a p a a r t u q
Natuk	n a t u k
Niisi	n i i s i
Nikku	n i k k u
Nikkulaat	n i k k u l a a t
Nikkuliinnguaq	n i k k u l i i ŋ ŋ u a q
Nikkuliit	n i k k u l i i t
Nivi	n i v i
Nivikka	n i v i k k a
Norsaq	n u r s a q
Nukannguaq	n u k a ŋ ŋ u a q
Oquna	u q u n a
Orto	u r t u
Ortu	u r t u
Paaliit	p a a l i i t
Paalu	p a a l u
Paarma	p a a r m a
Paarnannguaq	p a a r n a ŋ ŋ u a q
Palleq	p a l l i q
Paneeraq	p a n i i r a q
Paninnguaq	p a n i ŋ ŋ u a q
Parnuuna	p a r n u u n a
Piita	p i i t a
Piitaq	p i i t a q
Pilunnguaq	p i l u ŋ ŋ u a q
Pilutannguaq	p i l u t a ŋ ŋ u a q
Pilutaq	p i l u t a q
Pipaluk	p i p a l u k
Pitse	p i t s i
Pitsi	p i t s i
Qaaqqutsiaq	q a a q q u t s i a q
Qittoora	q i t t u u r a
Qitura	q i t u r a
Qivioq	q i v i u q
Qulutak	q u l u t a k
Qulutana	q u l u t a n a
Qulutannguaq	q u l u t a ŋ ŋ u a q
Qulutaq	q u l u t a q
Qunaaq	q u n a a q
Qunerseeq	q u n i r s i i q
Qupanuk	q u p a n u k
Riikki	r i i k k i
Rikki	r i k k i
Saalat	s a a l a t
Saalu	s a a l u
Saamu	s a a m u
Saamua	s a a m u a
Saarannguaq	s a a r a ŋ ŋ u a q
Sakka	s a k k a
Sakkak	s a k k a k
Salik	s a l i k
Saqqaq	s a q q a q
Seeri	s i i r i
Serminnguaq	s i r m i ŋ ŋ u a q
Sialoorta	s i a l u u r t a
Siimuut	s i i m u u t
Siina	s i i n a
Siiva	s i i v a
Siivali	s i i v a l i
Sikkerneq	s i k k i r n i q
Sikkerninnguaq	s i k k i r n i ŋ ŋ u a q
Sikkersoq	s i k k i r s u q
Suersaq	s u i r s a q
Suusaat	s u u s a a t
Taatsiannguaq	t a a t s i a ŋ ŋ u a q
Taatsiaq	t a a t s i a q
Tasiilaq	t a s i i l a q
Tasmaniamiu	t a s m a n i a m i u
Tiinasi	t i i n a s i
Toornarsuk	t u u r n a r s u k
Tukummeq	t u k u m m i q
Tupaarnaq	t u p a a r n a q
Tuppi	t u p p i
Tuppia	t u p p i a
Uiloq	u i l u q
Ujoorsi	u j u u r s i
Ujuaanna	u j u a a n n a
Ujukku	u j u k k u
Utertoq	u t i r t u q
Utertunnguaq	u t i r t u ŋ ŋ u a q
Uularik	u u l a r i k
Veerti	v i i r t i
a'arpoq	a ɑ p p ɔ q
aaffaffak	a a f f a f f a k
aaffanniaq	a a f f a n n i a q
aaffanniarpoq	a a f f a n n i a r p u q
aaffanniusiorpoq	a a f f a n n i u s i u r p u q
aaffanniut	a a f f a n n i u t
aaffanniutaaruppoq	a a f f a n n i u t a a r u p p u q
aaffappoq	a a f f a p p u q
aaffaq	a a f f a q
aaffarmiippoq	a a f f a r m i i p p u q
aagiak	a a ɡ i a k
aagiaq	a a ɡ i a q
aaja	a a j a
aak	a a k
aakilliorneq	a a k i l l i u r n i q
aakilliorpoq	a a k i l l i u r p u q
aalaakkak	a a l a a k k a k
aalajavoq	a a l a j a v u q
aalaneq	a a l a n i q
aalaq	a a l a q
aalaqqajuppoq	a a l a q q a j u p p u q
aalavoq	a a l a v u q
aali	a a l i
aalisagaq	a a l i s a ɡ a q
aalisaq	a a l i s a q
aalisarpaa	a a l i s a r p a a
aalisarpoq	a a l i s a r p u q
aalisartoq	a a l i s a r t u q
aallaat	a a l l a a t
aamanganiaq	a a m a ŋ a n i a q
aamma	a a m m a
aanaa	a a n a a
aanak	a a n a k
aanaq	a a n a q
aaneq	a a n i q
aap	a a p
aapaalingiagaa	a a p a a l i ŋ i a ɡ a a
aapakaaq	a a p a k a a q
aapakaatsiaq	a a p a k a a t s i a q
aapavoq	a a p a v u q
aappaa	aː p p aː
aappalaarpoq	a a p p a l a a r p u q
aappalaartoq	a a p p a l a a r t u q
aappalajaarpoq	a a p p a l a j a a r p u q
aappalajappoq	a a p p a l a j a p p u q
aappalik	a a p p a l i k
aappallarippoq	a a p p a l l a r i p p u q
aappallarissoq	a a p p a l l a r i s s u q
aappalloqut	a a p p a l l u q u t
aappaluarpoq	a a p p a l u a r p u q
aappalujappoq	aː p p a l u j a p p ɔ q
aappalujattoq	aː p p a l u j a t t ɔ q
aappalukujuppoq	a a p p a l u k u j u p p u q
aappalunguserpoq	a a p p a l u ŋ u s i r p u q
aappaluppoq	a a p p a l u p p u q
aappaluttoq	a a p p a l u t t u q
aappaq	a a p p a q
aappariit	a a p p a r i i t
aappersariaq	a a p p i r s a r i a q
aappilattoq	a a p p i l a t t u q
aappillerpoq	a a p p i l l i r p u q
aaq	a a q
aaqanngitsoq	a a q a ŋ ŋ i t s u q
aaqarpoq	a a q a r p u q
aaqartarneq	a a q a r t a r n i q
aaqqat	a a q q a t
aariak	a a r i a k
aarlaat	a a r l a a t
aarlorpoq	a a r l u r p u q
aarlorussivoq	a a r l u r u s s i v u q
aarluarsuk	a a r l u a r s u k
aarluk	a a r l u k
aasiak	a a s i a k
aasik	a a s i k
aataa	a a t a a
aataaliannguaq	a a t a a l i a ŋ ŋ u a q
aataaq	a a t a a q
aataq	a a t a q
aatsaat	a a t s a a t
aatsippaa	a a t s i p p a a
aatsitassaq	a a t s i t a s s a q
aattorpaa	a a t t u r p a a
aavaa	a a v a a
aavarfik	a a v a r f i k
aavariarpoq	a a v a r i a r p u q
aavarpaa	a a v a r p a a
aavarpoq	a a v a r p u q
aaveq	a a v i q
aavooq	a a v u u q
aavoq	a a v u q
abrikosi	a p r i k u s i
afrikarmiu	a f r i k a r m i u
agguaappai	a ɡ ɡ u a a p p a i
agguaqatigiissitaq	a ɡ ɡ u a q a t i ɡ i i s s i t a q
agguarneqarsinnaasoq	a ɡ ɡ u a r n i q a r s i n n a a s u q
agguarpaa	a ɡ ɡ u a r p a a
aggustusi	a ɡ ɡ u s t u s i
agiamineq	a ɡ i a m i n i q
agiaq	a ɡ i a q
agiorpoq	a ɣ iʲ ɔ p p ɔ q
aja	a j a
ajaa	a j a a
ajaaq	a j a a q
ajak	a j a k
ajornanngilaq	a j u r n a ŋ ŋ i l a q
ajornarpoq	a j u r n a r p u q
ajornartorsiut	a j u r n a r t u r s i u t
ajorpaa	a j u r p a a
ajorpoq	a j u r p u q
ajorsaarivoq	a j u r s a a r i v u q
ajunaarneq	a j u n a a r n i q
ajunngilaq	a j u ŋ ŋ i l a q
ajuusaarnarpoq	a j u u s a a r n a r p u q
ajuusaarpoq	a j u u s a a r p u q
akaarinnittoq	a k a a r i n n i t t u q
akiitsut	a k i i t s u t
akiliut	a k i l i u t
akissut	a k i s s u t
akisussaaffik	a k i s u s s a a f f i k
akkusativi	a k k u s a t i v i
akoqanngilaq	a k u q a ŋ ŋ i l a q
akoqarpoq	a k u q a r p u q
akornanni	a k u r n a n n i
aku	a k u
akueraa	a k u i r a a
akuliuppoq	a k u l i u p p u q
akulleq	a k u l l i q
akunneq	a k u n n i q
alanngialasoq	a l a ŋ ŋ i a l a s u q
alanngialavoq	a l a ŋ ŋ i a l a v u q
alanngoq	a l a ŋ ŋ u q
aleqa	a l i q a
aleqaq	a l i q a q
aleqat	a l i q a t
aleutisut	a l i u t i s u t
aleutit	a l i u t i t
alla	a l l a
allaffeqarfik	a l l a f f i q a r f i k
allaffik	a l l a f f i k
allakkat	a l l a k k a t
allamoorut	a l l a m u u r u t
allappoq	a l l a p p u q
allernaaraq	a l l i r n a a r a q
allernaq	a l l i r n a q
alleroq	a ɬ ɬ ɜ ʁ ɔ q
