'tamo'	t̪ a m o
'tamos	t̪ a m o s
'tas	t̪ a s
ACIP	a s i p
ACNUR	a ɣ̞ n u ɾ
ADIF	a ð̞ i f
AEAT	a e a t̪
AFI	a f i
AFIP	a f i p
AINE	a i̯ n e
AMAF	a m a f
AMBA	ã m b a
AMLO	ã m l o
AMPA	ã m p a
AMPAs	ã m p a s
ANCAP	ã ŋ k a p
ANDA	ã n̪ d̪ a
ANP	a e n e p e
AOVE	a o β̞ e
APEC	a p e k
APRA	a p ɾ a
ARYM	a ɾ ĩ m
ATE	a t̪ e
AVE	a β̞ e
Aarón	a a ɾ õ n
Ababa	a β̞ a β̞ a
Abad	a β̞ a ð̞
Abadiano	a β̞ a ð̞ j a n o
Abadán	a β̞ a ð̞ ã n
Abadón	a β̞ a ð̞ õ n
Abanto	a β̞ ã n̪ t̪ o
Abarca	a β̞ a ɾ k a
Abascal	a β̞ a s k a l
Abdiel	a β̞ ð̞ j e l
Abdías	a β̞ ð̞ i a s
Abdón	a β̞ ð̞ õ n
Abeita	a β̞ e i̯ t̪ a
Abel	a β̞ e l
Abelardo	a β̞ e l a ɾ ð̞ o
Abelito	a β̞ e l i t̪ o
Abellano	a β̞ e ʝ a n o
Abello	a β̞ e ʝ o
Abendaño	a β̞ ẽ n̪ d̪ a ɲ o
Aberásturi	a β̞ e ɾ a s t̪ u ɾ i
Abeyta	a β̞ e i̯ t̪ a
Abigaíl	a β̞ i ɣ̞ a i l
Abimael	a β̞ i m a e l
Abisinia	a β̞ i s i n j a
Abiyán	a β̞ i ʝ ã n
Abjasia	a β̞ x a s j a
Abjazia	a β̞ x a s j a
Abner	a β̞ n e ɾ
Aboitiz	a β̞ o i̯ t̪ i s
Abonce	a β̞ õ n s e
Abraham	a β̞ ɾ a ã m
Abrahán	a β̞ ɾ a ã n
Abram	a β̞ ɾ ã m
Abrego	a β̞ ɾ e ɣ̞ o
Abreo	a β̞ ɾ e o
Abrigo	a β̞ ɾ i ɣ̞ o
Abruzos	a β̞ ɾ u s o s
Absalón	a β̞ s a l õ n
Abundio	a β̞ ũ n̪ d̪ j o
Abuya	a β̞ u ʝ a
Abúndez	a β̞ ũ n̪ d̪ e s
Acajutla	a k a x u t̪ l a
Acandí	a k ã n̪ d̪ i
Acapulco	a k a p u l k o
Acatepeque	a k a t̪ e p e k e
Acaya	a k a ʝ a
