ア	a̠
アイ	a̠ i
アイアイ	a̠ i a̠ i
アイアン	a̠ i ã̠ ɴ
アイエスビーエヌ	a̠ i e̞ s ɨᵝ bʲ iː e̞ n ɯ̟ᵝ
アイオロス	a̠ i o̞ ɾ o̞ s ɨᵝ
アイオワ	a̠ i o̞ ɰᵝ a̠
アイオーン	a̠ i õ̞ː ɴ
アイキュー	a̠ i kʲ ɨᵝː
アイコン	a̠ i k õ̞ ɴ
アイゴー	a̠ i ɡ o̞ː
アイシャドウ	a̠ i ɕ a̠ d o̞ː
アイシャドー	a̠ i ɕ a̠ d o̞ː
アイシング	a̠ i ɕ ĩ ŋ ɡ ɯ̟ᵝ
アイシービーエム	a̠ i ɕ iː bʲ iː e̞ m ɯ̟ᵝ
アイス	a̠ i s ɨᵝ
アイスバーン	a̠ i s ɨᵝ b ã̠ː ɴ
アイスランド	a̠ i s ɨᵝ ɾ ã̠ n d o̞
アイテム	a̠ i t e̞ m ɯ̟ᵝ
アイテル	a̠ i t e̞ ɾ ɯ̟ᵝ
アイテール	a̠ i t e̞ː ɾ ɯ̟ᵝ
アイディア	a̠ i dʲ i a̠
アイディー	a̠ i dʲ iː
アイデンティティ	a̠ i d ẽ̞ n tʲ i tʲ i
アイドル	a̠ i d o̞ ɾ ɯ̟ᵝ
アイナメ	a̠ i n a̠ m e̞
アイヌ	a̠ i n ɯ̟ᵝ
アイピーアドレス	a̠ i pʲ iː a̠ d o̞ ɾ e̞ s ɨᵝ
アイブロウ	a̠ i b ɯ̟ᵝ ɾ o̞ː
アイホール	a̠ i h o̞ː ɾ ɯ̟ᵝ
アイマスク	a̠ i m a̠ s ɨ̥ᵝ k ɯ̟ᵝ
アイライナー	a̠ i ɾ a̠ i n a̠ː
アイライン	a̠ i ɾ a̠ ĩ ɴ
アイルランド	a̠ i ɾ ɯ̟ᵝ ɾ ã̠ n d o̞
アイロニー	a̠ i ɾ o̞ ɲ̟ iː
アイロン	a̠ i ɾ õ̞ ɴ
アインスタイニウム	a̠ ĩ ɰ̃ s ɨ̥ᵝ t a̠ i ɲ̟ i ɯ̟ᵝ m ɯ̟ᵝ
アウグストゥス	a̠ ɯ̟ᵝ ɡ ɯ̟ᵝ s ɨ̥ᵝ t ɯ̟ᵝ s ɨᵝ
アウトサイダー	a̠ ɯ̟ᵝ t o̞ s a̠ i d a̠ː
アウトプット	a̠ ɯ̟ᵝ t o̞ p ɯ̟ᵝ t̚ t o̞
