Chỡ	c əː ⁴
Tảo	t aː w ³
bẳng	ɓ a ŋ ³
bỏi	ɓ ɔ j ³
ca	k aː ¹
caích	k aː c ⁶
chim	c i m ¹
chiễn	c i ə n ⁴
chân	c ə n ¹
chía	c i ə ⁶
chơl	c əː l ¹
chẳm	c a m ³
chẻ	c ɛ ³
chểl	c e l ³
chỉa	c i ə ³
chỉn	c i n ³
chỏ	c ɔ ³
chớp	c əː p ⁶
chữ	c ɨ ⁴
cuông	k w o ŋ ¹
cách	k a c ⁶
câl	k ə l ¹
cúi	k u j ⁵
cơng	k əː ŋ ¹
cả	k aː ³
cảng	k aː ŋ ³
cảo	k aː w ³
cảu	k a w ³
cốch	k o c ⁶
diễnh	j i ə ɲ ⁴
dã	j aː ⁴
gach	ɡ a c ⁷
gể	ɣ e ³
hal	h aː l ¹
hang	h aː ŋ ¹
ho	h ɔ ¹
hôm	h o m ¹
hảo	h aː w ³
hỏl	h ɔ l ³
hỗng	h o ŋ ⁴
hủl	h u l ³
iếch	ʔ i ə c ⁶
khao	kʰ aː w ¹
khu	kʰ u ¹
khuya	kʰʷ i ə ¹
khuỗng	kʰ w o ŋ ⁴
khày	kʰ a j ²
khách	kʰ a c ⁶
khây	kʰ ə j ¹
khã	kʰ aː ⁴
khãu	kʰ a w ⁴
khênh	kʰ e ɲ ¹
không	kʰ o ŋ ¹
khõm	kʰ ɔ m ⁴
khũ	kʰ u ⁴
khả	kʰ aː ³
khảng	kʰ aː ŋ ³
khảu	kʰ a w ³
khấc	kʰ ə k ⁶
khể	kʰ e ³
khễnh	kʰ e ɲ ⁴
khỏl	kʰ ɔ l ³
khủ	kʰ u ³
khữ	kʰ ɨ ⁴
kim	k i m ¹
kènh	k ɛ ɲ ²
kéch	k ɛ k ⁶
kếch	k e c ⁵
lu	l u ¹
là	l aː ²
lãi	l aː j ⁴
lãl	l a l ⁴
lòm	l ɔ m ²
lươnh	l ɨ ə ɲ ¹
lả	l aː ³
lằm	l a m ²
lẽ	l ɛ ⁴
lỉ	l i ³
lốc	l o k ⁵
lổm	l o m ³
maích	m aː c ⁶
muổng	m w o ŋ ³
màl	m aː l ²
mâc	m ə k ⁷
mèo	m ɛ w ²
mòl	m ɔ l ²
môch	m o c ⁷
mõl	m ɔ l ⁴
măt	m a t ⁷
mườl	m ɨ ə l ²
mầl	m ə l ²
mắt	m a t ⁶
mốc	m o k ⁶
mỗl	m o l ⁴
mỗng	m oː ŋ ⁴
mờng	m əː ŋ ²
mởi	m əː j ³
nhãm	ɲ aː m ⁴
nhúc	ɲ u k ⁶
nhỗn	ɲ o n ⁴
nu	n u ¹
nà	n aː ²
nỏ	n ɔ ³
pa	p aː ¹
phân	pʰ ə n ¹
pàng	p aː ŋ ²
páy	p a j ⁵
pó	p ɔ ⁵
pôl	p o l ¹
põ	p ɔ ⁴
păl	p a l ¹
pũn	p u n ⁴
pải	p aː j ³
pần	p ə n ²
pẫu	p ə w ⁴
pẳn	p a n ³
pế	p e ⁵
pểl	p e l ³
pển	p e n ³
pốch	p o c ⁶
pổ	p o ³
pổl	p o l ³
pổn	p o n ³
pỗ	p o ⁴
pớ	p əː ⁵
quang	k w aː ŋ ¹
quêl	k w e l ¹
rác	ɹ aː k ⁶
rầng	r ə ŋ ²
rề	r e ²
rồng	r o ŋ ²
tach	t a c ⁷
thim	tʰ i m ¹
thiểng	tʰ i ə ŋ ³
thô	tʰ o ¹
thôn	tʰ o n ¹
thảm	tʰ aː m ³
thảnh	tʰ a ɲ ³
thắc	tʰ a k ⁶
thằm	tʰ a m ²
thẳm	tʰ a m ³
thốch	tʰ o c ⁶
thổl	tʰ o l ³
ti	t i ¹
tlu	t l u ¹
tlù	t l u ²
tlăm	t l a m ¹
tlăn	t l a n ¹
tlăng	t l a ŋ ¹
tlước	t l ɨ ə k ⁶
tlải	t l aː j ³
tlẳng	t l a ŋ ³
tlẻ	t l ɛ ³
tlồng	t l o ŋ ²
tlỗng	t l o ŋ ⁴
tlời	t l əː j ²
tlởng	t l əː ŋ ³
tái	t aː j ⁵
táy	t a j ⁵
tóc	t ɔ k ⁶
tôl	t o l ¹
tảy	t a j ³
tất	t ə t ⁶
tắc	t a k ⁶
tẳng	t a ŋ ³
tếch	t e c ⁶
tểm	t e m ³
vỏng	v ɔ ŋ ³
wa	w aː ¹
woc	w ɔ k ⁷
woi	w ɔ j ¹
wàng	w aː ŋ ²
wãnh	w a ɲ ⁴
wè	w ɛ ²
wò	w ɔ ²
wẻn	w ɛ n ³
wẽ	w ɛ ⁴
wềl	w e l ²
xiêng	s i ə ŋ ¹
xân	s ə n ¹
xả	s aː ³
xỏ	s ɔ ³
é	ʔ ɛ ⁵
đao	ɗ aː w ¹
đoc	d ɔ k ⁷
đác	ɗ aː k ⁶
đãy	ɗ a j ⁴
đăm	ɗ a m ¹
đưới	ɗ ɨ ə j ⁵
đả	ɗ aː ³
đảinh	ɗ aː ɲ ³
đố	ɗ o ⁵
ảo	aː w ³
ỏng	ɔ ŋ ³
