AFI	a f i
AINE	a i̯ n e
ANDA	ã n̪ d̪ a
ANP	a e n e p e
ARYM	a ɾ ĩ m
ATE	a t̪ e
AVE	a β̞ e
Aarón	a a ɾ õ n
Ababa	a β̞ a β̞ a
Abadiano	a β̞ a ð̞ j a n o
Abadán	a β̞ a ð̞ ã n
Abadón	a β̞ a ð̞ õ n
Abanto	a β̞ ã n̪ t̪ o
Abarca	a β̞ a ɾ k a
Abascal	a β̞ a s k a l
Abdiel	a β̞ ð̞ j e l
Abdías	a β̞ ð̞ i a s
Abdón	a β̞ ð̞ õ n
Abeita	a β̞ e i̯ t̪ a
Abel	a β̞ e l
Abelardo	a β̞ e l a ɾ ð̞ o
Abelito	a β̞ e l i t̪ o
Abellano	a β̞ e ʝ a n o
Abello	a β̞ e ʝ o
Abendaño	a β̞ ẽ n̪ d̪ a ɲ o
Abeyta	a β̞ e i̯ t̪ a
Abigaíl	a β̞ i ɣ̞ a i l
Abimael	a β̞ i m a e l
Abisinia	a β̞ i s i n j a
Abiyán	a β̞ i ʝ ã n
Abjasia	a β̞ x a s j a
Abner	a β̞ n e ɾ
Aboitiz	a β̞ o i̯ t̪ i θ
Abonce	a β̞ õ n̟ θ e
Abraham	a β̞ ɾ a ã m
Abraham	a β̞ ɾ ã m
Abrahán	a β̞ ɾ a ã n
Abram	a β̞ ɾ ã m
Abrego	a β̞ ɾ e ɣ̞ o
Abreo	a β̞ ɾ e o
Abrigo	a β̞ ɾ i ɣ̞ o
Abruzos	a β̞ ɾ u θ o s
Absalón	a β̞ s a l õ n
Abundio	a β̞ ũ n̪ d̪ j o
Abuya	a β̞ u ʝ a
Abúndez	a β̞ ũ n̪ d̪ e θ
Acajutla	a k a x u t̪ l a
Acandí	a k ã n̪ d̪ i
Acapulco	a k a p u l k o
Acaz	a k a θ
Acebedo	a θ e β̞ e ð̞ o
Acebo	a θ e β̞ o
Acedo	a θ e ð̞ o
Aceituno	a θ e i̯ t̪ u n o
Acelhuate	a θ e l w̝ a t̪ e
Acero	a θ e ɾ o
Acevedo	a θ e β̞ e ð̞ o
Aceves	a θ e β̞ e s
Achí	a t͡ʃ i
Aconchi	a k õ nʲ t͡ʃ i
Acorda	a k o ɾ ð̞ a
Acosta	a k o s t̪ a
Acra	a k ɾ a
Acrópolis	a k ɾ o p o l i s
Acuña	a k u ɲ a
Ada	a ð̞ a
Adalberto	a ð̞ a l β̞ e ɾ t̪ o
Adam	a ð̞ ã m
Adame	a ð̞ a m e
Adela	a ð̞ e l a
Adelaida	a ð̞ e l a i̯ ð̞ a
Adelardo	a ð̞ e l a ɾ ð̞ o
Adelia	a ð̞ e l j a
Adelina	a ð̞ e l i n a
Adelio	a ð̞ e l j o
Adelita	a ð̞ e l i t̪ a
Adiel	a ð̞ j e l
Adigio	a ð̞ i x j o
Adiguesia	a ð̞ i ɣ̞ e s j a
Adisoda	a ð̞ i s o ð̞ a
Adjuntas	a ð̞ x ũ n̪ t̪ a s
Adolfito	a ð̞ o l f i t̪ o
Adolfo	a ð̞ o l f o
Adonai	a ð̞ o n a i̯
Adri	a ð̞ ɾ i
Adriana	a ð̞ ɾ j a n a
Adriano	a ð̞ ɾ j a n o
Adrián	a ð̞ ɾ j ã n
Adviento	a ð̞ β̞ j ẽ n̪ t̪ o
Advíncula	a ð̞ β̞ ĩ ŋ k u l a
Adán	a ð̞ ã n
Adén	a ð̞ ẽ n
Aedo	a e ð̞ o
Afanador	a f a n a ð̞ o ɾ
Afganistán	a v ɣ̞ a n i s t̪ ã n
Afrodita	a f ɾ o ð̞ i t̪ a
Agamenón	a ɣ̞ a m e n õ n
Agapito	a ɣ̞ a p i t̪ o
Agar	a ɣ̞ a ɾ
Agaña	a ɣ̞ a ɲ a
Agra	a ɣ̞ ɾ a
