ཀ	k ɑ
ཀི་ཏབ	k i ˥ t ɑ p ˥
ཀླད་ཀོར	l e ˥ k o ˥
དཀྱི	k i ˥
དཀྱི་ར	k i ˥ r ɑ ˩
བཀབ་ནེ	k ɑ p ˥ n e ˩
བཀའ་དྲིན་ཆེ	k ɑ ˥ ʈʰ i ˩ t͡ɕʰ e ˥
རྐངམ	k ɑː m ˥
སྐད	k eː ˥
སྐར་རྟགས	k ɑː t ɑ k
སྐར་ཚོགས	k ɑː ˥ t͡sʰ o k̚ ˥
སྐོར་ཆ	k oː ˥ t͡ɕ ɑ ˥
སྐྱུརཔོ	t͡ɕ uː p ˩
ཁ	kʰ ɑ ˥
ཁ་ཆེ	kʰ ɑ ˥ t͡ɕʰ e ˥
ཁ་ཆེའི་ལྷ	kʰ ɑ ˥ t͡ɕʰ e j ˥ ɬ ɑ ˥
ཁོ	kʰ o ˥
ཁོང	kʰ o ŋ ˥
ཁྱེས	t͡ɕʰ ɛː ˥
ཁྱོད	t͡ɕʰ øː ˥
ཁྱོད་ཅ་ང་ཅ་ཁ	t͡ɕʰ øː ˥ t͡ɕ ɑ ˥ ŋ ɑ ˩ t͡ɕ ɑ ˥ kʰ ɑ ˥
ཁྲག	ʈʰ ɑː ˥
ག	kʰ ɑ ˥
གོན	kʰ øː n ˩
གླུ	l u ˥
མགྱོནམོ	kʰ øː m ˩
འགྱོ	t͡ɕ o r
འགྱོ	t͡ɕ o
རྒིལ་འག་སྨེ་ཡེར	k i l ˩ k ɑ ˩ m e ˥ j e r ˩
རྒྱབོ	t͡ɕ ɑ w ˩
རྒྱལ	k ɛː ˩
རྒྱལཔོ	k ɛː p ˩
བརྒྱད	k ɛː
སྒྲོ	ʈ o ˩
སྒྲོམ	ʈ o m ˩
ང	ŋ ɑ ˥
ང	ŋ ɑ ˩
ང	ŋ ɑ ˩
ང་བཅས	ŋ ɑ ˩ t͡ɕ e ˥
ངའི	ŋ i ˩
ངང་ལག	ŋ ɑ ŋ l ɑ k
དངུལ	ŋ yː ˥
དངུལ་ཀྲམ	ŋ yː ˥ ʈ ɑ m ˥
ལྔ	ŋ ɑ ˥
ཅ	t͡ɕ ɑ
ཅི	t͡ɕ i ˥
ཅིག	t͡ɕ i k̚ ˥
གཅིག	t͡ɕ i k̚ ˥
ལྕགས	t͡ɕ ɑː k̚ ˥
ཆ	t͡ɕʰ ɑ ˥
ཆ་རོགས	t͡ɕʰ ɑː ˥ r o k̚ ˩
ཆི་རི་ལི་ཚ	t͡ɕʰ i ˥ r i ˩ l i ˩ t͡sʰ ɑ ˥
ཆུ	t͡ɕʰ u ˥
ཆུང་ཀུ	t͡ɕʰ u ŋ ˥ k u ˩
འཆར་གཞི	t͡ɕʰ ɑ r ˥ ʑ i ˩
ཇ	t͡ɕ ɑ
ཇ་ཆང	t͡ɕʰ ɑ ˩ t͡ɕʰ ɑ ŋ ˥
ཇམ་སྦྱིས	t͡ɕʰ ɑ m ˩ t͡ɕ iː ˩
ལྗིད་ཅན	t͡ɕ i ˩ t͡ɕ e n ˥
ཉི་མ	n j i ˩ m ɑ ˩
ཉིམ	n j i m ˩
གཉིས	n j iː ˥
མཉམ	n j ɑ m ˥
བརྙ	ɲ ɑ ˥
ཏ	t ɑ ˥
ཏིང	t i ŋ ˥
བཏོན	t øː n ˥
རྟ	t ɑ ˥
སྟ་རི	t ɑ ˥ r i ˩
སྟག	t ɑː ˥
ཐ	tʰ ɑ ˥
ཐིག	tʰ i k̚ ˥
