AB	ɑː b eː
ADHD	ɑː d eː h oː d eː
AW	ɑː v eː
Aachen	ɑː k eː n
Abbe	² a b ɛ
Abbeshult	a b ɛ s h ɵ l t
Adde	² a d ɛ
Afrika	ɑː f r ɪ k a
Agneta	a ŋ ² n eː t a
Ahlman	ɑː l m a n
Albanien	a l b ɑː n j ɛ n
Albert	¹ a l b æ ʈ
Albertina	a l b æ ² ʈ iː n a
Albin	¹ a l b ɪ n
Algeriet	a l ɧ ɛ r iː ɛ t
Alingsås	ɑː l ɪ ŋ s oː s
Alunda	ɑː l ɵ n d a
Amanda	a ² m a n d a
Amerika	a m eː r ɪ k a
Amerikat	a m eː r ɪ k a t
Anatolien	a n a t ɔ l i e n
Anders	â nː d ɛ ʂ
Andersson	â nː d ɛ ʂ ɔ n
Andorra	a n d ɔ r a
André	a n d r eː
Angelstad	a ŋ ɛ l s t ɑ
Angola	a n ɡ oː l a
Ankeborg	a ŋ k ɛ b ɔ r j
Anna	² a n a
Annerstad	a n ɛ s t ɑ
Antarktis	a n t a r k t ɪ s
Apostlagärningarna	ɑː p ʊ s t l a j ɛː r n ɪ ŋ a r n a
Arkimedes	a r k ɪ m eː d ɛ s
Armenien	a r m eː n ɪ ɛ n
Asien	ɑː s ɪ ɛ n
Asmara	a s ² m ɑː r a
Axel	¹ a k s ɛ l
Azerbajdzjan	a s ɛ r b a j d j a n
BB	² b eː b eː
Backström	b a k s t r œ m
Baggböle	b ɑ ɡ b øː l ɛ
Bajen	b a j ɛ n
Balkanhalvön	b ɑ l k ɑ n h ɑ l v øː n
Barcelona	b a ʂ ɛ ² l oː n a
Belarus	b ɛ l a r ɵ s
Belarus	b ɛ l a r ʉː s
Belgien	b ɛ l ɡ ɪ ɛ n
Benin	b ɛ n iː n
Bergling	b æ̂ r j l ɪ ŋ
Berlin	b e r l iː n
Bert	b æ ʈ
Birgitta	b ɪ r ² ɡ ɪ t a
Biskopsgården	b ɪ s k ɔ p s ɡ oː ɖ ɛ n
Blekinge	b l eː k ɪ ŋ ɛ
Blomqvist	² b l ʊ m k v ɪ s t
Blåskägg	b l oː ɧ ɛ ɡ
Blåtand	² b l oː t a n d
Bo	b uː
Boden	b uː d ɛ n
Bodil	¹ b uː d ɪ l
Boel	¹ b uː ɛ l
Bohuslän	b uː h ɵ s l ɛː n
Bolaget	² b uː l ɑː ɡ ɛ t
Bolmen	b ɔ l m ɛ n
Bolmstad	b ɔ l m s t ɑ
Bolmsö	b ɔ l m s øː
Borås	b ʊ r oː s
Bosnien	b ɔ s n ɪ ɛ n
Botkyrka	b uː t ɕ ʏ r k a
Botswana	b ɔ t s v ɑː n a
Bruno	b r ʉː n ʊ
Budgetpromenaden	² b ɵ d j ɛ t p r ʊ m ɛ n ɑː d ɛ n
Bulgarien	b ɵ l ɡ ɑː r ɪ ɛ n
Burundi	b ɵ r ɵ n d ɪ
Byholma	b yː h o l m a
Calle	² k a l ɛ
Carina	k a ² r iː n a
Carl	k ɑː r l
Charlie	ɕ ɑː ɭ ɪ
Charlotta	ɧ a r ² ɭ o t a
Charlotta	ɧ a ² ɭ o t a
Charlotte	ɧ a ɭ o t
Cooköarna	k uː k øː a r n a
Cypern	s yː p ɛ r n
Dag	d ɑː ɡ
Dalarna	d ɑː l a r n a
Dalsland	d ɑː l s l a n d
Danmark	¹ d a n m a r k
David	² d ɑː v ɪ d
David	¹ d ɑː v ɪ d
Djibouti	d j ɪ b uː t ɪ
Dörarp	d œ̞ː r a r p
EEG	eː eː ɡ eː
Edvin	eː d v ɪ n
Egypten	ɛ ¹ j ʏ p t ɛ n
Ekerö	eː k ɛ r øː
Ekvatorialguinea	ɛ k v a t ʊ r ɪ ɑː l ɡ ɵ ɪ n eː a
Eldslandet	ɛ l d s l a n d ɛ t
Elfenbenskusten	ɛ l f ɛ n b eː n s k ɵ s t ɛ n
Emil	eː m ɪ l
Engberg	ɛ ŋː b æ r j
England	ɛ ŋ l a n d
Eritrea	ɛ r ɪ t r eː a
Eskilstuna	ɛ̂ sː k ɪ l s t ʉː n a
Estland	ɛ s t l a n d
Etiopien	ɛ t ɪ uː p ɪ ɛ n
Europa	ɛ r uː p a
Europaparlamentsvalsundersökning	œ r ɔ p ɑː p ɑː ɹ l a m ɑ n t s v ɑː l s ʉ n d ɛ ɐ̯ s øː k n ɪ ŋ
Eva	² eː v a
Evelina	ɛ v ɛ ² l iː n a
Excel	ɛ k s ɛ lː
Falun	² f ɑː l ɵ n
Fia	² f iː a
Filippa	f ɪ ² l ɪ p a
Filippinerna	f ɪ l ɪ pː ɪ n ɛ r n a
Finland	f i n l ɑ n d
Finland	f ɪ n l a n d
Fiskarna	f i s k a r n a
Frankrike	f r a n k r ɪ k ɛ
Fredrika	f r eː d ² r iː k a
Fredrika	f r ɛ d ² r iː k a
Frid	f r iː d
Fritiof	¹ f r ɪ t ɕ ɔ f
Fyn	f yː n
Färöarna	f ɛː r øː a r n a
Gabbe	² ɡ a b ɛ
Gabriel	ɡ ɑː b r ɪ ɛ l
Gambia	ɡ a m b ɪ a
Georg	j eː ɔ r j
Georgien	j eː ɔ r ɡ ɪ ɛ n
Gert	j æ ʈ
Gert	ɡ æ ʈ
Ghana	ɡ ɑː n a
Gimo	j iː m ʊ
Gnesta	ɡ n ěː s t a
Gotland	ɡ ɔ t l a n d
Grekland	ɡ r eː k l a n d
Grimshult	ɡ r ɪ m s h ɵ l t
Grönköping	ɡ r øː n ɕ øː p ɪ ŋ
Grönland	ɡ r øː n l a n d
Guatemala	ɡ ɵ a t ɛ ² m ɑː l a
Guatemala	ɡ ʉː a t ɛ ² m ɑː l a
Gud	ɡ ʉː d
Guds	ɡ ɵ tː s
Guinea	ɡ ɵ ɪ n eː a
Gurra	² ɡ ɵ r a
Gästrikland	j ɛ s t r ɪ k l a n d
Gävle	j ɛː v l ɛ
Gävleborg	j ɛː v l ɛ b ɔ r j
Göran	j øː r a n
Göteborg	j œ t ɛ b ɔ r j
Halland	h a l a n d
Halmstad	h â l m s t a
Halmstad	h â l m s t a d
Hamneda	h a m n eː d a
