آ	äː
آتھن	äː t̪ʰ ə ɳ
آس	äː s
آسٹریلیا	äː s ʈ ɾ eː l iː j äː
آنا	äː ɳ äː
آنا	äː ʊ̯ ɳ äː
آندر	ä̃ː n d̪ ə ɾ ə̆
آنڈا	äː ɳ ɖ äː
آواز	a ʋ aː d͡ʒ
آواز	a ʋ aː z
آٹا	äː ʈ äː
آکاش	äː k äː ʃ ə̆
آکڑ	äː k ə ɽ
آکھنا	äː kʰ ɳ äː
آں	ãː
آہڈا	äː ˦ ɖ äː
ا	aː
ا	ə
ا	ə l ɪ f
ا	∅
ابا	ə bː äː
اباسی	ʊ b äː s iː
اتلا	ʊ t̪ᵊ l äː
اتھرو	ə t tʰ ə̆ ɾ uː
اتہاس	ɪ t̪ ɪ ɦ äː sᵊ
اج	ə d͡ʒ d͡ʒᵊ
اجازت	iː d͡ʒ äː z ə t̪
اجازتاں	ɪ d͡ʒ äː z t̪ ä̃ː
ادر	ʊ d d ə ɾ
ادر	ʊ d ə ɾ
ادر	ʊ d ɾ
ادھ	ə ˩˥ d̪ː ə̆
ادھا	ə ˦ d̪ d̪ äː
ادھلنا	ʊ ˦ d̪ d̪ ə l ɳ äː
استھی	ə s t̪ʰ iː
اسر	ə s ʊ ɾ ə̆
اسلام	ɪ s l äː m
اسٹریا	ə s ʈ ə ɾ i j äː
اسکندریہ	ɪ s k ə n d̪ ə ɾ ɪ jᵊ
اشہل	ə ʃ ɦ ə l ə̆
اشہل	ə ˨˥ ʃ ə l ə̆
اصفہان	ə s f ə ɦ äː n
اعتراض	e t̪ ɪ r äː z
اعتراض	ɪ t̪ r äː z
اقتصادی	ɪ q ə̆ t ɪ̆ s aː d d iː
الانبھا	ʊ l äː ˦ b äː
الاہما	ʊ l äː ˦ m äː
اللہ	ə ˩˥ l l aː
الماری	ə l ə̆ m äː ɾ iː
الہڑ	ə ˦ l l ə ɽᵊ
امل	ə m ə l
انار	ə n äː ɾ
اناناس	ə n äː n äː s
انب	ə̃ m b ə̆
انملا	ə n m ʊ l l äː
انوکھا	ə ɳ oː kʰ äː
انکھ	ə ɳ ə kʰᵊ
انگل	ə ŋ ɡ ʊ ɭ
انگل	ʊ ŋ ɡ ə ɭ
انگی	ə̃ ŋ ɡ iː
انھا	ə ˦ nː äː
انھیر	ə̆ n eː ˥˩ ɾ ə̆
انیہہ	ʊ n n iː ˩˥
اود	uː d
اوداں	oː d̪ː ãː
اولھا	oː ˦ l äː
اوکھا	ɔː kʰ äː
اٹ	ɪ ʈː ə̆
اٹاری	ə ʈ äː ɾ iː
اٹل	ə ʈ ə lːᵊ
اٹھ	ə ʈ ʈʰ
اٹھ	ʊ ʈ ʈʰ
اٹھارہ	ə̆ ʈʰ aː ɾ ãː
اٹھنا	ʊ ʈ ʈʱ ɳ äː
اچا	ʊ t͡ʃ t͡ʃ äː
اچار	ə t͡ʃ äː ɾᵊ
اڈنا	ə ɖː ə̆ ɳ äː
اڈنا	ʊ ɖː ə̆ ɳ äː
اڈیک	ʊ ɖ iː k
اڈیکنا	ʊ ɖ iː k ɳ äː
اک	ɪ k k ə̆
اکنا	ə k k ɳ ɑː
اکھ	ə k kʰ
اکھاں	ə k kʰ ä̃ː
اکھر	ə k kʰ ə ɾ ə̆
اکہتر	ɪ̆ k ə ˥˩ t t ə ɾ ə̆
اگ	ə ɡ ɡ ə̆
اگھیڑنا	ʊ ɡ eː ˨ ɽᵊ n äː
اہن	ə ɦ ɪ ɳᵊ
اہن	ɛː ɳᵊ ˦
ایتوار	ɛː t̪ ʋ äː ɾ
ایمان	i m äː n
ایہہ	eː ˦
ب	b
ب	b eː
باجھوں	b äː ˦ d͡ʒˑ õː
باجی	b äː d͡ʒ iː
بادام	b ä d̪ äː m ə̆
بادام	b ə d̪ äː m ə̆
باری	b äː ɾ iː
باسی	b äː s iː
باقی	b äː q iː
بالنا	b äː lᵊ ɳ äː
باندر	b äː n d̪ ə ɾᵊ
بانہواں	b ä̃ː ˦ ʋ ä̃ː
بانہہ	b ä̃ː ˦
باگھ	b ɑ́ː ɡ
باگھا	b äː ˦ ɡ äː
باہر	b äː ˦ ɾ ə̆
باہمن	b äː ˥ m ə ɳ
بتھیرا	b ə t̪ʰ eː ɾ äː
بتی	b ə t̪ t̪ iː
بجلی	b ɪ d͡ʒᵊ l iː
بدتمیز	b ə d̪ t̪ ə m iː z
بدل	b ə d̪ d̪ ə lᵊ
بدل	b ə d̪ d̪ ə ɭᵊ
بدلاں	b ə d̪ d̪ ə l ä̃ː
بدلنا	b ə d̪ ə l ɳ äː
بدھوار	b ʊ ˦ d̪ː ʋ ä ɾ
برا	b ʊ ɾ äː
برات	b ə ɾ äː t̪ᵊ
برف	b ə ɾ ə f
بسنت	b ə s ə n t̪ ə̆
