abeag	ɑː b æ͜ɑː ɣ
abealg	ɑː b æ͜ɑ ɫ ɣ
abealh	ɑː b æ͜ɑ ɫ x
abelgan	ɑː b e ɫ ɣ ɑ n
abelgaþ	ɑː b e ɫ ɣ ɑ θ
abelge	ɑː b e ɫ ɣ e
abelgende	ɑː b e ɫ ɣ e n d e
abelgenne	ɑː b e ɫ ɣ e n n e
abielgan	ɑː b i͜y ɫ j ɑ n
abilgst	ɑː b i ɫ j s t
abilgþ	ɑː b i ɫ j θ
abirst	ɑː b i rˠ s t
abirþ	ɑː b i rˠ θ
abisga	ɑː b i z ɣ ɑ
abisgaþ	ɑː b i z ɣ ɑ θ
abisgian	ɑː b i z ɣ i ɑ n
abisgiaþ	ɑː b i z ɣ i ɑ θ
abisgige	ɑː b i z ɣ i j e
abisgigen	ɑː b i z ɣ i j e n
abisgod	ɑː b i z ɣ o d
abisgode	ɑː b i z ɣ o d e
abisgodon	ɑː b i z ɣ o d o n
abitt	ɑː b iː t
ablann	ɑː b l ɑ n
ablergan	ɑː b l e rˠ j ɑ n
ablergende	ɑː b l e rˠ j e n d e
ablergenne	ɑː b l e rˠ j e n n e
ablerian	ɑː b l e rˠ j ɑ n
ableriende	ɑː b l e rˠ j e n d e
ablerienne	ɑː b l e rˠ j e n n e
ablinn	ɑː b l i n
ablysian	ɑː b l y z i ɑ n
ablysigen	ɑː b l y z i j e n
abogen	ɑː b o ɣ e n
abolgen	ɑː b o ɫ ɣ e n
Abraham	ɑː b r ɑ h ɑː m
Abrahame	ɑː b r ɑ h ɑː m e
Abrahames	ɑː b r ɑ h ɑː m e s
abreoþan	ɑː b r e͜oː ð ɑ n
abreoþaþ	ɑː b r e͜oː ð ɑ θ
abreoþe	ɑː b r e͜oː ð e
abreoþeþ	ɑː b r e͜oː ð e θ
abroþennes	ɑː b r o ð e n n e s
abroþennessa	ɑː b r o ð e n n e s s ɑ
abroþennesse	ɑː b r o ð e n n e s s e
abroþennessum	ɑː b r o ð e n n e s s u m
abroþennys	ɑː b r o ð e n n y s
abroþennyssa	ɑː b r o ð e n n y s s ɑ
abroþennysse	ɑː b r o ð e n n y s s e
abroþennyssum	ɑː b r o ð e n n y s s u m
abruþon	ɑː b r u ð o n
abufan	ɑː b u v ɑ n
abugan	ɑː b uː ɣ ɑ n
abugaþ	ɑː b uː ɣ ɑ θ
abuge	ɑː b uː ɣ e
abuge	ɑː b u ɣ e
abugende	ɑː b uː ɣ e n d e
abugenne	ɑː b uː ɣ e n n e
abugon	ɑː b u ɣ o n
abulge	ɑː b u ɫ ɣ e
abulgon	ɑː b u ɫ ɣ o n
abycgan	ɑː b y d d͡ʒ ɑ n
abycgaþ	ɑː b y d d͡ʒ ɑ θ
abycge	ɑː b y d d͡ʒ e
abycgen	ɑː b y d d͡ʒ e n
acerde	ɑː t͡ʃ e rˠ d e
acerdes	ɑː t͡ʃ e rˠ d e s
acerdon	ɑː t͡ʃ e rˠ d o n
acerran	ɑː t͡ʃ e rˠ rˠ ɑ n
acerraþ	ɑː t͡ʃ e rˠ rˠ ɑ θ
acerre	ɑː t͡ʃ e rˠ rˠ e
acerred	ɑː t͡ʃ e rˠ rˠ e d
acerrende	ɑː t͡ʃ e rˠ rˠ e n d e
acierde	ɑː t͡ʃ i͜y rˠ d e
acierdest	ɑː t͡ʃ i͜y rˠ d e s t
acierdon	ɑː t͡ʃ i͜y rˠ d o n
acierran	ɑː t͡ʃ i͜y rˠ rˠ ɑ n
acierraþ	ɑː t͡ʃ i͜y rˠ rˠ ɑ θ
acierre	ɑː t͡ʃ i͜y rˠ rˠ e
acierred	ɑː t͡ʃ i͜y rˠ rˠ e d
acierrende	ɑː t͡ʃ i͜y rˠ rˠ e n d e
acsung	ɑː k s u ŋ ɡ
acwanc	ɑː k w ɑ ŋ k
acweald	ɑː k w æ͜ɑ ɫ d
acwealde	ɑː k w æ͜ɑ ɫ d e
acwealden	ɑː k w æ͜ɑ ɫ d e n
acwealdest	ɑː k w æ͜ɑ ɫ d e s t
acwealdon	ɑː k w æ͜ɑ ɫ d o n
