ཀ	k ɐ́
ཀ་གོ	k ɐ́ ɡ o
ཀ་ཆེ	k ɐ́ c͡ɕʰ e
ཀ་ཉེལ	k ɐ́ ɲ e l
ཀག	k ɐ́ k
ཀག	k ɐ́ː
ཀད	k ɐ́ t̪
ཀམ	k ɐ́ m
ཀར་མ	k ɐ́ r m ɐ
ཀར་མོ	k ɐ́ r m o
ཀས	k ɐ́ s
ཀས	k ɐ́ː
ཀཱེ	k éː
ཀི	k í
ཀིག་ཏུམ་པ	k í k t̪ u m p ɐ
ཀིད་པ	k í t̪ p ɐ
ཀུ	k ú
ཀུ་དྲོན	k ú ɖ o i̯ n ɐ
ཀུ་དྲོན	k ú ɖ o n ɐ
ཀུ་དྲོན	k ú ɖ r o i̯ n ɐ
ཀུ་དྲོན	k ú ɖ r o n ɐ
ཀུ་དྲོན	k ú ɖ r øː n ɐ
ཀུ་དྲོན	k ú ɖ øː n ɐ
ཀུ་ཟུ	k ú z u
ཀུ་ལི	k ú l i
ཀུ་ཤ	k ú ç ɐ
ཀུ་ཧང	k ú h ɐ ŋ
ཀུར	k ú r
ཀུར་ཁྭེ	k ú r kʰ w e
ཀུར་ཏོ	k ú r t̪ o
ཀུར་ཏོ	k ú r t̪ o i̯
ཀུར་ཏོ	k ú r t̪ øː
ཀུལ་དྲ	k ú l ɖ r ɐ
ཀུལ་དྲ	k ú l ɖ ɐ
ཀེ	k é
ཀེ་ཤང	k é ç ɐ ŋ
ཀེ་སེང	k é s e ŋ
ཀེ་སེང་མ	k é s e ŋ m ɐ
ཀེང་མ	k é ŋ m ɐ
ཀེལ་ཆེན	k é l c͡ɕʰ e n
ཀོ	k ó
ཀྭ	k w ɐ́
ཀྭེག་པ	k w é k p ɐ
ཁ	kʰ ɐ́
ཁ་ག	kʰ ɐ́ ɡ ɐ
ཁ་ཏ་ལིང	kʰ ɐ́ t̪ ɐ l i ŋ
ཁ་ཝ	kʰ ɐ́ w ɐ
ཁ་ཤ	kʰ ɐ́ ç ɐ
ཁན	kʰ ɐ́ n
ཁན་ཀི	kʰ ɐ́ n k i
ཁན་ཏ	kʰ ɐ́ n t̪ ɐ
ཁབ	kʰ ɐ́ p
ཁམ་ཀུ	kʰ ɐ́ m k u
ཁའུ་ཏི	kʰ ɐ́ u̯ t̪ i
ཁི	kʰ í
ཁི་ཅ་ལིང	kʰ í c͡ɕ ɐ l i ŋ
ཁིད	kʰ í t̪
ཁིར	kʰ í r
