A	a
abas	a b a s
abcalować	a p t͡s a l ɔ v a t͡ɕ
abcybilder	a p t͡s ɪ b i l d ɛ r
abcybildrować	a p t͡s ɪ b i l d r ɔ v a t͡ɕ
abecadło	a b ɛ t͡s a d w ɔ
abfertigować	a p f ɛ r t i ɡ ɔ v a t͡ɕ
abladować	a b l a d ɔ v a t͡ɕ
abo	a b ɔ
abszlag	a p ʂ l a k
aby	a b ɪ
ach	a x
achtel	a x t ɛ l
adresa	a d r ɛ s a
adwynt	a d v ɪ n t
afa	a f a
agrys	a ɡ r ɪ s
aha	a x a
aj	a j
ajchla	a j x l a
ajmer	a j m ɛ r
ajncla	a j n t͡s l a
ajnfach	a j n f a x
ajnfachowy	a j n f a x ɔ v ɪ
ajnladować	a j n l a d ɔ v a t͡ɕ
ajnzac	a j n z a t͡s
akadymijŏ	a k a d ɪ m i j ɔ
akadymijŏ	a k a d ɪ m i j ɔ w
akadymijŏ	a k a d ɪ m i j ɛ w
akceptacyjŏ	a k t͡s ɛ p t a t͡s ɪ j ɔ
akceptacyjŏ	a k t͡s ɛ p t a t͡s ɪ j ɔ w
akceptacyjŏ	a k t͡s ɛ p t a t͡s ɪ j ɛ w
akcyjŏ	a k t͡s ɪ j ɔ
akcyjŏ	a k t͡s ɪ j ɔ w
akcyjŏ	a k t͡s ɪ j ɛ w
aksamit	a k s a m i t
aksamitny	a k s a m i t n ɪ
aksamitowy	a k s a m i t ɔ v ɪ
al	a l
alabaster	a l a b a s t ɛ r
Albanijŏ	a l b a ɲ i j ɔ
Albanijŏ	a l b a ɲ i j ɔ w
Albanijŏ	a l b a ɲ i j ɛ w
albański	a l b a ɲ s k i
albo	a l b ɔ
ale	a l ɛ
aleć	a l ɛ t͡ɕ
ależ	a l ɛ ʂ
alić	a l i t͡ɕ
alkiyrz	a l k j ɪ ʂ
almaryjŏ	a l m a r ɪ j ɔ
almaryjŏ	a l m a r ɪ j ɔ w
almaryjŏ	a l m a r ɪ j ɛ w
amajza	a m a j z a
amolŏk	a m ɔ l ɔ k
amolŏk	a m ɔ l ɔ w k
amolŏk	a m ɔ l ɛ w k
amōnijak	a m o ɲ i j a k
analiza	a n a l i z a
ancug	a n t͡s u k
Andora	a n d ɔ r a
anfang	a n f a ŋ k
angelski	a ŋ ɡ ɛ l s k i
ani	a ɲ i
anielski	a ɲ ɛ l s k i
aniōł	a ɲ o w
ano	a n ɔ
antrag	a n t r a k
antryj	a n t r ɪ j
aparat	a p a r a t
apluzina	a p l u z i n a
apluzinowy	a p l u ʑ i n ɔ v ɪ
apostel	a p ɔ s t ɛ l
apostolski	a p ɔ s t ɔ l s k i
apostōł	a p ɔ s t o w
aposztōł	a p ɔ ʂ t o w
aptyka	a p t ɪ k a
aptykarski	a p t ɪ k a r s k i
aptykŏrz	a p t ɪ k ɔ ʂ
aptykŏrz	a p t ɪ k ɔ w ʂ
aptykŏrz	a p t ɪ k ɛ w ʂ
archaniōł	a r x a ɲ o w
arcybiskup	a r t͡s ɪ b i s k u p
arfa	a r f a
arka	a r k a
armijŏ	a r m i j ɔ
armijŏ	a r m i j ɔ w
armijŏ	a r m i j ɛ w
Armynijŏ	a r m ɪ ɲ i j ɔ
Armynijŏ	a r m ɪ ɲ i j ɔ w
Armynijŏ	a r m ɪ ɲ i j ɛ w
asić	a ɕ i t͡ɕ
aspōń	a s p o ɲ
asta	a s t a
astrōnōmijŏ	a s t r o n o m i j ɔ
astrōnōmijŏ	a s t r o n o m i j ɔ w
astrōnōmijŏ	a s t r o n o m i j ɛ w
aszynbecher	a ʂ ɪ n b ɛ x ɛ r
atoli	a t ɔ l i
atramynt	a t r a m ɪ n t
atōmowy	a t o m ɔ v ɪ
aufkauf	a w f k a w f
aufryjgować	a w f r ɪ j ɡ ɔ v a t͡ɕ
aufryjgować	a w f r ɪ j ɡ ɔ v a t͡ɕ
auftrag	a w f t r a k
ausdruk	a w z d r u k
ausflug	a w s f l u k
ausgus	a w z ɡ u s
Australijŏ	a w s t r a l i j ɔ
Australijŏ	a w s t r a l i j ɔ w
Australijŏ	a w s t r a l i j ɛ w
Austrijŏ	a w s t r i j ɔ
Austrijŏ	a w s t r i j ɔ w
Austrijŏ	a w s t r i j ɛ w
auto	a w t ɔ
autōnōmijŏ	a w t o n o m i j ɔ
autōnōmijŏ	a w t o n o m i j ɔ w
autōnōmijŏ	a w t o n o m i j ɛ w
Azerbejdżōn	a z ɛ r b ɛ j d͡ʐ o n
ać	a t͡ɕ
aż	a ʂ
b	p
B	p
ba	b a
baba	b a b a
babica	b a b i t͡s a
babin	b a b i n
babka	b a p k a
Baborōw	b a b ɔ r o f
bachora	b a x ɔ r a
bachoro	b a x ɔ r ɔ
bachraty	b a x r a t ɪ
bachrocz	b a x r ɔ t͡ʂ
bachrōń	b a x r o ɲ
bachōrz	b a x o ʂ
badanie	b a d a ɲ ɛ
badać	b a d a t͡ɕ
badehaus	b a d ɛ x a w s
badycimer	b a d ɪ t͡s i m ɛ r
badyhaus	b a d ɪ x a w s
badŏcz	b a d ɔ t͡ʂ
badŏcz	b a d ɔ w t͡ʂ
badŏcz	b a d ɛ w t͡ʂ
bagno	b a ɡ n ɔ
bajsnōnć	b a j s n o n t͡ɕ
bajtel	b a j t ɛ l
bajzel	b a j z ɛ l
bakać	b a k a t͡ɕ
bal	b a l
balas	b a l a s
baldrijōn	b a l d r i j o n
bamber	b a m b ɛ r
bana	b a n a
banhŏf	b a ŋ x ɔ f
banhŏf	b a ŋ x ɔ w f
banhŏf	b a ŋ x ɛ w f
bania	b a ɲ a
banować	b a n ɔ v a t͡ɕ
bant	b a n t
baraba	b a r a b a
baranek	b a r a n ɛ k
barani	b a r a ɲ i
barchet	b a r x ɛ t
barchin	b a r x i n
bardzij	b a r d͡ʑ i j
bardzo	b a r d͡z ɔ
barz	b a ʂ
barzelisko	b a ʐ ɛ l i s k ɔ
barzina	b a ʐ i n a
barzisko	b a ʐ i s k ɔ
barzo	b a r z ɔ
barzolisko	b a ʐ ɔ l i s k ɔ
barzoły	b a ʐ ɔ w ɪ
barłōg	b a r w o k
barōn	b a r o n
batok	b a t ɔ k
bauer	b a w ɛ r
baukōnszt	b a w k o n ʂ t
bawołna	b a v ɔ w n a
bawōł	b a v o w
bazylika	b a z ɪ l i k a
bałucha	b a w u x a
bałwōn	b a w v o n
bańka	b a ɲ k a
bańkã	b a ɲ k ã
becher	b ɛ x ɛ r
beczka	b ɛ t͡ʂ k a
beczkã	b ɛ t͡ʂ k ã
beczkōłka	b ɛ t͡ʂ k o w k a
bedka	b ɛ t k a
bednarski	b ɛ d n a r s k i
bednŏrka	b ɛ d n ɔ r k a
bednŏrka	b ɛ d n ɔ w r k a
bednŏrka	b ɛ d n ɛ w r k a
bednŏrz	b ɛ d n ɔ ʂ
bednŏrz	b ɛ d n ɔ w ʂ
bednŏrz	b ɛ d n ɛ w ʂ
bedynter	b ɛ d ɪ n t ɛ r
bedła	b ɛ d w a
Belgijŏ	b ɛ l ɡ i j ɔ
Belgijŏ	b ɛ l ɡ i j ɔ w
Belgijŏ	b ɛ l ɡ i j ɛ w
bergmōn	b ɛ r ɡ m o n
berło	b ɛ r w ɔ
beszōng	b ɛ ʂ o ŋ k
betōng	b ɛ t o ŋ k
bez	b ɛ s
bezpiecznie	b ɛ s p j ɛ t͡ʂ ɲ ɛ
bezpieczny	b ɛ s p j ɛ t͡ʂ n ɪ
bezprawnie	b ɛ s p r a v ɲ ɛ
bezprawność	b ɛ s p r a v n ɔ ɕ t͡ɕ
bezprawny	b ɛ s p r a v n ɪ
bezto	b ɛ s t ɔ
beztydziyń	b ɛ s t ɪ d͡ʑ ɪ ɲ
bezy	b ɛ z ɪ
bełk	b ɛ w k
biber	b i b ɛ r
Biblijŏ	b i b l i j ɔ
Biblijŏ	b i b l i j ɔ w
Biblijŏ	b i b l i j ɛ w
biedro	b j ɛ d r ɔ
bifel	b i f ɛ l
bifyj	b i f ɪ j
biglować	b i ɡ l ɔ v a t͡ɕ
bigos	b i ɡ ɔ s
bigus	b i ɡ u s
bigōs	b i ɡ o s
biksa	b i k s a
binder	b i n d ɛ r
bioły	b j ɔ w ɪ
bisagi	b i s a ɡ i
bitwa	b i t f a
bitwŏ	b i t f ɔ
bitwŏ	b i t f ɔ w
bitwŏ	b i t f ɛ w
bić	b i t͡ɕ
blacha	b l a x a
bladość	b l a d ɔ ɕ t͡ɕ
blady	b l a d ɪ
blajsztyft	b l a j ʂ t ɪ f t
blank	b l a ŋ k
blask	b l a s k
blaszka	b l a ʂ k a
blaszkã	b l a ʂ k ã
blekot	b l ɛ k ɔ t
blisko	b l i s k ɔ
bluma	b l u m a
bluszcz	b l u ʂ t͡ʂ
bluźnić	b l u ʑ ɲ i t͡ɕ
blyndować	b l ɪ n d ɔ v a t͡ɕ
blyndzić	b l ɪ n d͡ʑ i t͡ɕ
blyskanie	b l ɪ s k a ɲ ɛ
blyskać	b l ɪ s k a t͡ɕ
bo	b ɔ
bobek	b ɔ b ɛ k
bober	b ɔ b ɛ r
boczōń	b ɔ t͡ʂ o ɲ
bogajstwo	b ɔ ɡ a j s t f ɔ
bogaty	b ɔ ɡ a t ɪ
bogŏcz	b ɔ ɡ ɔ t͡ʂ
bogŏcz	b ɔ ɡ ɔ w t͡ʂ
bogŏcz	b ɔ ɡ ɛ w t͡ʂ
bojtel	b ɔ j t ɛ l
bojōnczka	b ɔ j o n t͡ʂ k a
bok	b ɔ k
boleć	b ɔ l ɛ t͡ɕ
boleść	b ɔ l ɛ ɕ t͡ɕ
borŏk	b ɔ r ɔ k
borŏk	b ɔ r ɔ w k
borŏk	b ɔ r ɛ w k
boży	b ɔ ʐ ɪ
brak	b r a k
brat	b r a t
bratruła	b r a t r u w a
brauza	b r a w z a
brać	b r a t͡ɕ
brew	b r ɛ f
brif	b r i f
brifmarka	b r i f m a r k a
briftryjger	b r i f t r ɪ j ɡ ɛ r
brnieć	b r ɲ ɛ t͡ɕ
brukflŏster	b r u k f l ɔ s t ɛ r
brukflŏster	b r u k f l ɔ w s t ɛ r
brukflŏster	b r u k f l ɛ w s t ɛ r
brusić	b r u ɕ i t͡ɕ
brymza	b r ɪ m z a
brytyjski	b r ɪ t ɪ j s k i
bryła	b r ɪ w a
brzim	b ʐ i m
brzoskwinia	b ʐ ɔ s k f i ɲ a
brzost	b ʐ ɔ s t
brzoza	b ʐ ɔ z a
brzuch	b ʐ u x
brzyczka	b ʐ ɪ t͡ʂ k a
brzyg	b ʐ ɪ k
brzymiã	b ʐ ɪ m j ã
brōnny	b r o n n ɪ
brōnŏtny	b r o n ɔ t n ɪ
brōnŏtny	b r o n ɔ w t n ɪ
brōnŏtny	b r o n ɛ w t n ɪ
brōwek	b r o v ɛ k
brōzda	b r o z d a
brŏw	b r ɔ f
brŏw	b r ɔ w f
brŏw	b r ɛ w f
buch	b u x
buda	b u d a
budowa	b u d ɔ v a
budować	b u d ɔ v a t͡ɕ
budzisuka	b u d͡ʑ i s u k a
budzić	b u d͡ʑ i t͡ɕ
budōnek	b u d o n ɛ k
buk	b u k
bukowy	b u k ɔ v ɪ
bulić	b u l i t͡ɕ
burmistrz	b u r m i s t ʂ
buzeranctwo	b u z ɛ r a n t͡s t f ɔ
buła	b u w a
Bułgaryjŏ	b u w ɡ a r ɪ j ɔ
Bułgaryjŏ	b u w ɡ a r ɪ j ɔ w
Bułgaryjŏ	b u w ɡ a r ɪ j ɛ w
by	b ɪ
byk	b ɪ k
bymbyn	b ɪ m b ɪ n
bymbynek	b ɪ m b ɪ n ɛ k
bynkart	b ɪ ŋ k a r t
byszta	b ɪ ʂ t a
bywać	b ɪ v a t͡ɕ
byzuch	b ɪ z u x
być	b ɪ t͡ɕ
błana	b w a n a
błecha	b w ɛ x a
błoto	b w ɔ t ɔ
błyndny	b w ɪ n d n ɪ
błynkitny	b w ɪ ŋ k i t n ɪ
błōna	b w o n a
błōnd	b w o n t
błōnkać	b w o ŋ k a t͡ɕ
błōńdzić	b w o ɲ d͡ʑ i t͡ɕ
bōg	b o k
bōl	b o l
bōnclŏk	b o n t͡s l ɔ k
bōnclŏk	b o n t͡s l ɔ w k
bōnclŏk	b o n t͡s l ɛ w k
bōnk	b o ŋ k
bōś	b o ɕ
bōść	b o ɕ t͡ɕ
bŏczynie	b ɔ t͡ʂ ɪ ɲ ɛ
bŏczynie	b ɔ w t͡ʂ ɪ ɲ ɛ
bŏczynie	b ɛ w t͡ʂ ɪ ɲ ɛ
bŏczyć	b ɔ t͡ʂ ɪ t͡ɕ
bŏczyć	b ɔ w t͡ʂ ɪ t͡ɕ
bŏczyć	b ɛ w t͡ʂ ɪ t͡ɕ
bŏjać	b ɔ j a t͡ɕ
bŏjać	b ɔ w j a t͡ɕ
bŏjać	b ɛ w j a t͡ɕ
bŏl	b ɔ l
bŏl	b ɔ w l
bŏl	b ɛ w l
bŏlka	b ɔ l k a
bŏlka	b ɔ w l k a
bŏlka	b ɛ w l k a
bŏzyn	b ɔ z ɪ n
bŏzyn	b ɔ w z ɪ n
bŏzyn	b ɛ w z ɪ n
bŏć	b ɔ t͡ɕ
bŏć	b ɔ w t͡ɕ
bŏć	b ɛ w t͡ɕ
cajtōng	t͡s a j t o ŋ k
calować	t͡s a l ɔ v a t͡ɕ
całować	t͡s a w ɔ v a t͡ɕ
całość	t͡s a w ɔ ɕ t͡ɕ
cały	t͡s a w ɪ
cebula	t͡s ɛ b u l a
cegła	t͡s ɛ ɡ w a
celnik	t͡s ɛ l ɲ i k
celt	t͡s ɛ l t
celynderhut	t͡s ɛ l ɪ n d ɛ r x u t
cena	t͡s ɛ n a
cep	t͡s ɛ p
cera	t͡s ɛ r a
cesta	t͡s ɛ s t a
chachŏr	x a x ɔ r
chachŏr	x a x ɔ w r
chachŏr	x a x ɛ w r
chajać	x a j a t͡ɕ
chamera	x a m ɛ r a
charkać	x a r k a t͡ɕ
chałpa	x a w p a
chałupa	x a w u p a
chańdŏwny	x a ɲ d ɔ v n ɪ
chańdŏwny	x a ɲ d ɔ w v n ɪ
chańdŏwny	x a ɲ d ɛ w v n ɪ
chcieć	x t͡ɕ ɛ t͡ɕ
chlebowy	x l ɛ b ɔ v ɪ
chlyb	x l ɪ p
chlyw	x l ɪ f
chmōra	x m o r a
chnet	x n ɛ t
chocia	x ɔ t͡ɕ a
chodnik	x ɔ d ɲ i k
chodzić	x ɔ d͡ʑ i t͡ɕ
chodzynie	x ɔ d͡z ɪ ɲ ɛ
cholewa	x ɔ l ɛ v a
chop	x ɔ p
chopiec	x ɔ p j ɛ t͡s
choroba	x ɔ r ɔ b a
Chorwacyjŏ	x ɔ r v a t͡s ɪ j ɔ
Chorwacyjŏ	x ɔ r v a t͡s ɪ j ɔ w
Chorwacyjŏ	x ɔ r v a t͡s ɪ j ɛ w
chory	x ɔ r ɪ
chować	x ɔ v a t͡ɕ
choć	x ɔ t͡ɕ
choćby	x ɔ d͡ʑ b ɪ
chrobŏk	x r ɔ b ɔ k
chrobŏk	x r ɔ b ɔ w k
chrobŏk	x r ɔ b ɛ w k
chrostŏk	x r ɔ s t ɔ k
chrostŏk	x r ɔ s t ɔ w k
chrostŏk	x r ɔ s t ɛ w k
chto	x t ɔ
chudy	x u d ɪ
chwila	x f i l a
chwŏlidło	x f ɔ l i d w ɔ
chwŏlidło	x f ɔ w l i d w ɔ
chwŏlidło	x f ɛ w l i d w ɔ
chwŏlić	x f ɔ l i t͡ɕ
chwŏlić	x f ɔ w l i t͡ɕ
chwŏlić	x f ɛ w l i t͡ɕ
chyba	x ɪ b a
chymijŏ	x ɪ m i j ɔ
chymijŏ	x ɪ m i j ɔ w
chymijŏ	x ɪ m i j ɛ w
chyntliwy	x ɪ n t l i v ɪ
chyrtōń	x ɪ r t o ɲ
chytać	x ɪ t a t͡ɕ
chyńć	x ɪ ɲ t͡ɕ
chyża	x ɪ ʐ a
chłapiec	x w a p j ɛ t͡s
chłop	x w ɔ p
chōd	x o t
ciało	t͡ɕ a w ɔ
cichtować	t͡s i x t ɔ v a t͡ɕ
ciekawy	t͡ɕ ɛ k a v ɪ
cielã	t͡ɕ ɛ l ã
ciepać	t͡ɕ ɛ p a t͡ɕ
ciepły	t͡ɕ ɛ p w ɪ
ciesać	t͡ɕ ɛ s a t͡ɕ
cieszyć	t͡ɕ ɛ ʂ ɪ t͡ɕ
ciga	t͡ɕ i ɡ a
ciorać	t͡ɕ ɔ r a t͡ɕ
ciszyna	t͡ɕ i ʂ ɪ n a
citrōna	t͡s i t r o n a
ciul	t͡ɕ u l
ciyc	t͡ɕ ɪ t͡s
ciyngym	t͡ɕ ɪ ŋ ɡ ɪ m
ciynki	t͡ɕ ɪ ŋ k i
ciynżki	t͡ɕ ɪ n ʂ k i
ciynżŏr	t͡ɕ ɪ n ʐ ɔ r
ciynżŏr	t͡ɕ ɪ n ʐ ɔ w r
ciynżŏr	t͡ɕ ɪ n ʐ ɛ w r
ciōng	t͡ɕ o ŋ k
ciōngnōńć	t͡ɕ o ŋ ɡ n o ɲ t͡ɕ
ciōńć	t͡ɕ o ɲ t͡ɕ
ciŏrać	t͡ɕ ɔ r a t͡ɕ
ciŏrać	t͡ɕ ɔ w r a t͡ɕ
ciŏrać	t͡ɕ ɛ w r a t͡ɕ
ciś	t͡ɕ i ɕ
co	t͡s ɔ
corŏz	t͡s ɔ r ɔ s
corŏz	t͡s ɔ r ɔ w s
corŏz	t͡s ɔ r ɛ w s
cołki	t͡s ɔ w k i
coś	t͡s ɔ ɕ
cuchthaus	t͡s u x t x a w s
cufal	t͡s u f a l
cufalny	t͡s u f a l n ɪ
cug	t͡s u k
cuzamyn	t͡s u z a m ɪ n
cwek	t͡s f ɛ k
cwiter	t͡s f i t ɛ r
cyl	t͡s ɪ l
Cypr	t͡s ɪ p r
cysŏrz	t͡s ɪ s ɔ ʂ
cysŏrz	t͡s ɪ s ɔ w ʂ
cysŏrz	t͡s ɪ s ɛ w ʂ
Cysŏrŏk	t͡s ɪ s ɔ r ɔ k
Cysŏrŏk	t͡s ɪ s ɔ w r ɔ w k
Cysŏrŏk	t͡s ɪ s ɛ w r ɛ w k
czakać	t͡ʂ a k a t͡ɕ
czas	t͡ʂ a s
czasowy	t͡ʂ a s ɔ v ɪ
czasym	t͡ʂ a s ɪ m
Czechy	t͡ʂ ɛ x ɪ
czekać	t͡ʂ ɛ k a t͡ɕ
cześć	t͡ʂ ɛ ɕ t͡ɕ
czi	t͡ʂ i
czisty	t͡ʂ i s t ɪ
czowiek	t͡ʂ ɔ v j ɛ k
czoło	t͡ʂ ɔ w ɔ
czuć	t͡ʂ u t͡ɕ
czy	t͡ʂ ɪ
czyli	t͡ʂ ɪ l i
czynsto	t͡ʂ ɪ n s t ɔ
czynsty	t͡ʂ ɪ n s t ɪ
czyrstwy	t͡ʂ ɪ r s t f ɪ
czyrwōny	t͡ʂ ɪ r v o n ɪ
czysty	t͡ʂ ɪ s t ɪ
czytać	t͡ʂ ɪ t a t͡ɕ
