аб	ä b
аббос	ä b b ɔ́ s
абд	ä b d̪
аблаҳ	ä b l ǽʱ
абр	ä b r
абранҷан	ä b r ä n d͡ʒ ǽ n
абранҷин	ä b r ä n d͡ʒ í n
абрешим	ä b r e ʃ í m
абрӯ	ä b r ɵ
абстракт	ä b s t̪ r ǽ k t̪
абстрактсионизм	ä b s t̪ r ä k t̪ s i ɔ n í z m
абузабӣ	ä b u z ä b í
август	` ä v ɡ u s t̪
аврангзеб	ä v r ä ŋ ɡ z é b
аврангобод	ä v r ä ŋ ɡ ɔ b ɔ́ d̪
аврупо	ä v r u pʰ ɔ́
австралия	ä v s t̪ r ä l i j ä
агар	` ä ɡ ä r
адаб	ä d̪ ǽ b
адабиёт	ä d̪ ä b i j ɔ́ t̪
аждаҳо	ä ʒ d̪ ä ɦ ɔ́
аз	ä z
айнак	ä j n ǽ k
айнаксоз	ä j n ä k s ɔ́ z
аккос	ä k kʰ ɔ́ s
акс	ä k s
алайҳиссалом	ä l ä j h i s s ä l ɔ́ m
алайҳоссалом	ä l ä j h ɔ s s ä l ɔ́ m
албурз	ä l b ú ɹ z
алгоритм	ä l ɡ ɔ r í t̪ m
алифбо	ä l i v b ɔ́
алмос	ä l m ɔ́ s
алҷазоир	ä l d͡ʒ ä z ɔ j i r
алӣ	ä l í
амак	ä m ǽ k
амир	ä m i r
амир	ä m í r
амма	ä m m ǽ
амрико	ä m r i kʰ ɔ́
анбоштан	ä m b ɔ ʃ t̪ʰ ǽ n
ангишт	ä ŋ ɡ í ʃ t̪
англисӣ	ä ŋ ɡ l i s í
ангур	ä ŋ ɡ ú r
ангушт	ä ŋ ɡ ú ʃ t̪
ангуштпона	ä ŋ ɡ u ʃ t̪ pʰ ɔ n ǽ
андеша	ä n̪ d̪ e ʃ ǽ
андоза	ä n̪ d̪ ɔ z ǽ
андохтан	ä n̪ d̪ ɔ χ t̪ʰ ǽ n
анкабӯт	ä ŋ kʰ ä b ɵ́ t̪
анор	ä n ɔ́ r
антилёс	ä n̪ t̪ʰ i l j ɔ́ s
анъана	ä n ʔ ä n ǽ
анҷомидан	ä n d͡ʒ ɔ m i d̪ ǽ n
апелсин	ä pʰ e l s í n
апрел	ä p r é l
ар	ä r
арабистон	ä r ä b i s t̪ʰ ɔ́ n
ардабил	ä ɹ d̪ ä b í l
арзидан	ä ɹ z i d̪ ä n
арзон	ä ɹ z ɔ́ n
арманистон	ä r m ä n i s t̪ʰ ɔ́ n
арманӣ	ä r m ä n í
арра	ä r r ǽ
арча	ä r t͡ʃʰ ǽ
арғамчин	ä r ʁ ä m t͡ʃʰ í n
арӯсӣ	ä r ɵ s í
асал	ä s ǽ l
асб	ä s b
асп	ä s p
аср	ä s r
афзудан	ä f z u d̪ ǽ n
афкандан	ä f kʰ ä n̪ d̪ ǽ n
африқо	ä f r i q ɔ́
афрохтан	ä f r ɔ χ t̪ʰ ǽ n
афрӯхтан	ä f r ɵ χ t̪ʰ ǽ n
афсона	ä f s ɔ n ǽ
афт	ä f t̪
афтодан	ä f t̪ʰ ɔ d̪ ǽ n
афюн	ä f j ú n
афғонистон	ä f ʁ ɔ n i s t̪ʰ ɔ́ n
ашраф	ä ʃ r ä f
ашқобод	ä ʃ q ɔ b ɔ́ d̪
ақл	ä q l
аҳвоз	ä ɦ v ɔ́ z
аҳмад	ä ɦ m ǽ d̪
аҳмадобод	ä ɦ m ä d̪ ɔ b ɔ́ d̪
аҳмақ	ä ɦ m ǽ q
аҳром	ä ɦ r ɔ́ m
аҷиб	ä d͡ʒ í b
ба	b ä
бабр	b ä b r
бад	b ä d̪
бадан	b ä d̪ ǽ n
бадахшон	b ä d̪ ä χ ʃ ɔ́ n
байн	b ä j n
байрут	b ä j r ú t̪
баланд	b ä l ä n̪ d̪
баланит	b ä l ä n í t̪
бале	b ǽ l e
балтистон	b ä l̪ t̪ʰ i s t̪ʰ ɔ́ n
балучистон	b ä l u t͡ʃʰ i s t̪ʰ ɔ́ n
балх	b ä l χ
банан	b ä n ǽ n
банглодеш	b ä ŋ ɡ l ɔ d̪ é ʃ
бангола	b ä ŋ ɡ ɔ l ǽ
банголӣ	b ä ŋ ɡ ɔ l í
банда	b ä n̪ d̪ ǽ
бар	b ä r
бараҳна	b ä r ä ɦ n ǽ
бараҳнагӣ	b ä r ä ɦ n ä ` ɡ í
барг	b ä r ɡ
баргашт	b ä r ɡ ä ʃ t̪
