'ntós	n̪ t̪ o s
'star	s̪ t̪ a ɾ
'sti	s̪ t̪ i
abadexu	a β̞ a ð̞ e ʃ u
abandonar	a β̞ ã n̪ d̪ o n a ɾ
abandonáis	a β̞ ã n̪ d̪ o n a i̯ s
abandonáu	a β̞ ã n̪ d̪ o n a u̯
abangavigues	a β̞ a ŋ ɡ a β̞ i ɡ e s
abangavigues	a β̞ a ŋ ɣ a β̞ i ɣ a s
abanicu	a β̞ a n i k u
abater	a β̞ a t̪ e ɾ
abatir	a β̞ a t̪ i ɾ
abaxo	a β̞ a ʃ o
abdicación	a β̞ ð̞ i k a θ j õ ŋ
abdicáis	a β̞ ð̞ i k a i̯ s
abdicáu	a β̞ ð̞ i k a u̯
abdome	a β̞ ð̞ o m e
abducíu	a β̞ ð̞ u θ i u
abecedariu	a β̞ e θ e ð̞ a ɾ j u
abegosu	a β̞ e ɡ o s u
abelecáu	a β̞ e l e k a u̯
abellota	a β̞ e ʎ o t̪ a
abellugu	a β̞ e ʎ u ɡ u
abenayá	a β̞ e n a ʝ a
abeya	a β̞ e ʝ a
abeyeru	a β̞ e ʝ e ɾ u
abeyeru	a β i ʝ e i̯ ɾ u
abeyeru	a β i t͡ʃ e i̯ ɾ u
abeyeru	a β i t͡ʃ e i̯ ɾ u
abeyes	a β̞ e ʝ e s
abeyota	a β̞ e ʝ o t̪ a
abeyón	a β̞ e ʝ õ ŋ
abeḷḷugu	a β̞ e t͡ʂ u ɡ u
abierta	a β̞ j e ɾ t̪ a
abiertamente	a β̞ j e ɾ t̪ a m ẽ n̪ t̪ e
abiertes	a β̞ j e ɾ t̪ e s
abierto	a β̞ j e ɾ t̪ o
abiertos	a β̞ j e ɾ t̪ o s
abiertu	a β̞ j e ɾ t̪ u
Abillés	a β̞ i ʎ e s
ablana	a β̞ l a n a
ablanal	a β̞ l a n a l
ablanéu	a β̞ l a n ø u
ablucamientu	a β̞ l u k a m j ẽ n̪ t̪ u
ablucáu	a β̞ l u k a u̯
abocanar	a β̞ o k a n a ɾ
abogada	a β̞ o ɡ a ð̞ a
abogáu	a β̞ o ɡ a u̯
abolida	a β̞ o l i ð̞ a
abolía	a β̞ o l i a
abolíu	a β̞ o l i u
