آئیں	ã́ː j
آج	áː d͡ʑ
آر	áː ɾ
آرہ	áː ɾ à
آزاد	áː z áː d̪
آسان	áː s áː n
آسمان	áː s m áː n
آم	áː m
آواز	áː w áː z
آٹ	áː ʈ
آگہ	áː ɡ à
ائں	ə̃́ː j
ادل	ə́ d̪ ì l
اسوم	ə́ s ú m
اشومکل	ə́ ɕ ú m k í l
اشومکل	ə́ ɕ ú m k íː l
ال	á l
المارئی	ə̀ l m àː ɾ é j
اموݭ	ə́ m óː ʂ
امی	ə́ m ì
امݭیں	ə́ m ʂ ĩ́ː
ان	á n
ان	áː n
انگار	ə́ ŋ áː ɾ
انگوسیر	ə́ ŋ ú s ì ɾ
انگیر	ə́ ŋ í ɾ
انگیر	ə́ ŋ íː ɾ
انیل	ə́ n éː l
او	úː
اول	ə́ w á l
اپان	ə́ p áː n
اڄ	á ʈ͡ʂ
اڄ	áː ʈ͡ʂ
اڄ	ə́ ʈ͡ʂ
اڄ	ə́ː ʈ͡ʂ
اڄھیر	á ʈ͡ʂʰ èː ɾ
اچھلاں	ə́ t͡ɕʰ é l ə̃́ː
اڈ	á ɖ
اک	ə́ k
اک	ə́ː k
اݪی	ə́ ɬ íː
بئینت	b ì á n t̪
با	b ə̂ː
بائیں	b ã́ː j
بابس	b ə́ː b ə̀ s
بات	b àː t̪
بات	b áː t̪
باتنگنڑ	b àː t̪ ĩ̀ ɡ ə́ ɳ
باتنگنڑ	b àː t̪ ĩ̀ ɡ ə́ː ɳ
بادان	b áː d̪ áː n
بادر	b àː d̪ ə́ ɾ
بادر	b àː d̪ ə́ː ɾ
بادین	b áː d̪ éː n
بار	b ə́ː ɾ
باریم	b ə̀ː ɾ í m
باریم	b ə̀ː ɾ íː m
بال	b áː l
بالانت	b áː l àː n t̪
بالہ	b áː l à
بام	b áː m
بانش	b ə̃́ː ɕ
بانگنت	b áː ŋ à n t̪
باوہ	b áː b à
باں	b ə̃́
باݭت	b ə̌ː ʂ ʈ
بتام	b í t̪ áː m
بردید	b ə́ ɾ d̪ éː d̪
بریم	b ə́ ɾ í m
بریݭ	b ə́ ɾ í ʂ
بریݭ	b ə́ ɾ íː ʂ
بسن	b ə́ s á n
بسن	b ə́ s áː n
بسین	b í s íː n
بش	b í ɕ
بش	b íː ɕ
بشترہ	b ì ɕ t̪ ə̀ ɾ á
بشر	b ə́ ɕ ə́ ɾ
بشر	b ə́ ɕ ə́ː ɾ
بشیم	b í ɕ í m
بن	b á n
بنال	b á n áː l
بوب	b ó b
بوبئ	b ò b ə́ j
بوبئ	b ò b ə́ː j
بوت	b ùː t̪
بوتئ	b óː t̪ é j
بوجنت	b ú d͡ʑ à n t̪
بور	b óː ɾ
بوم	b óː m
بومل	b ù m ə́ l
بومل	b ù m ə́ː l
بووئی	b ú w ù j
بوٹ	b úː ʈ
بوک	b ó k
بوک	b óː k
بوکھین	b óː kʰ ì n
