กก	k o k
กรัด	k r a t
กรา	k r a
กราวัย	k r a w a j
กลาเม	k l a m e
กอมมวง	k ɔ m m u a ŋ
กะ	k a ʔ
กันตูกัน	k a n t u k a n
กากี	k a k i
กาจัก	k a c a k
กานัน	k a n a n
กาปัยฮ	k a p a s
กามี	k a m i
กามุง	k a m u ŋ
กายู	k a j u
การัก	k a r a k
กาเญา	k a ɲ a w
กาเตาะ	k a t ɔ ʔ
กาเม	k a m e
กาเยด	k a j e t
กาเยน	k a j e n
กาเลา	k a l a w
กาแคก	k a kʰ ɛ k
กาโบยจ	k a b o c
กาโยะฮ	k a j o h
กิก	k i k
กีตา	k i t a
กีรี	k i r i
กีลากี	k i l a k i
กู	k u
กูกู	k u k u
กูญา	k u ɲ a
กูดา	k u d a
กูนิง	k u n i ŋ
กูปี	k u p i
กูรา	k u r a
กูเญะ	k u ɲ e ʔ
กูเมอ	k u m ə
กูเละ	k u l e ʔ
กูแซะ	k u s ɛ ʔ
กูแญะ	k u ɲ ɛ ʔ
กฺาซี	ɡ a s i
กฺารอยจ	ɡ a r ɔ c
กฺารับ	ɡ a r a p
กฺารี	ɡ a r i
กฺาวน	ɡ a w o n
กฺาวะ	ɡ a w a ʔ
กฺาโดะฮ	ɡ a d o h
กฺีกฺี	ɡ i ɡ i
กฺีนี	ɡ i n i
กฺีปากฺี	ɡ i p a ɡ i
กฺีลา	ɡ i l a
กฺีเตอ	ɡ i t ə
กฺูตล	ɡ u t o l
กฺูตู	ɡ u t u
กฺูรี	ɡ u r i
กฺูลา	ɡ u l a
กฺูเตอ	ɡ u t ə
คอด	kʰ ɔ t
คีม	kʰ i m
งางา	ŋ a ŋ a
งาจิ	ŋ a c i ʔ
งาตอยจ	ŋ a t ɔ c
งารอยจ	ŋ a r ɔ c
งาเญน	ŋ a ɲ e n
งาเญาะฮ	ŋ a ɲ ɔ h
งาแญน	ŋ a ɲ ɛ n
งูเตะ	ŋ u t e ʔ
จะจะ	c a ʔ c a ʔ
จะจิก	c a ʔ c i k
จับ	c a p
จัยจ	c a c
จารา	c a r a
จาเระ	c a r e ʔ
