Qida	t͡ɕʰ i t ɑ
aba	ɑ p ɑ
ada	ɑ t ɑ
aman	ɑ m ɑ ŋ
baer	p ɑ ɚ
bagvachou	p ɑ ʁ ɑ t͡ʂʰ ə w
bailin	p ɑ j l i ŋ
banbun	p ɑ ŋ p u ŋ
banche	p ɑ ŋ t͡ʂʰ ə
baojien	p ɑ w t͡ɕ j ə n
basi	p ɑ s i
baza	p ɑ t͡s ɑ
bi	p i
bogvoni	p o ʁ o n i
chughu	t͡ʂʰ u q u
chumegve	t͡ʂʰ u m ə ʁ ə
chunqien	t͡ʂʰ u n t͡ɕʰ j ə n
chusun	t͡ʂʰ u s u n
dan	t ɑ ŋ
dangao	t ɑ n k ɑ w
darasuchi	t ɑ r ɑ s u t͡ʂʰ i
darasuda	t ɑ r ɑ s u t ɑ
darasun	t ɑ r ɑ s u ŋ
darasutu	t ɑ r ɑ s u tʰ u
dosi	tʰ o s i
dozohei	t o t͡s o x ə j
duiwo	t w ə j w o
dunya	t u n j ɑ
duya	t u j ɑ
egvechi	ə ʁ ə t͡ʂʰ i
ekie	ə kʰ j ə
eryizi	ɚ j i t͡s i
ghazha	q ɑ t͡ʂ ɑ
ghigva	q ɯ ʁ ɑ
ghimusun	q ɯ m u s u ŋ
ghoni	q o n i
ghudan	q u t ɑ ŋ
ghugvan	q u ʁ a ŋ
ghurun	q u r u ŋ
ghuzhen	q u t͡ʂ ə ŋ
ghuzhun	q u t͡ʂ u ŋ
gun	k u ŋ
hharan	h ɑ ʐ ɑ n
hoye	x o j ə
huai	x w ɑ j
hulasun	x u l ɑ s u ŋ
iman	i m ɑ ŋ
ire	i r ə
iredan	i r ə t ɑ ŋ
iregva	i r ə ʁ ɑ
janji	t͡ɕ ɑ n t͡ɕ i
jian	t͡ɕ j ɑ ŋ
jielien	t͡ɕ j ə l j ə n
jiere	t͡ɕ j ə r ə
jinzi	t͡ɕ i n t͡s i
kafeir	kʰ ɑ f ə j ʐ
khan	qʰ ɑ ŋ
khuru	qʰ u r u
kielien	kʰ j ə l j ə n
laowa	l ɑ w w ɑ
mata	m ɑ tʰ ɑ
mehherei	m ə h ə ʐ ə j
mejie	m ə t͡ɕ j ə
migva	m i ʁ ɑ
migvachi	m i ʁ ɑ t͡ʂʰ i
mo	m o
mogvei	m o ʁ ə j
mutun	m u tʰ u ŋ
naran	n ɑ r ɑ ŋ
narun	n ɑ r u ŋ
niere	n j ə r ə
nime	n i m ə
ninji	n i n t͡ɕ i
nudun	n u t u ŋ
nundu	n u ŋ t u
nundun	n u ŋ t u ŋ
odou	o t ə w
ogi	o k i
ogidan	o k i t ɑ ŋ
oliechin	o l j ə t͡ʂʰ i n
ongie	o ŋ k j ə
oron	o r o ŋ
orou	o r ə w
orouchi	o r ə w t͡ʂʰ i
osun	o s u ŋ
pixie	pʰ i ɕ j ə
qiemu	t͡ɕʰ j ə m u
qirou	t͡ɕʰ i r ə w
qiroujie	t͡ɕʰ i r ə w t͡ɕ j ə
qiroulie	t͡ɕʰ i r ə w l j ə
qiuqien	t͡ɕʰ j u t͡ɕʰ j ə n
samusa	s ɑ m u s ɑ
san	s ɑ ŋ
sara	s ɑ r ɑ
sazhigvei	s ɑ t͡ʂ i ʁ ə j
sazhigvi	s ɑ t͡ʂ i ʁ ɯ
shesun	ʂ ə s u ŋ
shidun	ʂ i t u ŋ
shigha	ʂ i q ɑ
shigva	ʂ i ʁ ɑ
shini	ʂ i n i
shire	ʂ i r ə
sugie	s u k j ə
sumu	s u m u
taran	tʰ ɑ r ɑ ŋ
tesibihha	tʰ ə s i p i h ɑ
toula	tʰ ə w l ɑ
tuma	tʰ u m ɑ
tunzhi	tʰ u n t͡ʂ i
udu	u t u
un	u ŋ
ungie	u n k j ə
usu	u s u
uwun	u w u ŋ
uzhulie	u t͡ʂ u l j ə
wo	w o
xiaojierun	ɕ j ɑ w t͡ɕ j ə r u ŋ
yaba	j ɑ p ɑ
yazi	j ɑ t͡s i
zhalao	t͡ʂ ɑ l ɑ w
zhao	t͡ʂ ɑ w
zhaojin	t͡ʂ ɑ w t͡ɕ i ŋ
zhin	t͡ʂ i ŋ
zhunzhagva	t͡ʂ u ŋ t͡ʂ ɑ ʁ ɑ
zhuzhan	t͡ʂ u t͡ʂ ɑ ŋ
