เʼงีย	ˀŋ i a̯
ʼนะ	ˀn a ʔ
เʼมิก	ˀm ə k
แʼม	ˀm ɛ
โʼมะ	ˀm o ʔ
กรัจ	k r a c
กรา	k r a
กลัจ	k l a c
กวง	k u a̯ ŋ
กอก	k ɔ k
กอฺ	k ɒ
กะ	k a ʔ
กัก	k a k
กัญ	k a ɲ
กัด	k a t
กัม	k a m
กัว	k u a̯
กิฮ	k i h
กึด	k ɨ t
เกฮ	k e h
เกือง	k ɨ a̯ ŋ
เกือฮ	k ɨ a̯ h
โกก	k o k
ครัก	kʰ r a k
คลัก	kʰ l a k
คุด	kʰ u t
เครฮ	kʰ r e h
เครีย	kʰ r i a̯
เคลฮ	kʰ l e h
เคลีย	kʰ l i a̯
เคะ	kʰ e ʔ
เคียบ	kʰ i a̯ p
โคระ	kʰ r o ʔ
โคละ	kʰ l o ʔ
โคะ	kʰ o ʔ
ฆ̱อ	ᵑɡ ɔ
ฆ̱ับ	ᵑɡ a p
โฆ̱ง	ᵑɡ o ŋ
งอ	ŋ ɔ
งอง	ŋ ɔ ŋ
จวง	c u a̯ ŋ
จอ	c ɔ
จะ	c a ʔ
จัก	c a k
จึง	c ɨ ŋ
จุดวู	c u t w u
จุบเจียบ	c u p c i a̯ p
เจียน	c i a̯ n
โจง	c o ŋ
โชะ	cʰ o ʔ
ซเกิญ	s k ə ɲ
ซแกญ	s k ɛ ɲ
ซครัก	s kʰ r a k
ซคลัก	s kʰ l a k
ซคา	s kʰ a
ซงา	s ŋ a
ซเงะ	s ŋ e ʔ
ซเงีย	s ŋ i a̯
ซแงะ	s ŋ ɛ ʔ
ซตะ	s t a ʔ
ซตัญ	s t a ɲ
ซเบิง	s ɓ ə ŋ
ซปะ	s p a ʔ
ซมา	s m a
ซโมะ	s m o ʔ
ซอง	s ɔ ŋ
ซอัง	s ʔ a ŋ
ซเอฮ	s ʔ e h
ซเอิง	s ʔ ə ŋ
ซัก	s a k
ซัง	s a ŋ
ซัญ	s a ɲ
