'sti	s t iː
Aberystwyth	a b ɛ r ə s t w ɪ θ
Aberystwyth	a b ɛ r ə s t ʊ i̯ θ
Affganistan	a f ɡ a n ɪ s t a n
Aifft	a i f t
Aifft	ə r a i f t
Awst	a u̯ s t
Awstralia	a u̯ s t r a l j a
Awstria	a u̯ s t r j a
Basgiaid	b a s k j a i̯ d
Bedr	b ɛ d r̩
Belffast	b ɛ l f a s t
Caerwysg	kʰ a i̯ r w ɪ s k
Caerwysg	kʰ a i̯ r ʊ i̯ s k
Crist	kʰ r ɪ s t
Cristion	k r̥ʰ ɪ s t j ɔ n
Cristionogaeth	k r̥ʰ ɪ s t j ɔ n oː ɡ a i̯ θ
Cristionogaeth	k r̥ʰ ɪ s t j ɔ n ɔ ɡ a i̯ θ
Cristionogion	k r̥ʰ ɪ s t j ɔ n ɔ ɡ j ɔ n
Cristnogaeth	k r̥ʰ ɪ s t n oː ɡ a i̯ θ
Cristnogaeth	k r̥ʰ ɪ s t n oː ɡ ɛ θ
Cristnogaeth	k r̥ʰ ɪ s t n ɔ ɡ a i̯ θ
Cristnogaeth	k r̥ʰ ɪ s t n ɔ ɡ ɛ θ
Cristnogion	k r̥ʰ ɪ s t n ɔ ɡ j ɔ n
Cristnogol	k r̥ʰ ɪ s t n oː ɡ ɔ l
Cristnogol	k r̥ʰ ɪ s t n ɔ ɡ ɔ l
Estonaidd	ɛ s t ɔ n a i̯ ð
Estoniaidd	ɛ s t ɔ n j a i̯ ð
Facebook	f eː s p ʊ kʰ
Felffast	v ɛ l f a s t
Gwersyllt	ɡ w ɛ r s ɪ ɬ t
Hawstralia	h a u̯ s t r a l j a
Holocost	h ɔ l ɔ kʰ ɔ s t
Lanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch	l a n v a i̯ r p ʊ ɬ ɡ w ɪ n ɡ ɪ ɬ ɡ ɔ ɡ ɛ r ə χ w ɪ r n d r ɔ b ʊ ɬ ɬ a n t ə s ɪ l j ɔ ɡ ɔ ɡ ɔ ɡ oː χ
Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch	ɬ a n v a i̯ r p ʊ ɬ ɡ w ɪ n ɡ ɪ ɬ ɡ ɔ ɡ ɛ r ə χ w ɪ r n d r ɔ b ʊ ɬ ɬ a n t ə s ɪ l j ɔ ɡ ɔ ɡ ɔ ɡ oː χ
Lloegr	ɬ ɔ i̯ ɡ r̩
Loegr	l ɔ i̯ ɡ r̩
Madagasgar	m a d a ɡ a s k a r
Melffast	m ɛ l f a s t
Moscfa	m ɔ s k v a
Mosgo	m ɔ s k ɔ
Mosgofaidd	m ɔ s k oː v a i̯ ð
Mosgofaidd	m ɔ s k ɔ v a i̯ ð
Mosgofiad	m ɔ s k ɔ v j a d
Pasg	pʰ a s k
Pedr	pʰ ɛ d r̩
Phedr	f ɛ d r̩
Protestaneiddio	p r̥ʰ ɔ tʰ ɛ s t a n e i̯ ð j ɔ
Protestaniaeth	p r̥ʰ ɔ tʰ ɛ s t a n j a i̯ θ
Protestaniaeth	p r̥ʰ ɔ tʰ ɛ s t a n j ɛ θ
Protestaniaid	p r̥ʰ ɔ tʰ ɛ s t a n j a i̯ d
Protestaniaid	p r̥ʰ ɔ tʰ ɛ s t a n j ɛ d
Protestannaidd	p r̥ʰ ɔ tʰ ɛ s t a n a i̯ ð
Protestannaidd	p r̥ʰ ɔ tʰ ɛ s t a n ɛ ð
Protestant	p r̥ʰ ɔ tʰ ɛ s t a n tʰ
Sbaen	s p a i̯ n
Sbaenes	s p e i̯ n ɛ s
Sbaenwr	s p e i̯ n ʊ r
Sbaenwyr	s p e i̯ n w ɪ r
Scymraeg	s k ə m r a i̯ ɡ
Sgandinafaidd	s k a n d ɪ n a v a i̯ ð
Sgandinafia	s k a n d ɪ n a v j a
Sgythia	s k ə θ j a
Sosban	s ɔ s p a n
Swistir	s w ɪ s t ɪ r
Swistir	ə s w ɪ s t ɪ r
Wysg	ʊ i̯ s k
Ysbaen	ə s p a i̯ n
Ystradwel	ə s t r a d w ɛ l
abl	a b l̩
abostl	a b ɔ s t l̩
abostol	a b ɔ s t ɔ l
achlust	a χ l ɪ s t
addysg	a ð ɪ s k
addysg	aː ð ɪ s k
addysga	a ð ə s k a
addysgau	a ð ə s k a i̯
addysgau	a ð ə s k ɛ
addysgiadol	a ð ə s k j a d ɔ l
addysgiadol	a ð ə s k j aː d ɔ l
addysgoch	a ð ə s k ɔ χ
addysgodd	a ð ə s k ɔ ð
addysgol	a ð ə s k ɔ l
addysgon	a ð ə s k ɔ n
addysgu	a ð ə s k i
addysgwch	a ð ə s k ʊ χ
addysgwr	a ð ə s k ʊ r
adwaenost	a d w e i̯ n ɔ s t
aethost	e i̯ θ ɔ s t
afrllad	a v r̩ ɬ a t
afrosgo	a v r ɔ s k o
aillt	a i̯ ɬ t
ailystyriaeth	a i̯ l ə s t ə r j a i̯ θ
ailystyried	a i̯ l ə s t ə r j ɛ d
allglofan	a ɬ k l ɔ v a n
allt	a ɬ t
alltro	a ɬ t r ɔ
alltud	a ɬ t ɪ d
alltudiad	a ɬ t ɪ d j a d
amethyst	a m ɛ θ ɪ s t
amholiticaidd	a m ɦ ɔ l ɪ tʰ ɪ kʰ a i̯ ð
amhrydlon	a m ɦ r ə d l ɔ n
amldduw	a m a l ð ɪ u̯
amldduw	a m l̩ ð ɪ u̯
amldduw	aː m a l ð ɪ u̯
amldduw	aː m l̩ ð ɪ u̯
amlgellog	a m l̩ ɡ ɛ ɬ ɔ ɡ
amlhau	a m l̩ h a i̯
amlieithog	a m a l j e ɪ θ ɔ ɡ
amlieithog	a m l̩ j e ɪ θ ɔ ɡ
amlochrog	a m l ɔ χ r ɔ ɡ
amlochrog	a m l̩ ɔ χ r ɔ ɡ
amlosgi	a m l ɔ s k i
amobr	a m ɔ b r̩
anabl	a n a b l̩
anabl	aː n a b l̩
anaml	a n a m l̩
anaml	aː n a m l̩
anawsterau	a n a u̯ s t eː r a i̯
anawsterau	a n a u̯ s t eː r ɛ
anawsterau	a n a u̯ s t ɛ r a i̯
anawsterau	a n a u̯ s t ɛ r ɛ
anesboniadwy	a n ɛ s p ɔ n j a d ʊ ɨ̯
anesboniadwy	a n ɛ s p ɔ n j aː d ʊ ɨ̯
anesgusodol	a n ɛ s k ɪ s oː d ɔ l
anesgusodol	a n ɛ s k ɪ s ɔ d ɔ l
anfoesgar	a n v ɔ i̯ s k a r
anghofuster	a ŋ h ɔ v ɪ s t ɛ r
anghraff	a ŋ̊ r̥ a f
anghywir	a ŋ ɦ ə w ɪ r
anhawdd	a n ɦ a u̯ ð
anhawster	a n h a u̯ s t ɛ r
anhepgor	a n ɦ ɛ p k ɔ r
anhwylustod	a n̥ h ʊ i̯ l ɪ s t ɔ d
anhyfedr	a n h ə v ɛ d r̩
anhyfedr	a n h ə v ɛ d ɛ r
anhysbys	a n h ə s p ɪ s
annhaclus	a n ɦ a k l ɪ s
annhacluso	a n ɦ a k l ɪ s ɔ
anrhydedd	a n ɦ r ə d ɛ ð
anrhydeddu	a n ɦ r ə d eː ð i
anrhydeddu	a n ɦ r ə d ɛ ð i
anrhydeddus	a n ɦ r ə d eː ð ɪ s
anrhydeddus	a n ɦ r ə d ɛ ð ɪ s
ansicr	a n s ɪ k ɪ r
anysbryd	a n ə s p r ɪ d
anysbrydol	a n ə s p r ə d ɔ l
anystyr	a n ə s t ɪ r
anystyrgar	a n ə s t ə r ɡ a r
anystyriol	a n ə s t ə r j ɔ l
anystywallt	a n ə s t ə u̯ a ɬ t
apostol	a pʰ ɔ s t ɔ l
apostolaidd	a p ɔ s t ɔ l a i̯ ð
