अख़ना	a x n aː
अड़ा	a ɽ aː
अतख़ा	a t x aː
अनेस	a n e s
अम्म	a mː
अयो	a j oː
अलखना	a l kʰ n aː
अस्सना	a sː n aː
अहड़ा	a h ɽ aː
आद	aː d
आर	aː ɾ
आलर	aː l a ɾ
आस	iː d
आहै	aː h a i
इंजो	i ɲ d͡ʒ oː
इक्ला	i k l aː
इज्जना	i d͡ʒː n aː
इसुंग	i s u ŋ ɡ
ईद	iː d
ईया	iː j aː
ईर	iː ɾ
ईस	iː s
उंबलख़ो	u m b a l x oː
उजगो	u d͡ʒ ɡ oː
उज्जना	u d͡ʒː n aː
उढ़यारना	u ɽʱ j aː ɾ n aː
उर्मि	u ɾ m i
उल्ला	u lː aː
ऊरना	uː ɾ n aː
एंड	e ɳ ɖ
एंदरा	e n d ɾ aː
एंद्र	e n d ɾ
एकना	eː k n aː
एका	eː k aː
एकाओर्तस	eː k aː ʔ o ɾ t a s
एकाओर्ती	eː k aː ʔ o ɾ t iː
एकाबीरी	eː k aː b iː ɾ iː
एकास्से	eː k aː sː e
एक्सन	e k s a n
एखो	eː kʰ oː
एप	eː p
एलचना	e l t͡ʃ n aː
ओंड	o ɳ ɖ
ओंद	o n d
ओक्कना	o kː n aː
ओगना	oː ɡ n aː
ओज्जना	o d͡ʒː n aː
ओड़ा	oː ɽ aː
ओत्था	o tːʰ aː
ओन्ना	o nː aː
ओरोख़	o ɾ o x
ओर्मा	o ɾ m aː
ओल्दना	o l d n aː
कटी	k a ʈ iː
किंद्रारना	k i n d ɾ aː ɾ n aː
कीबा	k iː b aː
कीरना	k iː ɾ n aː
कुत्तल्ला	k u tː a lː aː
कुरना	k u ɾ n aː
कुही	k u h iː
कूल	k uː l
कोड़ना	k oː ɽ n aː
कोरना	k oː ɾ n aː
कोहा	k oː h aː
खंडना	kʰ a ɳ ɖ n aː
खत्रना	kʰ a t ɾ n aː
ख़ंजपा	x a ɲ d͡ʒ p aː
ख़ंद्रना	x a n d ɾ n aː
ख़इका	x a i k aː
ख़द्द	x a dː
ख़ाड़	x aː ɽ
ख़ेँस	x ẽː s
ख़ेँसो	x ẽː s oː
ख़ेक्खा	x e kːʰ aː
ख़ेख़ेल	x eː x eː l
ख़ेद्द	x e dː
ख़ेबदा	x e b d aː
ख़ोयना	x o j n aː
खेएना	kʰ eː ʔ eː n aː
गुसन	ɡ u s a n
गेछा	ɡ e t͡ʃʰ aː
गोद्रअना	ɡ o d ɾ a ʔ a n aː
घाँसी	ɡʱ ãː s iː
चंदो	t͡ʃ a n d oː
