Ace	a c ç e
Acea	a c ç e a
Adang	a d ã ŋ
Aguttu	a ɡ u t̪ t̪ʰ u
Aguttusuʼ	a ɡ u t̪ t̪ʰ u s u ʔ
Ahaʼ	a h a ʔ
Alamanya	a l a m ã ɲ ã
Allà	a l l a
Ambong	ʔ ã m ɓ õ ŋ
Anggarrisi'	a ŋ ɡ a rː i s i ʔ
Apariliʼ	a pʰ a r i l i ʔ
Araba	a r a b a
Araʼ	a r a ʔ
Aropa	a r o p a
Bajeng	ɓ a ɟ ʝ ẽ ŋ
Bandong	ɓ ã n d õ ŋ
Bugisiʼ	b u ɡ i s i ʔ
Butung	ʼɓ ũ t̪ʰ ũ ŋ
Desembereʼ	d e s ẽ m b e r e ʔ
Diminggu	d i m ĩ ŋ ɡ u
Guttusuʼ	ɡ u t̪ t̪ʰ u s u ʔ
Jakattaraʼ	ɟ ʝ a kʰ a t t̪ʰ a r a ʔ
Januari	ɟ ʝ a n u a r i
Jawa	ɟ ʝ a w a
Jeʼnepponto	ɟ ʝ e ʔ n e p pʰ ɔ n t̪ʰ ɔ
Juli	ɟ ʝ u l i
Jumpandang	ɟ ʝ u m pʰ ã n d ã ŋ
Jumàʼ	ɟ ʝ u m ã ʔ
Juni	ɟ ʝ u n i
Kammisiʼ	kʰ ã m m ĩ s i ʔ
Konjo	kʰ ɔ n ɟ ʝ ɔ
Malayu	m a l a j u
Mandaraʼ	m ã n d a r a ʔ
Mangkasaraʼ	m ã ŋ kʰ a s a r a ʔ
Maraʼ	m a r a ʔ
Marusuʼ	m a r u s u ʔ
Mei	m e i
Nopembereʼ	n o pʰ ẽ m b e r e ʔ
Ottobereʼ	o t̪ t̪ʰ o b e r e ʔ
Paranggi	p a r a ŋ ɡ i
Peberiwari	pʰ e b e r i w a r i
Salasa	s a l a s a
Sambawa	s a m b a w a
Sanneng	s ã n n ẽ ŋ
Sattu	s a t̪ t̪ʰ u
Silayara'	s i l a j a r a ʔ
Sitembereʼ	s i t̪ʰ e m b e r e ʔ
Tambaru	t̪ʰ ã m b a r u
Taranati	t̪ʰ a r a n ã t̪ʰ i
Turate	t̪ʰ u r a t̪ʰ ɛ
Turatea	t̪ʰ u r a t̪ʰ e a
ababang	a b a b ã ŋ
abajada	a b a ɟ ʝ a d a
abang	a b ã ŋ
abaʼ	a b a ʔ
abong	a b õ ŋ
acaraʼ	a c ç a r a ʔ
acceraʼ	a cː e r a ʔ
acceʼ	a c c ç e ʔ
acciniʼ	a cː i n i ʔ
accokko	a cː ɔ kː ɔ
adang	ã d ã ŋ
adaraʼ	a d a r a ʔ
adaʼ	a d̪ a ʔ
adegang	ʔ a d e ɡ ã ŋ
adeleʼ	a d e l e ʔ
adi	ʔ a d i
adidi	a d i d i
ado	a d o
aeng	ã ẽ ŋ
agadang	ʔ a ɡ a d ã ŋ
agama	a ɡ a m a
agàng	a ɡ ã ŋ
ahalonuʼjung	ʔ a h a l o n u ʔ ɟ ʝ ũ ŋ
ahasalensi	a h a s a l ẽ n s i
aheraʼ	a h e r a ʔ
ahiraʼ	a h i r a ʔ
ahirissamàng	a h i r i s s a m ã ŋ
ahèng	a h ẽ ŋ
ainulubanati	a i n u l u b a n a t̪ʰ i
ainulubanaʼ	a i n u l u b a n a ʔ
aiʼ	a i ʔ
ajaraʼ	a ɟ ʝ a r a ʔ
aji	a ɟ ʝ i
ajudàng	a ɟ ʝ u d ã ŋ
ajurang	a ɟ ʝ u r ã ŋ
aka	a kʰ a
akang	a kʰ ã ŋ
akaʼ	a kʰ a ʔ
akkalimbuʼ	a kː a l i m b u ʔ
akkaluruʼ	a kː a l u r u ʔ
akkana	a kː a n a
akkangkang	a kː a ŋ k a ŋ
akkea	a k kʰ e a
akkeke	a kː ɛ k ɛ
akkeʼ	a k kʰ e ʔ
akkeʼbuʼ	a kː e ʔ b u ʔ
akkioʼ	a kː i o ʔ
akkulantuʼ	a kː u l a n t u ʔ
akài	a k à i
ala	a l a
alagojo	a l a ɡ ɔ ɟ ʝ ɔ
alahandu	a l a h ã n d u
alahandulilla	a l a h ã n d u l i l l a
alamaʼ	a l a m ã ʔ
alammi	a l ã m m i
alang	ã l ã ŋ
alarang	a l a r ã ŋ
alaraʼ	a l a r a ʔ
alasaʼ	a l a s a ʔ
alepuʼ	a l e pʰ u ʔ
alikottereʼ	a l i kʰ o t t̪ʰ e r e ʔ
alimbuʼbuʼ	a l ĩ m b u ʔ ɓ u ʔ
aling	a l ĩ ŋ
alitana	a l i t̪ʰ a n a
aliʼ	a l i ʔ
allanngereʼ	a lː a ŋː e r e ʔ
allasaʼ	a l l a s a ʔ
allaʼ	a l l a ʔ
alle	a l l ɛ
allembara'	a lː e m b a r a ʔ
alling	a l l ĩ ŋ
allo	a l l ɔ
allu'lu'	a lː u ʔ l u ʔ
allung	a l l ũ ŋ
alo	a l ɔ
alosu	a l o s u
alu	a l u
alua	a l u w a
alusuʼ	a l u s u ʔ
amara	a m a r a
amarala	a m a r a l a
amaʼ	a m a ʔ
ambalaʼ	ã m ɓ a l a ʔ
ambang	ã m ɓ ã ŋ
ambani	ã m ɓ a n i
ambaraʼ	ã m ɓ a r a ʔ
ambaring	ã m b a r ĩ ŋ
ambawa	ã m b a w a
ambaʼ	ʔ ã m ɓ a ʔ
ambelauʼ	ã m b e l a u ʔ
ambeng	ã m b ẽ ŋ
ambing	ã m b ĩ ŋ
ambiʼ	ã m b i ʔ
ammacco'	a mː a cː o ʔ
ammalli	a mː a lː i
ammang	ã m m ã ŋ
ammani	ã m m a n i
ammantang	ã m m ã n t̪ʰ ã ŋ
ammenteng	e n t e ŋ
ammera	a mː e r a
amminro	a mː i n r o
ammisang	a mː i s a ŋ
ammoca'	a mː o c a ʔ
ammotere'	a mː o t e r e ʔ
ammuko	a mː u k ɔ
ammuntuluʼ	ã m m ũ n tʰ u l u ʔ
ampalòʼ	a m pʰ a l o ʔ
amperengang	ã m pʰ e r e ŋ ã ŋ
ampiʼ	a m pʰ i ʔ
ampoloʼ	ã m pʰ o l o ʔ
ampolòʼ	a m pʰ o l o ʔ
ampoʼ	ã m pʰ o ʔ
ampu	ã m p u
ampusuʼ	ã m pʰ u s u ʔ
amung	ã m ũ ŋ
amungang	a m ũ ŋ ã ŋ
ana'	a n a ʔ
anakkoda	ã n ã k kʰ o d a
anang	ã n ã ŋ
anceʼ	ã ɲ c e ʔ
andalaʼ	ã n d a l a ʔ
andang	ã n d a ŋ
andaraʼ	ã n d a r a ʔ
andiʼ	a n d̪ i ʔ
angga	ã ŋ ɡ a
anggala	ã ŋ ɡ a l a
anggang	ã ŋ ɡ ã ŋ
anggappa	a ŋ ɡ a pː a
anggaraʼ	ã ŋ ɡ a r a ʔ
anggaʼ	ã ŋ ɡ a ʔ
anging	a ŋ i ŋ
angkaʼ	a ŋ kʰ a ʔ
angko	ã ŋ kʰ ɔ
angkong	ã ŋ k õ ŋ
anja	a ɲ ɟ ʝ a
